Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys johnsoni	Stichocorys delmontensis	Solenosphaera omnitubus omnitubus	Siphostichartus corona	Diartus hughesi	Calocycletta caepa	Botryostrobus miralestensis	Stichocorys peregrina	Theocorythium vetulum	Stylatractus universus	Spongaster tetras	Pterocanium prismatium	Phormostichoartus fistula	Phormostichoartus doliolum	Lychnodictyum audax	Didymocyrtis penultima	Anthocyrtidium pliocenica	Anthocyrtidium jenghisi	Amphirhopalum ypsilon	Theocorythium trachelium trachelium	Lamprocyrtis heteroporos	Theocalyptra davisiana	Lamprocyrtis neoheteroporos	Comment
  SR	                 	                 	A. jenghisi M95   	              	138	 848	C	  4	H	 6	  19.00	     32.1900	Moore    	Radiolarians                                 	A              	G                 	                    	                        	                                 	                      	               	                  	                           	C                    	F                    	R                     	R                	R                     	R                        	-                         	-                  	                      	-                        	R                      	R                    	-                                  	                        	                      	                           	Uncertain identity of P. fistula; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. jenghisi M95   	              	138	 848	C	  4	H	 6	  60.00	     32.6000	Moore    	Radiolarians                                 	A              	G                 	                    	                        	                                 	                      	               	                  	                           	C                    	R                    	R                     	R                	R                     	R                        	-                         	-                  	                      	R                        	R                      	R                    	                                   	                        	                      	                           	Uncertain identity of P. fistula; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	S peregrina(RN9)M95	              	138	 848	C	  4	H	CC	  21.00	     34.5400	Moore    	Radiolarians                                 	A              	G                 	                    	                        	                                 	                      	               	                  	                           	C                    	R                    	R                     	-                	R                     	R                        	R                         	R                  	R                     	F                        	R                      	-                    	                                   	                        	                      	                           	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	P doliolum(RN10M95	              	138	 848	C	  5	H	 2	  60.00	     36.1000	Moore    	Radiolarians                                 	A              	M                 	                    	                        	                                 	                      	               	                  	                           	C                    	R                    	R                     	R                	R                     	R                        	R                         	R                  	-                     	R                        	R                      	-                    	                                   	                        	                      	                           	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	S peregrina(RN9)M95	              	138	 848	C	  5	H	CC	  25.00	     43.3800	Moore    	Radiolarians                                 	A              	G                 	                    	                        	R                                	                      	               	                  	                           	C                    	                     	                      	                 	                      	                         	                          	                   	                      	                         	                       	                     	                                   	                        	                      	                           	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	S peregrina(RN9)M95	              	138	 848	C	  7	H	 4	  60.00	     58.1000	Moore    	Radiolarians                                 	A              	M                 	-                   	R                       	R                                	R                     	               	-                 	                           	C                    	                     	                      	                 	                      	                         	                          	                   	                      	                         	                       	                     	                                   	                        	                      	                           	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	S peregrina(RN9)M95	              	138	 848	C	  7	H	 5	  60.00	     59.6000	Moore    	Radiolarians                                 	A              	G                 	-                   	F                       	R                                	R                     	               	R                 	                           	C                    	                     	                      	                 	                      	                         	                          	                   	                      	                         	                       	                     	                                   	                        	                      	                           	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	S peregrina(RN9)M95	              	138	 848	C	  7	H	 5	 110.00	     60.1000	Moore    	Radiolarians                                 	A              	G                 	R                   	F                       	R                                	R                     	               	R                 	                           	C                    	                     	                      	                 	                      	                         	                          	                   	                      	                         	                       	                     	                                   	                        	                      	                           	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	S peregrina(RN9)M95	              	138	 848	C	  7	H	 6	  10.00	     60.6000	Moore    	Radiolarians                                 	A              	G                 	R                   	F                       	R                                	R                     	               	R                 	                           	C                    	                     	                      	                 	                      	                         	                          	                   	                      	                         	                       	                     	                                   	                        	                      	                           	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	S peregrina(RN9)M95	              	138	 848	C	  7	H	 6	  60.00	     61.1000	Moore    	Radiolarians                                 	A              	G                 	R                   	F                       	R                                	R                     	               	R                 	                           	C                    	                     	                      	                 	                      	                         	                          	                   	                      	                         	                       	                     	                                   	                        	                      	                           	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	D. penultima (RN8)	              	138	 848	C	  7	H	CC	  26.00	     63.0200	Moore    	Radiolarians                                 	A              	G                 	R                   	C                       	R                                	R                     	               	R                 	                           	C                    	                     	                      	                 	                      	                         	                          	                   	                      	                         	                       	                     	                                   	                        	                      	                           	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	D. penultima (RN8)	              	138	 848	C	  8	H	 1	  60.00	     63.1000	Moore    	Radiolarians                                 	A              	G                 	F                   	C                       	R                                	R                     	               	R                 	                           	C                    	                     	                      	                 	                      	                         	                          	                   	                      	                         	                       	                     	                                   	                        	                      	                           	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	D. penultima (RN8)	              	138	 848	C	  8	H	CC	  20.00	     72.3200	Moore    	Radiolarians                                 	A              	G                 	R                   	C                       	-                                	R                     	-              	R                 	-                          	                     	                     	                      	                 	                      	                         	                          	                   	                      	                         	                       	                     	                                   	                        	                      	                           	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

