Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pontosphaera spp.,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Reticulofenestra minutula,Pseudoemiliania lacunosa,Gephyrocapsa spp. (small),Gephyrocapsa muellerae,Gephyrocapsa caribbeanica,Gephyrocapsa oceanica,Syracosphaera pulchra,Comment
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A,  5,R, 2,  86.00,    225.2600,Su       ,Nannofossils                                 ,A              ,M-G               ,                 ,T                    ,                      ,                      ,                         ,R                       ,D                        ,F                     ,                         ,                     ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A,  5,R, 3,  50.00,    226.4000,Su       ,Nannofossils                                 ,A              ,M                 ,T                ,F                    ,                      ,                      ,                         ,R                       ,                         ,C                     ,F                        ,                     ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A,  5,R, 4,   8.00,    227.4800,Su       ,Nannofossils                                 ,D              ,M                 ,                 ,F                    ,T                     ,R                     ,                         ,R                       ,D                        ,F                     ,F                        ,                     ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A,  5,R,CC,  15.00,    228.5900,Su       ,Nannofossils                                 ,R              ,M                 ,                 ,F                    ,R                     ,R                     ,                         ,F                       ,A                        ,C                     ,                         ,                     ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A,  6,R, 1,  37.00,    232.8700,Su       ,Nannofossils                                 ,D              ,M                 ,                 ,R                    ,R                     ,F                     ,                         ,R                       ,D                        ,F                     ,                         ,                     ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A,  6,R, 2,  93.00,    234.9300,Su       ,Nannofossils                                 ,R              ,M                 ,                 ,F                    ,                      ,                      ,                         ,                        ,C                        ,C                     ,                         ,                     ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A,  6,R, 3, 105.00,    236.5500,Su       ,Nannofossils                                 ,T              ,P-M               ,                 ,R                    ,                      ,                      ,                         ,                        ,D                        ,F                     ,                         ,                     ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A,  7,R, 1, 134.00,    243.4400,Su       ,Nannofossils                                 ,R              ,M                 ,                 ,R                    ,                      ,                      ,                         ,                        ,A                        ,A                     ,                         ,                     ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A,  7,R, 2,  90.00,    244.5000,Su       ,Nannofossils                                 ,A              ,P-M               ,                 ,R                    ,                      ,                      ,                         ,F                       ,A                        ,C                     ,C                        ,                     ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A,  7,R, 3,   6.00,    245.1600,Su       ,Nannofossils                                 ,P              ,P-M               ,                 ,A                    ,                      ,                      ,                         ,                        ,                         ,                      ,                         ,                     ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A,  7,R,CC,  21.00,    245.7900,Su       ,Nannofossils                                 ,A              ,P-M               ,                 ,R                    ,                      ,                      ,                         ,F                       ,C                        ,F                     ,A                        ,                     ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Cenozoic         ,                 ,                  ,              ,168,1032,A,  8,R, 1, 112.00,    252.8200,Su       ,Nannofossils                                 ,P              ,M                 ,                 ,R                    ,                      ,                      ,                         ,                        ,                         ,C                     ,                         ,                     ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A,  8,R,CC,  13.00,    256.2100,Su       ,Nannofossils                                 ,P              ,P-M               ,                 ,                     ,                      ,                      ,                         ,                        ,                         ,F                     ,                         ,                     ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A, 10,R, 1,  39.00,    271.3900,Su       ,Nannofossils                                 ,P              ,P-M               ,                 ,                     ,                      ,                      ,                         ,                        ,C                        ,                      ,                         ,                     ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A, 10,R, 3,   8.00,    274.0800,Su       ,Nannofossils                                 ,P              ,M                 ,                 ,D                    ,                      ,                      ,                         ,                        ,                         ,                      ,                         ,                     ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A, 10,R,CC,  10.00,    276.8300,Su       ,Nannofossils                                 ,F              ,M-G               ,                 ,A                    ,R                     ,R                     ,F                        ,C                       ,F                        ,                      ,A                        ,                     ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A, 11,R, 1,  30.00,    280.9000,Su       ,Nannofossils                                 ,C              ,M                 ,                 ,R                    ,R                     ,R                     ,F                        ,F                       ,                         ,F                     ,A                        ,                     ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1032,A, 11,R, 2,  34.00,    282.4400,Su       ,Nannofossils                                 ,C              ,M                 ,                 ,A                    ,F                     ,R                     ,F                        ,C                       ,R                        ,R                     ,                         ,                     ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,168,1032,A, 11,R, 3,  46.00,    284.0600,Su       ,Nannofossils                                 ,F              ,P-M               ,F                ,F                    ,A                     ,F                     ,                         ,                        ,                         ,                      ,                         ,                     ,                     ,from unpublished FOSSILIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
