Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Amaurolithus spp.	Reticulofenestra pseudoumbilicus	Calcidiscus macintyrei (>11 um)	Discoaster surculus	Sphenolithus spp.	Discoaster pentaradiatus	Coccolithus pelagicus	Ceratolithus spp.	Ceratolithus acutus	Pseudoemiliania lacunosa	Discoaster triradiatus	Calcidiscus leptoporus	Helicosphaera sellii	Discoaster brouweri	Discoaster tamalis	Ceratolithus telesmus	Ceratolithus rugosus	Helicosphaera carteri	Gephyrocapsa oceanica s.l.	Gephyrocapsa large	Gephyrocapsa (small)	Gephyrocapsa sp. 3	Emiliania huxleyi	Comment
  IR	                 	                 	CN13b             	              	167	1014	A	  8	X	CC	  28.00	     63.3900	Fornaciari	Nannofossils                                 	A              	G                 	                 	                                	                               	                   	                 	                        	                     	                 	                   	C                       	                      	R/F                   	                    	                   	                  	                     	                    	R                    	                          	                  	A                   	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	                  	              	167	1014	A	  9	X	CC	  14.00	     73.5400	Fornaciari	Nannofossils                                 	R              	P                 	                 	                                	                               	                   	                 	                        	                     	                 	                   	+                       	                      	R                     	                    	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN13b             	              	167	1014	A	 10	X	CC	  21.00	     83.1000	Fornaciari	Nannofossils                                 	A              	G                 	                 	                                	                               	                   	                 	                        	                     	R                	                   	A                       	                      	F                     	                    	                   	                  	                     	                    	C                    	                          	                  	A                   	                  	                 	questionable zonal assignment. from IR. Ch 8. Table 5.

  IR	                 	                 	                  	              	167	1014	A	 11	X	CC	  20.00	     92.8300	Fornaciari	Nannofossils                                 	R              	P                 	                 	                                	                               	                   	                 	                        	                     	                 	                   	+                       	                      	R                     	                    	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN13b             	              	167	1014	A	 12	X	CC	  24.00	    102.4400	Fornaciari	Nannofossils                                 	A              	G                 	                 	                                	                               	                   	                 	                        	                     	                 	                   	C                       	                      	C                     	F/C                 	                   	                  	                     	                    	                     	C                         	+                 	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN13b             	              	167	1014	A	 13	X	CC	  30.00	    111.5800	Fornaciari	Nannofossils                                 	A              	G                 	                 	                                	                               	                   	                 	                        	                     	                 	                   	+                       	                      	C                     	+                   	                   	                  	                     	                    	+                    	C                         	R                 	C                   	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	                  	              	167	1014	A	 14	X	CC	 124.00	    120.9700	Fornaciari	Nannofossils                                 	R              	P                 	                 	                                	                               	                   	                 	                        	                     	                 	                   	+                       	                      	R                     	                    	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN13a             	CN13b         	167	1014	A	 15	X	CC	  24.00	    131.2600	Fornaciari	Nannofossils                                 	F              	P                 	                 	                                	                               	                   	                 	                        	                     	                 	                   	C                       	                      	+                     	R                   	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12d             	CN13a         	167	1014	A	 16	X	CC	  28.00	    140.5300	Fornaciari	Nannofossils                                 	F              	P                 	                 	                                	C                              	                   	                 	                        	                     	                 	                   	+                       	                      	                      	R                   	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12d             	CN13a         	167	1014	A	 17	X	CC	  25.00	    150.1700	Fornaciari	Nannofossils                                 	F              	P                 	                 	                                	+                              	                   	                 	                        	F                    	                 	                   	+                       	                      	F                     	R                   	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12d             	CN13a         	167	1014	A	 18	X	CC	  36.00	    159.8200	Fornaciari	Nannofossils                                 	F/C            	P                 	                 	                                	C                              	                   	                 	                        	                     	                 	                   	+                       	                      	F                     	C                   	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12d             	CN13a         	167	1014	A	 19	X	CC	  29.00	    170.0200	Fornaciari	Nannofossils                                 	F/C            	P                 	                 	                                	                               	                   	                 	                        	+                    	                 	                   	+                       	                      	C                     	                    	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12d             	              	167	1014	A	 20	X	CC	  47.00	    177.2300	Fornaciari	Nannofossils                                 	F/C            	P                 	                 	rR                              	C                              	                   	R                	                        	C                    	                 	                   	C                       	RR                    	C                     	                    	RR                 	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12d             	              	167	1014	A	 21	X	CC	  20.00	    187.5200	Fornaciari	Nannofossils                                 	F              	P                 	                 	                                	+                              	                   	                 	                        	                     	                 	                   	+                       	RR                    	+                     	                    	R                  	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12              	              	167	1014	A	 22	X	CC	  14.00	    195.5800	Fornaciari	Nannofossils                                 	C              	M                 	                 	                                	                               	                   	                 	                        	A                    	                 	                   	C                       	                      	C                     	C                   	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12c             	              	167	1014	A	 23	X	CC	  38.00	    205.6800	Fornaciari	Nannofossils                                 	A              	G                 	                 	                                	                               	                   	                 	F                       	C                    	                 	                   	+                       	                      	R                     	C                   	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12b             	              	167	1014	A	 24	X	CC	  42.00	    216.9900	Fornaciari	Nannofossils                                 	F              	P                 	                 	                                	                               	+                  	                 	                        	                     	                 	                   	+                       	                      	                      	                    	+                  	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12b             	              	167	1014	A	 25	X	CC	  21.00	    223.8500	Fornaciari	Nannofossils                                 	F/C            	P/M               	                 	                                	                               	+                  	                 	                        	                     	                 	                   	+                       	                      	                      	                    	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12b             	              	167	1014	A	 26	X	CC	  21.00	    229.6300	Fornaciari	Nannofossils                                 	F/C            	P                 	                 	                                	+                              	F/C                	                 	+                       	                     	                 	                   	+                       	                      	                      	                    	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12b             	              	167	1014	A	 27	X	CC	  44.00	    236.2400	Fornaciari	Nannofossils                                 	F              	P                 	                 	                                	C                              	+                  	                 	                        	                     	                 	                   	+                       	                      	                      	                    	+                  	R                 	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12b             	              	167	1014	A	 28	X	CC	  16.00	    242.3000	Fornaciari	Nannofossils                                 	A              	G                 	                 	                                	+                              	+                  	                 	+                       	                     	                 	                   	                        	                      	F                     	                    	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12b             	              	167	1014	A	 29	X	CC	  15.00	    250.4000	Fornaciari	Nannofossils                                 	A              	G                 	                 	                                	                               	+                  	                 	+                       	                     	+                	                   	                        	                      	                      	                    	                   	                  	                     	                    	+                    	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12b             	              	167	1014	A	 30	X	CC	  13.00	    256.6400	Fornaciari	Nannofossils                                 	A              	M/G               	                 	                                	                               	F                  	                 	R                       	                     	R                	                   	+                       	                      	C                     	+                   	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12a             	              	167	1014	A	 31	X	CC	   9.00	    265.2700	Fornaciari	Nannofossils                                 	A              	G                 	                 	                                	                               	F                  	                 	F                       	C                    	                 	                   	                        	                      	+                     	                    	                   	+                 	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12a             	              	167	1014	A	 32	X	CC	  66.00	    272.7300	Fornaciari	Nannofossils                                 	A              	G                 	                 	                                	                               	F                  	                 	C                       	                     	                 	+                  	                        	                      	                      	                    	                   	C                 	R                    	R                   	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12a             	              	167	1014	A	 33	X	CC	  42.00	    282.6600	Fornaciari	Nannofossils                                 	A              	G                 	                 	R                               	                               	                   	                 	R                       	                     	                 	                   	R                       	                      	C                     	                    	+                  	F                 	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12a             	              	167	1014	A	 34	X	CC	  22.00	    295.1000	Fornaciari	Nannofossils                                 	A              	G                 	                 	                                	C                              	                   	                 	R                       	                     	                 	                   	                        	                      	                      	+                   	R                  	R/F               	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12a             	              	167	1014	A	 35	X	CC	  21.00	    304.0700	Fornaciari	Nannofossils                                 	A              	G                 	                 	                                	C                              	R                  	                 	R                       	C                    	                 	                   	+                       	                      	F                     	                    	+                  	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12a             	              	167	1014	A	 36	X	CC	  37.00	    314.3600	Fornaciari	Nannofossils                                 	A              	M                 	                 	                                	+                              	+                  	                 	+                       	                     	                 	R                  	                        	                      	F                     	                    	                   	F                 	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12a             	              	167	1014	A	 37	X	CC	  32.00	    324.0100	Fornaciari	Nannofossils                                 	A              	M/G               	                 	                                	+                              	R                  	                 	R                       	                     	                 	                   	+                       	                      	+                     	                    	                   	R                 	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12a             	              	167	1014	A	 38	X	CC	  23.00	    333.3300	Fornaciari	Nannofossils                                 	A              	G                 	                 	                                	C                              	R                  	                 	R                       	                     	                 	                   	+                       	R                     	C                     	                    	R                  	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12a             	              	167	1014	A	 39	X	CC	  26.00	    341.8400	Fornaciari	Nannofossils                                 	A              	G                 	                 	                                	C                              	                   	                 	R                       	                     	                 	                   	+                       	                      	                      	R                   	F                  	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN10b             	CN10c         	167	1014	A	 40	X	CC	  40.00	    352.9200	Fornaciari	Nannofossils                                 	A              	M/G               	R                	R/F                             	C                              	F                  	+                	                        	                     	R                	                   	+                       	R                     	+                     	                    	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN10b             	CN10c         	167	1014	A	 41	X	CC	  20.00	    359.8000	Fornaciari	Nannofossils                                 	A              	M                 	R                	C                               	                               	                   	                 	                        	                     	                 	F                  	                        	                      	                      	                    	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN10b             	CN10c         	167	1014	A	 42	X	CC	  12.00	    372.1400	Fornaciari	Nannofossils                                 	A              	G                 	F                	C                               	                               	                   	                 	R                       	+                    	C                	                   	                        	                      	                      	                    	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN9               	CN10a         	167	1014	A	 44	X	CC	  72.00	    391.8900	Fornaciari	Nannofossils                                 	A              	M                 	C                	C                               	+                              	                   	C                	                        	                     	                 	                   	                        	                      	                      	                    	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN9               	CN10a         	167	1014	A	 45	X	CC	 119.00	    400.9400	Fornaciari	Nannofossils                                 	A              	M                 	C                	C                               	+                              	                   	                 	                        	                     	                 	                   	                        	                      	                      	                    	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN9               	CN10a         	167	1014	A	 46	X	CC	  39.00	    410.6700	Fornaciari	Nannofossils                                 	C/A            	P/M               	R/F              	C                               	                               	+                  	                 	                        	                     	                 	                   	                        	                      	                      	                    	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN9               	CN10a         	167	1014	A	 47	X	CC	  46.00	    419.8700	Fornaciari	Nannofossils                                 	R              	P                 	+                	+                               	+                              	                   	                 	                        	                     	                 	                   	                        	                      	                      	                    	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN9               	CN10a         	167	1014	A	 48	X	CC	  30.00	    427.5500	Fornaciari	Nannofossils                                 	RR             	P                 	+                	                                	                               	                   	                 	                        	                     	                 	                   	                        	                      	                      	                    	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN9               	CN10a         	167	1014	A	 49	X	CC	  36.00	    438.8000	Fornaciari	Nannofossils                                 	R              	P                 	+                	                                	                               	                   	                 	                        	                     	                 	                   	                        	                      	                      	                    	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN9               	CN10a         	167	1014	A	 50	X	CC	  28.00	    447.3600	Fornaciari	Nannofossils                                 	RR             	P                 	+                	                                	                               	                   	                 	                        	                     	                 	                   	                        	                      	                      	                    	                   	                  	                     	                    	                     	                          	                  	                    	                  	                 	from IR. Ch 8. Table 5.

