Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triceratium schultzii	Stephanopyxis turris intermedia	Stephanopyxis tunis var. cylindrus	Stephanopyxis sp.	Sceptroneis sp.	Rhizosolenia cretacea	Pterotheca kittoniana	Paralia sulcata	Hemiaulus ? velatus	Hemiaulus sp. 2	Hemiaulus sp. 1	Hemiaulus rossicus	Hemiaulus peripterus	Grunowiella palaeocaenica var. alternans	Grunowiella gemmata	Goniothecium spp.	Coscinodiscus argus	Xanthiopyxis sp. aff. X.structuralis	Xanthiopyxis sp.	Trinacria senta	Trinacria deciusii	Stellarima primalabiata	Sphynctolethus hemiauloides	Sceptroneis sp. 1	Hemiaulus polymorphus var. charkovianus	Hemiaulus incisus	Grunowiella palaeocaenica var. palaeocaenica	Ethmodiscus sp. (fragments)	? Hemiaulus sp. 4	? Hemiaulus oonkii	? Hemiaulus beatus	Trinacria aries	Pterotheca evermanni	Pseudopodosira simplex	Coscinodiscus cruxii	Stellarima microtrias	Pterotheca clavata	Hemiaulus sp.	Diatom gen. et sp. indet. 1	Trinacria pileolus	Trinacria conifera	Sceptroneis ligulatus	Hemiaulus sp. aff. H.grassus	Coscinodiscus bulliens	Acanthodiscus spp.	? Hemiaulus sp.	Trinacria sp.	Stephanopyxis marginata	Pterotheca aculeifera	Pseudopodosira bella	Odontotropis sp.	Acanthosphaeridium reticulatum	Xanthiopyxis sp. 2	Trochosira sp.	Trochosira marginata	Trinacria simulacroides	Stephanopyxis sp. 1	Rhizosolenia hebetata var.	Pseudostictodiscus angulatus	Pseudopyxilla russica	Eunotogramma spp.	Stephanopyxis sp. 2	Hyalodiscus ambiguus	Hemiaulus ? ciesielskii	Hemiaulus sp. F (Harwood 1988)	Anaulus spp.	Hemiaulus sp. 3	Hemiaulus fragilis	Arachnoidiscus spp.	Pseudopyxilla tempereana	Trochosira radiata	Hemiaulus sp. aff. H.speciosus	Triceratium mirabile	Stephanopyxis schulzii	Stephanopyxis discrepans	Hyalodiscus sp.	Hemiaulus subacutus	Hemiaulus kristofferseni	Trochosira sp. aff. T.mirabilis	Trochosira gracillima	Coscinodiscus uralensis	Hemiaulus sp. 5	Hemiaulus nocchiae	Hemiaulus inequilaterus	? Chaetaceros clavigerus	Hemiaulus elegans var. intermedia	Triceratium gombosii	Hemiaulus altus	Odontotropis cristata	Hyalodiscus sp. (oval)	Hemiaulus inaequilaterus var.	Triceratium cellulosum	? Hemiaulus fragilis	Hemiaulus sp. 4	Pseudostictodiscus sp.	Hemiaulus ?  conicus	Hemiaulus incurvus	Coscinodiscus sp.	Pterotheca aculeifera var. spinosa	Melosira sp. 1	Hemiaulus affinis	Trinacria excavata	Pterotheca sp. 1	Comment

  SR	                 	                 	                  	              	114	 700	B	 27	R	 1	  30.00	    247.8000	Fenner   	Diatoms                                      	               	P/M               	                     	C                              	C                                 	                 	S              	S                    	                     	F              	R                  	               	               	                  	                    	                                        	F                  	                 	                   	S                                   	F               	               	R                 	                       	                           	R                	                                       	                 	                                            	                           	                 	R                 	                  	R              	                    	                      	                    	                     	R                 	F            	S                          	                  	                  	S                    	F                           	                      	                  	               	             	                       	S                    	F                   	                	R                             	                  	              	F                   	R                      	                   	S                         	R                           	                     	                 	                   	                    	F                      	                              	S           	               	                  	                   	                        	                  	                              	                    	                      	R                       	               	                   	F                       	F                              	F                    	                       	               	                  	                       	F                       	                                 	                    	               	                     	                      	C                            	S                     	                    	               	                      	                    	R                 	                 	                                  	              	R                	S                 	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 27	R	 1	 120.00	    248.7000	Fenner   	Diatoms                                      	               	P/M               	                     	C                              	A                                 	                 	               	                     	R                    	R              	F                  	               	               	                  	                    	                                        	                   	                 	                   	                                    	F               	               	                  	R                      	                           	                 	                                       	R                	F                                           	                           	                 	R                 	                  	               	                    	                      	                    	                     	                  	             	S                          	                  	                  	                     	                            	                      	                  	               	             	                       	R                    	                    	S               	                              	                  	R             	S                   	                       	                   	                          	                            	                     	F                	                   	R                   	C                      	                              	            	               	                  	                   	                        	                  	R                             	R                   	                      	                        	               	F                  	F                       	F                              	                     	                       	               	                  	                       	F                       	                                 	F                   	               	                     	                      	C                            	                      	                    	F              	                      	                    	F                 	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 27	R	CC	   9.00	    249.4100	Fenner   	Diatoms                                      	               	P/M               	                     	F                              	F                                 	                 	               	                     	                     	               	F                  	               	               	                  	                    	                                        	                   	                 	C                  	                                    	                	               	F                 	                       	                           	                 	                                       	F                	F                                           	                           	                 	F                 	                  	F              	                    	                      	                    	                     	S                 	             	                           	                  	                  	                     	                            	                      	                  	               	R            	                       	                     	S                   	                	                              	                  	F             	                    	                       	                   	                          	                            	                     	                 	                   	S                   	R                      	                              	            	               	                  	                   	                        	                  	R                             	                    	                      	                        	S              	C                  	F                       	                               	                     	                       	               	                  	                       	                        	                                 	F                   	               	                     	                      	R                            	                      	                    	F              	                      	F                   	R                 	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 28	R	 1	 130.00	    258.3000	Fenner   	Diatoms                                      	               	P/M               	                     	A                              	F                                 	                 	S              	                     	                     	F              	C                  	               	               	                  	                    	                                        	                   	                 	R                  	                                    	R               	               	C                 	                       	                           	                 	                                       	R                	                                            	                           	                 	R                 	                  	R              	                    	                      	                    	                     	S                 	             	S                          	                  	                  	                     	                            	                      	                  	               	             	                       	S                    	                    	                	                              	                  	F             	R                   	R                      	                   	                          	                            	                     	                 	                   	R                   	R                      	                              	            	R              	                  	                   	                        	                  	R                             	S                   	                      	                        	S              	F                  	F                       	R                              	                     	                       	               	R                 	                       	R                       	                                 	S                   	               	                     	                      	R                            	                      	                    	R              	                      	C                   	R                 	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 28	R	 2	  16.00	    258.6600	Fenner   	Diatoms                                      	               	P/M               	                     	A                              	C                                 	                 	S              	                     	                     	C              	F                  	               	               	                  	                    	                                        	                   	                 	F                  	                                    	                	               	C                 	R                      	                           	                 	                                       	                 	                                            	R                          	                 	F                 	                  	F              	                    	                      	                    	                     	                  	F            	                           	                  	                  	                     	A                           	                      	                  	               	             	                       	                     	                    	                	                              	                  	              	F                   	                       	                   	                          	                            	                     	                 	                   	F                   	F                      	                              	            	               	                  	                   	                        	                  	                              	                    	                      	                        	F              	                   	F                       	R                              	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	                             	                      	S                   	               	                      	C                   	S                 	                 	                                  	              	R                	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 28	R	 2	 130.00	    259.8000	Fenner   	Diatoms                                      	               	P                 	                     	F                              	C                                 	                 	R              	                     	                     	               	F                  	               	               	                  	                    	                                        	                   	                 	                   	                                    	F               	               	F                 	                       	                           	                 	                                       	R                	R                                           	                           	                 	R                 	                  	               	                    	                      	                    	                     	                  	             	                           	                  	                  	                     	                            	                      	                  	               	             	                       	                     	                    	                	                              	                  	              	                    	                       	                   	                          	R                           	                     	                 	                   	                    	                       	                              	            	               	                  	                   	                        	                  	                              	                    	                      	                        	R              	F                  	F                       	                               	                     	                       	               	                  	                       	F                       	                                 	                    	               	                     	                      	F                            	                      	                    	C              	                      	F                   	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 28	R	 3	 130.00	    261.3000	Fenner   	Diatoms                                      	               	P                 	                     	F                              	C                                 	                 	               	                     	                     	F              	F                  	               	               	                  	                    	F                                       	R                  	S                	C                  	                                    	F               	               	                  	R                      	                           	                 	                                       	R                	F                                           	                           	                 	F                 	                  	F              	                    	S                     	                    	                     	R                 	             	S                          	                  	                  	                     	                            	                      	                  	               	             	                       	                     	S                   	S               	                              	                  	F             	                    	                       	                   	                          	                            	                     	                 	                   	R                   	S                      	                              	            	               	                  	                   	                        	                  	                              	C                   	                      	                        	               	C                  	F                       	F                              	                     	                       	               	                  	                       	R                       	                                 	                    	               	                     	                      	F                            	                      	                    	R              	                      	R                   	R                 	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 28	R	 4	 130.00	    262.8000	Fenner   	Diatoms                                      	               	P                 	                     	R                              	A                                 	                 	               	                     	                     	C              	                   	               	               	                  	                    	                                        	                   	                 	F                  	                                    	F               	               	F                 	R                      	                           	                 	                                       	                 	F                                           	                           	                 	R                 	                  	F              	                    	                      	                    	                     	S                 	             	                           	                  	                  	                     	R                           	                      	                  	               	             	                       	                     	                    	                	                              	                  	F             	F                   	                       	                   	                          	                            	                     	                 	                   	R                   	                       	                              	            	               	                  	                   	                        	                  	                              	                    	                      	                        	               	R                  	F                       	R                              	                     	                       	               	                  	                       	F                       	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	                    	                  	                 	F                                 	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 28	R	CC	  14.00	    263.3300	Fenner   	Diatoms                                      	               	P                 	S                    	R                              	C                                 	                 	               	S                    	                     	F              	R                  	               	               	                  	                    	                                        	F                  	R                	C                  	                                    	R               	               	F                 	F                      	                           	                 	                                       	F                	F                                           	                           	                 	F                 	                  	F              	                    	                      	                    	R                    	                  	             	R                          	                  	                  	                     	F                           	                      	                  	               	             	                       	                     	S                   	                	S                             	                  	F             	F                   	                       	                   	                          	S                           	                     	                 	                   	                    	                       	R                             	            	               	                  	                   	                        	                  	                              	F                   	                      	                        	               	F                  	F                       	F                              	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	F                            	                      	                    	               	                      	F                   	R                 	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 29	R	 1	  24.00	    266.7400	Fenner   	Diatoms                                      	               	P                 	F                    	F                              	A                                 	                 	               	                     	                     	               	                   	               	               	                  	                    	                                        	F                  	                 	F                  	                                    	                	               	F                 	R                      	                           	                 	                                       	                 	F                                           	                           	                 	                  	                  	F              	                    	                      	F                   	                     	S                 	             	                           	                  	                  	                     	R                           	                      	                  	               	             	                       	                     	                    	                	S                             	                  	F             	F                   	                       	                   	                          	                            	                     	                 	                   	                    	                       	                              	F           	               	                  	                   	                        	                  	                              	F                   	                      	                        	F              	R                  	F                       	                               	                     	                       	               	                  	                       	R                       	                                 	                    	               	                     	                      	R                            	                      	                    	               	                      	F                   	                  	                 	F                                 	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 29	R	 2	  10.00	    268.1000	Fenner   	Diatoms                                      	               	P                 	F                    	F                              	A                                 	                 	               	                     	                     	               	                   	               	               	                  	                    	                                        	                   	                 	F                  	                                    	                	               	R                 	R                      	                           	                 	                                       	F                	C                                           	                           	                 	F                 	                  	F              	                    	                      	                    	                     	                  	             	                           	                  	                  	                     	F                           	                      	                  	               	             	                       	                     	S                   	                	                              	                  	              	                    	                       	                   	                          	                            	                     	                 	                   	                    	                       	                              	R           	               	                  	                   	                        	                  	                              	F                   	                      	                        	               	R                  	F                       	R                              	                     	                       	               	                  	                       	R                       	                                 	                    	               	                     	                      	                             	                      	                    	               	                      	S                   	F                 	                 	S                                 	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 29	R	 2	 122.00	    269.2200	Fenner   	Diatoms                                      	               	P                 	F                    	F                              	D                                 	                 	S              	                     	                     	S              	R                  	               	               	S                 	                    	                                        	F                  	                 	R                  	                                    	S               	               	                  	F                      	                           	R                	                                       	                 	F                                           	                           	                 	R                 	                  	F              	                    	                      	                    	                     	                  	F            	                           	                  	                  	                     	F                           	                      	                  	               	             	                       	                     	                    	                	S                             	                  	              	F                   	                       	                   	                          	                            	                     	                 	                   	R                   	                       	                              	            	               	                  	                   	                        	S                 	                              	C                   	                      	S                       	               	                   	R                       	                               	S                    	                       	R              	R                 	R                      	R                       	                                 	R                   	               	                     	                      	F                            	S                     	                    	               	                      	F                   	F                 	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 29	R	CC	   3.00	    269.3700	Fenner   	Diatoms                                      	               	P                 	F                    	F                              	A                                 	R                	               	                     	                     	               	                   	               	               	                  	                    	                                        	                   	                 	R                  	                                    	R               	               	F                 	F                      	                           	                 	                                       	                 	C                                           	                           	                 	F                 	                  	F              	                    	R                     	                    	                     	                  	             	                           	                  	                  	                     	F                           	                      	                  	               	             	                       	                     	                    	                	                              	                  	F             	                    	                       	                   	                          	                            	                     	                 	                   	                    	                       	                              	            	               	                  	                   	                        	                  	                              	R                   	                      	                        	R              	F                  	                        	                               	                     	                       	               	                  	                       	F                       	                                 	                    	               	                     	                      	F                            	                      	                    	               	                      	F                   	F                 	                 	S                                 	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 29	R	CC	  18.00	    269.5200	Fenner   	Diatoms                                      	               	P                 	F                    	F                              	A                                 	                 	               	                     	                     	               	R                  	               	               	                  	                    	R                                       	                   	S                	F                  	                                    	                	               	R                 	F                      	                           	                 	                                       	                 	A                                           	                           	                 	F                 	                  	F              	                    	                      	                    	                     	                  	             	                           	                  	                  	                     	F                           	                      	                  	               	             	                       	                     	R                   	                	                              	                  	F             	F                   	                       	                   	                          	                            	S                    	                 	                   	R                   	                       	                              	S           	               	                  	                   	                        	                  	                              	R                   	                      	                        	               	F                  	F                       	R                              	                     	                       	               	                  	                       	R                       	                                 	                    	               	                     	                      	F                            	R                     	                    	               	                      	F                   	F                 	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 30	R	 1	   3.00	    276.0300	Fenner   	Diatoms                                      	               	M/G               	C                    	F                              	A                                 	                 	               	                     	                     	               	F                  	               	               	                  	                    	R                                       	R                  	                 	F                  	                                    	R               	               	R                 	F                      	                           	                 	                                       	F                	A                                           	                           	                 	C                 	                  	F              	                    	                      	                    	                     	                  	F            	                           	                  	                  	                     	                            	                      	                  	               	             	                       	                     	                    	                	                              	                  	F             	R                   	                       	                   	                          	R                           	                     	                 	                   	R                   	                       	                              	            	R              	                  	                   	                        	                  	R                             	F                   	                      	                        	R              	F                  	F                       	                               	                     	                       	               	R                 	                       	F                       	                                 	                    	               	                     	                      	F                            	                      	                    	               	                      	                    	R                 	                 	R                                 	R             	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 30	R	 1	  27.00	    276.2700	Fenner   	Diatoms                                      	               	M                 	R                    	F                              	A                                 	                 	R              	                     	                     	               	R                  	               	               	                  	                    	R                                       	S                  	                 	F                  	                                    	F               	               	C                 	F                      	S                          	                 	                                       	R                	C                                           	                           	                 	R                 	                  	R              	                    	                      	                    	                     	                  	             	S                          	                  	                  	                     	                            	                      	                  	S              	             	                       	                     	                    	                	                              	                  	F             	R                   	R                      	                   	                          	                            	S                    	                 	                   	F                   	                       	                              	            	R              	                  	                   	                        	                  	                              	F                   	                      	                        	R              	F                  	R                       	                               	                     	                       	R              	R                 	                       	R                       	                                 	                    	               	                     	                      	F                            	                      	R                   	               	                      	R                   	S                 	R                	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 30	R	 1	 107.00	    277.0700	Fenner   	Diatoms                                      	               	P                 	                     	R                              	A                                 	                 	               	                     	                     	               	                   	               	               	                  	                    	                                        	                   	                 	F                  	                                    	F               	               	                  	F                      	                           	                 	                                       	R                	C                                           	                           	                 	R                 	                  	R              	                    	                      	                    	                     	                  	             	                           	                  	                  	                     	                            	                      	                  	               	             	                       	                     	                    	                	                              	                  	              	R                   	                       	                   	                          	R                           	                     	                 	                   	F                   	                       	                              	R           	               	                  	                   	                        	                  	                              	F                   	                      	                        	R              	R                  	F                       	F                              	                     	                       	               	                  	                       	F                       	                                 	                    	               	                     	                      	R                            	R                     	                    	               	F                     	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 30	R	 2	   7.00	    277.5700	Fenner   	Diatoms                                      	               	P                 	F                    	F                              	A                                 	                 	               	                     	                     	               	R                  	               	               	                  	                    	R                                       	                   	                 	F                  	                                    	R               	               	C                 	F                      	                           	                 	                                       	                 	C                                           	                           	                 	F                 	                  	R              	                    	                      	                    	                     	S                 	             	                           	                  	                  	                     	                            	                      	                  	               	             	                       	                     	                    	                	                              	                  	              	R                   	                       	                   	                          	R                           	                     	                 	                   	                    	                       	                              	            	               	                  	                   	                        	                  	                              	F                   	                      	                        	               	F                  	F                       	R                              	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	F                            	                      	R                   	               	R                     	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 30	R	 2	  27.00	    277.7700	Fenner   	Diatoms                                      	               	P                 	                     	F                              	A                                 	                 	R              	                     	                     	               	F                  	               	               	                  	                    	R                                       	R                  	                 	F                  	                                    	                	               	R                 	F                      	                           	                 	R                                      	                 	F                                           	                           	                 	R                 	                  	               	                    	R                     	                    	S                    	R                 	             	R                          	                  	                  	                     	R                           	                      	                  	               	             	                       	S                    	S                   	                	                              	                  	R             	F                   	S                      	                   	                          	S                           	                     	                 	                   	R                   	                       	                              	            	F              	                  	                   	                        	                  	                              	F                   	                      	                        	R              	                   	F                       	                               	                     	                       	               	                  	                       	                        	                                 	                    	               	                     	                      	F                            	                      	F                   	R              	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 30	R	 2	  97.00	    278.4700	Fenner   	Diatoms                                      	               	P                 	                     	R                              	C                                 	R                	               	R                    	                     	               	F                  	               	               	                  	                    	R                                       	                   	                 	F                  	                                    	F               	               	F                 	F                      	R                          	                 	                                       	                 	C                                           	                           	                 	R                 	                  	F              	                    	R                     	                    	                     	R                 	             	F                          	                  	                  	                     	                            	                      	                  	               	             	                       	R                    	                    	                	                              	                  	F             	                    	                       	                   	                          	                            	                     	                 	                   	                    	                       	                              	            	F              	                  	                   	                        	                  	                              	F                   	                      	                        	F              	                   	F                       	                               	                     	                       	               	                  	                       	                        	                                 	                    	S              	                     	                      	F                            	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 30	R	 2	 120.00	    278.7000	Fenner   	Diatoms                                      	               	P                 	                     	F                              	D                                 	                 	S              	                     	                     	S              	F                  	               	               	                  	                    	                                        	F                  	                 	F                  	                                    	R               	               	F                 	F                      	                           	R                	                                       	                 	F                                           	                           	                 	R                 	R                 	R              	                    	                      	                    	                     	S                 	F            	S                          	                  	                  	                     	F                           	                      	                  	               	             	                       	S                    	F                   	                	S                             	                  	              	F                   	                       	                   	                          	S                           	S                    	                 	                   	F                   	                       	                              	            	               	                  	                   	                        	                  	                              	C                   	                      	                        	               	                   	S                       	F                              	S                    	                       	R              	R                 	R                      	R                       	                                 	                    	               	                     	                      	F                            	S                     	S                   	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

  SR	                 	                 	                  	              	114	 700	B	 30	R	 3	  27.00	    279.2700	Fenner   	Diatoms                                      	               	P                 	                     	F                              	D                                 	                 	F              	                     	S                    	S              	F                  	               	               	                  	                    	R                                       	R                  	                 	F                  	                                    	R               	               	R                 	F                      	                           	                 	                                       	                 	S                                           	                           	                 	                  	                  	               	                    	S                     	                    	                     	                  	S            	                           	                  	                  	                     	                            	                      	                  	R              	             	                       	                     	R                   	                	                              	                  	R             	F                   	S                      	                   	                          	                            	                     	                 	                   	                    	                       	                              	            	R              	                  	                   	                        	                  	                              	C                   	                      	                        	               	                   	                        	                               	                     	                       	               	                  	                       	                        	                                 	                    	               	S                    	                      	F                            	                      	                    	               	                      	                    	                  	                 	                                  	              	                 	                  	                	from ODP Leg 114 SR Chapter 6 Table 3 p.130-133

