Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeugrhabdotus elegans	Zeugrhabdotus acanthus	Watznaueria supracretacea	Watznaueria ovata	Watznaueria barnesae	Tranolithus gabalus	Tranolithus exiguus	Stoverius achylosus	Rotelapillus laffittei	Rhagodiscus angustus	Radiolithus planus	Radiolithus orbiculatus	Quadrum intermedium	Quadrum gartneri	Quadrum eneabrachium	Prediscosphaera spinosa	Prediscosphaera intercisa	Prediscosphaera columnata	Prediscosphaera cantabrigensis	Parhabdolithus melanoarachnion	Microrhabdulus decoratus	Manivitella pemmatoidea	Glaukolithus diplogrammus	Gephyrorhabdus coronadventis	Gartnerago obliquum (small)	Gartnerago obliquum	Eprolithus octopetalus	Eprolithus floralis	Eprolithus eptapetalus	Eiffellithus turriseiffelii (form 2)	Eiffellithus turriseiffelii	Cribrosphaerella ehrenbergii	Corollithion signum	Corollithion exiguum	Chiastozygus platyrhethus	Broinsonia dentata	Biscutum constans	Axopodorhabdus albianus	Amphizygus brooksii	Ahmuellerella octoradiata	Watznaueria biporta	Microstaurus ficula	Microrhabdulus belgicus	Laguncula sp.	Kamptnerius tabulatus	Discorhabdus ignotus	Aspidolithus bevieri	Zeugrhabdotus pseudanthophorus	Stradneria crenulata	Stoverius coronatus	Scampanella cornuta	Prediscosphaera ponticula	Marthasterites furcatus	Lithraphidites carniolensis	Lithastrinus septenarius	Liliasterites atlanticus	Glaukolithus bicrescenticus	Gartnerago diversum	Flabellites oblongus	Eiffellithus eximius	Helicolithus trabeculatus	Cretarhabdus conicus	Rhagodiscus splendens	Quadrum eptabrachium	Placozygus fibuliformis	Rotelapillus crenulatus	Prediscosphaera cretacea	Stoverius asymmetricus	Zeugrhabdotus sp. cf. Z. erectus	Tranolithus phacelosus	Stoverius biarcus	Micula decussata 1	Chiastozygus litterarius	Prediscosphaera honjoi	Micula decussata 2	Micula concava	Tranolithus minimus	Lithastrinus grillii	Vekshinella stradnerii	Reinhardtites anthophorus	Ahmuellerella regularis	Eiffellithus gorkae	Calculites obscurus	Toweius eminens	Sphenolithus primus	Rhomboaster bitrifida	Hornibrookina australis	Heliolithus riedelii	Heliolithus megastypus	Heliolithus kleinpellii	Fasciculithus tympaniformis	Fasciculithus lillianae	Discoaster multiradiatus	Chiasmolithus bidens	Toweius pertusus	Placozygus sigmoides	Ericsonia robusta	Ellipsolithus macellus	Discoaster mohleri	Cruciplacolithus frequens	Chiasmolithus consuetus	Chiasmolithus californicus	Fasciculithus richardii	Zygodiscus herlynii	Toweius tovae	Neochiastozygus junctus	Cruciplacolithus tenuis	Markalius inversus	Discoaster nobilis	Ellipsolithus lajollaensis	Discoaster delicatus	Coccolithus eopelagicus	Bomolithus conicus	Discoaster lenticularis	Reticulofenestra umbilica	Fasciculithus involutus	Coccolithus pelagicus	Campylosphaera dela	Tribrachiatus bramlettei	Lophodolithus mochlophorus	Ellipsolithus distichus	Discoaster salisburgensis	Discoaster diastypus	Tribrachiatus contortus	Discoaster binodosus	Discoaster barbadiensis	Chiasmolithus grandis	Chiasmolithus eograndis	Tribrachiatus orthostylus	Toweius magnicrassus	Sphenolithus radians	Discoaster tanii	Discoaster lodoensis	Discoaster kuepperi	Cyclicargolithus gammation	Coccolithus formosus	Chiasmolithus solitus	Neococcolithes dubius	Helicosphaera seminulum	Helicosphaera lophota	Discoaster nodifer	Discoaster sublodoensis	Discoaster elegans	Chiasmolithus expansus	Discoaster saipanensis	Coccolithus staurion	Chiasmolithus gigas	Reticulofenestra dictyoda	Pseudotriquetrorhabdulus inversus	Nannotetrina fulgens	Lophodolithus nascens	Sphenolithus spiniger	Nannotetrina pappii	Sphenolithus elongatus	Pontosphaera multipora	Sphenolithus moriformis	Sphenolithus furcatolithoides	Nannotetrina cristata	Discoaster deflandrei	Discoaster wemmelensis	Cyclicargolithus luminis	Discoaster strictus	Reticulofenestra samodurovii	Zygrhablithus bijugatus	Helicosphaera dinesenii	Helicosphaera papillata	Discoaster bifax	Helicosphaera obliqua	Dictyococcites scrippsae	Chiasmolithus nitidus	Cyclicargolithus reticulatus	Daktylethra punctulata	Dictyococcites bisectus	Sphenolithus pseudoradians	Reticulofenestra lockerii	Cyclicargolithus floridanus	Sphenolithus predistentus	Sphenolithus distentus	Helicosphaera truempyi	Comment

  SR	Middle Eocene    	Late Eocene      	CP14b             	CP15a         	159	 959	D	 15	R	 1	  50.00	    542.9000	Shafik   	Nannofossils                                 	F              	P                 	                     	                      	                         	                 	                    	                   	                   	                   	                      	                    	                  	                       	                   	                	                    	                       	                         	                         	                              	                              	                        	                       	                         	                            	                           	                   	                      	                   	                      	                                    	                           	                            	                   	                    	                         	                  	                 	                       	                   	                         	                   	                   	                       	             	                     	                    	                    	                              	                    	                   	                   	                         	                       	                           	                        	                        	                           	                   	                    	                    	                         	                    	                     	                    	                       	                       	                        	                      	                                	                      	                 	                  	                        	                      	                  	              	                   	                    	                      	                         	                       	                   	                   	               	                   	                     	                       	                    	                      	                       	                           	                       	                        	                    	                	                    	                 	                      	                  	                         	                       	                          	                       	                   	             	                       	                       	                  	                  	                          	                    	R                      	                  	                       	R                        	                       	                     	                   	                        	                          	                       	                         	                    	                       	                    	C                      	                     	                       	                         	                    	                    	F               	                    	                   	                          	                    	                     	                     	                       	                     	F                 	                       	                  	                      	A                     	                    	                   	                         	                                 	                    	                     	                     	                   	                      	                      	                       	                             	                     	                     	                      	                        	                   	                            	                       	                       	                       	                	                     	R                       	                     	                            	                      	R                      	                          	                         	                           	                         	                      	                      	Uncertain zone and age assignments. from Leg 159 Ch 32 Table 2

  SR	Middle Eocene    	Late Eocene      	CP14b             	CP15a         	159	 959	D	 15	R	CC	  16.00	    543.5300	Shafik   	Nannofossils                                 	R              	P                 	                     	                      	                         	                 	                    	                   	                   	                   	                      	                    	                  	                       	                   	                	                    	                       	                         	                         	                              	                              	                        	                       	                         	                            	                           	                   	                      	                   	                      	                                    	                           	                            	                   	                    	                         	                  	                 	                       	                   	                         	                   	                   	                       	             	                     	                    	                    	                              	                    	                   	                   	                         	                       	                           	                        	                        	                           	                   	                    	                    	                         	                    	                     	                    	                       	                       	                        	                      	                                	                      	                 	                  	                        	                      	                  	              	                   	                    	                      	                         	                       	                   	                   	               	                   	                     	                       	                    	                      	                       	                           	                       	                        	                    	                	                    	                 	                      	                  	                         	                       	                          	                       	                   	             	                       	                       	                  	                  	                          	                    	                       	                  	                       	VR                       	                       	VR                   	                   	                        	                          	                       	                         	                    	                       	                    	                       	                     	                       	                         	                    	                    	                	                    	                   	                          	                    	                     	                     	                       	                     	                  	                       	                  	                      	VR                    	                    	                   	VR                       	                                 	                    	                     	                     	                   	                      	                      	                       	                             	                     	VR                   	                      	                        	                   	                            	                       	                       	                       	                	                     	                        	                     	                            	                      	                       	                          	                         	                           	                         	                      	                      	Uncertain zone and age assignments. from Leg 159 Ch 32 Table 2

  SR	Middle Eocene    	Late Eocene      	CP14b             	CP15a         	159	 959	D	 16	R	 2	  46.00	    554.0600	Shafik   	Nannofossils                                 	T              	P                 	                     	                      	                         	                 	                    	                   	                   	                   	                      	                    	                  	                       	                   	                	                    	                       	                         	                         	                              	                              	                        	                       	                         	                            	                           	                   	                      	                   	                      	                                    	                           	                            	                   	                    	                         	                  	                 	                       	                   	                         	                   	                   	                       	             	                     	                    	                    	                              	                    	                   	                   	                         	                       	                           	                        	                        	                           	                   	                    	                    	                         	                    	                     	                    	                       	                       	                        	                      	                                	                      	                 	                  	                        	                      	                  	              	                   	                    	                      	                         	                       	                   	                   	               	                   	                     	                       	                    	                      	                       	                           	                       	                        	                    	                	                    	                 	                      	                  	                         	                       	                          	                       	                   	             	                       	                       	                  	                  	                          	                    	VR                     	                  	                       	                         	                       	                     	                   	                        	                          	                       	                         	                    	                       	                    	R                      	                     	                       	                         	                    	                    	                	                    	                   	                          	                    	                     	                     	                       	                     	                  	                       	                  	                      	                      	                    	                   	                         	                                 	                    	                     	                     	                   	                      	                      	                       	                             	                     	                     	                      	                        	                   	                            	                       	                       	                       	                	                     	                        	                     	                            	                      	                       	                          	                         	                           	                         	                      	                      	Uncertain zone and age assignments. from Leg 159 Ch 32 Table 2

  SR	Middle Eocene    	Late Eocene      	CP14b             	CP15a         	159	 959	D	 16	R	 4	  48.00	    557.0800	Shafik   	Nannofossils                                 	F              	P                 	                     	                      	                         	                 	                    	                   	                   	                   	                      	                    	                  	                       	                   	                	                    	                       	                         	                         	                              	                              	                        	                       	                         	                            	                           	                   	                      	                   	                      	                                    	                           	                            	                   	                    	                         	                  	                 	                       	                   	                         	                   	                   	                       	             	                     	                    	                    	                              	                    	                   	                   	                         	                       	                           	                        	                        	                           	                   	                    	                    	                         	                    	                     	                    	                       	                       	                        	                      	                                	                      	                 	                  	                        	                      	                  	              	                   	                    	                      	                         	                       	                   	                   	               	                   	                     	                       	                    	                      	                       	                           	                       	                        	                    	                	                    	                 	                      	                  	                         	                       	                          	                       	                   	             	                       	                       	                  	                  	                          	                    	R                      	                  	                       	                         	                       	R                    	                   	                        	                          	                       	                         	                    	                       	                    	F                      	                     	                       	                         	                    	R                   	                	                    	                   	                          	R                   	                     	                     	F                      	                     	R                 	                       	                  	                      	C                     	                    	                   	F                        	                                 	                    	                     	                     	                   	                      	                      	                       	                             	                     	                     	                      	                        	                   	                            	                       	                       	                       	                	                     	                        	                     	                            	                      	                       	                          	                         	                           	                         	                      	                      	Uncertain zone and age assignments. from Leg 159 Ch 32 Table 2

  SR	Middle Eocene    	                 	CP14b             	CP15a         	159	 959	D	 17	R	 1	  31.00	    562.1100	Shafik   	Nannofossils                                 	F              	P                 	                     	                      	                         	                 	                    	                   	                   	                   	                      	                    	                  	                       	                   	                	                    	                       	                         	                         	                              	                              	                        	                       	                         	                            	                           	                   	                      	                   	                      	                                    	                           	                            	                   	                    	                         	                  	                 	                       	                   	                         	                   	                   	                       	             	                     	                    	                    	                              	                    	                   	                   	                         	                       	                           	                        	                        	                           	                   	                    	                    	                         	                    	                     	                    	                       	                       	                        	                      	                                	                      	                 	                  	                        	                      	                  	              	                   	                    	                      	                         	                       	                   	                   	               	                   	                     	                       	                    	                      	                       	                           	                       	                        	                    	                	                    	                 	                      	                  	                         	                       	                          	                       	                   	             	                       	                       	                  	                  	                          	                    	R                      	                  	                       	C                        	                       	R                    	                   	                        	                          	                       	                         	                    	                       	                    	C                      	                     	                       	                         	                    	R                   	                	                    	                   	                          	R                   	                     	                     	F                      	                     	R                 	                       	                  	                      	F                     	                    	                   	                         	                                 	                    	                     	                     	                   	                      	                      	                       	                             	                     	                     	                      	                        	                   	                            	                       	                       	                       	                	                     	                        	                     	                            	                      	                       	                          	                         	                           	                         	                      	                      	Uncertain zone and age assignments. from Leg 159 Ch 32 Table 2

  SR	Middle Eocene    	                 	CP14a             	              	159	 959	D	 17	R	 5	  70.00	    568.5000	Shafik   	Nannofossils                                 	C              	M                 	                     	                      	                         	                 	                    	                   	                   	                   	                      	                    	                  	                       	                   	                	                    	                       	                         	                         	                              	                              	                        	                       	                         	                            	                           	                   	                      	                   	                      	                                    	                           	                            	                   	                    	                         	                  	                 	                       	                   	                         	                   	                   	                       	             	                     	                    	                    	                              	                    	                   	                   	                         	                       	                           	                        	                        	                           	                   	                    	                    	                         	                    	                     	                    	                       	                       	                        	                      	                                	                      	                 	                  	                        	                      	                  	              	                   	                    	                      	                         	                       	                   	                   	               	                   	                     	                       	                    	                      	                       	                           	                       	                        	                    	                	                    	                 	                      	                  	                         	                       	                          	                       	                   	             	                       	                       	                  	                  	                          	                    	R                      	                  	                       	                         	                       	                     	                   	                        	                          	                       	                         	                    	                       	VR                  	C                      	                     	                       	                         	                    	                    	                	                    	                   	                          	R                   	C                    	                     	F                      	C                    	                  	                       	                  	                      	F                     	VR                  	                   	                         	                                 	                    	                     	                     	                   	                      	                      	                       	                             	                     	                     	                      	                        	                   	R                           	                       	                       	                       	                	                     	R                       	                     	                            	                      	                       	                          	                         	                           	                         	                      	                      	from Leg 159 Ch 32 Table 2
