Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis seminulina	Globorotalia tosaensis	Globorotalia crassaformis	Globigerinoides extremus	Dentoglobigerina altispira	Sphaeroidinella dehiscens	Globorotalia multicamerata	Neogloboquadrina dutertrei	Globigerinoides sacculifer	Globorotalia tumida	Globorotalia menardii	Globigerinoides ruber	Globorotalia inflata	Pulleniatina obliquiloculata	Globorotalia truncatulinoides	Globigerinoides fistulosus	Globigerinoides conglobatus	Globigerinoides ruber (pink)	Comment
  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1145	A	  9	H	CC	  29.00	     77.9200	forams   	Planktonic Foraminifers                      	A              	M                 	                              	                      	                         	                        	                          	                         	                          	F                         	                          	                   	                     	A                    	F                   	A                           	P                            	                          	                           	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1145	A	 10	H	CC	   0.00	     86.5400	forams   	Planktonic Foraminifers                      	A              	VG                	                              	                      	P                        	                        	                          	                         	                          	                          	                          	                   	                     	F                    	A                   	F                           	                             	                          	R                          	                            	>0.75 Ma

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1145	A	 11	H	CC	  42.00	     97.0000	forams   	Planktonic Foraminifers                      	A              	G                 	                              	                      	R                        	                        	                          	F                        	                          	                          	                          	                   	F                    	R                    	F                   	A                           	                             	                          	                           	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1145	A	 12	H	CC	  14.00	    105.3000	forams   	Planktonic Foraminifers                      	C              	M                 	                              	                      	P                        	                        	                          	                         	                          	                          	                          	                   	A                    	                     	F                   	F                           	R                            	                          	                           	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1145	A	 13	H	CC	  26.00	    115.8800	forams   	Planktonic Foraminifers                      	A              	G                 	                              	                      	P                        	                        	                          	                         	                          	                          	                          	                   	F                    	                     	A                   	A                           	R                            	                          	                           	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1145	A	 14	H	CC	   0.00	    124.3100	forams   	Planktonic Foraminifers                      	A              	G                 	                              	                      	                         	                        	                          	                         	                          	F                         	                          	                   	F                    	A                    	                    	A                           	P                            	                          	                           	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1145	A	 15	X	CC	  54.00	    129.1900	forams   	Planktonic Foraminifers                      	A              	P                 	                              	                      	                         	                        	                          	A                        	                          	                          	                          	                   	F                    	                     	                    	A                           	P                            	                          	                           	                            	<1.6 Ma

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1145	A	 16	X	CC	  28.00	    139.9000	forams   	Planktonic Foraminifers                      	A              	G                 	                              	                      	                         	                        	                          	                         	                          	A                         	                          	                   	                     	A                    	F                   	F                           	R                            	R                         	                           	                            	>1.6 Ma

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1145	A	 17	X	CC	  44.00	    144.2600	forams   	Planktonic Foraminifers                      	A              	M                 	                              	                      	                         	                        	                          	F                        	                          	A                         	                          	                   	F                    	A                    	                    	F                           	R                            	                          	                           	                            	<2.0 Ma

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	184	1145	A	 18	X	CC	  31.00	    161.4100	forams   	Planktonic Foraminifers                      	A              	P                 	                              	                      	R                        	                        	                          	A                        	                          	                          	                          	                   	                     	A                    	A                   	                            	                             	                          	                           	                            	>2.0 Ma, <2.5Ma

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	184	1145	A	 19	X	CC	  36.00	    171.3600	forams   	Planktonic Foraminifers                      	A              	P                 	                              	                      	R                        	                        	                          	A                        	P                         	                          	                          	R                  	R                    	F                    	                    	                            	                             	                          	                           	                            	2.0 - 2.5 Ma

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	184	1145	A	 20	X	CC	  46.00	    180.8400	forams   	Planktonic Foraminifers                      	A              	P                 	                              	                      	                         	                        	                          	A                        	P                         	F                         	A                         	                   	                     	                     	                    	                            	                             	                          	                           	                            	>2.5 Ma

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	184	1145	A	 21	X	CC	  19.00	    190.3900	forams   	Planktonic Foraminifers                      	A              	P                 	                              	                      	F                        	P                       	                          	A                        	R                         	                          	                          	                   	                     	                     	                    	                            	                             	                          	                           	                            	>2.5 Ma, <3.09 Ma

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	184	1145	A	 22	X	CC	  43.00	    199.8700	forams   	Planktonic Foraminifers                      	F              	P                 	F                             	P                     	R                        	P                       	F                         	                         	                          	                          	                          	                   	                     	                     	                    	                            	                             	                          	                           	                            	>3.12 Ma, <3.35 Ma

