Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Rhizammina indivisa,Paratrochamminoides spp.,Rhabdammina spp.,Reophax  nodulosus,Psammosphaera sp.,Lituotuba lituiformis,Hyperammina spp.,Hormosina ovuloides,Haplophragmoides walteri excavatus,Haplophragmium walteri,Glomospira irregularis,Glomospira charoides,Dendrophyra robusta,Bathysiphon spp.,Hormosinella distans,Haplophragmoides horridus,Bathysiphon microraphidus,Ammodiscus latus,Subreophax scalaris,Rzehakina epigona minima,Psammosphaera fusca,Praecystammina sp.,Hyperammina rugosa,Hormosina velascoensis,Glomospira sp.,Cyclammina placenta,Ammosphaeroidina pseudopauciloculata,Ammodiscus tenuissimus,Trochamminoides subcoronatus,Spiroplectammina spectabilis,Saccammina grzybowskii,Reophax pilulifer,Karrerulina horrida,Kalamopsis grzybowskii,Hormosina ovulum ovulum,Glomospira glomerata,Tolypammina sp.,Reophax elongatus,Dendrophyra latissima,Reticulophragmium amplectens,Recurvoides walteri,Karrerulina conversa,Glomospira gordialis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,                  ,              ,124, 767,C,  8,R, 1,  61.00,    743.9100,Kaminski ,Benthic Foraminifers                         ,               ,                  ,F                  ,                        ,C               ,                  ,                 ,                     ,                ,                   ,                                  ,                      ,R                     ,                    ,                   ,F               ,                    ,                         ,                         ,F               ,                   ,                        ,                   ,                  ,                  ,                      ,              ,                   ,R                                   ,                      ,                            ,                            ,                      ,                 ,                   ,                      ,                       ,                    ,               ,                 ,                     ,                            ,                   ,                    ,                    ,from ODP Leg 124 SR Chapter 12 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,                  ,              ,124, 767,C,  8,R, 2,  30.00,    745.1000,Kaminski ,Benthic Foraminifers                         ,               ,                  ,F                  ,                        ,R               ,R                 ,                 ,                     ,                ,                   ,                                  ,                      ,                      ,R                   ,R                  ,                ,                    ,                         ,                         ,R               ,                   ,                        ,                   ,                  ,                  ,                      ,              ,                   ,                                    ,                      ,                            ,                            ,                      ,                 ,                   ,                      ,                       ,                    ,               ,R                ,                     ,R                           ,                   ,                    ,                    ,from ODP Leg 124 SR Chapter 12 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,                  ,              ,124, 767,C,  8,R, 3,  15.00,    746.4500,Kaminski ,Benthic Foraminifers                         ,               ,                  ,F                  ,                        ,                ,                  ,                 ,                     ,                ,                   ,                                  ,                      ,                      ,                    ,                   ,R               ,                    ,                         ,                         ,                ,                   ,                        ,                   ,                  ,                  ,R                     ,              ,                   ,                                    ,                      ,                            ,                            ,                      ,                 ,                   ,                      ,                       ,                    ,R              ,R                ,R                    ,                            ,                   ,                    ,                    ,from ODP Leg 124 SR Chapter 12 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,124, 767,C,  9,R, 1,  72.00,    753.7200,Kaminski ,Benthic Foraminifers                         ,               ,                  ,C                  ,                        ,                ,R                 ,                 ,R                    ,                ,R                  ,                                  ,F                     ,F                     ,F                   ,R                  ,C               ,                    ,                         ,                         ,R               ,                   ,                        ,                   ,                  ,                  ,                      ,              ,R                  ,R                                   ,R                     ,R                           ,R                           ,F                     ,R                ,R                  ,R                     ,R                      ,R                   ,               ,                 ,                     ,                            ,                   ,                    ,                    ,from ODP Leg 124 SR Chapter 12 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,124, 767,C,  9,R, 3,  69.00,    756.2200,Kaminski ,Benthic Foraminifers                         ,               ,                  ,C                  ,                        ,F               ,                  ,                 ,                     ,F               ,                   ,                                  ,F                     ,F                     ,R                   ,F                  ,C               ,                    ,                         ,                         ,R               ,F                  ,R                       ,R                  ,R                 ,R                 ,R                     ,R             ,R                  ,R                                   ,R                     ,                            ,                            ,                      ,                 ,                   ,                      ,                       ,                    ,               ,                 ,                     ,                            ,                   ,                    ,                    ,from ODP Leg 124 SR Chapter 12 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,124, 767,C, 11,R, 1,  54.00,    772.9400,Kaminski ,Benthic Foraminifers                         ,               ,                  ,C                  ,R                       ,C               ,R                 ,R                ,                     ,R               ,                   ,                                  ,R                     ,R                     ,R                   ,F                  ,F               ,R                   ,R                        ,R                        ,R               ,                   ,                        ,                   ,                  ,                  ,                      ,              ,                   ,                                    ,                      ,                            ,                            ,                      ,                 ,                   ,                      ,                       ,                    ,               ,                 ,                     ,                            ,                   ,                    ,                    ,from ODP Leg 124 SR Chapter 12 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,124, 767,C, 11,R, 2,  57.00,    774.4700,Kaminski ,Benthic Foraminifers                         ,               ,                  ,C                  ,R                       ,C               ,R                 ,R                ,R                    ,R               ,R                  ,R                                 ,R                     ,R                     ,R                   ,R                  ,F               ,                    ,                         ,                         ,                ,                   ,                        ,                   ,                  ,                  ,                      ,              ,                   ,                                    ,                      ,                            ,                            ,                      ,                 ,                   ,                      ,                       ,                    ,               ,                 ,                     ,                            ,                   ,                    ,                    ,from ODP Leg 124 SR Chapter 12 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,124, 767,C, 12,R, 1,  59.00,    782.6900,Kaminski ,Benthic Foraminifers                         ,               ,                  ,F                  ,R                       ,                ,                  ,                 ,                     ,                ,                   ,                                  ,                      ,                      ,                    ,                   ,                ,                    ,                         ,                         ,                ,                   ,                        ,                   ,                  ,                  ,                      ,              ,                   ,                                    ,                      ,                            ,                            ,                      ,                 ,                   ,                      ,                       ,                    ,               ,                 ,                     ,                            ,                   ,                    ,                    ,from ODP Leg 124 SR Chapter 12 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,124, 767,C, 12,R, 2, 110.00,    784.7000,Kaminski ,Benthic Foraminifers                         ,               ,                  ,F                  ,                        ,                ,                  ,                 ,                     ,                ,                   ,                                  ,                      ,                      ,                    ,                   ,                ,                    ,                         ,                         ,                ,                   ,                        ,                   ,                  ,                  ,                      ,              ,                   ,                                    ,                      ,                            ,                            ,                      ,                 ,                   ,                      ,                       ,                    ,               ,                 ,                     ,                            ,                   ,                    ,                    ,from ODP Leg 124 SR Chapter 12 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
