Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Oridorsalis umbonatus	Martinottiella communis	Uvigerina peregrina	Uvigerina hispida	Cassidulina californica	Reophax sp.	Pyrgo sp.	Cassidulina translucens	Globobulimina pacifica	Globocassidulina subglobosa	Eponides healdi	Epistominella pacifica	Dentalina spp.	Bulimina subacuminata	Cibicides lobatulus	Quinqueloculina sp.	Plectofrondicularia spp.	Globobulimina affinis	Elphidium excavatum f. clavatum	Cibicidoides wuellerstorfi	Bulimina spp.	Gyroidina spp.	Cibicides spp.	Cassidulina norcrossi	Bolivina spissa	Uvigerina senticosa	Pullenia salisburyi	Cassidulina minuta	Cassidulinoides bradyi	Bulimina striata mexicana	Uvigerina juncea	Calcareous sp. indeterminate	Nodosaria spp.	Buliminella subfusiformis	Bulimina subcalva	Globobulimina auriculata	Comment
  SR	                 	                 	                  	              	146	 889	B	  8	R	CC	  12.00	    269.4300	Zellers  	Benthic Foraminifers                         	               	G                 	                     	                       	A                  	                 	                       	           	         	                       	                      	                           	               	A                     	              	R                    	                   	R                  	                        	                     	R                              	                          	             	              	              	R                    	R              	R                  	R                  	R                 	                      	                         	                	                            	              	                         	                 	                        	from Leg 146 SR; Ch 5; Table 3; p. 96

  SR	                 	                 	                  	              	146	 889	B	  9	R	CC	   0.00	    273.8400	Zellers  	Benthic Foraminifers                         	               	G                 	R                    	                       	R                  	                 	                       	           	         	                       	                      	                           	               	A                     	R             	                     	                   	                   	R                       	                     	                               	                          	             	S             	S             	R                    	R              	                   	                   	                  	                      	                         	                	                            	              	                         	                 	                        	from Leg 146 SR; Ch 5; Table 3; p. 96

  SR	                 	                 	                  	              	146	 889	B	 10	R	CC	  11.00	    284.3400	Zellers  	Benthic Foraminifers                         	               	G                 	R                    	                       	R                  	                 	                       	           	         	                       	S                     	                           	               	R                     	              	                     	                   	S                  	S                       	S                    	C                              	S                         	S            	              	              	                     	               	                   	                   	                  	                      	                         	                	                            	              	                         	                 	                        	from Leg 146 SR; Ch 5; Table 3; p. 96

  SR	                 	                 	                  	              	146	 889	B	 12	R	CC	  13.00	    304.1900	Zellers  	Benthic Foraminifers                         	               	P                 	                     	                       	                   	                 	                       	           	         	                       	                      	                           	               	                      	              	                     	R                  	                   	                        	                     	                               	                          	             	              	              	                     	               	                   	                   	                  	                      	                         	                	                            	              	                         	                 	                        	from Leg 146 SR; Ch 5; Table 3; p. 96

  SR	                 	                 	                  	              	146	 889	B	 13	R	CC	  15.00	    311.5300	Zellers  	Benthic Foraminifers                         	               	M                 	                     	                       	R                  	R                	                       	           	         	                       	                      	S                          	R              	R                     	R             	R                    	                   	                   	                        	                     	                               	                          	             	              	              	                     	               	                   	                   	                  	                      	                         	                	                            	              	                         	                 	                        	from Leg 146 SR; Ch 5; Table 3; p. 96

  SR	                 	                 	                  	              	146	 889	B	 14	R	CC	   6.00	    317.8200	Zellers  	Benthic Foraminifers                         	               	P                 	                     	                       	                   	                 	                       	           	         	                       	S                     	                           	               	                      	              	                     	                   	                   	                        	                     	                               	                          	             	              	              	                     	               	                   	                   	                  	                      	                         	                	                            	              	                         	                 	                        	from Leg 146 SR; Ch 5; Table 3; p. 96

  SR	                 	                 	                  	              	146	 889	B	 15	R	CC	  11.00	    326.9600	Zellers  	Benthic Foraminifers                         	               	P                 	                     	                       	S                  	                 	                       	           	         	                       	S                     	                           	               	                      	              	                     	                   	                   	                        	                     	                               	                          	             	              	              	                     	               	                   	                   	                  	                      	                         	                	                            	              	                         	                 	                        	from Leg 146 SR; Ch 5; Table 3; p. 96

  SR	                 	                 	                  	              	146	 889	B	 17	R	CC	  14.00	    343.6800	Zellers  	Benthic Foraminifers                         	               	P                 	                     	                       	R                  	                 	                       	S          	S        	R                      	                      	                           	               	                      	              	                     	                   	                   	                        	                     	                               	                          	             	              	              	                     	               	                   	                   	                  	                      	                         	                	                            	              	                         	                 	                        	from Leg 146 SR; Ch 5; Table 3; p. 96

  SR	                 	                 	                  	              	146	 889	B	 18	R	CC	   3.00	    352.0100	Zellers  	Benthic Foraminifers                         	               	P                 	                     	                       	S                  	S                	S                      	           	         	                       	                      	                           	               	                      	              	                     	                   	                   	                        	                     	                               	                          	             	              	              	                     	               	                   	                   	                  	                      	                         	                	                            	              	                         	                 	                        	from Leg 146 SR; Ch 5; Table 3; p. 96

  SR	                 	                 	                  	              	146	 889	B	 19	R	 1	  17.00	    360.0700	Zellers  	Benthic Foraminifers                         	               	M                 	                     	S                      	                   	                 	                       	           	         	                       	                      	                           	               	                      	              	                     	                   	                   	                        	                     	                               	                          	             	              	              	                     	               	                   	                   	                  	                      	                         	                	                            	              	                         	                 	                        	from Leg 146 SR; Ch 5; Table 3; p. 96

  SR	                 	                 	                  	              	146	 889	B	 20	R	CC	  15.00	    368.8500	Zellers  	Benthic Foraminifers                         	               	M                 	R                    	                       	                   	                 	                       	           	         	                       	                      	                           	               	                      	              	                     	                   	                   	                        	                     	                               	                          	             	              	              	                     	               	                   	                   	                  	                      	                         	                	                            	              	                         	                 	                        	from Leg 146 SR; Ch 5; Table 3; p. 96

