Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Globorotalia puncticulata,Globorotalia decoraperta,Globorotalia cf. Gr. continuosa,Globigerina falconensis,Globigerina bulloides,Neogloboquadrina pachyderma (dextral),Neogloboquadrina humerosa,Globorotalia scitula,Globorotalia crassula,Globorotalia crassaformis,Globigerinita glutinata,Globigerina apertura,"Neogloboquadrina sp. ""rounded""",Neogloboquadrina asanoi,Globorotalia hirsuta,Globorotalia inflata,Globigerina quinqueloba,Neogloboquadrina pachyderma (sinistral),"Neogloboquadrina pachyderma ""rounded""","Neogloboquadrina pachyderma ""5 chambers""",Globigerina umbilicata,Globorotaloides hexagona,Comment
  IR,                 ,                 ,N22               ,N23           ,167,1020,B,  5,H,CC,  30.00,     46.4000,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,R                ,                         ,                        ,                               ,                       ,A                    ,                                     ,                         ,R                   ,                     ,                         ,                       ,                    ,                              ,                       ,                    ,                    ,                       ,A                                      ,                                     ,                                        ,                      ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1020,B,  6,H,CC,  33.00,     55.9300,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,F                ,                         ,                        ,                               ,                       ,A                    ,A                                    ,                         ,                    ,                     ,                         ,                       ,                    ,                              ,                       ,                    ,R                   ,                       ,A                                      ,                                     ,C                                       ,                      ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1020,B,  7,H,CC,  36.00,     65.4300,Kennett  ,Planktonic Foraminifers                      ,R              ,P                 ,                 ,                         ,                        ,                               ,                       ,R                    ,                                     ,                         ,R                   ,                     ,                         ,R                      ,                    ,                              ,                       ,                    ,                    ,                       ,R                                      ,                                     ,                                        ,                      ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1020,B,  8,H,CC,  33.00,     74.8700,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,                 ,                         ,                        ,                               ,                       ,A                    ,                                     ,                         ,                    ,                     ,                         ,                       ,                    ,                              ,                       ,                    ,                    ,A                      ,A                                      ,A                                    ,C                                       ,                      ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1020,B,  9,H,CC,  30.00,     84.3600,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,                 ,                         ,                        ,                               ,                       ,A                    ,                                     ,                         ,                    ,                     ,                         ,                       ,                    ,                              ,                       ,                    ,                    ,C                      ,A                                      ,A                                    ,                                        ,                      ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1020,B, 10,H,CC,  23.00,     93.7100,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,                 ,                         ,                        ,                               ,                       ,A                    ,                                     ,                         ,                    ,                     ,                         ,                       ,                    ,                              ,                       ,                    ,                    ,A                      ,A                                      ,A                                    ,                                        ,                      ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1020,B, 11,H,CC,  31.00,    103.3900,Kennett  ,Planktonic Foraminifers                      ,R              ,P                 ,                 ,                         ,                        ,                               ,                       ,R                    ,R                                    ,                         ,                    ,                     ,                         ,                       ,                    ,                              ,                       ,                    ,                    ,                       ,R                                      ,R                                    ,                                        ,                      ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1020,B, 12,H,CC,  34.00,    112.7500,Kennett  ,Planktonic Foraminifers                      ,R              ,P/M               ,                 ,                         ,                        ,                               ,                       ,R                    ,R                                    ,                         ,                    ,                     ,                         ,                       ,                    ,                              ,                       ,                    ,                    ,                       ,                                       ,R                                    ,                                        ,                      ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1020,B, 14,H,CC,  28.00,    131.6900,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,                 ,                         ,                        ,                               ,                       ,C                    ,C                                    ,                         ,                    ,                     ,                         ,                       ,R                   ,                              ,                       ,                    ,R                   ,                       ,                                       ,C                                    ,                                        ,                      ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1020,B, 15,H,CC,  25.00,    141.2300,Kennett  ,Planktonic Foraminifers                      ,R              ,M                 ,                 ,                         ,                        ,                               ,                       ,C                    ,F                                    ,R                        ,                    ,                     ,                         ,                       ,                    ,                              ,                       ,                    ,                    ,                       ,                                       ,F                                    ,                                        ,                      ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1020,B, 16,H,CC,  37.00,    150.8300,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,                 ,                         ,                        ,                               ,                       ,A                    ,A                                    ,C                        ,                    ,                     ,                         ,R                      ,                    ,                              ,                       ,                    ,F                   ,C                      ,                                       ,C                                    ,                                        ,                      ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1020,B, 17,H,CC,  54.00,    160.4600,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,F                ,                         ,                        ,                               ,                       ,A                    ,C                                    ,                         ,                    ,                     ,                         ,                       ,                    ,                              ,                       ,                    ,                    ,                       ,                                       ,C                                    ,                                        ,                      ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1020,B, 18,H,CC,  60.00,    169.9400,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,R                ,                         ,                        ,                               ,                       ,A                    ,C                                    ,R                        ,                    ,                     ,                         ,                       ,                    ,                              ,                       ,                    ,                    ,                       ,A                                      ,C                                    ,                                        ,                      ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1020,B, 19,X,CC,  33.00,    178.8900,Kennett  ,Planktonic Foraminifers                      ,R              ,M                 ,R                ,                         ,                        ,                               ,                       ,R                    ,R                                    ,F                        ,                    ,                     ,                         ,                       ,                    ,                              ,C                      ,                    ,                    ,                       ,                                       ,                                     ,                                        ,                      ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1020,B, 20,X,CC,  35.00,    180.2300,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,                 ,                         ,                        ,                               ,                       ,A                    ,A                                    ,C                        ,                    ,                     ,                         ,                       ,                    ,                              ,A                      ,                    ,                    ,A                      ,                                       ,                                     ,                                        ,                      ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1020,B, 21,X,CC,  15.00,    198.2100,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,                 ,                         ,                        ,                               ,                       ,A                    ,A                                    ,F                        ,                    ,                     ,                         ,                       ,                    ,                              ,A                      ,                    ,                    ,                       ,                                       ,                                     ,                                        ,                      ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1020,B, 22,X,CC,  29.00,    207.8900,Kennett  ,Planktonic Foraminifers                      ,R              ,M                 ,                 ,R                        ,                        ,                               ,                       ,R                    ,                                     ,                         ,                    ,                     ,                         ,                       ,                    ,                              ,R                      ,                    ,                    ,R                      ,                                       ,                                     ,                                        ,                      ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N21               ,              ,167,1020,B, 25,X,CC,  15.00,    236.5100,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,                 ,                         ,                        ,                               ,                       ,F                    ,                                     ,F                        ,                    ,                     ,                         ,                       ,R                   ,C                             ,C                      ,                    ,C                   ,R                      ,                                       ,                                     ,                                        ,                      ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N20               ,              ,167,1020,B, 26,X,CC,  16.00,    246.2400,Kennett  ,Planktonic Foraminifers                      ,F              ,M                 ,F                ,                         ,                        ,                               ,                       ,A                    ,                                     ,                         ,                    ,                     ,                         ,                       ,                    ,A                             ,C                      ,R                   ,                    ,                       ,                                       ,                                     ,                                        ,                      ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N20               ,              ,167,1020,B, 28,X,CC,  34.00,    265.7800,Kennett  ,Planktonic Foraminifers                      ,A              ,M                 ,C                ,A                        ,F                       ,A                              ,                       ,A                    ,A                                    ,C                        ,F                   ,F                    ,A                        ,F                      ,F                   ,                              ,                       ,                    ,                    ,                       ,                                       ,                                     ,                                        ,                      ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N20               ,              ,167,1020,B, 29,X,CC,  34.00,    269.3700,Kennett  ,Planktonic Foraminifers                      ,A              ,M                 ,C                ,A                        ,A                       ,A                              ,R                      ,A                    ,                                     ,                         ,                    ,                     ,                         ,                       ,                    ,                              ,                       ,                    ,                    ,                       ,                                       ,                                     ,                                        ,                      ,                        ,from IR. Ch 14. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
