Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triquetrorhabdulus striatus	Triquetrorhabdulus rugosus	Syracosphaera pulchra	Sphenolithus spp.	Sphenolithus abies/neoabies	Reticulofenestra spp. (small - medium)	Pontosphaera spp.	Helicosphaera carteri	Florisphaera profunda	Discoaster variabilis	Discoaster surculus	Discoaster quinqueramus	Discoaster pentaradiatus	Discoaster brouweri	Discoaster berggrenii	Coronocyclus nitescens	Ceratolithus cristatus	Calcidiscus macintyrei	Calcidiscus leptoporus	Amaurolithus delicatus	Amaurolithus amplificus	Umbilicosphaera sibogae	Reticulofenestra pseudoumbilicus	Pseudoemiliania lacunosa	Helicosphaera sellii	Rhabdosphaera clavigera	Discoaster neorectus	Ceratolithus armatus	Ceratolithus acutus	Amaurolithus primus	Amaurolithus tricorniculatus	Discoaster triradiatus	Oolithotus antillarum	Discoaster asymmetricus	Gephyrocapsa spp. (small)	Discoaster tamalis	Reticulofenestra minutula	Reticulofenestra minuta	Reticulofenestra ampla	Dictyococcites productus	Coccolithus pelagicus	Scapholithus fossilis	Pontosphaera japonica	Discoaster blackstockae	Syracosphaera lamina	Helicosphaera pavimentum	Pontosphaera discopora	Helicosphaera hyalina	Gephyrocapsa margerelii	Helicosphaera wallichii	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Reticulofenestra asanoi	Helicosphaera neogranulata	Discosphaera tubifera	Umbellosphaera irregularis	Helicosphaera inversa	Umbellosphaera tenuis	Emiliania huxleyi	Syracosphaera nodosa	Neosphaera coccolithomorpha	Comment

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1143	B	  5	H	CC	  21.00	     43.5800	nannos   	Nannofossils                                 	A              	G                 	                           	                          	C                    	                 	                           	                                      	                 	F                    	D                    	                     	                   	                       	                        	                   	                     	                      	                      	                      	R                     	                      	                       	F                      	                                	C                       	                    	F                      	                    	                    	                   	                   	                            	                      	                     	                       	C                        	                  	F                        	C                      	                      	C                       	                     	R                    	R                    	                       	                    	F                       	R                     	                     	                       	                       	C                    	                         	R                      	                          	                     	                          	                     	                     	                 	                    	                           	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1143	B	  6	H	CC	  24.00	     53.0300	nannos   	Nannofossils                                 	A              	G                 	                           	                          	R                    	                 	                           	                                      	                 	R                    	D                    	                     	                   	                       	                        	                   	                     	                      	R                     	                      	C                     	                      	                       	F                      	                                	C                       	                    	R                      	                    	                    	                   	                   	                            	                      	                     	                       	A                        	                  	                         	                       	                      	C                       	                     	                     	                     	                       	                    	                        	                      	                     	                       	                       	                     	                         	R                      	R                         	R                    	                          	                     	                     	                 	                    	                           	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1143	B	  7	H	 7	  47.00	     62.3700	nannos   	Nannofossils                                 	A              	G                 	                           	                          	C                    	                 	                           	                                      	                 	F                    	D                    	                     	                   	                       	                        	                   	                     	                      	                      	                      	R                     	                      	                       	C                      	                                	C                       	                    	R                      	                    	                    	                   	                   	                            	                      	                     	                       	A                        	                  	R                        	C                      	                      	                        	R                    	R                    	                     	                       	                    	F                       	                      	                     	C                      	                       	F                    	F                        	R                      	                          	                     	                          	                     	                     	                 	                    	                           	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1143	B	  8	H	CC	  32.00	     72.1900	nannos   	Nannofossils                                 	A              	G                 	                           	                          	F                    	                 	                           	                                      	                 	F                    	D                    	                     	                   	                       	                        	                   	                     	                      	                      	                      	R                     	                      	                       	F                      	                                	C                       	                    	F                      	                    	                    	                   	                   	                            	                      	F                    	                       	A                        	                  	                         	F                      	                      	C                       	                     	R                    	R                    	                       	                    	                        	                      	R                    	C                      	R                      	F                    	C                        	                       	                          	                     	                          	                     	                     	                 	                    	                           	       

  IR	Pleistocene      	Pleistocene      	NN19a             	NN19a         	184	1143	B	  9	H	CC	  25.00	     81.7100	nannos   	Nannofossils                                 	A              	G                 	                           	                          	                     	                 	                           	                                      	                 	F                    	D                    	                     	                   	                       	                        	                   	                     	                      	R                     	                      	C                     	                      	                       	C                      	                                	C                       	                    	C                      	                    	                    	                   	                   	                            	                      	F                    	                       	A                        	                  	R                        	F                      	                      	                        	                     	                     	R                    	                       	                    	                        	R                     	R                    	F                      	                       	                     	                         	                       	                          	                     	                          	                     	                     	                 	                    	                           	       

  IR	Late Pliocene    	Late Pliocene    	NN18              	NN18          	184	1143	B	 10	H	CC	  23.00	     91.2800	nannos   	Nannofossils                                 	A              	G                 	                           	                          	F                    	                 	                           	                                      	                 	C                    	D                    	                     	                   	                       	                        	R                  	                     	                      	                      	                      	                      	                      	                       	C                      	                                	C                       	                    	C                      	                    	                    	                   	                   	                            	                      	R                    	                       	C                        	                  	                         	A                      	                      	C                       	                     	R                    	F                    	                       	R                   	F                       	                      	                     	                       	                       	                     	                         	                       	                          	                     	                          	                     	                     	                 	                    	                           	       

  IR	Late Pliocene    	Late Pliocene    	NN18              	NN18          	184	1143	B	 11	H	CC	  21.00	    100.5900	nannos   	Nannofossils                                 	A              	G                 	                           	                          	R                    	                 	                           	                                      	                 	F                    	D                    	                     	                   	                       	                        	F                  	                     	                      	R                     	                      	                      	                      	                       	F                      	                                	C                       	                    	F                      	                    	                    	                   	                   	                            	                      	                     	R                      	F                        	                  	                         	A                      	                      	C                       	                     	                     	F                    	R                      	                    	                        	                      	                     	                       	                       	                     	                         	                       	                          	                     	                          	                     	                     	                 	                    	                           	       

  IR	Late Pliocene    	Late Pliocene    	NN16              	NN17          	184	1143	B	 12	H	CC	  29.00	    110.2200	nannos   	Nannofossils                                 	A              	G                 	                           	                          	                     	                 	                           	                                      	                 	F                    	D                    	                     	                   	                       	C                       	F                  	                     	                      	F                     	R                     	R                     	                      	                       	                       	                                	C                       	                    	R                      	                    	                    	                   	                   	                            	                      	                     	R                      	                         	R                 	                         	A                      	                      	C                       	                     	                     	                     	R                      	                    	                        	                      	                     	                       	                       	                     	                         	                       	                          	                     	                          	                     	                     	                 	                    	                           	       

  IR	Late Pliocene    	Late Pliocene    	NN16              	NN16          	184	1143	B	 13	H	CC	   0.00	    118.6900	nannos   	Nannofossils                                 	A              	G                 	                           	                          	F                    	                 	                           	                                      	                 	F                    	D                    	                     	R                  	                       	F                       	F                  	                     	                      	R                     	F                     	R                     	                      	                       	C                      	                                	C                       	                    	F                      	                    	                    	                   	                   	                            	                      	                     	                       	                         	R                 	C                        	C                      	                      	C                       	                     	R                    	R                    	                       	                    	                        	                      	                     	                       	                       	                     	                         	                       	                          	                     	                          	                     	                     	                 	                    	                           	       

  IR	Late Pliocene    	Late Pliocene    	NN16              	NN16          	184	1143	B	 14	H	CC	  29.00	    129.0200	nannos   	Nannofossils                                 	A              	G                 	                           	                          	F                    	                 	                           	                                      	                 	F                    	D                    	R                    	                   	                       	C                       	F                  	                     	                      	                      	F                     	F                     	                      	                       	C                      	                                	F                       	                    	F                      	                    	                    	                   	                   	                            	                      	R                    	                       	R                        	R                 	A                        	F                      	C                     	F                       	F                    	                     	                     	                       	                    	                        	                      	                     	                       	                       	                     	                         	                       	                          	                     	                          	                     	                     	                 	                    	                           	       

  IR	Late Pliocene    	Late Pliocene    	CN12a             	CN12a         	184	1143	B	 15	H	CC	  23.00	    138.3000	nannos   	Nannofossils                                 	A              	G                 	                           	                          	R                    	                 	                           	A                                     	                 	R                    	D                    	                     	R                  	                       	C                       	F                  	                     	R                     	R                     	F                     	F                     	                      	                       	R                      	                                	F                       	                    	R                      	                    	                    	                   	                   	                            	                      	                     	C                      	R                        	R                 	                         	                       	                      	                        	                     	                     	                     	                       	                    	                        	                      	                     	                       	                       	                     	                         	                       	                          	                     	                          	                     	                     	                 	                    	                           	       

  IR	Early Pliocene   	Early Pliocene   	CN12a             	CN12a         	184	1143	B	 16	H	CC	  31.00	    148.1400	nannos   	Nannofossils                                 	A              	G                 	                           	                          	R                    	                 	A                          	A                                     	                 	R                    	D                    	                     	R                  	                       	C                       	C                  	                     	                      	R                     	R                     	R                     	                      	                       	                       	                                	C                       	                    	R                      	                    	                    	                   	                   	                            	R                     	                     	F                      	                         	                  	                         	                       	                      	                        	                     	                     	                     	                       	                    	                        	                      	                     	                       	                       	                     	                         	                       	                          	                     	                          	                     	                     	                 	                    	                           	       

  IR	Early Pliocene   	Early Pliocene   	NN15              	NN15          	184	1143	B	 17	H	CC	  10.00	    157.5600	nannos   	Nannofossils                                 	A              	G                 	                           	                          	R                    	                 	A                          	A                                     	R                	R                    	D                    	                     	                   	                       	C                       	C                  	                     	R                     	R                     	R                     	R                     	                      	                       	R                      	C                               	C                       	                    	R                      	                    	                    	                   	                   	                            	                      	R                    	                       	                         	                  	                         	                       	                      	                        	                     	                     	                     	                       	                    	                        	                      	                     	                       	                       	                     	                         	                       	                          	                     	                          	                     	                     	                 	                    	                           	       

  IR	Early Pliocene   	Early Pliocene   	NN15              	NN15          	184	1143	B	 18	H	CC	  65.00	    167.2400	nannos   	Nannofossils                                 	A              	G                 	                           	                          	R                    	                 	A                          	A                                     	R                	R                    	D                    	                     	                   	                       	C                       	C                  	                     	R                     	R                     	R                     	R                     	                      	                       	R                      	C                               	F                       	R                   	R                      	                    	                    	                   	                   	                            	                      	                     	                       	                         	                  	                         	                       	                      	                        	                     	                     	                     	                       	                    	                        	                      	                     	                       	                       	                     	                         	                       	                          	                     	                          	                     	                     	                 	                    	                           	       

  IR	Early Pliocene   	Early Pliocene   	NN15              	NN15          	184	1143	B	 19	H	CC	  20.00	    175.2400	nannos   	Nannofossils                                 	A              	G                 	                           	                          	R                    	                 	A                          	A                                     	R                	R                    	D                    	                     	R                  	                       	C                       	C                  	                     	                      	R                     	R                     	R                     	                      	                       	                       	F                               	F                       	                    	R                      	                    	                    	                   	                   	                            	                      	                     	                       	                         	                  	                         	                       	                      	                        	                     	                     	                     	                       	                    	                        	                      	                     	                       	                       	                     	                         	                       	                          	                     	                          	                     	                     	                 	                    	                           	       

  IR	Early Pliocene   	Early Pliocene   	NN15              	NN15          	184	1143	B	 20	X	CC	  23.00	    182.2200	nannos   	Nannofossils                                 	A              	G                 	                           	                          	R                    	                 	A                          	A                                     	R                	R                    	D                    	                     	R                  	                       	C                       	C                  	                     	                      	R                     	                      	R                     	                      	                       	R                      	F                               	R                       	R                   	R                      	                    	                    	                   	                   	                            	R                     	                     	                       	                         	                  	                         	                       	                      	                        	                     	                     	                     	                       	                    	                        	                      	                     	                       	                       	                     	                         	                       	                          	                     	                          	                     	                     	                 	                    	                           	       

  IR	Early Pliocene   	Early Pliocene   	NN13              	NN14          	184	1143	B	 21	X	CC	  24.00	    190.8000	nannos   	Nannofossils                                 	A              	G                 	                           	                          	R                    	                 	A                          	A                                     	R                	R                    	D                    	                     	                   	                       	C                       	C                  	                     	                      	F                     	R                     	R                     	                      	                       	                       	F                               	R                       	R                   	R                      	R                   	                    	                   	                   	R                           	                      	                     	                       	                         	                  	                         	                       	                      	                        	                     	                     	                     	                       	                    	                        	                      	                     	                       	                       	                     	                         	                       	                          	                     	                          	                     	                     	                 	                    	                           	       

  IR	Early Pliocene   	Early Pliocene   	NN12              	NN12          	184	1143	B	 22	X	CC	  10.00	    196.3300	nannos   	Nannofossils                                 	A              	G                 	                           	                          	R                    	                 	A                          	A                                     	R                	R                    	D                    	                     	R                  	                       	C                       	C                  	                     	                      	R                     	R                     	R                     	                      	                       	                       	F                               	                        	                    	R                      	R                   	F                   	F                  	R                  	                            	                      	                     	                       	                         	                  	                         	                       	                      	                        	                     	                     	                     	                       	                    	                        	                      	                     	                       	                       	                     	                         	                       	                          	                     	                          	                     	                     	                 	                    	                           	       

  IR	Late Miocene     	Late Miocene     	NN11              	NN11          	184	1143	B	 23	X	CC	  23.00	    208.0900	nannos   	Nannofossils                                 	A              	G                 	                           	                          	                     	                 	A                          	A                                     	R                	R                    	D                    	                     	                   	                       	C                       	C                  	                     	R                     	R                     	                      	R                     	F                     	                       	                       	R                               	                        	                    	                       	                    	                    	                   	                   	                            	                      	                     	                       	                         	                  	                         	                       	                      	                        	                     	                     	                     	                       	                    	                        	                      	                     	                       	                       	                     	                         	                       	                          	                     	                          	                     	                     	                 	                    	                           	       

  IR	Late Miocene     	Late Miocene     	CN9d              	CN9d          	184	1143	B	 24	X	CC	  38.00	    214.5000	nannos   	Nannofossils                                 	A              	G                 	                           	R                         	R                    	                 	A                          	A                                     	R                	R                    	D                    	                     	                   	C                      	C                       	C                  	                     	R                     	                      	R                     	R                     	R                     	                       	R                      	R                               	                        	                    	                       	                    	                    	                   	                   	                            	                      	                     	                       	                         	                  	                         	                       	                      	                        	                     	                     	                     	                       	                    	                        	                      	                     	                       	                       	                     	                         	                       	                          	                     	                          	                     	                     	                 	                    	                           	       

  IR	Late Miocene     	Late Miocene     	CN9d              	CN9d          	184	1143	B	 25	X	CC	  33.00	    227.5800	nannos   	Nannofossils                                 	A              	G                 	F                          	R                         	                     	                 	A                          	C                                     	                 	R                    	A                    	                     	                   	C                      	C                       	F                  	F                    	                      	                      	                      	R                     	                      	                       	                       	R                               	R                       	R                   	                       	                    	                    	                   	                   	                            	                      	                     	                       	                         	                  	                         	                       	                      	                        	                     	                     	                     	                       	                    	                        	                      	                     	                       	                       	                     	                         	                       	                          	                     	                          	                     	                     	                 	                    	                           	       

  IR	Late Miocene     	Late Miocene     	CN9c              	CN9c          	184	1143	B	 26	X	CC	  33.00	    236.0500	nannos   	Nannofossils                                 	A              	G                 	                           	                          	R                    	C                	A                          	A                                     	R                	R                    	A                    	                     	                   	C                      	C                       	C                  	C                    	R                     	R                     	R                     	R                     	F                     	R                      	                       	R                               	                        	                    	                       	                    	                    	                   	                   	                            	                      	                     	                       	                         	                  	                         	                       	                      	                        	                     	                     	                     	                       	                    	                        	                      	                     	                       	                       	                     	                         	                       	                          	                     	                          	                     	                     	                 	                    	                           	       

  IR	Late Miocene     	Late Miocene     	CN9c              	CN9c          	184	1143	B	 27	X	CC	  31.00	    248.6800	nannos   	Nannofossils                                 	A              	G                 	F                          	F                         	R                    	C                	A                          	A                                     	R                	R                    	C                    	                     	                   	A                      	C                       	C                  	C                    	R                     	R                     	                      	R                     	F                     	                       	R                      	R                               	                        	                    	                       	                    	                    	                   	                   	                            	                      	                     	                       	                         	                  	                         	                       	                      	                        	                     	                     	                     	                       	                    	                        	                      	                     	                       	                       	                     	                         	                       	                          	                     	                          	                     	                     	                 	                    	                           	       

  IR	Late Miocene     	Late Miocene     	CN9c              	CN9c          	184	1143	B	 28	X	CC	  26.00	    256.5800	nannos   	Nannofossils                                 	A              	G                 	R                          	F                         	R                    	F                	A                          	A                                     	R                	R                    	C                    	C                    	R                  	A                      	C                       	C                  	C                    	R                     	R                     	R                     	R                     	R                     	R                      	                       	                                	                        	                    	                       	                    	                    	                   	                   	                            	                      	                     	                       	                         	                  	                         	                       	                      	                        	                     	                     	                     	                       	                    	                        	                      	                     	                       	                       	                     	                         	                       	                          	                     	                          	                     	                     	                 	                    	                           	       

