Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus abies,Reticulofenestra minutula,Reticulofenestra minuta,Cyclolithella cf. C. annulla,Calcidiscus leptoporus,Helicosphaera carteri,Discolithina/Pontosphaera sp.,Discoaster quinqueramus,Coccolithus pelagicus,Gephyrocapsa sp. (small),Calcidiscus tropicus,Scapholithus fossilis,Rhabdosphaera clavigera,Reticulofenestra pseudoumbilicus,Helicosphaera parallela,Discoaster bergenii,Amaurolithus primus,Discoaster variabilis,Discoaster surculus,Discoaster pentaradiatus,Discoaster brouweri,Calcidiscus macintyrei,Helicosphaera sellii,Florisphaera sp.,Syracosphaera pulchra,Scyphosphaera pulcherrima,Amaurolithus tricorniculatus,Pseudoemiliania lacunosa,Discolithina japonica,Ceratolithus rugosus,Discoaster asymmetricus,Discosphaera tubifera,Hayaster perplexus,Oolithotus antillarum,Scyphosphaera procera,Crenalithus sp.,Umbilicosphaera spp.,Scyphosphaera apsteinii,Discoaster tamalis,Scyphosphaera sp.,Gephyrocapsa oceanica s.l.,Gephyrocapsa caribbeanica,Syracosphaera quadrilaminata,Syracosphaera sp.,Umbellosphaera irregularis,Thorosphaera flabellata,Reticulofenestra sp.,Umbellosphaera tenuis,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,133, 815,A,  1,H, 5,  35.00,      6.3500,Gartner  ,Nannofossils                                 ,C              ,P                 ,                  ,                         ,                       ,                            ,R                     ,                     ,                             ,                       ,                     ,R                       ,                    ,                     ,                       ,                                ,                       ,                   ,                   ,                     ,                   ,                        ,                   ,                      ,                    ,                ,VR                   ,                         ,                            ,F                       ,                     ,                    ,                       ,                     ,                  ,                     ,                     ,               ,F                   ,                       ,                  ,                 ,R                         ,C                        ,                            ,                 ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,133, 815,A,  2,H, 1,  35.00,      7.1500,Gartner  ,Nannofossils                                 ,A              ,P                 ,                  ,                         ,                       ,                            ,R                     ,                     ,                             ,                       ,                     ,R                       ,                    ,VR                   ,                       ,                                ,                       ,                   ,                   ,                     ,                   ,                        ,                   ,                      ,                    ,                ,R                    ,                         ,                            ,F                       ,                     ,                    ,                       ,VR                   ,                  ,                     ,                     ,               ,F                   ,                       ,                  ,                 ,F                         ,C                        ,                            ,R                ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,133, 815,A,  2,H, 2,  35.00,      8.6500,Gartner  ,Nannofossils                                 ,A              ,P                 ,                  ,                         ,                       ,                            ,R                     ,VR                   ,                             ,                       ,                     ,A                       ,                    ,VR                   ,                       ,                                ,                       ,                   ,                   ,                     ,                   ,                        ,                   ,                      ,                    ,                ,                     ,                         ,                            ,F                       ,                     ,                    ,                       ,F                    ,                  ,                     ,                     ,               ,F                   ,                       ,                  ,                 ,C                         ,C                        ,                            ,                 ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,133, 815,A,  2,H, 3,  35.00,     10.1500,Gartner  ,Nannofossils                                 ,V              ,M                 ,                  ,                         ,                       ,                            ,F                     ,F                    ,R                            ,                       ,                     ,A                       ,                    ,                     ,R                      ,                                ,                       ,                   ,                   ,                     ,                   ,                        ,                   ,                      ,                    ,                ,R                    ,                         ,                            ,C                       ,                     ,                    ,                       ,VR                   ,                  ,                     ,                     ,               ,C                   ,                       ,                  ,                 ,R                         ,AA                       ,                            ,                 ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,133, 815,A,  2,H, 4,  35.00,     11.6500,Gartner  ,Nannofossils                                 ,V              ,P                 ,                  ,                         ,                       ,                            ,F                     ,                     ,VR                           ,                       ,                     ,C                       ,                    ,                     ,                       ,                                ,                       ,                   ,                   ,                     ,                   ,                        ,                   ,                      ,                    ,                ,F                    ,                         ,                            ,C                       ,                     ,                    ,                       ,                     ,                  ,                     ,                     ,               ,C                   ,                       ,                  ,                 ,VR                        ,A                        ,VR                          ,                 ,                          ,VR                     ,R                   ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,133, 815,A,  2,H, 5,  35.00,     13.1500,Gartner  ,Nannofossils                                 ,A              ,P                 ,                  ,                         ,                       ,                            ,R                     ,F                    ,VR                           ,                       ,                     ,A                       ,                    ,VR                   ,VR                     ,                                ,                       ,                   ,                   ,                     ,                   ,                        ,                   ,                      ,                    ,                ,R                    ,                         ,                            ,C                       ,                     ,                    ,                       ,                     ,                  ,                     ,                     ,               ,F                   ,                       ,                  ,                 ,R                         ,                         ,                            ,                 ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,133, 815,A,  2,H, 6,  32.00,     14.6200,Gartner  ,Nannofossils                                 ,V              ,P                 ,                  ,                         ,                       ,                            ,R                     ,                     ,                             ,                       ,                     ,AA                      ,                    ,VR                   ,R                      ,                                ,                       ,                   ,                   ,                     ,                   ,                        ,                   ,                      ,                    ,                ,R                    ,                         ,                            ,A                       ,                     ,                    ,                       ,VR                   ,                  ,                     ,                     ,               ,F                   ,                       ,                  ,                 ,                          ,                         ,                            ,                 ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,133, 815,A,  2,H, 7,  32.00,     16.1200,Gartner  ,Nannofossils                                 ,V              ,P                 ,                  ,                         ,                       ,                            ,F                     ,F                    ,VR                           ,                       ,                     ,AA                      ,                    ,VR                   ,F                      ,                                ,                       ,                   ,                   ,                     ,                   ,                        ,                   ,                      ,                    ,                ,F                    ,                         ,                            ,A                       ,                     ,                    ,                       ,                     ,                  ,                     ,                     ,               ,C                   ,                       ,                  ,                 ,R                         ,R                        ,                            ,                 ,VR                        ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,133, 815,A,  3,H, 1,  35.00,     16.6500,Gartner  ,Nannofossils                                 ,V              ,G                 ,                  ,                         ,                       ,                            ,F                     ,C                    ,VR                           ,                       ,                     ,AA                      ,                    ,R                    ,F                      ,                                ,                       ,                   ,                   ,                     ,                   ,                        ,                   ,                      ,                    ,R               ,C                    ,                         ,                            ,A                       ,                     ,                    ,                       ,VR                   ,                  ,VR                   ,                     ,               ,F                   ,                       ,                  ,                 ,F                         ,A                        ,VR                          ,VR               ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,133, 815,A,  3,H, 2,  35.00,     18.1500,Gartner  ,Nannofossils                                 ,V              ,G                 ,                  ,                         ,                       ,                            ,F                     ,VR                   ,VR                           ,                       ,                     ,AA                      ,                    ,R                    ,R                      ,                                ,                       ,                   ,                   ,                     ,                   ,                        ,                   ,                      ,                    ,R               ,F                    ,                         ,                            ,C                       ,VR                   ,                    ,                       ,VR                   ,                  ,                     ,                     ,               ,F                   ,                       ,                  ,                 ,F                         ,C                        ,VR                          ,                 ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13b             ,              ,133, 815,A,  3,H, 3,  35.00,     19.6500,Gartner  ,Nannofossils                                 ,A              ,M                 ,                  ,                         ,                       ,                            ,F                     ,F                    ,VR                           ,                       ,                     ,A                       ,                    ,R                    ,R                      ,                                ,                       ,                   ,                   ,                     ,                   ,                        ,                   ,                      ,VR                  ,R               ,F                    ,                         ,                            ,C                       ,                     ,                    ,                       ,                     ,                  ,VR                   ,                     ,               ,F                   ,                       ,                  ,                 ,                          ,C                        ,                            ,                 ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13a             ,              ,133, 815,A,  3,H, 4,  35.00,     21.1500,Gartner  ,Nannofossils                                 ,A              ,M                 ,                  ,                         ,                       ,                            ,F                     ,F                    ,R                            ,                       ,                     ,A                       ,                    ,VR                   ,R                      ,                                ,                       ,                   ,                   ,                     ,                   ,                        ,                   ,F                     ,                    ,                ,F                    ,                         ,                            ,C                       ,                     ,                    ,                       ,F                    ,                  ,                     ,                     ,               ,F                   ,VR                     ,                  ,                 ,                          ,                         ,                            ,                 ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13a             ,              ,133, 815,A,  3,H, 5,  35.00,     22.6500,Gartner  ,Nannofossils                                 ,A              ,M                 ,                  ,                         ,                       ,                            ,R                     ,F                    ,                             ,                       ,                     ,A                       ,                    ,R                    ,F                      ,                                ,                       ,                   ,                   ,                     ,                   ,                        ,                   ,R                     ,                    ,R               ,F                    ,                         ,                            ,C                       ,                     ,                    ,                       ,F                    ,                  ,                     ,                     ,               ,F                   ,                       ,                  ,                 ,                          ,F                        ,                            ,                 ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13a             ,              ,133, 815,A,  3,H, 6,  35.00,     24.1500,Gartner  ,Nannofossils                                 ,A              ,M                 ,                  ,                         ,                       ,                            ,                      ,F                    ,                             ,                       ,                     ,A                       ,                    ,R                    ,F                      ,                                ,                       ,                   ,                   ,                     ,                   ,                        ,                   ,R                     ,VR                  ,R               ,F                    ,                         ,                            ,A                       ,                     ,                    ,                       ,                     ,                  ,                     ,                     ,               ,F                   ,                       ,                  ,                 ,R                         ,                         ,                            ,                 ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,              ,133, 815,A,  3,H, 7,  35.00,     25.6500,Gartner  ,Nannofossils                                 ,A              ,P                 ,                  ,                         ,                       ,                            ,F                     ,F                    ,                             ,                       ,R                    ,C                       ,                    ,R                    ,F                      ,                                ,                       ,                   ,                   ,                     ,                   ,                        ,VR                 ,                      ,VR                  ,F               ,F                    ,                         ,                            ,A                       ,                     ,                    ,                       ,                     ,VR                ,VR                   ,                     ,               ,R                   ,                       ,                  ,                 ,                          ,                         ,                            ,                 ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,              ,133, 815,A,  4,H, 1,  35.00,     26.1500,Gartner  ,Nannofossils                                 ,A              ,P                 ,                  ,                         ,                       ,                            ,VR                    ,F                    ,                             ,                       ,VR                   ,A                       ,                    ,                     ,F                      ,                                ,                       ,                   ,                   ,                     ,                   ,                        ,                   ,                      ,                    ,F               ,F                    ,                         ,                            ,C                       ,                     ,                    ,                       ,                     ,                  ,                     ,                     ,               ,                    ,                       ,                  ,                 ,VR                        ,VR                       ,                            ,                 ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,              ,133, 815,A,  4,H, 2,  35.00,     27.6500,Gartner  ,Nannofossils                                 ,C              ,P                 ,                  ,                         ,                       ,                            ,F                     ,R                    ,VR                           ,                       ,                     ,                        ,                    ,VR                   ,F                      ,                                ,                       ,                   ,                   ,                     ,                   ,                        ,VR                 ,VR                    ,VR                  ,F               ,F                    ,                         ,                            ,C                       ,                     ,                    ,                       ,                     ,                  ,                     ,                     ,A              ,                    ,                       ,                  ,                 ,                          ,                         ,                            ,                 ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,              ,133, 815,A,  4,H, 3,  35.00,     29.1500,Gartner  ,Nannofossils                                 ,C              ,P                 ,                  ,                         ,                       ,VR                          ,F                     ,F                    ,VR                           ,                       ,R                    ,C                       ,                    ,VR                   ,R                      ,                                ,                       ,                   ,                   ,                     ,                   ,                        ,F                  ,R                     ,VR                  ,                ,F                    ,                         ,                            ,C                       ,                     ,                    ,                       ,VR                   ,                  ,                     ,                     ,A              ,                    ,                       ,                  ,                 ,                          ,                         ,                            ,                 ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,              ,133, 815,A,  4,H, 4,  35.00,     30.6500,Gartner  ,Nannofossils                                 ,C              ,P                 ,                  ,                         ,                       ,                            ,VR                    ,F                    ,R                            ,                       ,R                    ,C                       ,                    ,                     ,R                      ,                                ,                       ,                   ,                   ,                     ,                   ,                        ,F                  ,R                     ,R                   ,                ,F                    ,                         ,                            ,C                       ,                     ,                    ,                       ,                     ,                  ,                     ,                     ,A              ,                    ,                       ,                  ,VR               ,                          ,                         ,                            ,                 ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,              ,133, 815,A,  4,H, 5,  35.00,     32.1500,Gartner  ,Nannofossils                                 ,A              ,P                 ,                  ,                         ,                       ,R                           ,F                     ,F                    ,F                            ,                       ,R                    ,                        ,                    ,F                    ,F                      ,                                ,                       ,                   ,                   ,                     ,                   ,VR                      ,F                  ,F                     ,R                   ,                ,C                    ,                         ,                            ,A                       ,                     ,                    ,                       ,                     ,                  ,                     ,                     ,A              ,                    ,VR                     ,                  ,                 ,                          ,                         ,                            ,                 ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,              ,133, 815,A,  4,H, 6,  35.00,     33.6500,Gartner  ,Nannofossils                                 ,A              ,P                 ,                  ,                         ,                       ,                            ,R                     ,C                    ,R                            ,                       ,                     ,F                       ,                    ,R                    ,F                      ,                                ,                       ,                   ,                   ,                     ,                   ,R                       ,R                  ,VR                    ,F                   ,                ,F                    ,                         ,                            ,A                       ,                     ,                    ,                       ,VR                   ,                  ,                     ,                     ,A              ,                    ,                       ,                  ,                 ,                          ,                         ,                            ,                 ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,              ,133, 815,A,  5,H, 1,  35.00,     35.6500,Gartner  ,Nannofossils                                 ,V              ,M                 ,                  ,C                        ,A                      ,F                           ,R                     ,C                    ,R                            ,                       ,R                    ,                        ,                    ,F                    ,C                      ,                                ,                       ,                   ,                   ,                     ,                   ,R                       ,F                  ,                      ,R                   ,                ,C                    ,                         ,                            ,A                       ,                     ,                    ,                       ,VR                   ,                  ,                     ,R                    ,F              ,                    ,                       ,                  ,                 ,                          ,                         ,                            ,                 ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12b             ,              ,133, 815,A,  5,H, 2,  35.00,     37.1500,Gartner  ,Nannofossils                                 ,A              ,P                 ,                  ,F                        ,F                      ,F                           ,R                     ,F                    ,R                            ,                       ,VR                   ,                        ,                    ,R                    ,F                      ,                                ,                       ,                   ,                   ,                     ,R                  ,F                       ,R                  ,R                     ,R                   ,                ,C                    ,                         ,                            ,A                       ,                     ,                    ,                       ,                     ,                  ,                     ,VR                   ,               ,                    ,                       ,                  ,VR               ,                          ,                         ,                            ,                 ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12b             ,              ,133, 815,A,  5,H, 3,  35.00,     38.6500,Gartner  ,Nannofossils                                 ,A              ,M                 ,                  ,A                        ,C                      ,R                           ,F                     ,C                    ,R                            ,                       ,VR                   ,                        ,                    ,                     ,F                      ,                                ,                       ,                   ,                   ,                     ,VR                 ,C                       ,C                  ,C                     ,                    ,                ,R                    ,VR                       ,                            ,A                       ,VR                   ,                    ,                       ,VR                   ,                  ,VR                   ,VR                   ,C              ,                    ,R                      ,                  ,                 ,                          ,                         ,                            ,                 ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12b             ,              ,133, 815,A,  5,H, 4,  35.00,     40.1500,Gartner  ,Nannofossils                                 ,V              ,M                 ,                  ,A                        ,C                      ,F                           ,F                     ,C                    ,VR                           ,                       ,VR                   ,R                       ,                    ,R                    ,C                      ,                                ,                       ,                   ,                   ,                     ,                   ,R                       ,F                  ,R                     ,                    ,                ,C                    ,                         ,                            ,A                       ,                     ,VR                  ,                       ,                     ,                  ,                     ,VR                   ,               ,                    ,VR                     ,                  ,                 ,                          ,                         ,                            ,                 ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12b             ,              ,133, 815,A,  5,H, 5,  35.00,     41.6500,Gartner  ,Nannofossils                                 ,V              ,M                 ,                  ,A                        ,A                      ,R                           ,F                     ,C                    ,R                            ,                       ,F                    ,R                       ,                    ,R                    ,C                      ,                                ,                       ,                   ,                   ,                     ,                   ,F                       ,F                  ,F                     ,                    ,                ,C                    ,                         ,                            ,A                       ,                     ,                    ,                       ,                     ,                  ,                     ,                     ,               ,                    ,R                      ,                  ,                 ,                          ,                         ,                            ,                 ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,133, 815,A,  5,H, 6,  35.00,     43.1500,Gartner  ,Nannofossils                                 ,V              ,G                 ,                  ,A                        ,A                      ,                            ,C                     ,C                    ,R                            ,                       ,VR                   ,                        ,                    ,VR                   ,C                      ,                                ,                       ,                   ,                   ,                     ,VR                 ,F                       ,F                  ,C                     ,R                   ,F               ,C                    ,                         ,                            ,C                       ,VR                   ,VR                  ,VR                     ,R                    ,                  ,VR                   ,                     ,               ,                    ,                       ,VR                ,                 ,                          ,                         ,                            ,                 ,                          ,                       ,                    ,                     ,                 ,from ODP 133 SR Chapter 1 Figure 7 p 9 & Table 1 pp 10-13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
