Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera spp.,Syracosphaera spp.,Rhabdosphaera stylifera,Rhabdosphaera clavigera,Reticulofenestra spp. (small - medium),Pseudoemiliania lacunosa,Oolithotus fragilis,Helicosphaera spp.,Hayaster perplexus,Gephyrocapsa spp. (small),Emiliania ovata,Discoaster tamalis (grainy),Discoaster surculus (grainy),Discoaster spp. (fragments),Discoaster spp. (6 rays),Discoaster spp. (5 rays),Discoaster pentaradiatus (grainy),Discoaster ono,Discoaster brouweri (grainy),Discoaster asymmetricus (grainy),Dictyococcites productus,Cycloperfolithus carlae,Cyclolithus annulus,Coccolithus pataecus,Calcidiscus macintyrei,Calcidiscus leptoporus,Triquetrorhabdulus rugosus,Helicosphaera sellii,Helicosphaera kamptneri,Discoaster variabilis,Discoaster triradiatus,Discoaster tamalis,Discoaster surculus,Discoaster stellulus,Discoaster sp. A,Discoaster pentaradiatus,Discoaster brouweri,Discoaster blackstockae,Discoaster asymmetricus,Discoaster archipelagoensis,Coccolithus pelagicus,Ceratolithus cristatus,Discoaster pentaradiatus (fragments),Ceratolithus spp.,Thoracosphaera spp.,Scyphosphaera sp. (fragment),Scapholithus fossilis,Pontosphaera spp.,Helicosphaera hyalina,Discoaster quadramus,Discoaster intercalaris,Thoracosphaera saxea,Sphenolithus verensis,Sphenolithus neoabies,Sphenolithus abies,Scyphosphaera apsteinii,Reticulofenestra pseudoumbilicus,Ceratolithus rugosus,Hayaster perplexus fr.,Scyphosphaera pulcherrima,Holodiscolithus spp.,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pontosphaera japonica,Scyphosphaera galeana,Ceratolithus telesmus,Amaurolithus delicatus,Scyphosphaera spp.,Thoracosphaera granifera,Helicosphaera pavimentum,Pontosphaera indooceanica,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14              ,              ,135, 835,A,  5,H, 7,  10.00,     47.1000,Styzen   ,Nannofossils                                 ,               ,                  ,S                   ,S                 ,R                      ,R                      ,                                      ,R                       ,                   ,                  ,                  ,V                        ,               ,                           ,                            ,                           ,                        ,                        ,                                 ,              ,                            ,                                ,                        ,                       ,                   ,                    ,                      ,R                     ,                          ,                    ,R                      ,                     ,                      ,                  ,                   ,                    ,                ,                        ,                   ,                       ,                       ,                           ,                     ,                      ,                                    ,                 ,                   ,                            ,R                    ,                 ,R                    ,                    ,                       ,                    ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,                    ,S                    ,R                        ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14              ,              ,135, 835,A,  6,H, 3,  30.00,     50.8000,Styzen   ,Nannofossils                                 ,               ,                  ,A                   ,V                 ,M                      ,C                      ,                                      ,L                       ,M                  ,                  ,F                 ,X                        ,M              ,                           ,                            ,                           ,                        ,                        ,                                 ,              ,                            ,                                ,                        ,                       ,F                  ,                    ,                      ,C                     ,                          ,                    ,C                      ,                     ,                      ,                  ,                   ,                    ,                ,R                       ,                   ,                       ,                       ,                           ,                     ,R                     ,                                    ,                 ,                   ,R                           ,F                    ,F                ,F                    ,                    ,                       ,S                   ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,                    ,C                    ,R                        ,                     ,                     ,                     ,                      ,                  ,                        ,S                       ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14              ,              ,135, 835,A,  6,H, 4,  60.00,     52.6000,Styzen   ,Nannofossils                                 ,               ,                  ,L                   ,C                 ,F                      ,S                      ,                                      ,L                       ,F                  ,                  ,S                 ,X                        ,C              ,                           ,                            ,                           ,                        ,                        ,                                 ,              ,                            ,                                ,                        ,                       ,F                  ,                    ,                      ,C                     ,                          ,                    ,M                      ,                     ,                      ,R                 ,                   ,                    ,                ,                        ,R                  ,                       ,                       ,                           ,                     ,R                     ,                                    ,                 ,                   ,R                           ,F                    ,F                ,M                    ,                    ,                       ,S                   ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,R                   ,M                    ,                         ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14              ,              ,135, 835,A,  6,H, 5,  30.00,     53.8000,Styzen   ,Nannofossils                                 ,               ,                  ,A                   ,L                 ,L                      ,L                      ,                                      ,X                       ,F                  ,                  ,F                 ,X                        ,V              ,                           ,                            ,                           ,                        ,                        ,                                 ,              ,                            ,                                ,                        ,                       ,M                  ,                    ,                      ,L                     ,                          ,                    ,L                      ,                     ,                      ,                  ,                   ,                    ,                ,R                       ,                   ,                       ,                       ,                           ,                     ,S                     ,                                    ,                 ,M                  ,F                           ,F                    ,R                ,L                    ,                    ,                       ,                    ,                     ,                     ,                  ,R                      ,                                ,                    ,                      ,                         ,                    ,L                    ,                         ,                     ,                     ,R                    ,                      ,                  ,R                       ,R                       ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14              ,              ,135, 835,A,  6,H, 6,  60.00,     55.6000,Styzen   ,Nannofossils                                 ,               ,                  ,L                   ,A                 ,A                      ,A                      ,R                                     ,W                       ,S                  ,                  ,S                 ,X                        ,W              ,                           ,                            ,A                          ,                        ,                        ,                                 ,              ,                            ,                                ,R                       ,                       ,S                  ,R                   ,S                     ,L                     ,                          ,S                   ,L                      ,                     ,                      ,                  ,                   ,                    ,                ,L                       ,L                  ,                       ,                       ,                           ,R                    ,                      ,                                    ,                 ,                   ,R                           ,R                    ,                 ,S                    ,                    ,                       ,                    ,                     ,                     ,                  ,                       ,                                ,R                   ,                      ,                         ,                    ,R                    ,F                        ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14              ,              ,135, 835,A,  6,H, 6,  90.00,     55.9000,Styzen   ,Nannofossils                                 ,               ,                  ,L                   ,V                 ,V                      ,F                      ,R                                     ,X                       ,C                  ,                  ,F                 ,X                        ,W              ,                           ,                            ,                           ,                        ,                        ,                                 ,              ,                            ,                                ,                        ,                       ,R                  ,                    ,C                     ,L                     ,                          ,F                   ,A                      ,                     ,                      ,                  ,                   ,                    ,                ,R                       ,R                  ,                       ,                       ,                           ,                     ,                      ,                                    ,                 ,F                  ,R                           ,R                    ,                 ,F                    ,                    ,                       ,                    ,                     ,R                    ,                  ,                       ,                                ,R                   ,                      ,                         ,                    ,                     ,                         ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14              ,              ,135, 835,A,  6,H, 6, 120.00,     56.2000,Styzen   ,Nannofossils                                 ,               ,                  ,V                   ,A                 ,V                      ,M                      ,                                      ,W                       ,M                  ,                  ,F                 ,X                        ,V              ,                           ,                            ,R                          ,                        ,                        ,                                 ,              ,                            ,                                ,                        ,                       ,F                  ,                    ,                      ,A                     ,                          ,F                   ,A                      ,                     ,R                     ,                  ,                   ,                    ,                ,R                       ,R                  ,                       ,                       ,                           ,                     ,R                     ,                                    ,                 ,M                  ,                            ,                     ,R                ,M                    ,                    ,                       ,R                   ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,                    ,A                    ,A                        ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14              ,              ,135, 835,A,  7,H, 1,  30.00,     57.3000,Styzen   ,Nannofossils                                 ,               ,                  ,A                   ,A                 ,C                      ,M                      ,F                                     ,V                       ,M                  ,                  ,S                 ,X                        ,V              ,                           ,                            ,L                          ,                        ,                        ,                                 ,              ,                            ,                                ,                        ,S                      ,M                  ,                    ,C                     ,A                     ,                          ,F                   ,L                      ,                     ,R                     ,S                 ,M                  ,                    ,                ,L                       ,L                  ,                       ,F                      ,                           ,                     ,                      ,                                    ,                 ,F                  ,F                           ,S                    ,S                ,F                    ,S                   ,                       ,R                   ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,R                   ,C                    ,S                        ,                     ,                     ,                     ,                      ,R                 ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14              ,              ,135, 835,A,  7,H, 2,  40.00,     58.9000,Styzen   ,Nannofossils                                 ,               ,                  ,A                   ,A                 ,A                      ,A                      ,                                      ,W                       ,M                  ,                  ,F                 ,X                        ,W              ,                           ,                            ,                           ,                        ,                        ,                                 ,              ,                            ,                                ,                        ,                       ,S                  ,                    ,F                     ,A                     ,                          ,F                   ,L                      ,                     ,                      ,                  ,                   ,                    ,                ,R                       ,R                  ,                       ,                       ,                           ,                     ,R                     ,                                    ,                 ,F                  ,R                           ,S                    ,S                ,M                    ,                    ,                       ,                    ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,                    ,R                    ,                         ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14              ,              ,135, 835,A,  7,H, 3,  70.00,     60.7000,Styzen   ,Nannofossils                                 ,               ,                  ,L                   ,L                 ,A                      ,C                      ,R                                     ,W                       ,F                  ,                  ,R                 ,X                        ,W              ,                           ,                            ,F                          ,R                       ,                        ,                                 ,              ,                            ,                                ,R                       ,                       ,S                  ,                    ,M                     ,L                     ,                          ,F                   ,C                      ,                     ,M                     ,                  ,                   ,                    ,                ,S                       ,L                  ,R                      ,                       ,R                          ,                     ,                      ,                                    ,                 ,F                  ,R                           ,                     ,                 ,S                    ,                    ,                       ,                    ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,                    ,                     ,S                        ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14              ,              ,135, 835,A,  7,H, 4,  90.00,     62.4000,Styzen   ,Nannofossils                                 ,               ,                  ,L                   ,C                 ,L                      ,C                      ,R                                     ,V                       ,S                  ,                  ,R                 ,X                        ,V              ,                           ,                            ,S                          ,                        ,                        ,                                 ,              ,                            ,                                ,                        ,                       ,S                  ,                    ,S                     ,C                     ,                          ,R                   ,C                      ,                     ,F                     ,                  ,                   ,                    ,                ,R                       ,L                  ,                       ,                       ,                           ,                     ,S                     ,                                    ,                 ,R                  ,                            ,S                    ,R                ,F                    ,                    ,                       ,                    ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,                    ,                     ,                         ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN14              ,              ,135, 835,A,  7,H, 5,  60.00,     63.6000,Styzen   ,Nannofossils                                 ,               ,                  ,A                   ,L                 ,A                      ,C                      ,S                                     ,V                       ,S                  ,                  ,                  ,                         ,W              ,                           ,                            ,C                          ,S                       ,                        ,                                 ,              ,                            ,                                ,                        ,                       ,R                  ,                    ,S                     ,C                     ,                          ,S                   ,C                      ,                     ,F                     ,                  ,                   ,R                   ,                ,R                       ,A                  ,R                      ,                       ,                           ,                     ,S                     ,                                    ,                 ,                   ,S                           ,F                    ,R                ,F                    ,R                   ,                       ,                    ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,R                   ,S                    ,S                        ,                     ,                     ,                     ,R                     ,                  ,                        ,                        ,                         ,                 ,Pliocene age designated as reworked; from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN12              ,              ,135, 835,A,  7,H, 6,  90.00,     65.4000,Styzen   ,Nannofossils                                 ,               ,                  ,A                   ,A                 ,V                      ,F                      ,                                      ,V                       ,M                  ,                  ,S                 ,X                        ,V              ,                           ,                            ,M                          ,S                       ,R                       ,                                 ,              ,                            ,                                ,                        ,                       ,S                  ,                    ,F                     ,L                     ,                          ,R                   ,L                      ,                     ,                      ,                  ,                   ,                    ,                ,                        ,L                  ,                       ,                       ,                           ,R                    ,                      ,                                    ,                 ,F                  ,R                           ,F                    ,S                ,F                    ,                    ,                       ,                    ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,                    ,                     ,                         ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,Pliocene age designated as reworked; from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN12              ,              ,135, 835,A,  7,H, 7,  55.00,     66.5500,Styzen   ,Nannofossils                                 ,               ,                  ,A                   ,L                 ,V                      ,F                      ,R                                     ,W                       ,F                  ,                  ,                  ,X                        ,W              ,                           ,                            ,C                          ,S                       ,                        ,                                 ,              ,                            ,                                ,                        ,                       ,R                  ,                    ,F                     ,L                     ,                          ,R                   ,C                      ,                     ,                      ,                  ,                   ,                    ,                ,                        ,L                  ,                       ,                       ,                           ,R                    ,                      ,                                    ,                 ,R                  ,R                           ,R                    ,R                ,R                    ,                    ,                       ,                    ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,R                        ,                    ,                     ,                         ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,Pliocene age designated as reworked; from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN12              ,              ,135, 835,A,  8,H, 2,  54.00,     68.5400,Styzen   ,Nannofossils                                 ,               ,                  ,V                   ,A                 ,V                      ,F                      ,A                                     ,X                       ,                   ,                  ,                  ,X                        ,X              ,                           ,                            ,W                          ,                        ,                        ,                                 ,S             ,                            ,                                ,                        ,                       ,A                  ,                    ,F                     ,L                     ,                          ,S                   ,L                      ,R                    ,                      ,S                 ,C                  ,R                   ,                ,V                       ,L                  ,                       ,S                      ,                           ,R                    ,S                     ,                                    ,                 ,S                  ,F                           ,R                    ,R                ,                     ,S                   ,                       ,                    ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,                    ,                     ,                         ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,Pliocene age designated as reworked; from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN12              ,              ,135, 835,A,  8,H, 2,  98.00,     68.9800,Styzen   ,Nannofossils                                 ,               ,                  ,F                   ,A                 ,L                      ,                       ,F                                     ,W                       ,S                  ,                  ,                  ,X                        ,W              ,                           ,                            ,A                          ,R                       ,                        ,                                 ,              ,                            ,                                ,                        ,R                      ,L                  ,                    ,S                     ,C                     ,                          ,R                   ,L                      ,                     ,                      ,                  ,M                  ,                    ,                ,C                       ,M                  ,                       ,S                      ,                           ,R                    ,R                     ,                                    ,                 ,R                  ,                            ,                     ,S                ,R                    ,R                   ,R                      ,                    ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,                    ,                     ,                         ,                     ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,Pliocene age designated as reworked; from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN12              ,              ,135, 835,A,  8,H, 2, 120.00,     69.2000,Styzen   ,Nannofossils                                 ,               ,                  ,F                   ,C                 ,F                      ,S                      ,F                                     ,A                       ,F                  ,                  ,                  ,W                        ,V              ,                           ,                            ,C                          ,                        ,                        ,                                 ,R             ,                            ,                                ,                        ,                       ,F                  ,R                   ,S                     ,M                     ,                          ,                    ,F                      ,                     ,R                     ,R                 ,M                  ,                    ,                ,C                       ,M                  ,                       ,R                      ,R                          ,R                    ,                      ,                                    ,                 ,R                  ,                            ,                     ,                 ,R                    ,                    ,                       ,                    ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,                    ,                     ,                         ,                     ,                     ,R                    ,                      ,                  ,                        ,                        ,                         ,                 ,Pliocene age designated as reworked; from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN12              ,              ,135, 835,A,  8,H, 2, 144.00,     69.4400,Styzen   ,Nannofossils                                 ,               ,                  ,L                   ,C                 ,A                      ,C                      ,R                                     ,V                       ,F                  ,                  ,S                 ,X                        ,W              ,                           ,                            ,C                          ,                        ,                        ,                                 ,              ,                            ,                                ,                        ,S                      ,F                  ,                    ,S                     ,L                     ,                          ,                    ,L                      ,                     ,                      ,R                 ,S                  ,                    ,                ,C                       ,C                  ,                       ,                       ,R                          ,                     ,                      ,                                    ,                 ,F                  ,S                           ,S                    ,F                ,C                    ,                    ,                       ,R                   ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,                    ,M                    ,M                        ,                     ,R                    ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN12              ,              ,135, 835,A,  8,H, 2, 145.00,     69.4500,Styzen   ,Nannofossils                                 ,               ,                  ,A                   ,C                 ,A                      ,C                      ,                                      ,W                       ,F                  ,                  ,S                 ,X                        ,W              ,                           ,                            ,C                          ,                        ,                        ,                                 ,R             ,                            ,                                ,                        ,                       ,F                  ,R                   ,S                     ,L                     ,                          ,                    ,L                      ,                     ,                      ,R                 ,                   ,                    ,                ,L                       ,F                  ,                       ,                       ,                           ,                     ,R                     ,                                    ,                 ,S                  ,R                           ,F                    ,R                ,M                    ,                    ,                       ,                    ,                     ,                     ,                  ,                       ,                                ,                    ,                      ,                         ,R                   ,F                    ,F                        ,R                    ,                     ,                     ,                      ,                  ,                        ,                        ,                         ,                 ,from ODP Leg 135 Chapter 13 Table 4 p. 196-198
