Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Syracosphaera spp.,Pseudoemiliania lacunosa,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Emiliania huxleyi,Coccolithus pelagicus,Pontosphaera spp.,Helicosphaera carteri,Gephyrocapsa spp. (small),Calcidiscus leptoporus,Ceratolithus cristatus,Rhabdosphaera clavigera,Gephyrocapsa margerelii,Umbilicosphaera sibogae,Syracosphaera pulchra,Umbellosphaera spp.,Comment
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 22,X,CC,  36.00,    199.6900,cur      ,Nannofossils                                 ,R              ,G                 ,                  ,                        ,R                    ,                         ,R                ,                     ,                 ,                     ,                         ,                      ,                      ,                       ,                       ,                       ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 23,X,CC,  38.00,    208.4600,cur      ,Nannofossils                                 ,F              ,G                 ,                  ,                        ,F                    ,F                        ,F                ,                     ,                 ,R                    ,F                        ,R                     ,R                     ,R                      ,                       ,                       ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 24,X,CC,  54.00,    219.0800,cur      ,Nannofossils                                 ,R              ,G                 ,                  ,                        ,R                    ,R                        ,R                ,                     ,                 ,                     ,R                        ,                      ,                      ,                       ,                       ,                       ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 25,X,CC,  13.00,    224.2600,cur      ,Nannofossils                                 ,T              ,G                 ,                  ,                        ,R                    ,                         ,R                ,                     ,                 ,                     ,R                        ,                      ,                      ,                       ,R                      ,                       ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 26,X,CC,  16.00,    230.2600,cur      ,Nannofossils                                 ,T              ,G                 ,                  ,                        ,R                    ,                         ,R                ,                     ,                 ,                     ,R                        ,                      ,                      ,                       ,R                      ,                       ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 27,X,CC,   8.00,    243.9500,cur      ,Nannofossils                                 ,R              ,M                 ,                  ,                        ,R                    ,R                        ,R                ,                     ,                 ,R                    ,                         ,                      ,                      ,                       ,                       ,R                      ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 30,X,CC,  14.00,    270.4900,cur      ,Nannofossils                                 ,T              ,M                 ,                  ,                        ,R                    ,                         ,R                ,                     ,                 ,                     ,                         ,                      ,                      ,                       ,                       ,                       ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 31,X,CC,  42.00,    286.4200,cur      ,Nannofossils                                 ,R              ,G                 ,R                 ,                        ,F                    ,                         ,R                ,                     ,                 ,                     ,R                        ,                      ,                      ,                       ,                       ,                       ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 32,X,CC,   9.00,    295.1000,cur      ,Nannofossils                                 ,R              ,G                 ,R                 ,                        ,A                    ,                         ,C                ,                     ,                 ,F                    ,F                        ,R                     ,                      ,R                      ,                       ,                       ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 33,X,CC,  21.00,    305.8800,cur      ,Nannofossils                                 ,F              ,G                 ,F                 ,                        ,A                    ,                         ,C                ,                     ,                 ,F                    ,F                        ,R                     ,R                     ,                       ,                       ,R                      ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 34,X,CC,  10.00,    315.5200,cur      ,Nannofossils                                 ,C              ,G                 ,                  ,                        ,A                    ,                         ,C                ,                     ,                 ,C                    ,                         ,                      ,R                     ,R                      ,                       ,R                      ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 35,X, 6, 131.00,    325.2400,cur      ,Nannofossils                                 ,F              ,G                 ,                  ,                        ,F                    ,                         ,F                ,                     ,                 ,F                    ,                         ,                      ,                      ,                       ,                       ,                       ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 36,X,CC,  76.00,    335.3300,cur      ,Nannofossils                                 ,F              ,G                 ,R                 ,                        ,F                    ,F                        ,F                ,                     ,                 ,R                    ,                         ,                      ,                      ,R                      ,                       ,R                      ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 37,X,CC,  88.00,    344.2300,cur      ,Nannofossils                                 ,R              ,G                 ,                  ,                        ,F                    ,                         ,F                ,                     ,                 ,                     ,                         ,                      ,                      ,                       ,                       ,                       ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 38,X,CC,  54.00,    354.6900,cur      ,Nannofossils                                 ,R              ,G                 ,R                 ,                        ,F                    ,                         ,F                ,                     ,                 ,R                    ,                         ,                      ,                      ,R                      ,R                      ,                       ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 39,X, 6, 115.00,    363.2300,cur      ,Nannofossils                                 ,R              ,G                 ,R                 ,                        ,R                    ,                         ,R                ,                     ,                 ,R                    ,R                        ,                      ,                      ,R                      ,                       ,                       ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 40,X,CC, 102.00,    373.3800,cur      ,Nannofossils                                 ,R              ,G                 ,                  ,                        ,F                    ,                         ,F                ,                     ,                 ,                     ,                         ,                      ,R                     ,                       ,                       ,                       ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 41,X,CC,  33.00,    383.3200,cur      ,Nannofossils                                 ,R              ,G                 ,                  ,                        ,R                    ,                         ,F                ,                     ,                 ,R                    ,                         ,R                     ,                      ,                       ,                       ,                       ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 42,X,CC,  21.00,    392.9100,cur      ,Nannofossils                                 ,R              ,G                 ,R                 ,                        ,F                    ,R                        ,F                ,R                    ,R                ,R                    ,R                        ,R                     ,                      ,                       ,                       ,                       ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 43,X,CC,  30.00,    399.1500,cur      ,Nannofossils                                 ,T              ,G                 ,                  ,                        ,F                    ,R                        ,F                ,R                    ,                 ,                     ,                         ,                      ,                      ,                       ,                       ,                       ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NN21              ,NN21          ,195,1202,D, 44,X,CC,   9.00,    408.0600,cur      ,Nannofossils                                 ,T              ,G                 ,R                 ,R                       ,R                    ,R                        ,R                ,                     ,                 ,                     ,                         ,                      ,                      ,                       ,                       ,                       ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
