Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Pulleniatina primalis,Neogloboquadrina pachyderma (dextral),Neogloboquadrina humerosa,Globorotalia scitula,Globorotalia puncticulata,Globorotalia miocenica,Globorotalia menardii,Globorotalia crassula,Globorotalia crassaformis crassaformis,Globoquadrina altispira,Globigerinoides trilobus,Globigerinoides sacculifer,Globigerinoides ruber (white),Globigerinoides obliquus obliquus,Globigerinita glutinata,Globigerina decoraperta,Globigerina apertura,Orbulina universa,Globorotalia pertenuis,Globigerinoides obliquus extremus,Globigerinoides fistulosus,Globigerinoides conglobatus,Globigerinella aequilateralis,Globigerina bulloides,Sphaeroidinella dehiscens,Globorotaloides hexagona,Neogloboquadrina pseudopima,Globorotalia exilis,Pulleniatina praecursor,Pulleniatina obliquiloculata,Globorotalia triangula,Neogloboquadrina dutertrei,Globorotalia inflata,Globigerina rubescens,Globigerina falconensis,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia tumida,Neogloboquadrina acostaensis (dextral),Globorotalia margaritae,Globorotalia limbata,Globorotalia crassaformis viola,Globigerinoides ruber (pink),Globigerinoides tenellus,Beella digitata,Globorotalia tumida flexuosa,Globorotalia crassaformis hessi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. truncatulinoides,              ,108, 663,A,  6,H,CC,  13.00,     50.1500,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                     ,R                                    ,                         ,R                   ,                         ,                      ,                     ,                     ,R                                     ,                       ,F                       ,F                         ,C                            ,                                 ,F                      ,                       ,                    ,R                ,                      ,                                 ,                          ,R                          ,R                            ,R                    ,R                        ,R                       ,                           ,                   ,                       ,R                           ,                      ,F                         ,                    ,C                    ,                       ,R                            ,                      ,                   ,                                      ,                       ,                    ,                               ,                            ,                        ,               ,                            ,                               ,from ODP Leg 108 SR Chapter 5 Table 11 p 85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. truncatulinoides,              ,108, 663,A,  8,H,CC,  15.00,     70.1900,Weaver   ,Planktonic Foraminifers                      ,C              ,M                 ,                              ,                     ,F                                    ,                         ,R                   ,                         ,                      ,                     ,                     ,R                                     ,                       ,R                       ,R                         ,C                            ,                                 ,F                      ,                       ,                    ,R                ,                      ,                                 ,                          ,                           ,                             ,C                    ,                         ,                        ,                           ,                   ,                       ,R                           ,                      ,F                         ,                    ,R                    ,R                      ,                             ,                      ,R                  ,                                      ,                       ,                    ,                               ,                            ,                        ,               ,                            ,                               ,from ODP Leg 108 SR Chapter 5 Table 11 p 85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL6               ,              ,108, 663,A,  9,H,CC,  16.00,     79.3600,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                     ,C                                    ,F                        ,R                   ,                         ,                      ,                     ,                     ,R                                     ,                       ,R                       ,R                         ,F                            ,R                                ,F                      ,                       ,                    ,R                ,                      ,                                 ,                          ,                           ,                             ,R                    ,R                        ,                        ,                           ,                   ,R                      ,                            ,R                     ,                          ,                    ,                     ,                       ,R                            ,R                     ,                   ,                                      ,                       ,                    ,                               ,                            ,                        ,               ,                            ,                               ,from ODP Leg 108 SR Chapter 5 Table 11 p 85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL6               ,              ,108, 663,A, 10,H,CC,  15.00,     88.7700,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                     ,R                                    ,                         ,R                   ,                         ,                      ,                     ,                     ,R                                     ,                       ,R                       ,R                         ,A                            ,                                 ,C                      ,                       ,                    ,R                ,                      ,R                                ,                          ,R                          ,R                            ,R                    ,R                        ,                        ,                           ,                   ,                       ,R                           ,                      ,R                         ,C                   ,R                    ,R                      ,                             ,                      ,                   ,                                      ,                       ,                    ,                               ,                            ,                        ,               ,                            ,                               ,from ODP Leg 108 SR Chapter 5 Table 11 p 85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL6               ,              ,108, 663,A, 11,H,CC,  13.00,     98.4500,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                     ,C                                    ,R                        ,R                   ,R                        ,                      ,R                    ,R                    ,R                                     ,                       ,R                       ,R                         ,C                            ,R                                ,R                      ,R                      ,                    ,R                ,                      ,                                 ,                          ,                           ,                             ,                     ,R                        ,                        ,R                          ,                   ,R                      ,R                           ,R                     ,                          ,                    ,                     ,                       ,                             ,                      ,                   ,                                      ,                       ,                    ,                               ,                            ,                        ,               ,                            ,                               ,from ODP Leg 108 SR Chapter 5 Table 11 p 85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL6               ,              ,108, 663,A, 12,H,CC,  21.00,    108.6900,Weaver   ,Planktonic Foraminifers                      ,A              ,M                 ,                              ,                     ,                                     ,R                        ,R                   ,                         ,                      ,C                    ,                     ,R                                     ,                       ,F                       ,R                         ,C                            ,R                                ,R                      ,R                      ,                    ,R                ,                      ,                                 ,                          ,                           ,                             ,R                    ,                         ,                        ,F                          ,                   ,                       ,R                           ,R                     ,                          ,                    ,                     ,                       ,                             ,                      ,                   ,                                      ,                       ,                    ,                               ,                            ,                        ,               ,                            ,                               ,from ODP Leg 108 SR Chapter 5 Table 11 p 85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL6               ,              ,108, 663,A, 13,H, 3,  82.00,    113.0200,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                     ,                                     ,F                        ,R                   ,                         ,                      ,                     ,                     ,R                                     ,                       ,C                       ,F                         ,A                            ,R                                ,R                      ,                       ,                    ,R                ,                      ,                                 ,                          ,R                          ,                             ,R                    ,R                        ,                        ,F                          ,                   ,R                      ,R                           ,                      ,                          ,                    ,                     ,                       ,                             ,                      ,                   ,                                      ,                       ,                    ,                               ,                            ,                        ,               ,                            ,                               ,from ODP Leg 108 SR Chapter 5 Table 11 p 85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL6               ,              ,108, 663,A, 13,H, 4, 106.00,    114.7600,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                     ,                                     ,                         ,R                   ,                         ,                      ,                     ,                     ,R                                     ,                       ,C                       ,R                         ,A                            ,R                                ,R                      ,R                      ,                    ,R                ,                      ,                                 ,                          ,R                          ,R                            ,                     ,R                        ,                        ,C                          ,                   ,F                      ,                            ,                      ,                          ,                    ,                     ,                       ,                             ,                      ,                   ,                                      ,                       ,                    ,                               ,                            ,                        ,               ,                            ,                               ,from ODP Leg 108 SR Chapter 5 Table 11 p 85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL5               ,              ,108, 663,A, 13,H,CC,  15.00,    118.0000,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                     ,                                     ,C                        ,R                   ,                         ,R                     ,                     ,R                    ,                                      ,                       ,F                       ,R                         ,C                            ,R                                ,R                      ,                       ,                    ,R                ,                      ,                                 ,                          ,                           ,                             ,R                    ,R                        ,                        ,F                          ,                   ,                       ,                            ,                      ,                          ,                    ,                     ,                       ,                             ,                      ,                   ,                                      ,                       ,                    ,                               ,                            ,                        ,               ,                            ,                               ,from ODP Leg 108 SR Chapter 5 Table 11 p 85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL5               ,              ,108, 663,A, 14,H,CC,  19.00,    127.3300,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                     ,F                                    ,                         ,R                   ,R                        ,F                     ,                     ,R                    ,R                                     ,                       ,                        ,R                         ,C                            ,F                                ,R                      ,F                      ,R                   ,R                ,                      ,F                                ,                          ,                           ,                             ,                     ,R                        ,                        ,C                          ,                   ,                       ,                            ,                      ,                          ,                    ,                     ,                       ,                             ,                      ,                   ,                                      ,                       ,                    ,                               ,                            ,                        ,               ,                            ,                               ,from ODP Leg 108 SR Chapter 5 Table 11 p 85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL5               ,              ,108, 663,A, 15,H, 3, 141.00,    132.6100,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                     ,F                                    ,F                        ,R                   ,R                        ,R                     ,                     ,R                    ,R                                     ,                       ,R                       ,                          ,F                            ,C                                ,R                      ,C                      ,                    ,R                ,R                     ,R                                ,                          ,                           ,                             ,                     ,R                        ,                        ,C                          ,                   ,                       ,                            ,                      ,                          ,                    ,                     ,                       ,                             ,                      ,                   ,                                      ,                       ,                    ,                               ,                            ,                        ,               ,                            ,                               ,from ODP Leg 108 SR Chapter 5 Table 11 p 85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL5               ,              ,108, 663,A, 15,H, 5,  88.00,    135.0800,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                     ,R                                    ,C                        ,R                   ,R                        ,R                     ,                     ,R                    ,R                                     ,                       ,C                       ,R                         ,C                            ,F                                ,R                      ,C                      ,                    ,                 ,R                     ,F                                ,                          ,                           ,                             ,                     ,                         ,                        ,                           ,                   ,                       ,                            ,                      ,                          ,                    ,                     ,                       ,                             ,                      ,                   ,                                      ,                       ,                    ,                               ,                            ,                        ,               ,                            ,                               ,from ODP Leg 108 SR Chapter 5 Table 11 p 85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL5               ,              ,108, 663,A, 15,H,CC,  19.00,    137.1200,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,R                    ,                                     ,                         ,                    ,R                        ,F                     ,                     ,R                    ,R                                     ,R                      ,R                       ,R                         ,                             ,F                                ,R                      ,F                      ,                    ,R                ,                      ,R                                ,                          ,                           ,                             ,R                    ,                         ,R                       ,C                          ,R                  ,                       ,                            ,                      ,                          ,                    ,                     ,                       ,                             ,                      ,                   ,                                      ,                       ,                    ,                               ,                            ,                        ,               ,                            ,                               ,from ODP Leg 108 SR Chapter 5 Table 11 p 85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL5               ,              ,108, 663,A, 16,H, 1, 119.00,    138.8900,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                     ,                                     ,C                        ,R                   ,                         ,F                     ,                     ,                     ,R                                     ,                       ,F                       ,R                         ,F                            ,C                                ,R                      ,C                      ,                    ,R                ,R                     ,R                                ,                          ,R                          ,                             ,                     ,                         ,                        ,                           ,                   ,                       ,                            ,                      ,                          ,                    ,                     ,                       ,                             ,                      ,                   ,                                      ,                       ,                    ,                               ,                            ,                        ,               ,                            ,                               ,from ODP Leg 108 SR Chapter 5 Table 11 p 85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL5               ,              ,108, 663,A, 16,H, 3, 116.00,    141.8600,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                     ,                                     ,C                        ,                    ,R                        ,R                     ,                     ,R                    ,                                      ,R                      ,F                       ,R                         ,C                            ,F                                ,R                      ,F                      ,R                   ,R                ,R                     ,R                                ,                          ,                           ,R                            ,                     ,R                        ,R                       ,                           ,                   ,                       ,                            ,                      ,                          ,                    ,                     ,                       ,                             ,                      ,                   ,                                      ,                       ,                    ,                               ,                            ,                        ,               ,                            ,                               ,from ODP Leg 108 SR Chapter 5 Table 11 p 85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL5               ,              ,108, 663,A, 16,H, 5, 125.00,    144.9500,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                     ,                                     ,C                        ,R                   ,R                        ,F                     ,                     ,R                    ,R                                     ,                       ,C                       ,R                         ,F                            ,R                                ,R                      ,C                      ,                    ,R                ,R                     ,R                                ,R                         ,R                          ,R                            ,R                    ,                         ,                        ,                           ,                   ,                       ,                            ,                      ,                          ,                    ,                     ,                       ,                             ,                      ,                   ,                                      ,                       ,                    ,                               ,                            ,                        ,               ,                            ,                               ,from ODP Leg 108 SR Chapter 5 Table 11 p 85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL3               ,              ,108, 663,A, 16,H,CC,  15.00,    147.0100,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,R                             ,R                    ,F                                    ,C                        ,R                   ,R                        ,R                     ,R                    ,R                    ,R                                     ,R                      ,R                       ,R                         ,F                            ,R                                ,R                      ,F                      ,R                   ,                 ,                      ,                                 ,                          ,                           ,                             ,                     ,                         ,                        ,                           ,                   ,                       ,                            ,                      ,                          ,                    ,                     ,                       ,                             ,                      ,                   ,                                      ,                       ,                    ,                               ,                            ,                        ,               ,                            ,                               ,from ODP Leg 108 SR Chapter 5 Table 11 p 85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
