Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Praeorbulina transitoria,Globigerinoides trilobus,Globigerinoides sicanus,Globigerinoides diminutus,Globigerinoides subquadratus,Globigerinella praesiphonifera,Globigerina decoraperta,Sphaeroidinellopsis seminulina,Orbulina universa,Orbulina suturalis,Globoquadrina baroemoenensis,Globigerina nepenthes,Dentoglobigerina altispira altispira,Sphaeroidinellopsis kochi,Globoquadrina dehiscens,Globigerina druryi,Neogloboquadrina acostaensis,Globigerinoides ? extremus,Orbulina bilobata,Sphaeroidinellopsis paenedehiscens,Globigerinoides sacculifer,Pulleniatina primalis,Globorotalia multicamerata,Globorotalia menardii,Globorotalia tumida flexuosa,Globorotalia tumida,Globorotalia crassula,Globigerinoides conglobatus,Neogloboquadrina humerosa,Pulleniatina praecursor,Globigerinoides extremus,Sphaeroidinella dehiscens,Globorotalia crassaformis,Globigerinoides fistulosus,Globorotalia tosaensis tenuitheca,Globorotalia tosaensis,Globorotalia crassaformis ronda,Pulleniatina obliquiloculata,Globorotalia truncatulinoides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,134, 832,B, 59,R, 3,  49.00,    705.5000,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,R                         ,                     ,                          ,A                    ,A                           ,A                  ,                     ,C                          ,F                        ,                       ,C                       ,A                        ,A                        ,                          ,A                                ,F                     ,A                              ,A                           ,R                            ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,134, 832,B, 59,R, 3,  99.00,    706.0000,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,                          ,                     ,                          ,A                    ,A                           ,A                  ,R                    ,C                          ,F                        ,                       ,C                       ,A                        ,A                        ,                          ,A                                ,A                     ,A                              ,A                           ,R                            ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,134, 832,B, 59,R, 4,  49.00,    707.0000,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,R                         ,                     ,                          ,A                    ,A                           ,A                  ,R                    ,C                          ,F                        ,                       ,C                       ,A                        ,A                        ,                          ,F                                ,F                     ,A                              ,A                           ,R                            ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,134, 832,B, 59,R, 4,  99.00,    707.5000,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,                          ,                     ,                          ,A                    ,A                           ,A                  ,                     ,C                          ,F                        ,                       ,C                       ,A                        ,A                        ,                          ,C                                ,C                     ,A                              ,A                           ,R                            ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,134, 832,B, 59,R, 5,  49.00,    708.5000,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,                          ,                     ,                          ,A                    ,A                           ,A                  ,                     ,F                          ,C                        ,                       ,F                       ,A                        ,A                        ,                          ,C                                ,C                     ,A                              ,A                           ,R                            ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,134, 832,B, 59,R, 5,  99.00,    709.0000,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,                          ,                     ,                          ,A                    ,A                           ,A                  ,                     ,F                          ,C                        ,                       ,F                       ,A                        ,A                        ,                          ,C                                ,F                     ,A                              ,A                           ,R                            ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,134, 832,B, 59,R, 6,  49.00,    710.0000,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,F                         ,                     ,                          ,A                    ,A                           ,A                  ,R                    ,C                          ,C                        ,                       ,F                       ,A                        ,A                        ,                          ,C                                ,F                     ,A                              ,A                           ,R                            ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,134, 832,B, 59,R, 6,  99.00,    710.5000,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,F                         ,                     ,                          ,A                    ,A                           ,A                  ,                     ,C                          ,C                        ,                       ,F                       ,A                        ,A                        ,                          ,C                                ,F                     ,A                              ,A                           ,R                            ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,134, 832,B, 60,R, 1,  50.00,    712.1000,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,F                         ,                     ,                          ,A                    ,A                           ,A                  ,                     ,C                          ,C                        ,                       ,A                       ,A                        ,A                        ,                          ,C                                ,A                     ,A                              ,A                           ,                             ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,134, 832,B, 60,R, 1, 100.00,    712.6000,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,                          ,                     ,                          ,A                    ,A                           ,A                  ,                     ,F                          ,F                        ,                       ,C                       ,A                        ,C                        ,                          ,F                                ,C                     ,A                              ,A                           ,R                            ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,134, 832,B, 60,R, 2,  50.00,    713.6000,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,                          ,                     ,                          ,A                    ,A                           ,A                  ,                     ,F                          ,F                        ,                       ,A                       ,A                        ,A                        ,                          ,F                                ,C                     ,C                              ,C                           ,R                            ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,134, 832,B, 60,R, 2, 100.00,    714.1000,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,                          ,                     ,                          ,C                    ,                            ,C                  ,                     ,F                          ,F                        ,                       ,C                       ,A                        ,A                        ,                          ,C                                ,A                     ,C                              ,C                           ,R                            ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,134, 832,B, 60,R, 3, 101.00,    715.6100,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,C                         ,                     ,                          ,A                    ,A                           ,A                  ,                     ,F                          ,F                        ,                       ,F                       ,A                        ,A                        ,                          ,A                                ,C                     ,A                              ,F                           ,                             ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,134, 832,B, 60,R, 4,  50.00,    716.6000,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,                          ,                     ,                          ,A                    ,A                           ,A                  ,                     ,F                          ,F                        ,                       ,C                       ,C                        ,A                        ,                          ,A                                ,C                     ,A                              ,C                           ,                             ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,134, 832,B, 60,R, 4, 100.00,    717.1000,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,                          ,                     ,                          ,C                    ,C                           ,C                  ,                     ,F                          ,                         ,                       ,F                       ,A                        ,F                        ,                          ,                                 ,                      ,F                              ,                            ,                             ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,134, 832,B, 60,R, 5,  50.00,    718.1000,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,F                         ,                     ,                          ,C                    ,A                           ,A                  ,                     ,C                          ,C                        ,                       ,                        ,A                        ,C                        ,                          ,C                                ,C                     ,C                              ,F                           ,                             ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,134, 832,B, 60,R, 5, 100.00,    718.6000,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,                          ,                     ,C                         ,C                    ,A                           ,A                  ,                     ,A                          ,F                        ,                       ,                        ,A                        ,A                        ,                          ,A                                ,C                     ,A                              ,F                           ,                             ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,134, 832,B, 61,R, 1,  49.00,    721.2900,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,F                         ,                     ,                          ,A                    ,A                           ,A                  ,                     ,F                          ,R                        ,                       ,C                       ,A                        ,C                        ,                          ,C                                ,C                     ,A                              ,F                           ,                             ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,134, 832,B, 61,R, 1, 100.00,    721.8000,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,F                         ,                     ,A                         ,A                    ,A                           ,A                  ,                     ,F                          ,C                        ,                       ,C                       ,A                        ,A                        ,                          ,C                                ,A                     ,A                              ,A                           ,                             ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,134, 832,B, 61,R, 2,  49.00,    722.7700,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,C                         ,                     ,A                         ,A                    ,A                           ,A                  ,                     ,C                          ,C                        ,                       ,C                       ,A                        ,C                        ,                          ,F                                ,F                     ,C                              ,A                           ,                             ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,134, 832,B, 61,R, 2, 100.00,    723.2800,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,C                         ,                     ,                          ,A                    ,A                           ,A                  ,                     ,F                          ,F                        ,                       ,C                       ,A                        ,C                        ,                          ,F                                ,F                     ,C                              ,C                           ,                             ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,134, 832,B, 61,R, 3,  49.00,    724.2700,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,                          ,                     ,                          ,A                    ,A                           ,A                  ,                     ,C                          ,C                        ,                       ,F                       ,A                        ,A                        ,                          ,R                                ,F                     ,A                              ,C                           ,                             ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,134, 832,B, 61,R, 3, 100.00,    724.7800,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,F                         ,                     ,F                         ,C                    ,A                           ,A                  ,C                    ,C                          ,C                        ,                       ,F                       ,A                        ,A                        ,                          ,C                                ,C                     ,A                              ,C                           ,                             ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,134, 832,B, 61,R, 4,  49.00,    725.7700,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,F                         ,                     ,                          ,A                    ,A                           ,A                  ,                     ,C                          ,F                        ,                       ,C                       ,A                        ,A                        ,                          ,                                 ,F                     ,A                              ,C                           ,                             ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,134, 832,B, 61,R, 4, 100.00,    726.2800,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,F                         ,                     ,C                         ,C                    ,A                           ,A                  ,C                    ,C                          ,R                        ,                       ,C                       ,A                        ,C                        ,                          ,C                                ,C                     ,A                              ,C                           ,                             ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,134, 832,B, 61,R, 5,  49.00,    727.2500,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,F                         ,                     ,                          ,C                    ,C                           ,A                  ,A                    ,C                          ,R                        ,                       ,C                       ,A                        ,C                        ,                          ,A                                ,C                     ,C                              ,A                           ,                             ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,134, 832,B, 61,R, 6,  49.00,    728.7500,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,F                         ,                     ,                          ,A                    ,A                           ,A                  ,                     ,C                          ,R                        ,                       ,C                       ,A                        ,A                        ,                          ,A                                ,C                     ,C                              ,C                           ,                             ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,134, 832,B, 61,R, 6, 100.00,    729.2600,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,F                         ,                     ,                          ,A                    ,A                           ,A                  ,                     ,C                          ,F                        ,                       ,A                       ,A                        ,A                        ,                          ,F                                ,F                     ,C                              ,C                           ,                             ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,134, 832,B, 62,R, 1,  49.00,    730.9900,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,                          ,                     ,                          ,A                    ,A                           ,A                  ,                     ,C                          ,F                        ,                       ,C                       ,A                        ,C                        ,                          ,F                                ,F                     ,                               ,                            ,                             ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,134, 832,B, 62,R, 1, 100.00,    731.5000,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,                          ,                     ,                          ,A                    ,C                           ,A                  ,                     ,C                          ,                         ,                       ,C                       ,A                        ,A                        ,                          ,A                                ,A                     ,C                              ,                            ,                             ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,134, 832,B, 62,R, 2,  49.00,    732.4900,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,                          ,                     ,C                         ,A                    ,A                           ,A                  ,                     ,C                          ,C                        ,                       ,A                       ,A                        ,C                        ,                          ,C                                ,C                     ,C                              ,F                           ,                             ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,134, 832,B, 62,R, 2, 100.00,    733.0000,Perembo  ,Planktonic Foraminifers                      ,               ,G                 ,                        ,                        ,                       ,                         ,                            ,                              ,                       ,                              ,                 ,                  ,                            ,                     ,                                    ,                         ,                       ,                  ,                            ,                          ,                 ,                                  ,C                         ,                     ,                          ,A                    ,A                           ,A                  ,                     ,A                          ,A                        ,                       ,A                       ,A                        ,C                        ,C                         ,F                                ,C                     ,A                              ,F                           ,                             ,from ODP Leg 134 SR Chapter 11 Table 1 p 250-253 & Figure 2 p 254
