Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Oridorsalis umbonatus,Nuttallides umbonifera,Melonis pompilioides,Gyroidinoides spp.,Globocassidulina subglobosa,Epistominella exigua,Eggerella bradyi,Pyrgo spp.,Pullenia bulloides,Melonis sp.,Melonis barleeanus,Fontbotia wuellerstorfi,Nodosaria spp.,Lagena spp.,Cassidulina crassa,Valvulineria laevigata,Uvigerina senticosa,Uvigerina peregrina,Uvigerina auberiana,Stilostomella spp.,Nonionella atlantica,Hoeglundina elegans,Globobulimina affinis,Gavelinopsis translucens,Elphidium spp.,Cibicidoides kullenbergi,Chilostomella oolina,Cassidulina carinata,Bulimina marginata,Bulimina gr. costata,Bulimina alazanensis,Bulimina aculeata,Brizalina subaenariensis,Bolivinita quadrilatera,Bolivina pseudopunctata,Bolivina paula,Pullenia spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A,  5,H, 3,  70.00,     37.5000,Poli     ,Benthic Foraminifers                         ,T              ,M                 ,+                    ,-                     ,+                   ,-                 ,+                          ,-                   ,-               ,-         ,+                 ,+          ,-                 ,+                      ,-             ,-          ,-                 ,-                     ,-                  ,-                  ,-                  ,-                 ,-                   ,-                  ,-                    ,-                       ,-             ,-                       ,-                   ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A,  5,H,CC,   0.00,     43.1200,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,F                    ,F                     ,F                   ,T                 ,F                          ,A                   ,R               ,R         ,R                 ,R          ,-                 ,R                      ,R             ,F          ,-                 ,-                     ,-                  ,-                  ,-                  ,-                 ,-                   ,-                  ,-                    ,-                       ,-             ,-                       ,-                   ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A,  6,H,CC,   7.00,     52.7600,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,+                    ,+                     ,+                   ,+                 ,-                          ,-                   ,+               ,+         ,+                 ,-          ,+                 ,+                      ,+             ,-          ,-                 ,-                     ,-                  ,-                  ,-                  ,-                 ,-                   ,-                  ,-                    ,-                       ,-             ,-                       ,-                   ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A,  7,H,CC,   0.00,     62.3000,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,F                    ,-                     ,F                   ,R                 ,F                          ,C                   ,T               ,T         ,R                 ,-          ,-                 ,C                      ,T             ,-          ,-                 ,-                     ,-                  ,-                  ,-                  ,-                 ,-                   ,-                  ,-                    ,-                       ,-             ,-                       ,-                   ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A,  8,H,CC,   0.00,     71.8500,Poli     ,Benthic Foraminifers                         ,T              ,M                 ,+                    ,+                     ,-                   ,-                 ,+                          ,-                   ,-               ,-         ,-                 ,-          ,-                 ,+                      ,-             ,-          ,-                 ,-                     ,-                  ,-                  ,-                  ,-                 ,-                   ,-                  ,-                    ,-                       ,-             ,-                       ,-                   ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A,  9,H,CC,   0.00,     81.2700,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,C                    ,T                     ,-                   ,R                 ,R                          ,-                   ,F               ,-         ,T                 ,T          ,-                 ,R                      ,-             ,T          ,-                 ,-                     ,-                  ,-                  ,-                  ,-                 ,-                   ,-                  ,-                    ,-                       ,-             ,-                       ,-                   ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 10,H,CC,  12.00,     89.4400,Poli     ,Benthic Foraminifers                         ,               ,                  ,C                    ,T                     ,R                   ,R                 ,T                          ,R                   ,-               ,T         ,F                 ,F          ,-                 ,F                      ,T             ,R          ,-                 ,-                     ,-                  ,-                  ,-                  ,-                 ,-                   ,-                  ,-                    ,-                       ,-             ,-                       ,R                   ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 11,H,CC,   0.00,    100.2700,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,F                    ,F                     ,R                   ,R                 ,F                          ,C                   ,T               ,-R        ,F                 ,-          ,R                 ,-                      ,T             ,R          ,-                 ,-                     ,-                  ,-                  ,-                  ,-                 ,-                   ,-                  ,-                    ,-                       ,-             ,-                       ,-                   ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 12,H,CC,   0.00,    109.9400,Poli     ,Benthic Foraminifers                         ,R              ,M                 ,R                    ,T                     ,R                   ,T                 ,F                          ,F                   ,T               ,-         ,F                 ,-          ,R                 ,R                      ,T             ,R          ,-                 ,-                     ,-                  ,-                  ,-                  ,-                 ,R                   ,-                  ,-                    ,-                       ,-             ,-                       ,-                   ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 13,H,CC,  39.00,    118.6400,Poli     ,Benthic Foraminifers                         ,F              ,G                 ,R                    ,R                     ,F                   ,-                 ,-                          ,F                   ,T               ,T         ,C                 ,F          ,T                 ,R                      ,R             ,F          ,-                 ,-                     ,-                  ,-                  ,-                  ,-                 ,-                   ,-                  ,R                    ,-                       ,-             ,-                       ,-                   ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 14,H,CC,   0.00,    128.6600,Poli     ,Benthic Foraminifers                         ,T              ,M                 ,-                    ,+                     ,+                   ,-                 ,+                          ,+                   ,-               ,-         ,+                 ,+          ,-                 ,+                      ,-             ,+          ,-                 ,-                     ,-                  ,-                  ,-                  ,-                 ,-                   ,-                  ,-                    ,-                       ,-             ,+                       ,-                   ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 15,H,CC,  11.00,    138.0300,Poli     ,Benthic Foraminifers                         ,F              ,G                 ,C                    ,F                     ,F                   ,-                 ,R                          ,R                   ,R               ,F         ,-                 ,T          ,-                 ,R                      ,-             ,F          ,-                 ,-                     ,-                  ,T                  ,-                  ,-                 ,-                   ,-                  ,-                    ,-                       ,-             ,-                       ,-                   ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 16,H,CC,   0.00,    147.9900,Poli     ,Benthic Foraminifers                         ,T              ,M                 ,+                    ,-                     ,+                   ,-                 ,-                          ,+                   ,+               ,+         ,+                 ,-          ,+                 ,-                      ,-             ,+          ,-                 ,-                     ,-                  ,-                  ,-                  ,-                 ,-                   ,-                  ,-                    ,-                       ,-             ,-                       ,-                   ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 17,H,CC,  19.00,    155.9000,Poli     ,Benthic Foraminifers                         ,C              ,G                 ,F                    ,-                     ,-                   ,-                 ,T                          ,-                   ,T               ,F         ,R                 ,R          ,-                 ,C                      ,-             ,R          ,-                 ,-                     ,T                  ,T                  ,-                  ,-                 ,-                   ,-                  ,-                    ,-                       ,-             ,-                       ,-                   ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 18,H,CC,   0.00,    166.7500,Poli     ,Benthic Foraminifers                         ,C              ,G                 ,C                    ,F                     ,F                   ,-                 ,R                          ,-                   ,R               ,T         ,F                 ,T          ,-                 ,R                      ,T             ,F          ,-                 ,-                     ,-                  ,-                  ,-                  ,-                 ,-                   ,-                  ,-                    ,-                       ,-             ,-                       ,-                   ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 19,H,CC,  17.00,    176.3200,Poli     ,Benthic Foraminifers                         ,R              ,G                 ,C                    ,                      ,F                   ,T                 ,R                          ,                    ,F               ,T         ,T                 ,           ,F                 ,R                      ,              ,F          ,                  ,                      ,                   ,                   ,                   ,                  ,                    ,                   ,                     ,                        ,              ,                        ,                    ,                    ,                  ,                    ,                    ,                 ,                        ,                       ,                       ,              ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 20,H,CC,  12.00,    186.0300,Poli     ,Benthic Foraminifers                         ,C              ,G                 ,                     ,F                     ,                    ,                  ,F                          ,                    ,R               ,T         ,                  ,T          ,T                 ,A                      ,              ,T          ,                  ,                      ,                   ,                   ,                   ,                  ,                    ,                   ,                     ,                        ,              ,                        ,                    ,                    ,                  ,                    ,                    ,                 ,                        ,                       ,                       ,              ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 21,H,CC,  12.00,    195.6000,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,C                    ,T                     ,                    ,R                 ,R                          ,T                   ,T               ,R         ,                  ,R          ,                  ,R                      ,              ,R          ,                  ,                      ,                   ,                   ,                   ,                  ,                    ,                   ,                     ,                        ,              ,                        ,                    ,                    ,                  ,                    ,                    ,                 ,                        ,                       ,                       ,              ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 22,H,CC,  10.00,    201.3500,Poli     ,Benthic Foraminifers                         ,C              ,G                 ,F                    ,F                     ,F                   ,                  ,T                          ,                    ,                ,F         ,T                 ,T          ,R                 ,R                      ,              ,R          ,                  ,                      ,                   ,                   ,                   ,                  ,                    ,                   ,                     ,                        ,              ,                        ,                    ,                    ,                  ,                    ,                    ,                 ,                        ,                       ,                       ,              ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 23,X,CC,  26.00,    209.1600,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,                     ,F                     ,                    ,                  ,T                          ,                    ,                ,T         ,A                 ,           ,                  ,T                      ,T             ,R          ,                  ,                      ,                   ,                   ,                   ,                  ,                    ,                   ,                     ,                        ,              ,                        ,                    ,                    ,                  ,                    ,                    ,                 ,                        ,                       ,                       ,              ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 24,X,CC,  25.00,    217.4000,Poli     ,Benthic Foraminifers                         ,F              ,G                 ,C                    ,                      ,T                   ,                  ,R                          ,T                   ,R               ,F         ,R                 ,T          ,T                 ,R                      ,              ,T          ,T                 ,                      ,                   ,                   ,                   ,                  ,                    ,                   ,                     ,                        ,              ,                        ,                    ,                    ,                  ,                    ,                    ,                 ,                        ,                       ,                       ,              ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 25,X,CC,  35.00,    226.6600,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,C                    ,T                     ,                    ,                  ,F                          ,                    ,R               ,T         ,R                 ,T          ,                  ,R                      ,T             ,F          ,                  ,                      ,                   ,                   ,                   ,                  ,                    ,                   ,                     ,                        ,              ,                        ,                    ,                    ,                  ,                    ,                    ,                 ,                        ,                       ,                       ,              ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 26,X,CC,  37.00,    236.4400,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,T                    ,                      ,T                   ,                  ,F                          ,                    ,                ,          ,C                 ,R          ,                  ,                       ,T             ,F          ,                  ,                      ,                   ,                   ,                   ,                  ,                    ,                   ,                     ,                        ,              ,                        ,                    ,                    ,                  ,                    ,                    ,                 ,                        ,                       ,                       ,              ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 27,X,CC,  24.00,    245.7500,Poli     ,Benthic Foraminifers                         ,F              ,G                 ,                     ,F                     ,                    ,                  ,F                          ,                    ,T               ,          ,R                 ,           ,F                 ,R                      ,              ,           ,                  ,                      ,                   ,                   ,                   ,                  ,                    ,                   ,                     ,                        ,              ,                        ,                    ,                    ,                  ,                    ,                    ,                 ,                        ,                       ,                       ,              ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 28,X,CC,  60.00,    255.6000,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,R                    ,R                     ,R                   ,R                 ,R                          ,T                   ,R               ,          ,F                 ,T          ,T                 ,F                      ,              ,           ,                  ,                      ,                   ,                   ,                   ,                  ,                    ,                   ,                     ,                        ,              ,                        ,                    ,                    ,                  ,                    ,                    ,                 ,                        ,                       ,                       ,              ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 29,X,CC,  25.00,    264.9500,Poli     ,Benthic Foraminifers                         ,F              ,G                 ,F                    ,R                     ,F                   ,C                 ,F                          ,T                   ,R               ,T         ,F                 ,T          ,                  ,                       ,              ,           ,                  ,                      ,                   ,                   ,                   ,                  ,                    ,                   ,                     ,                        ,              ,                        ,                    ,                    ,                  ,                    ,                    ,                 ,                        ,                       ,                       ,              ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1063,A, 30,X,CC,  36.00,    274.5400,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,C                    ,F                     ,T                   ,F                 ,F                          ,R                   ,T               ,          ,                  ,           ,                  ,                       ,              ,           ,                  ,                      ,                   ,                   ,                   ,                  ,                    ,                   ,                     ,                        ,              ,                        ,                    ,                    ,                  ,                    ,                    ,                 ,                        ,                       ,                       ,              ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
