Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalita quinqueloba,Turborotalita humilis,Tenuitella parkerae,Tenuitella iota,Orbulina universa,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (non-encrusted juvenile sin.),Neogloboquadrina pachyderma (dextral),Indeterminate spp.,Globoturborotalita rubescens,Globorotalia theyeri,Globorotalia sp. A,Globorotalia scitula,Globorotalia inflata,Globorotalia hirsuta,Globigerinoides ruber,Globigerinita uvula,Globigerinita minuta,Globigerinita glutinata,Globigerinita cf. uvula,Globigerina falconensis,Globigerina bulloides,Turborotalita quinqueloba Group,Neogloboquadrina pachyderma (sin.),Globigerinita uvula Group,Neogloboquadrina pachyderma (dex.),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  2,H, 2,  90.00,      5.1000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,76                       ,0                    ,0                  ,1              ,0                ,199                                    ,1                                                        ,2                                    ,6                 ,0                           ,0                   ,0                 ,2                   ,0                   ,0                   ,0                    ,6                  ,6                   ,12                     ,30                     ,0                      ,28                   ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  2,H, 3,  90.00,      6.6000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,51                       ,0                    ,0                  ,3              ,2                ,114                                    ,0                                                        ,2                                    ,6                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,2                  ,19                  ,17                     ,39                     ,0                      ,37                   ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  2,H, 4, 101.00,      8.2100,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,77                       ,2                    ,0                  ,0              ,0                ,137                                    ,0                                                        ,2                                    ,14                ,0                           ,0                   ,0                 ,3                   ,0                   ,0                   ,0                    ,9                  ,15                  ,8                      ,51                     ,0                      ,19                   ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  2,H, 5,  86.00,      9.5600,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,79                       ,0                    ,0                  ,0              ,0                ,118                                    ,1                                                        ,4                                    ,2                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,6                  ,9                   ,10                     ,25                     ,0                      ,41                   ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  2,H, 6,  86.00,     11.0600,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,26                       ,1                    ,0                  ,0              ,0                ,182                                    ,1                                                        ,3                                    ,3                 ,0                           ,0                   ,0                 ,1                   ,0                   ,0                   ,0                    ,7                  ,8                   ,8                      ,37                     ,0                      ,31                   ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  2,H, 7,  56.00,     12.2600,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,115                      ,0                    ,0                  ,0              ,0                ,195                                    ,0                                                        ,3                                    ,7                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,0                  ,6                   ,14                     ,168                    ,0                      ,80                   ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  3,H, 2,  90.00,     14.6000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,0                        ,0                    ,0                  ,0              ,0                ,0                                      ,0                                                        ,0                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,0                  ,0                   ,0                      ,0                      ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  3,H, 3,  72.00,     15.9200,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,70                       ,0                    ,0                  ,0              ,0                ,101                                    ,0                                                        ,0                                    ,4                 ,0                           ,0                   ,0                 ,1                   ,0                   ,0                   ,0                    ,2                  ,4                   ,7                      ,67                     ,0                      ,71                   ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  3,H, 4,  91.00,     17.6100,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,90                       ,0                    ,0                  ,0              ,0                ,81                                     ,0                                                        ,12                                   ,3                 ,0                           ,0                   ,0                 ,3                   ,0                   ,0                   ,0                    ,0                  ,34                  ,7                      ,33                     ,0                      ,34                   ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  3,H, 4, 117.00,     17.8700,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,64                       ,0                    ,0                  ,1              ,0                ,47                                     ,1                                                        ,61                                   ,3                 ,1                           ,0                   ,1                 ,3                   ,17                  ,0                   ,0                    ,4                  ,50                  ,18                     ,54                     ,0                      ,38                   ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  3,H, 5,  74.00,     18.9400,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,127                      ,0                    ,22                 ,0              ,0                ,8                                      ,17                                                       ,21                                   ,18                ,5                           ,0                   ,0                 ,0                   ,1                   ,0                   ,0                    ,15                 ,6                   ,30                     ,47                     ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  3,H, 5,  78.00,     18.9800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,327                      ,0                    ,0                  ,1              ,0                ,7                                      ,0                                                        ,17                                   ,13                ,0                           ,0                   ,0                 ,10                  ,0                   ,0                   ,0                    ,3                  ,16                  ,29                     ,69                     ,0                      ,16                   ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  3,H, 5,  96.00,     19.1600,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,167                      ,0                    ,17                 ,2              ,0                ,2                                      ,17                                                       ,15                                   ,20                ,0                           ,0                   ,2                 ,2                   ,1                   ,0                   ,0                    ,10                 ,21                  ,25                     ,37                     ,2                      ,6                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  3,H, 5, 130.00,     19.5000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,264                      ,13                   ,11                 ,2              ,0                ,11                                     ,18                                                       ,27                                   ,13                ,2                           ,0                   ,0                 ,1                   ,0                   ,1                   ,1                    ,8                  ,6                   ,38                     ,199                    ,0                      ,6                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  3,H, 6,  92.00,     20.6200,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,118                      ,0                    ,0                  ,2              ,0                ,146                                    ,0                                                        ,4                                    ,12                ,0                           ,0                   ,1                 ,3                   ,0                   ,0                   ,0                    ,2                  ,91                  ,8                      ,134                    ,0                      ,18                   ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  3,H, 7,  39.00,     21.5900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,0                        ,0                    ,0                  ,0              ,0                ,0                                      ,0                                                        ,0                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,0                  ,0                   ,0                      ,0                      ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CD2               ,              ,139, 856,A,  3,H,CC,  45.00,     22.3000,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,                         ,                     ,                   ,               ,                 ,                                       ,                                                         ,                                     ,                  ,                            ,                    ,                  ,R                   ,                    ,                    ,                     ,                   ,C                   ,C                      ,                       ,                       ,A                    ,C                              ,A                                 ,                         ,                                  ,zone assignment uncertain; from ODP Leg 139 IR; Ch 6; Tables 4 & 6; pp. 181 & 184-187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  4,H, 1,  82.00,     22.5200,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,33                       ,0                    ,0                  ,0              ,0                ,189                                    ,0                                                        ,8                                    ,5                 ,0                           ,0                   ,0                 ,1                   ,0                   ,0                   ,0                    ,0                  ,12                  ,6                      ,39                     ,8                      ,6                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  4,H, 2,  81.00,     24.0100,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,44                       ,0                    ,0                  ,0              ,0                ,535                                    ,0                                                        ,18                                   ,3                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,2                  ,56                  ,4                      ,64                     ,2                      ,70                   ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  4,H, 3, 122.00,     25.9200,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,51                       ,0                    ,0                  ,0              ,0                ,492                                    ,0                                                        ,5                                    ,4                 ,0                           ,0                   ,1                 ,0                   ,0                   ,0                   ,0                    ,11                 ,34                  ,2                      ,55                     ,11                     ,43                   ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  4,H, 4,  88.00,     27.0800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,3                        ,0                    ,0                  ,0              ,0                ,10                                     ,0                                                        ,1                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,0                  ,0                   ,0                      ,2                      ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  4,H, 5,  96.00,     28.6600,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,56                       ,0                    ,0                  ,0              ,0                ,606                                    ,0                                                        ,20                                   ,5                 ,0                           ,0                   ,0                 ,2                   ,1                   ,0                   ,0                    ,1                  ,25                  ,6                      ,21                     ,0                      ,46                   ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  4,H, 6, 108.00,     30.2800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,15                       ,0                    ,0                  ,0              ,0                ,302                                    ,0                                                        ,3                                    ,1                 ,0                           ,0                   ,1                 ,2                   ,0                   ,0                   ,0                    ,2                  ,17                  ,6                      ,9                      ,0                      ,11                   ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  4,H, 7,  62.00,     31.3200,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,91                       ,0                    ,0                  ,0              ,0                ,621                                    ,0                                                        ,6                                    ,4                 ,0                           ,0                   ,0                 ,5                   ,0                   ,0                   ,0                    ,13                 ,84                  ,5                      ,73                     ,2                      ,19                   ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CD2               ,              ,139, 856,A,  4,H,CC,  37.00,     31.8600,Brunner  ,Planktonic Foraminifers                      ,A              ,P                 ,                         ,                     ,                   ,               ,                 ,                                       ,                                                         ,                                     ,                  ,                            ,F                   ,                  ,R                   ,                    ,                    ,                     ,                   ,C                   ,                       ,                       ,                       ,A                    ,                               ,A                                 ,                         ,                                  ,zone assignment uncertain; from ODP Leg 139 IR; Ch 6; Tables 4 & 6; pp. 181 & 184-187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  5,H, 1,  19.00,     31.3900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,153                      ,0                    ,0                  ,0              ,0                ,75                                     ,0                                                        ,0                                    ,60                ,0                           ,0                   ,0                 ,10                  ,0                   ,0                   ,0                    ,5                  ,14                  ,11                     ,100                    ,0                      ,34                   ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  5,H, 2,   6.00,     31.6400,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,48                       ,0                    ,0                  ,0              ,0                ,119                                    ,0                                                        ,0                                    ,1                 ,0                           ,0                   ,0                 ,2                   ,0                   ,0                   ,0                    ,8                  ,85                  ,0                      ,44                     ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  5,H, 3, 135.00,     34.4300,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,21                       ,0                    ,0                  ,0              ,0                ,135                                    ,0                                                        ,0                                    ,1                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,2                  ,27                  ,0                      ,37                     ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  5,H, 4,  88.00,     35.4600,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,65                       ,0                    ,0                  ,0              ,0                ,206                                    ,0                                                        ,1                                    ,26                ,0                           ,0                   ,0                 ,1                   ,0                   ,0                   ,0                    ,6                  ,15                  ,4                      ,86                     ,0                      ,24                   ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  5,H, 5, 133.00,     37.4100,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,51                       ,0                    ,0                  ,0              ,0                ,242                                    ,0                                                        ,3                                    ,6                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,14                 ,66                  ,0                      ,70                     ,2                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  5,H, 6,  90.00,     38.4800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,0                        ,0                    ,0                  ,0              ,0                ,0                                      ,0                                                        ,0                                    ,0                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,0                  ,0                   ,0                      ,0                      ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  5,H, 7,  88.00,     39.9600,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,22                       ,0                    ,0                  ,0              ,0                ,205                                    ,0                                                        ,0                                    ,2                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,5                  ,41                  ,0                      ,26                     ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CD2               ,              ,139, 856,A,  5,H,CC,  27.00,     41.8000,Brunner  ,Planktonic Foraminifers                      ,A              ,P                 ,                         ,                     ,                   ,               ,                 ,                                       ,                                                         ,                                     ,                  ,                            ,                    ,                  ,F                   ,                    ,                    ,                     ,                   ,                    ,                       ,                       ,                       ,C                    ,                               ,A                                 ,F                        ,                                  ,zone assignment uncertain; from ODP Leg 139 IR; Ch 6; Tables 4 & 6; pp. 181 & 184-187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  6,H, 1,  68.00,     41.3800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,21                       ,0                    ,0                  ,0              ,0                ,181                                    ,0                                                        ,2                                    ,4                 ,0                           ,0                   ,0                 ,5                   ,0                   ,0                   ,0                    ,7                  ,45                  ,2                      ,50                     ,2                      ,1                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  6,H, 2, 123.00,     43.4300,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,1                        ,0                    ,0                  ,0              ,0                ,24                                     ,0                                                        ,0                                    ,1                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,0                  ,2                   ,0                      ,0                      ,0                      ,0                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  6,H, 4,  55.00,     45.7500,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,21                       ,1                    ,0                  ,0              ,0                ,306                                    ,0                                                        ,0                                    ,3                 ,0                           ,0                   ,5                 ,2                   ,0                   ,0                   ,0                    ,4                  ,24                  ,4                      ,48                     ,1                      ,6                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  6,H, 6,  46.00,     48.6600,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,11                       ,0                    ,0                  ,0              ,0                ,180                                    ,0                                                        ,1                                    ,3                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,2                  ,25                  ,1                      ,18                     ,1                      ,3                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  6,H, 6, 112.00,     49.3200,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,11                       ,0                    ,0                  ,0              ,0                ,151                                    ,0                                                        ,0                                    ,3                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,1                  ,17                  ,0                      ,19                     ,0                      ,2                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CD2               ,              ,139, 856,A,  6,H,CC,  29.00,     50.6700,Brunner  ,Planktonic Foraminifers                      ,C              ,P                 ,                         ,                     ,                   ,               ,                 ,                                       ,                                                         ,                                     ,                  ,                            ,                    ,                  ,                    ,                    ,                    ,                     ,                   ,C                   ,                       ,                       ,                       ,                     ,R                              ,F                                 ,R                        ,                                  ,zone assignment uncertain; from ODP Leg 139 IR; Ch 6; Tables 4 & 6; pp. 181 & 184-187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  7,H, 1,  48.00,     50.6800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,44                       ,0                    ,0                  ,0              ,0                ,221                                    ,0                                                        ,0                                    ,7                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,4                  ,94                  ,0                      ,84                     ,1                      ,1                    ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 856,A,  7,H, 2,  12.00,     51.8200,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,14                       ,0                    ,0                  ,0              ,0                ,252                                    ,0                                                        ,0                                    ,11                ,0                           ,0                   ,0                 ,0                   ,0                   ,0                   ,0                    ,8                  ,3                   ,4                      ,57                     ,0                      ,15                   ,                               ,                                  ,                         ,                                  ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
