Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Velicucullus oddgurneri	Tessarastrum thiedei	Stichocorys delmontensis	Spongurus cauleti	Spongotrochus vitabilis	Spongocore puella	Siphocampe arachnea	Pterocanium korotnevi	Pseudodictyophimus horrida	Pseudodictyophimus gracilipes tetracanthus	Pseudodictyophimus amundseni	Phorticium clevei	Phormospyris thespios	Lophospyris pentagona quadriforis	Liriospyris cricus	Hexalonche esmarki	Hexalonche ? nakasekoi	Hexacontium pachydermum	Euphysetta  elegans	Eucyrtidium saccoi	Eucyrtidium calvertense	Eucyrtidium biconicum	Eucoronis fridtjofnanseni	Cyrtocapsella tetrapera	Cyrtocapsella kladaros	Cyrtocapsella japonica	Cyrtocapsella eldholmi	Cyrtocapsella ampullacea	Cycladophora davisiana cornutoides	Corythospyris reuschi	Corythospyris jubata	Corythospyris jjubata sverdrupi	Corythospyris hispida	Corythospyris fiscella	Clathrospyris sandellae	Challengeron diodon	Ceratocyrtis stoermeri	Ceratocyrtis manumi	Ceratocyrtis histricosa	Ceratocyrtis broeggeri	Botryostrobus auritus group	Artostrobus jorgenseni	Antarctissa whitei	Actinomma plasticum	Actinomma mirabile	Actinomma livae	Actinomma holtedahli	Acrosphaera spinosa echinoides	Comment

  SR	                 	                 	P. grac. tetracanth.	              	104	 642	B	  9	H	 5	  75.00	     73.1500	Goll     	Radiolarians                                 	F              	P                 	-                      	-                   	-                       	-                	-                      	-                	-                  	-                    	-                         	T                                         	-                           	C                	-                    	SP                               	-                 	-                 	-                     	C                      	R                  	-                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	R                      	-                     	-                          	-                     	A                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	P. grac. tetracanth.	              	104	 642	B	  9	H	 6	  75.00	     74.6500	Goll     	Radiolarians                                 	C              	M                 	-                      	-                   	-                       	-                	-                      	-                	R                  	-                    	-                         	C                                         	-                           	R                	-                    	R                                	-                 	-                 	-                     	R                      	R                  	-                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	R                      	-                     	SP                         	-                     	A                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	P. grac. tetracanth.	              	104	 642	B	  9	H	CC	  17.00	     76.2400	Goll     	Radiolarians                                 	C              	M                 	-                      	-                   	-                       	-                	-                      	-                	-                  	-                    	-                         	SP                                        	-                           	R                	-                    	SP                               	-                 	-                 	-                     	R                      	R                  	-                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	R                      	-                     	-                          	F                     	VA                	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	P. grac. tetracanth.	              	104	 642	B	 10	H	 1	  75.00	     76.6500	Goll     	Radiolarians                                 	F              	M                 	-                      	-                   	-                       	-                	-                      	-                	T                  	-                    	-                         	SP                                        	-                           	-                	-                    	-                                	-                 	-                 	-                     	R                      	-                  	-                 	T                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	SP                     	-                     	T                          	-                     	SP                	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	A. whitei         	              	104	 642	B	 10	H	 2	  25.00	     77.6500	Goll     	Radiolarians                                 	C              	M                 	-                      	-                   	-                       	-                	-                      	-                	C                  	-                    	-                         	-                                         	-                           	SP               	-                    	-                                	-                 	-                 	-                     	R                      	-                  	T                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	SP                     	-                     	-                          	-                     	A                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	A. whitei         	              	104	 642	B	 10	H	 3	  75.00	     79.6500	Goll     	Radiolarians                                 	F              	M                 	-                      	-                   	-                       	-                	-                      	-                	A                  	-                    	-                         	-                                         	-                           	SP               	-                    	-                                	-                 	-                 	-                     	R                      	-                  	-                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	SP                     	-                     	-                          	-                     	A                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	A. whitei         	              	104	 642	B	 10	H	 4	  75.00	     81.1500	Goll     	Radiolarians                                 	F              	M                 	-                      	-                   	-                       	-                	-                      	-                	-                  	-                    	-                         	-                                         	-                           	SP               	-                    	-                                	-                 	-                 	-                     	R                      	-                  	T                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	R                  	-                     	-                  	C                      	-                     	D                          	-                     	A                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	A. whitei         	              	104	 642	B	 10	H	 5	  25.00	     82.1500	Goll     	Radiolarians                                 	C              	M                 	-                      	-                   	-                       	-                	-                      	-                	-                  	-                    	-                         	-                                         	-                           	SP               	-                    	-                                	-                 	-                 	-                     	R                      	-                  	-                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	A                      	-                     	-                          	-                     	A                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	A. whitei         	              	104	 642	B	 10	H	 6	  75.00	     84.1500	Goll     	Radiolarians                                 	C              	M                 	-                      	-                   	-                       	-                	-                      	-                	D                  	-                    	-                         	-                                         	-                           	C                	-                    	R                                	-                 	-                 	-                     	F                      	-                  	-                 	T                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	C                      	-                     	SP                         	-                     	VA                	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	A. whitei         	              	104	 642	B	 10	H	CC	  21.00	     85.7200	Goll     	Radiolarians                                 	C              	M                 	-                      	-                   	-                       	-                	-                      	-                	VD                 	-                    	-                         	-                                         	-                           	C                	-                    	C                                	-                 	-                 	-                     	-                      	-                  	-                 	R                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	R                      	-                     	SP                         	-                     	D                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	A. whitei         	              	104	 642	B	 11	H	 1	  25.00	     85.6500	Goll     	Radiolarians                                 	A              	M                 	-                      	-                   	T                       	-                	-                      	-                	D                  	-                    	-                         	-                                         	-                           	C                	-                    	-                                	-                 	-                 	-                     	R                      	-                  	-                 	R                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	R                      	-                     	-                          	-                     	VA                	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	A. whitei         	              	104	 642	B	 11	H	 2	  25.00	     87.1500	Goll     	Radiolarians                                 	A              	M                 	-                      	-                   	-                       	-                	-                      	-                	R                  	-                    	-                         	-                                         	-                           	R                	-                    	A                                	-                 	-                 	-                     	R                      	-                  	T                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	R                  	-                     	-                  	C                      	-                     	C                          	-                     	VA                	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	A. whitei         	              	104	 642	B	 11	H	 3	  25.00	     88.6500	Goll     	Radiolarians                                 	A              	M                 	-                      	-                   	-                       	-                	-                      	-                	R                  	-                    	-                         	-                                         	-                           	SP               	-                    	-                                	-                 	-                 	-                     	R                      	-                  	R                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	R                  	-                     	-                  	R                      	-                     	C                          	-                     	VA                	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	A. whitei         	              	104	 642	B	 11	H	 4	  25.00	     90.1500	Goll     	Radiolarians                                 	C              	P                 	-                      	-                   	-                       	-                	-                      	-                	-                  	-                    	-                         	-                                         	-                           	SP               	-                    	C                                	-                 	-                 	-                     	R                      	-                  	-                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	R                  	-                     	-                  	R                      	-                     	SP                         	T                     	D                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	A. whitei         	              	104	 642	B	 11	H	 5	  25.00	     91.6500	Goll     	Radiolarians                                 	A              	M                 	-                      	-                   	D                       	-                	-                      	-                	-                  	-                    	-                         	-                                         	-                           	C                	-                    	-                                	-                 	-                 	-                     	-                      	-                  	-                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	R                      	-                     	D                          	-                     	D                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	A. whitei         	              	104	 642	B	 11	H	 6	  25.00	     93.1500	Goll     	Radiolarians                                 	A              	M                 	-                      	-                   	-                       	-                	-                      	-                	-                  	-                    	-                         	-                                         	-                           	SP               	-                    	T                                	-                 	-                 	-                     	-                      	-                  	-                 	R                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	SP                 	-                     	-                  	SP                     	-                     	-                          	-                     	D                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	L. cricus         	              	104	 642	B	 11	H	 7	  25.00	     94.6500	Goll     	Radiolarians                                 	A              	M                 	-                      	-                   	-                       	-                	-                      	-                	-                  	-                    	-                         	-                                         	-                           	SP               	-                    	-                                	R                 	-                 	-                     	-                      	-                  	R                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	C                      	-                     	C                          	-                     	VA                	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	L. cricus         	              	104	 642	B	 11	H	CC	  21.00	     95.2900	Goll     	Radiolarians                                 	A              	M                 	-                      	-                   	-                       	-                	-                      	-                	T                  	-                    	-                         	-                                         	-                           	R                	-                    	-                                	T                 	-                 	-                     	-                      	-                  	T                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	T                      	-                     	T                          	T                     	VA                	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	L. cricus         	              	104	 642	B	 12	H	 1	  25.00	     95.1500	Goll     	Radiolarians                                 	A              	M                 	-                      	-                   	-                       	-                	-                      	-                	VD                 	-                    	-                         	-                                         	-                           	R                	-                    	-                                	T                 	-                 	-                     	C                      	-                  	T                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	SP                     	-                     	C                          	-                     	A                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	L. cricus         	              	104	 642	B	 12	H	 2	  25.00	     96.6500	Goll     	Radiolarians                                 	A              	M                 	-                      	-                   	-                       	-                	-                      	-                	-                  	-                    	-                         	-                                         	-                           	R                	-                    	T                                	R                 	-                 	-                     	C                      	-                  	SP                	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	C                      	-                     	-                          	T                     	A                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	L. cricus         	              	104	 642	B	 12	H	 3	  25.00	     98.1500	Goll     	Radiolarians                                 	A              	M                 	-                      	C                   	T                       	-                	-                      	-                	-                  	-                    	-                         	-                                         	-                           	-                	-                    	T                                	C                 	-                 	-                     	C                      	-                  	-                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	T                      	-                     	T                          	-                     	-                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	L. cricus         	              	104	 642	B	 12	H	 4	  25.00	     99.6500	Goll     	Radiolarians                                 	C              	M                 	-                      	D                   	-                       	-                	-                      	-                	C                  	-                    	-                         	-                                         	-                           	-                	-                    	-                                	T                 	-                 	-                     	R                      	-                  	T                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	SP                     	-                     	A                          	-                     	-                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	L. cricus         	              	104	 642	B	 12	H	 5	  25.00	    101.1500	Goll     	Radiolarians                                 	A              	M                 	-                      	A                   	T                       	-                	-                      	-                	-                  	-                    	-                         	-                                         	-                           	-                	-                    	-                                	T                 	-                 	-                     	R                      	-                  	-                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	R                      	-                     	R                          	-                     	-                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	L. cricus         	              	104	 642	B	 12	H	 6	  25.00	    102.6500	Goll     	Radiolarians                                 	A              	M                 	-                      	VD                  	T                       	-                	-                      	-                	SP                 	-                    	-                         	-                                         	-                           	-                	-                    	-                                	R                 	-                 	-                     	R                      	-                  	-                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	C                      	-                     	C                          	-                     	-                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	L. cricus         	              	104	 642	B	 12	H	 7	  25.00	    104.1500	Goll     	Radiolarians                                 	A              	M                 	-                      	VA                  	T                       	-                	-                      	-                	-                  	-                    	-                         	-                                         	-                           	R                	-                    	-                                	T                 	-                 	-                     	R                      	-                  	-                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	-                      	-                     	C                          	-                     	-                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	L. cricus         	              	104	 642	B	 12	H	 7	  29.00	    104.1900	Goll     	Radiolarians                                 	F              	M                 	-                      	T                   	-                       	-                	-                      	-                	-                  	-                    	-                         	-                                         	-                           	T                	-                    	-                                	T                 	-                 	-                     	-                      	-                  	-                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	-                      	-                     	T                          	-                     	-                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	T. thiedei        	              	104	 642	B	 13	H	 1	  24.00	    104.4400	Goll     	Radiolarians                                 	A              	M                 	-                      	-                   	SP                      	-                	-                      	-                	VA                 	-                    	-                         	-                                         	-                           	VA               	-                    	SP                               	-                 	-                 	-                     	SP                     	-                  	T                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	-                      	-                     	SP                         	-                     	-                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	T. thiedei        	              	104	 642	B	 13	H	 2	  24.00	    105.9400	Goll     	Radiolarians                                 	C              	P                 	-                      	D                   	T                       	-                	-                      	-                	R                  	-                    	-                         	-                                         	-                           	-                	-                    	-                                	-                 	-                 	-                     	R                      	-                  	-                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	-                      	-                     	SP                         	-                     	-                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	T. thiedei        	              	104	 642	B	 13	H	 3	  24.00	    107.4400	Goll     	Radiolarians                                 	A              	P                 	-                      	D                   	-                       	-                	-                      	-                	-                  	-                    	-                         	-                                         	-                           	-                	-                    	-                                	-                 	-                 	-                     	R                      	-                  	-                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	-                      	-                     	-                          	-                     	-                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	T. thiedei        	              	104	 642	B	 13	H	 4	  24.00	    108.9400	Goll     	Radiolarians                                 	A              	P                 	-                      	D                   	-                       	-                	-                      	-                	SP                 	-                    	-                         	-                                         	-                           	-                	-                    	R                                	-                 	-                 	-                     	SP                     	-                  	-                 	-                      	-                    	T                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	-                      	-                     	C                          	-                     	-                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	T. thiedei        	              	104	 642	B	 13	H	 5	  24.00	    110.4400	Goll     	Radiolarians                                 	A              	P                 	-                      	A                   	-                       	-                	-                      	-                	SP                 	-                    	-                         	-                                         	-                           	-                	-                    	-                                	-                 	-                 	-                     	R                      	-                  	-                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	-                      	-                     	C                          	-                     	-                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	T. thiedei        	              	104	 642	B	 13	H	 6	  24.00	    111.9400	Goll     	Radiolarians                                 	A              	P                 	-                      	D                   	-                       	-                	-                      	-                	T                  	-                    	-                         	-                                         	-                           	-                	-                    	-                                	-                 	-                 	-                     	C                      	-                  	T                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	-                      	-                     	T                          	-                     	-                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	T. thiedei        	              	104	 642	B	 13	H	 7	  24.00	    113.4400	Goll     	Radiolarians                                 	A              	M                 	-                      	D                   	-                       	-                	-                      	-                	-                  	-                    	-                         	-                                         	-                           	-                	-                    	-                                	-                 	-                 	-                     	SP                     	-                  	T                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	-                      	-                     	-                          	-                     	-                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	T. thiedei        	              	104	 642	B	 13	H	CC	  21.00	    113.9400	Goll     	Radiolarians                                 	C              	M                 	-                      	D                   	-                       	-                	-                      	-                	-                  	-                    	-                         	-                                         	-                           	-                	-                    	-                                	-                 	-                 	-                     	-                      	-                  	-                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	-                      	-                     	-                          	-                     	-                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	T. thiedei        	              	104	 642	B	 14	H	 1	  35.00	            	Goll     	Radiolarians                                 	C              	M                 	-                      	A                   	T                       	-                	-                      	-                	-                  	T                    	T                         	-                                         	-                           	-                	T                    	-                                	-                 	-                 	-                     	-                      	-                  	-                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	T                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	-                      	-                     	-                          	-                     	-                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	T. thiedei        	              	104	 642	B	 14	H	CC	  21.00	    120.1100	Goll     	Radiolarians                                 	R              	M                 	-                      	A                   	-                       	-                	-                      	-                	-                  	-                    	-                         	-                                         	-                           	-                	T                    	-                                	-                 	-                 	-                     	-                      	-                  	-                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	-                      	-                     	-                          	-                     	-                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	T. thiedei        	              	104	 642	B	 15	H	 1	  27.00	    123.7700	Goll     	Radiolarians                                 	A              	M                 	-                      	D                   	-                       	-                	-                      	-                	R                  	T                    	-                         	-                                         	-                           	-                	T                    	-                                	-                 	A                 	-                     	-                      	-                  	T                 	-                      	-                    	T                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	-                      	-                     	C                          	-                     	-                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	H. esmarki        	              	104	 642	B	 15	H	 2	  27.00	    125.2700	Goll     	Radiolarians                                 	A              	M                 	-                      	-                   	-                       	-                	-                      	-                	-                  	T                    	-                         	-                                         	-                           	-                	-                    	-                                	-                 	D                 	-                     	-                      	-                  	-                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	-                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	-                      	-                     	T                          	-                     	-                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

  SR	                 	                 	S. cauleti        	              	104	 642	B	 15	H	 3	  27.00	    126.7700	Goll     	Radiolarians                                 	F              	P                 	-                      	-                   	-                       	T                	-                      	-                	T                  	-                    	-                         	-                                         	-                           	-                	-                    	-                                	-                 	-                 	-                     	-                      	-                  	-                 	-                      	-                    	-                        	-                      	-                     	-                     	-                     	-                       	-                                 	T                    	-                   	-                              	-                    	-                     	-                      	-                  	-                     	-                  	-                      	-                     	T                          	-                     	-                 	-                  	-                 	-              	-                   	-                             	from ODP 104 SR Chapter 35 Table 2 p 706-707

