Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Globorotalia scitula,Globigerina quinqueloba,Globorotalia crassaformis,Orbulina universa,Globigerina aff. bulloides,Truncorotalia truncatulinoides,Globoconella inflata,Globoconella cf. inflata,Globigerina bulloides,Globigerina apertura,Globigerinita glutinata,Neogloboquadrina dutertrei,Globorotalia hexagonus,Comment
  SR,                 ,                 ,T. truncatulinoides,              ,141, 859,A,  2,H,CC,  26.00,     10.9800,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,R                                      ,R                                    ,R                   ,                       ,R                        ,R                ,R                         ,F                             ,C                   ,                        ,C                    ,R                   ,R                      ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,141, 859,A,  3,H, 2,  67.00,     12.8700,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                                      ,                                     ,                    ,                       ,R                        ,                 ,                          ,                              ,R                   ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A,  3,H,CC,  41.00,     17.1400,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                                      ,                                     ,                    ,                       ,                         ,                 ,                          ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A,  4,H, 2,  70.00,     18.9000,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,R                                      ,                                     ,                    ,                       ,                         ,                 ,R                         ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A,  4,H, 3, 130.00,     21.0000,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,R                                      ,                                     ,                    ,                       ,                         ,                 ,R                         ,                              ,                    ,                        ,                     ,                    ,R                      ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A,  4,H, 5,  63.00,     23.3300,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,R                                      ,                                     ,                    ,                       ,                         ,                 ,R                         ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A,  4,H,CC,  17.00,     25.0400,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,R                                      ,                                     ,                    ,                       ,                         ,                 ,                          ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A,  4,H,CC,  51.00,     25.3800,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,F                                      ,                                     ,R                   ,                       ,R                        ,                 ,                          ,                              ,R                   ,                        ,                     ,                    ,R                      ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A,  5,H, 2,  69.00,     26.6900,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,R                                      ,                                     ,                    ,                       ,                         ,                 ,R                         ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A,  5,H, 3,  10.00,     27.1400,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                                      ,                                     ,                    ,                       ,                         ,                 ,R                         ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A,  5,H, 5,  40.00,     29.4400,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                                      ,                                     ,                    ,R                      ,                         ,                 ,                          ,                              ,                    ,                        ,                     ,                    ,R                      ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A,  5,H, 6,  72.00,     30.9800,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,F                                      ,R                                    ,                    ,R                      ,                         ,                 ,R                         ,                              ,                    ,                        ,                     ,                    ,R                      ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A,  6,X,CC,  30.00,     37.3700,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                                      ,                                     ,                    ,                       ,                         ,                 ,                          ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A,  7,X, 1,  18.00,     41.1800,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                                      ,                                     ,                    ,                       ,                         ,                 ,                          ,                              ,                    ,                        ,R                    ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A,  7,X,CC,  19.00,     41.7900,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                                      ,R                                    ,                    ,R                      ,                         ,                 ,                          ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A,  9,P, 1,   0.00,     57.4000,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                                      ,R                                    ,                    ,C                      ,                         ,                 ,R                         ,R                             ,R                   ,R                       ,C                    ,R                   ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A, 10,X,CC,  15.00,     58.5500,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,F                                      ,                                     ,                    ,R                      ,                         ,                 ,                          ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A, 11,X, 1,  70.00,     69.0000,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,F                                      ,                                     ,                    ,R                      ,                         ,                 ,                          ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A, 11,X, 2,  42.00,     70.2200,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,F                                      ,                                     ,                    ,R                      ,                         ,                 ,                          ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A, 11,X, 2,  69.00,     70.4900,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,F                                      ,R                                    ,R                   ,                       ,R                        ,R                ,R                         ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A, 11,X, 3,  55.00,     71.8500,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,C                                      ,                                     ,                    ,R                      ,R                        ,                 ,                          ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A, 11,X, 3, 129.00,     72.5900,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,R                                      ,                                     ,R                   ,                       ,                         ,                 ,                          ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A, 11,X, 4,  55.00,     73.3500,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                                      ,                                     ,                    ,                       ,                         ,                 ,                          ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A, 11,X,CC,  10.00,     73.8500,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,F                                      ,R                                    ,R                   ,                       ,R                        ,                 ,                          ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A, 13,X,CC,  22.00,     79.8000,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,F                                      ,R                                    ,                    ,R                      ,R                        ,                 ,                          ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A, 14,X, 1,  62.00,     88.2200,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,R                                      ,                                     ,                    ,R                      ,                         ,                 ,                          ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A, 14,X, 3,  71.00,     91.2300,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,R                                      ,                                     ,                    ,R                      ,                         ,                 ,                          ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A, 14,X,CC,  19.00,     92.1100,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                                      ,                                     ,R                   ,                       ,                         ,                 ,                          ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A, 16,X,CC,   7.00,    100.6200,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,                                       ,                                     ,                    ,R                      ,                         ,                 ,                          ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A, 16,X,CC,  33.00,    100.8800,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,R                                      ,                                     ,                    ,                       ,                         ,                 ,                          ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A, 17,X,CC,  27.00,    107.1700,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                                      ,                                     ,R                   ,                       ,                         ,                 ,                          ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 859,A, 18,X,CC,  35.00,    117.4900,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,F                                      ,R                                    ,                    ,                       ,                         ,                 ,                          ,                              ,                    ,                        ,                     ,                    ,                       ,                          ,                      ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
