Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Gephyrocapsa sp.,Coccolithus pelagicus,Reticulofenestra cf. pseudoumbilica,Helicosphaera sellii,Helicosphaera carteri,Calcidiscus macintyrei,Calcidiscus leptoporus,Pseudoemiliania lacunosa,Discolithina japonica,Syracosphaera pulchra,Braarudosphaera bigelowii,Gephyrocapsa ericsonii,Emiliania huxleyi,Comment
  SR,Late Pliocene    ,                 ,NN16              ,NN18          ,141, 859,A,  5,H, 2,  69.00,     26.6900,Spiegler ,Nannofossils                                 ,R              ,M                 ,                ,R                    ,R                                  ,T                   ,                     ,R                     ,                      ,                        ,                     ,                     ,                         ,                      ,                 ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,NN18          ,141, 859,A,  5,H, 6,  72.00,     30.9800,Spiegler ,Nannofossils                                 ,R              ,M                 ,                ,F                    ,F                                  ,F                   ,                     ,R                     ,                      ,R                       ,                     ,                     ,                         ,                      ,                 ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,NN18          ,141, 859,A,  6,X, 2,  35.00,     36.5500,Spiegler ,Nannofossils                                 ,R              ,M                 ,R               ,F                    ,R                                  ,R                   ,R                    ,                      ,                      ,                        ,                     ,                     ,                         ,                      ,                 ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,NN18          ,141, 859,A,  6,X,CC,  30.00,     37.3700,Spiegler ,Nannofossils                                 ,R              ,M                 ,R               ,F                    ,                                   ,R                   ,R                    ,R                     ,                      ,                        ,                     ,                     ,                         ,                      ,                 ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,NN18          ,141, 859,A,  7,X,CC,  19.00,     41.7900,Spiegler ,Nannofossils                                 ,R              ,P                 ,F               ,F                    ,F                                  ,F                   ,R                    ,                      ,R                     ,                        ,                     ,                     ,                         ,                      ,                 ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,NN18          ,141, 859,A,  8,X,CC,  20.00,     50.7000,Spiegler ,Nannofossils                                 ,R              ,M                 ,R               ,R                    ,R                                  ,T                   ,R                    ,                      ,R                     ,                        ,                     ,                     ,                         ,                      ,                 ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,NN18          ,141, 859,A,  9,P, 1,   0.00,     57.4000,Spiegler ,Nannofossils                                 ,R              ,M                 ,R               ,R                    ,R                                  ,R                   ,R                    ,                      ,R                     ,                        ,                     ,                     ,                         ,                      ,                 ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,NN18          ,141, 859,A, 10,X,CC,  15.00,     58.5500,Spiegler ,Nannofossils                                 ,R              ,M                 ,F               ,F                    ,R                                  ,R                   ,R                    ,R                     ,R                     ,                        ,                     ,                     ,                         ,                      ,                 ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,NN18          ,141, 859,A, 13,X,CC,  22.00,     79.8000,Spiegler ,Nannofossils                                 ,T              ,P                 ,                ,T                    ,T                                  ,                    ,                     ,                      ,                      ,                        ,                     ,                     ,                         ,                      ,                 ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,NN18          ,141, 859,A, 17,X,CC,  27.00,    107.1700,Spiegler ,Nannofossils                                 ,R              ,P                 ,                ,R                    ,F                                  ,                    ,                     ,                      ,                      ,                        ,                     ,                     ,                         ,                      ,                 ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,NN18          ,141, 859,A, 19,X,CC,  37.00,    126.7800,Spiegler ,Nannofossils                                 ,T              ,P                 ,R               ,R                    ,                                   ,                    ,                     ,                      ,                      ,                        ,                     ,                     ,                         ,                      ,                 ,from Leg 141 SR; Ch 14; Table 2; p 196
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
