Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Bolivinid taxa	Pullenia spp.	Oridorsalis umbonatus	Nuttallides umbonifera	Melonis pompilioides	Lenticulina spp.	Cibicidoides spp.	Globocassidulina subglobosa	Epistominella exigua	Cibicidoides kullenbergi	Plectofrondicularia sp.	Melonis nicobarense	Gyroidinoides altiformis	Elphidium spp.	Pleurostomella spp.	Gyroidinoides spp.	Dentalina/Nodosaria spp.	Cibicidoides bradyi	Cassidulina spp.	Ammonia beccarii	Planulina wuellerstorfi	Pararotalia spp.	Ehrenbergina hystrix	Eggerella bradyi	Uvigerinid taxa	Pullenia bulloides	Laticarinina pauperata	Lagena taxa	Hanzawaia boueana	Textularia taxa	Anomalinoides spp.	Eponides tumidulus	Buliminid taxa	Gyroidinoides laevigatus ex. gr.	Karreriella sp.	Pyrgo spp.	Gyroidinoides neosoldanii	Gyroidinoides umbonatus ex. gr.	Miliolids species	Fursenkoina spp.	Comment
  SR	                 	                 	                  	              	116	 718	C	 11	X	 1	   2.00	    104.3200	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	2                    	3                     	                    	                	                 	1                          	                    	                        	                       	                   	                        	              	                   	                  	                        	                   	                	                	1                      	                	                    	                	               	1                 	                      	1          	                 	               	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 13	X	 2	  33.00	    125.1300	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	1                    	14                    	                    	                	                 	4                          	                    	                        	                       	                   	                        	              	                   	                  	                        	                   	                	                	                       	                	                    	                	               	1                 	                      	1          	                 	               	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 13	X	CC	   8.00	    126.3800	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	                     	                      	                    	                	                 	                           	                    	1                       	                       	                   	                        	              	                   	                  	                        	                   	                	                	                       	                	                    	                	               	                  	                      	           	                 	               	                  	                  	              	                                	               	          	                         	1                              	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 14	X	 5	  87.00	    139.6700	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	4                    	6                     	                    	                	                 	2                          	                    	1                       	                       	                   	                        	              	                   	                  	                        	                   	                	                	                       	                	                    	                	               	                  	                      	3          	                 	               	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 14	X	 5	 140.00	    140.2000	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	10                   	23                    	                    	                	                 	6                          	                    	                        	                       	                   	                        	              	                   	                  	                        	2                  	                	                	2                      	                	2                   	                	               	                  	1                     	8          	                 	               	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 14	X	CC	  30.00	    141.0100	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	1                    	4                     	                    	                	                 	                           	                    	                        	                       	                   	                        	              	                   	                  	                        	1                  	                	                	                       	                	                    	                	               	                  	2                     	           	                 	               	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 15	X	 1	  44.00	    142.7400	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	                     	9                     	                    	                	                 	3                          	2                   	                        	                       	                   	                        	              	                   	                  	                        	                   	                	                	                       	                	                    	                	               	1                 	                      	4          	                 	               	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 15	X	 1	 100.00	    143.3000	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	1                    	30                    	5                   	                	                 	4                          	2                   	                        	                       	                   	                        	              	                   	                  	2                       	                   	                	                	1                      	                	                    	                	               	1                 	                      	5          	                 	               	                  	                  	1             	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 15	X	CC	  17.00	    146.0800	Iaccarino	Benthic Foraminifers                         	               	                  	              	1            	4                    	3                     	1                   	                	                 	2                          	                    	8                       	                       	2                  	                        	              	                   	1                 	4                       	                   	1               	                	1                      	                	                    	                	               	2                 	2                     	           	                 	               	1                 	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 15	X	CC	  23.00	    146.1400	Iaccarino	Benthic Foraminifers                         	               	                  	              	7            	6                    	29                    	7                   	                	2                	5                          	                    	                        	                       	2                  	                        	              	1                  	7                 	                        	                   	                	                	2                      	                	                    	3               	               	15                	6                     	6          	                 	1              	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 16	X	 3	  57.00	    155.3700	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	4                    	14                    	4                   	                	                 	6                          	2                   	4                       	                       	1                  	                        	              	1                  	                  	4                       	1                  	                	                	                       	                	                    	                	               	                  	2                     	3          	                 	               	                  	                  	              	2                               	               	          	1                        	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 17	X	 2	  82.00	    163.6200	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	                     	                      	                    	                	7                	12                         	                    	                        	                       	                   	                        	              	                   	                  	                        	                   	                	                	                       	                	                    	                	               	                  	                      	1          	                 	               	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 17	X	 6	  21.00	    169.0100	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	                     	                      	                    	                	                 	                           	                    	                        	                       	                   	                        	              	                   	                  	                        	                   	                	                	                       	                	                    	                	               	                  	                      	1          	                 	               	                  	                  	              	                                	               	1         	1                        	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 18	X	CC	  26.00	    171.0600	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	5                    	29                    	2                   	                	                 	                           	2                   	                        	                       	                   	                        	              	                   	1                 	                        	                   	                	                	1                      	                	                    	                	               	1                 	2                     	           	                 	               	                  	                  	              	                                	1              	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 19	X	 3	 120.00	    184.5000	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	1                    	10                    	                    	                	                 	4                          	                    	1                       	                       	                   	                        	              	                   	1                 	                        	                   	                	                	2                      	                	                    	                	               	                  	                      	           	                 	2              	                  	                  	              	1                               	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 21	X	CC	   0.00	    199.3000	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	                     	1                     	                    	                	                 	                           	                    	                        	                       	                   	                        	              	                   	                  	                        	                   	                	                	                       	                	                    	                	               	                  	                      	           	                 	               	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 23	X	CC	   0.00	    218.3000	Iaccarino	Benthic Foraminifers                         	               	                  	              	1            	1                    	2                     	1                   	                	                 	                           	                    	                        	                       	                   	                        	              	                   	                  	                        	                   	                	                	1                      	                	                    	                	               	                  	                      	           	                 	               	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 24	X	 1	   0.00	    227.8000	Iaccarino	Benthic Foraminifers                         	               	                  	              	2            	8                    	25                    	4                   	                	6                	                           	14                  	                        	                       	2                  	                        	              	1                  	5                 	                        	2                  	                	                	                       	                	                    	3               	               	4                 	1                     	4          	                 	               	                  	                  	1             	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 25	X	 1	  51.00	    237.8100	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	1                    	7                     	                    	                	3                	2                          	7                   	                        	                       	                   	                        	              	1                  	1                 	                        	                   	                	                	2                      	                	                    	1               	               	4                 	                      	3          	                 	               	                  	3                 	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 25	X	CC	   1.00	    239.1100	Iaccarino	Benthic Foraminifers                         	               	                  	              	8            	6                    	27                    	11                  	                	2                	                           	8                   	                        	                       	1                  	                        	              	10                 	2                 	13                      	3                  	                	                	10                     	                	                    	                	               	8                 	4                     	5          	                 	2              	3                 	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 25	X	CC	  10.00	    239.2000	Iaccarino	Benthic Foraminifers                         	               	                  	              	2            	18                   	22                    	                    	1               	1                	1                          	2                   	                        	                       	                   	                        	              	1                  	11                	1                       	                   	                	                	9                      	                	                    	15              	               	2                 	1                     	6          	                 	1              	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 26	X	 1	   2.00	    246.8200	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	1                    	22                    	                    	                	                 	1                          	                    	4                       	                       	2                  	                        	              	                   	                  	                        	                   	                	                	                       	                	                    	                	               	1                 	4                     	1          	1                	               	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 31	X	CC	   0.00	    294.3000	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	                     	1                     	                    	                	                 	                           	                    	                        	                       	                   	                        	1             	                   	                  	                        	                   	                	                	                       	1               	                    	                	               	                  	                      	           	                 	               	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 32	X	 2	  62.00	    305.9200	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	2                    	                      	                    	                	                 	                           	3                   	                        	                       	                   	                        	              	2                  	                  	4                       	                   	                	                	                       	                	                    	                	               	                  	                      	           	                 	               	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 33	X	CC	  14.00	    313.6700	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	                     	                      	                    	                	                 	                           	                    	                        	                       	                   	                        	              	                   	                  	                        	                   	                	1               	                       	                	                    	                	1              	                  	                      	           	                 	               	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 39	X	CC	  13.00	    370.4300	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	4                    	6                     	1                   	                	                 	                           	1                   	                        	                       	                   	                        	              	                   	1                 	                        	                   	                	                	2                      	1               	1                   	1               	               	                  	                      	           	                 	               	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 60	X	 1	  83.00	    570.6300	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	                     	                      	                    	                	                 	                           	                    	                        	                       	                   	                        	              	                   	                  	                        	                   	                	                	1                      	                	                    	                	               	                  	                      	           	                 	               	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 67	X	CC	  27.00	    640.7000	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	                     	                      	                    	                	                 	                           	                    	                        	                       	                   	                        	              	                   	                  	                        	                   	                	1               	                       	                	                    	                	               	                  	                      	           	                 	               	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 72	X	 4	 135.00	    689.6500	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	                     	                      	                    	                	                 	                           	                    	                        	                       	                   	                        	              	                   	                  	                        	                   	1               	                	                       	                	                    	                	               	                  	                      	           	                 	               	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 72	X	 5	 142.00	    691.2200	Iaccarino	Benthic Foraminifers                         	               	                  	              	3            	1                    	4                     	                    	                	                 	1                          	                    	                        	                       	                   	                        	              	1                  	2                 	1                       	2                  	                	                	                       	                	                    	                	               	                  	                      	           	                 	               	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 72	X	 6	   4.00	    691.3400	Iaccarino	Benthic Foraminifers                         	               	                  	1             	             	                     	                      	                    	                	                 	                           	                    	                        	1                      	1                  	1                       	1             	                   	                  	                        	                   	                	                	                       	                	                    	                	               	                  	                      	           	                 	               	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 78	X	CC	  19.00	    748.3700	Iaccarino	Benthic Foraminifers                         	               	                  	              	             	2                    	2                     	                    	                	                 	2                          	1                   	2                       	                       	                   	                        	              	                   	                  	                        	                   	                	                	                       	                	                    	                	               	                  	                      	           	                 	               	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 79	X	 2	  57.00	    752.3700	Iaccarino	Benthic Foraminifers                         	               	                  	              	1            	1                    	2                     	1                   	1               	1                	                           	                    	                        	                       	                   	                        	              	                   	                  	                        	                   	                	                	                       	                	                    	                	               	                  	                      	           	                 	               	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

  SR	                 	                 	                  	              	116	 718	C	 94	X	CC	  41.00	    897.2000	Iaccarino	Benthic Foraminifers                         	               	                  	3             	             	                     	                      	                    	                	                 	                           	                    	                        	                       	                   	                        	              	                   	                  	                        	                   	                	                	                       	                	                    	                	               	                  	                      	           	                 	               	                  	                  	              	                                	               	          	                         	                               	                 	                	from ODP Leg 116 SR Chapter 18 Table 3 p 222

