Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Trifarina angulosa,Pullenia quinqueloba,Pullenia bulloides,Notorotalia spp.,Melonis barleeanus,Martinottiella communis,Lenticulina spp.,Cornuspira involvens,Cibicidoides spp.,Cibicidoides pachyderma,Cassidulina carinata,Sphaeroidina bulloides,Pyrgo murrhina,Oridorsalis umbonatus,Miliolinella subrotundata,Gavelinopsis praegeri,Fissurina spp.,Epistominella exigua,Elphidium charlottense,Elphidium advenum,Eggerella bradyi,Discorbinella complanata,Discorbinella bertheloti,Cassidulina minuta,Cassidulina laevigata,Uvigerina auberiana,Uvigerina dirupta,Quinqueloculina venusta,Nonionellina flemingi,Planulina wuellerstorfi,Nuttallides umbonifera,Gyroidinoides spp.,Globocassidulina spp.,Ehrenbergina mestayeri,Bolivina spp.,Lagena spp.,Cornuspira foliacea,Karreriella bradyi,Pleurostomella spp.,Patellina corrugata,Nonionella turgida,Globocassidulina subglobosa,Bolivina barbata,Anomalinoides sphericus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,A,  7,H,CC,   0.00,     65.8000,forams   ,Benthic Foraminifers                         ,F              ,VG                ,R                 ,T                   ,T                 ,T               ,R                 ,T                      ,T               ,                    ,                 ,R                      ,R                   ,T                     ,T             ,T                    ,                         ,                     ,              ,F                   ,                      ,R                ,T               ,                        ,                        ,                  ,                     ,T                  ,R                ,T                      ,                     ,T                      ,R                     ,T                 ,R                    ,T                     ,T            ,           ,                   ,                  ,                   ,                   ,                  ,                           ,                ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,A, 10,X,CC,  10.00,     85.7900,forams   ,Benthic Foraminifers                         ,R              ,G                 ,R                 ,                    ,                  ,T               ,T                 ,                       ,T               ,                    ,R                ,R                      ,R                   ,                      ,T             ,T                    ,R                        ,R                    ,R             ,R                   ,R                     ,F                ,                ,                        ,T                       ,                  ,T                    ,                   ,R                ,T                      ,T                    ,                       ,                      ,                  ,                     ,                      ,             ,           ,                   ,                  ,                   ,                   ,                  ,                           ,                ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,A, 11,X,CC,   0.00,     96.7700,forams   ,Benthic Foraminifers                         ,R              ,G                 ,                  ,                    ,                  ,                ,                  ,T                      ,                ,                    ,                 ,T                      ,                    ,T                     ,              ,                     ,                         ,                     ,              ,                    ,                      ,                 ,T               ,                        ,                        ,                  ,                     ,T                  ,                 ,                       ,                     ,                       ,                      ,                  ,                     ,                      ,             ,           ,                   ,                  ,                   ,                   ,                  ,                           ,                ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,A, 12,X,CC,  10.00,    109.6400,forams   ,Benthic Foraminifers                         ,R              ,G                 ,F                 ,                    ,R                 ,T               ,R                 ,                       ,                ,                    ,                 ,R                      ,R                   ,T                     ,T             ,R                    ,R                        ,R                    ,F             ,R                   ,T                     ,F                ,T               ,T                       ,T                       ,T                 ,T                    ,                   ,                 ,                       ,                     ,                       ,                      ,                  ,                     ,                      ,             ,           ,                   ,                  ,                   ,                   ,                  ,                           ,                ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,A, 13,X,CC,   5.00,    119.9700,forams   ,Benthic Foraminifers                         ,C              ,M                 ,T                 ,T                   ,T                 ,T               ,T                 ,T                      ,T               ,T                   ,T                ,T                      ,T                   ,                      ,              ,                     ,                         ,                     ,              ,                    ,                      ,                 ,                ,                        ,                        ,                  ,                     ,                   ,                 ,                       ,                     ,                       ,                      ,                  ,                     ,                      ,             ,           ,                   ,                  ,                   ,                   ,                  ,                           ,                ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
