Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Rhizosolenia barboi,Delphineis penelliptica,Cymatosira immunis,Coscinodiscus lewisianus,Actinocyclus tenellus,Actinocyclus ingens,Rossiella paleacea,Rhizosolenia praebarboi,Rhizosolenia miocenica,Raphidodiscus marylandicus,Paralia sulcata var. coronata,Coscinodiscus tuberculatus,Coscinodiscus perforatus,Cavitatus jouseanus,Azpeitia endoi,Asteromphalus undulatus,Thalassionema nitzschioides,Stephanopyxis turris,Coscinodiscus marginatus,Stephanopyxis sp.,Crucidenticula nicobarica,Actinocyclus ellipticus,Denticulopsis hustedtii,Stephanopyxis grunowii,Thalassiosira lineata,Denticulopsis punctata var. hustedtii,Craspedodiscus coscinodiscus,Delphineis novaecaesaraea,Denticulopsis lauta,Coscinodiscus yabei,Actinocyclus ehrenbergii,Coscinodiscus asteromphalus,Hemidiscus cuneiformis,Rhizosolenia alata,Thalassiosira grunowii,Coscinodiscus temperei var. delicata,Mediaria splendida,Paralia sulcata,Coscinodiscus radiatus,Thalassiosira oestrupii,Rhizosolenia styliformis,Rhizosolenia hebetata,Pseudoeunotia doliolus,Thalassiosira gravida,Nitzschia marina,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D,  6,H,CC,  36.00,     60.7700,Burckle  ,Diatoms                                      ,R              ,M                 ,                   ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,R                          ,                    ,                        ,                 ,                         ,                       ,                       ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,R                     ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D,  7,H,CC,  29.00,     70.8000,Burckle  ,Diatoms                                      ,C              ,M                 ,                   ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,F                          ,                    ,                        ,                 ,                         ,                       ,                       ,                      ,R                    ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,C              ,                      ,R                      ,R                       ,                     ,R                     ,                     ,R               ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D,  8,H,CC,  54.00,     79.7400,Burckle  ,Diatoms                                      ,F-C            ,M                 ,                   ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,C                          ,                    ,                        ,                 ,                         ,                       ,                       ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,F              ,                      ,R                      ,R                       ,R                    ,                      ,                     ,R               ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D,  9,H, 2,  70.00,     81.2000,Burckle  ,Diatoms                                      ,C              ,M                 ,                   ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,C                          ,                    ,                        ,                 ,                         ,                       ,                       ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,C              ,                      ,F                      ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D,  9,H, 3,  29.00,     82.2900,Burckle  ,Diatoms                                      ,A              ,G                 ,                   ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,                           ,                    ,A                       ,                 ,                         ,                       ,                       ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D,  9,H, 3,  42.00,     82.4200,Burckle  ,Diatoms                                      ,F              ,M                 ,                   ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,R                          ,                    ,F                       ,                 ,                         ,                       ,                       ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D,  9,H,CC,  56.00,     88.3700,Burckle  ,Diatoms                                      ,R-F            ,M                 ,                   ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,R                      ,                           ,                    ,                        ,                 ,                         ,                       ,                       ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,F              ,                      ,                       ,                        ,R                    ,R                     ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 10,H,CC,  29.00,     95.8600,Burckle  ,Diatoms                                      ,C              ,M                 ,                   ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,                           ,F                   ,F                       ,                 ,                         ,                       ,                       ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,F              ,                      ,R                      ,                        ,                     ,R                     ,F                    ,R               ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 11,H,CC,  61.00,    108.4600,Burckle  ,Diatoms                                      ,F              ,M                 ,                   ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,F                          ,                    ,                        ,                 ,                         ,                       ,                       ,                      ,R                    ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,R                      ,R                       ,R                    ,F                     ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 14,H,CC,  46.00,    130.8300,Burckle  ,Diatoms                                      ,R              ,M                 ,                   ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,R                          ,                    ,                        ,                 ,                         ,                       ,                       ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 16,H,CC,  31.00,    139.8900,Burckle  ,Diatoms                                      ,C              ,M                 ,                   ,                       ,                  ,                        ,                     ,R                  ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,F                          ,                    ,                        ,R                ,                         ,                       ,                       ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,R                     ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 17,H, 4, 147.00,    145.1000,Burckle  ,Diatoms                                      ,F              ,M                 ,                   ,                       ,                  ,                        ,                     ,F                  ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,F                          ,                    ,                        ,                 ,                         ,                       ,                       ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 18,X,CC,  41.00,    152.7600,Burckle  ,Diatoms                                      ,F              ,M                 ,                   ,                       ,                  ,                        ,                     ,R                  ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,F                          ,                    ,                        ,                 ,                         ,                       ,                       ,R                     ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 19,X,CC,  41.00,    156.1600,Burckle  ,Diatoms                                      ,C              ,G                 ,                   ,                       ,                  ,                        ,                     ,R                  ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,R             ,F                      ,C                          ,                    ,                        ,                 ,                         ,R                      ,R                      ,F                     ,R                    ,R                                    ,                            ,                         ,                   ,                   ,                        ,R                          ,                      ,                  ,                      ,                                    ,                  ,F              ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 20,X,CC,  40.00,    171.4700,Burckle  ,Diatoms                                      ,C              ,M                 ,R                  ,                       ,                  ,                        ,                     ,F                  ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,R                          ,                    ,                        ,F                ,                         ,                       ,R                      ,F                     ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 21,X,CC,  34.00,    180.8600,Burckle  ,Diatoms                                      ,C              ,M                 ,                   ,                       ,                  ,                        ,R                    ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,F                      ,F                          ,                    ,                        ,                 ,                         ,                       ,F                      ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,R                          ,                      ,                  ,                      ,                                    ,                  ,               ,R                     ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 22,X,CC,  28.00,    190.1000,Burckle  ,Diatoms                                      ,A              ,G                 ,R                  ,                       ,                  ,                        ,                     ,                   ,R                 ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,R             ,F                      ,A                          ,                    ,                        ,                 ,                         ,                       ,R                      ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 23,X,CC,  34.00,    200.0700,Burckle  ,Diatoms                                      ,C              ,G                 ,R                  ,                       ,                  ,                        ,                     ,R                  ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,F                          ,F                   ,                        ,                 ,                         ,                       ,R                      ,R                     ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,F              ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 24,X,CC,  30.00,    209.6200,Burckle  ,Diatoms                                      ,C-A            ,G                 ,R                  ,                       ,R                 ,                        ,                     ,R                  ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,F                          ,                    ,                        ,                 ,                         ,R                      ,R                      ,                      ,                     ,F                                    ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,R                     ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 25,X,CC,  30.00,    219.2100,Burckle  ,Diatoms                                      ,C-A            ,G                 ,R                  ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,F                      ,C                          ,                    ,                        ,                 ,                         ,                       ,R                      ,                      ,                     ,                                     ,                            ,                         ,                   ,R                  ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 26,X,CC,  37.00,    229.0200,Burckle  ,Diatoms                                      ,F-C            ,P                 ,                   ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,F                          ,                    ,                        ,                 ,                         ,                       ,R                      ,                      ,                     ,                                     ,                            ,F                        ,                   ,R                  ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 27,X,CC,  27.00,    238.6000,Burckle  ,Diatoms                                      ,F-C            ,P                 ,                   ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,R             ,R                      ,F                          ,                    ,                        ,                 ,                         ,R                      ,R                      ,                      ,                     ,                                     ,                            ,                         ,                   ,R                  ,                        ,                           ,                      ,                  ,R                     ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 28,X,CC,  31.00,    248.2000,Burckle  ,Diatoms                                      ,F              ,P                 ,                   ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,R                          ,                    ,                        ,                 ,                         ,                       ,R                      ,                      ,                     ,                                     ,                            ,                         ,                   ,R                  ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 29,X,CC,  35.00,    257.9700,Burckle  ,Diatoms                                      ,C              ,M                 ,                   ,                       ,                  ,                        ,                     ,R                  ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,R                      ,C                          ,                    ,                        ,                 ,                         ,                       ,R                      ,                      ,                     ,                                     ,                            ,                         ,                   ,R                  ,                        ,                           ,                      ,                  ,                      ,R                                   ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 30,X,CC,  35.00,    267.5600,Burckle  ,Diatoms                                      ,F              ,P                 ,                   ,                       ,                  ,                        ,                     ,R                  ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,F                          ,                    ,                        ,                 ,                         ,                       ,R                      ,                      ,                     ,                                     ,                            ,                         ,                   ,R                  ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 31,X,CC,  30.00,    277.1500,Burckle  ,Diatoms                                      ,F              ,P                 ,R                  ,                       ,                  ,                        ,                     ,R                  ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,R                          ,                    ,                        ,                 ,                         ,                       ,R                      ,                      ,                     ,                                     ,                            ,                         ,                   ,R                  ,                        ,                           ,                      ,                  ,R                     ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 32,X,CC,  33.00,    286.8600,Burckle  ,Diatoms                                      ,F              ,P                 ,                   ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,R                          ,                    ,                        ,                 ,                         ,                       ,R                      ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 33,X, 1,  33.00,    286.9300,Burckle  ,Diatoms                                      ,C              ,M                 ,                   ,R                      ,R                 ,                        ,R                    ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,F                          ,                    ,                        ,                 ,                         ,R                      ,R                      ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 33,X, 4,  69.00,    291.7900,Burckle  ,Diatoms                                      ,C              ,M                 ,R                  ,                       ,                  ,                        ,R                    ,R                  ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,                           ,                    ,                        ,                 ,                         ,                       ,R                      ,R                     ,                     ,                                     ,                            ,                         ,                   ,R                  ,                        ,                           ,                      ,                  ,                      ,R                                   ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 33,X,CC,  35.00,    292.9500,Burckle  ,Diatoms                                      ,C              ,M                 ,R                  ,                       ,                  ,                        ,R                    ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,F                          ,                    ,                        ,                 ,                         ,R                      ,F                      ,R                     ,                     ,R                                    ,                            ,F                        ,                   ,R                  ,                        ,                           ,                      ,                  ,                      ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 34,X,CC,  31.00,    300.4500,Burckle  ,Diatoms                                      ,F              ,P                 ,                   ,                       ,                  ,                        ,R                    ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,R                      ,                           ,                    ,                        ,                 ,                         ,                       ,R                      ,                      ,                     ,                                     ,                            ,                         ,                   ,                   ,                        ,                           ,                      ,                  ,                      ,                                    ,R                 ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,150, 902,D, 36,X,CC,  43.00,    325.3100,Burckle  ,Diatoms                                      ,F              ,M                 ,                   ,                       ,                  ,                        ,                     ,                   ,                  ,                       ,                      ,                          ,                             ,                          ,                        ,                   ,              ,                       ,F                          ,                    ,                        ,                 ,                         ,R                      ,R                      ,                      ,                     ,                                     ,                            ,R                        ,                   ,R                  ,                        ,                           ,                      ,                  ,R                     ,                                    ,                  ,               ,                      ,                       ,                        ,                     ,                      ,                     ,                ,from Leg 150 SR;Ch 2; Table 2; pp. 22-23
