Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra umbilica,Discoaster saipanensis,Discoaster barbadiensis,Dictyococcites bisectus,Cribrocentrum reticulatum,Chiasmolithus grandis,Chiasmolithus expansus,Pemma papillatum,Chiasmolithus oamaruensis,Pemma basquensis,Neococcolithes minutus,Isthmolithus recurvus,Cyclicargolithus floridanus,Comment
  IR,                 ,Late Eocene      ,                  ,CP15a         ,171,1052,B,  7,H,CC,   9.00,     61.9500,Watkins  ,Nannofossils                                 ,A              ,G                 ,+                        ,+                     ,+                      ,+                      ,+                        ,                     ,                      ,+               ,+                        ,+               ,                      ,                     ,                           ,No Ch. grandis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15a         ,171,1052,B,  8,H,CC,   8.00,     62.4100,Watkins  ,Nannofossils                                 ,A              ,G                 ,+                        ,+                     ,+                      ,+                      ,+                        ,                     ,                      ,                ,+                        ,+               ,                      ,                     ,                           ,No Ch. grandis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15a         ,171,1052,B,  9,H,CC,  23.00,     71.9800,Watkins  ,Nannofossils                                 ,A              ,G                 ,+                        ,                      ,                       ,                       ,+                        ,                     ,                      ,+               ,+                        ,                ,                      ,                     ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14b         ,171,1052,B, 10,H,CC,  15.00,     81.7000,Watkins  ,Nannofossils                                 ,A              ,G                 ,+                        ,+                     ,+                      ,+                      ,+                        ,+                    ,                      ,+               ,                         ,                ,                      ,                     ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14b         ,171,1052,B, 11,H,CC,  17.00,     91.2500,Watkins  ,Nannofossils                                 ,A              ,G                 ,+                        ,+                     ,+                      ,+                      ,+                        ,+                    ,                      ,                ,                         ,                ,                      ,                     ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14b         ,171,1052,B, 13,H,CC,  10.00,    109.3100,Watkins  ,Nannofossils                                 ,A              ,G                 ,+                        ,+                     ,+                      ,+                      ,+                        ,+                    ,                      ,                ,                         ,                ,                      ,                     ,                           ,Reworked C. dela and P. sigmoides
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14b         ,171,1052,B, 14,H,CC,  14.00,    119.7000,Watkins  ,Nannofossils                                 ,A              ,G                 ,+                        ,+                     ,+                      ,+                      ,+                        ,+                    ,+                     ,                ,                         ,                ,                      ,                     ,                           ,Reworked C. dela and P. sigmoides
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
