Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra minutula,Reticulofenestra minuta,Pseudoemiliania lacunosa,Coccolithus pelagicus,Calcidiscus leptoporus,Braarudosphaera bigelowii,Reticulofenestra productella,Pontosphaera spp.,Syracosphaera pulchra,Gephyrocapsa spp. (small),Gephyrocapsa muellerae,Calcidiscus macintyrei,Gephyrocapsa caribbeanica,Reticulofenestra pseudoumbilica,Reticulofenestra asanoi,Gephyrocapsa oceanica,Syracosphaera spp.(small),Emiliania huxleyi,Helicosphaera carteri,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21B             ,              ,168,1027,B,  4,H, 3,  20.00,     26.4000,Su       ,Nannofossils                                 ,T              ,G                 ,                         ,                       ,                        ,43.0%                ,                      ,                         ,                            ,                 ,                     ,                         ,28.5%                 ,                      ,                         ,                               ,                       ,                     ,                         ,29.0%            ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1027,B,  5,H, 1,  30.00,     33.0000,Su       ,Nannofossils                                 ,T              ,M-G               ,                         ,                       ,                        ,36.0%                ,                      ,                         ,                            ,                 ,                     ,                         ,29.0%                 ,                      ,                         ,                               ,                       ,                     ,                         ,35.0%            ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21B             ,              ,168,1027,B,  5,H, 3,  60.00,     36.3000,Su       ,Nannofossils                                 ,T              ,VG                ,                         ,                       ,                        ,13.0%                ,                      ,                         ,                            ,                 ,                     ,                         ,34.0%                 ,                      ,                         ,                               ,                       ,                     ,                         ,53.0%            ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1027,B,  6,H, 3,  68.00,     45.8800,Su       ,Nannofossils                                 ,T              ,G                 ,                         ,                       ,                        ,14.0%                ,                      ,                         ,                            ,                 ,                     ,4.0%                     ,48.9%                 ,                      ,                         ,                               ,                       ,                     ,                         ,33.0%            ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1027,B,  6,H, 5, 107.00,     49.2700,Su       ,Nannofossils                                 ,P              ,G                 ,                         ,                       ,                        ,                     ,                      ,                         ,                            ,                 ,                     ,                         ,C                     ,                      ,                         ,                               ,                       ,F                    ,                         ,C                ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21B             ,              ,168,1027,B,  6,H, 7,  45.00,     51.6500,Su       ,Nannofossils                                 ,P              ,G                 ,                         ,                       ,                        ,F                    ,R                     ,                         ,                            ,                 ,                     ,R                        ,C                     ,                      ,                         ,                               ,                       ,R                    ,                         ,C                ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1027,B,  7,H, 1,  25.00,     51.9500,Su       ,Nannofossils                                 ,P              ,G                 ,                         ,                       ,                        ,T                    ,                      ,                         ,                            ,                 ,                     ,                         ,D                     ,                      ,                         ,                               ,                       ,F                    ,                         ,R                ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1027,B,  7,H, 5,   4.00,     55.7100,Su       ,Nannofossils                                 ,P              ,G                 ,                         ,                       ,                        ,15.0%                ,                      ,                         ,                            ,                 ,                     ,8.0%                     ,42.3%                 ,                      ,4.0%                     ,                               ,                       ,12.0%                ,                         ,19.0%            ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1027,B,  7,H,CC,  15.00,     58.7000,Su       ,Nannofossils                                 ,P              ,G                 ,                         ,                       ,                        ,22.0%                ,                      ,                         ,                            ,                 ,                     ,4.0%                     ,56.5%                 ,                      ,                         ,                               ,                       ,9.0%                 ,                         ,9.0%             ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1027,B,  8,H, 1, 117.00,     62.3700,Su       ,Nannofossils                                 ,P              ,G                 ,                         ,                       ,                        ,                     ,                      ,7.0%                     ,                            ,                 ,                     ,7.0%                     ,71.4%                 ,                      ,                         ,                               ,                       ,                     ,                         ,14.0%            ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1027,B,  8,H, 3,  10.00,     64.3000,Su       ,Nannofossils                                 ,P              ,G                 ,                         ,                       ,                        ,7.0%                 ,                      ,                         ,                            ,                 ,                     ,7.0%                     ,64.2%                 ,                      ,7.0%                     ,                               ,                       ,                     ,                         ,14.0%            ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1027,B,  8,H, 6, 103.00,     68.9200,Su       ,Nannofossils                                 ,P              ,G                 ,                         ,                       ,                        ,18.0%                ,                      ,                         ,                            ,                 ,                     ,14.0%                    ,27.2%                 ,                      ,                         ,                               ,                       ,                     ,                         ,41.0%            ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1027,B,  9,H, 1,  82.00,     71.5200,Su       ,Nannofossils                                 ,P              ,G                 ,                         ,                       ,                        ,44.0%                ,                      ,                         ,                            ,                 ,                     ,11.0%                    ,11.1%                 ,                      ,22.0%                    ,                               ,                       ,                     ,                         ,11.0%            ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1027,B, 11,X,CC,   5.00,     87.7500,Su       ,Nannofossils                                 ,T              ,VG                ,                         ,                       ,                        ,5.0%                 ,                      ,                         ,                            ,                 ,                     ,                         ,61.9%                 ,                      ,                         ,                               ,                       ,                     ,                         ,33.0%            ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1027,B, 13,X,CC,  30.00,    107.4000,Su       ,Nannofossils                                 ,T              ,G                 ,                         ,                       ,                        ,13.0%                ,                      ,                         ,                            ,                 ,                     ,                         ,37.5%                 ,                      ,13.0%                    ,                               ,                       ,                     ,                         ,38.0%            ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN20              ,              ,168,1027,B, 14,X,CC,   7.00,    116.7700,Su       ,Nannofossils                                 ,P              ,G                 ,                         ,                       ,                        ,2.0%                 ,1.0%                  ,                         ,                            ,                 ,                     ,7.0%                     ,60.0%                 ,                      ,30.0%                    ,                               ,                       ,                     ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN20              ,              ,168,1027,B, 17,X, 1,  38.00,    145.8800,Su       ,Nannofossils                                 ,T              ,G                 ,                         ,                       ,                        ,4.0%                 ,10.0%                 ,1.0%                     ,                            ,                 ,                     ,9.0%                     ,36.6%                 ,                      ,4.0%                     ,                               ,                       ,1.0%                 ,1.0%                     ,31.0%            ,3.0%                 ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN20              ,              ,168,1027,B, 17,X, 3,  51.00,    149.0100,Su       ,Nannofossils                                 ,R              ,G                 ,                         ,                       ,                        ,1.0%                 ,                      ,1.0%                     ,                            ,                 ,                     ,48.0%                    ,36.7%                 ,                      ,2.0%                     ,                               ,                       ,7.0%                 ,2.0%                     ,2.0%             ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN20              ,              ,168,1027,B, 17,X,CC,   4.00,    150.6000,Su       ,Nannofossils                                 ,R              ,G                 ,                         ,                       ,                        ,5.0%                 ,                      ,                         ,                            ,                 ,                     ,42.0%                    ,20.0%                 ,                      ,19.0%                    ,                               ,                       ,14.0%                ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN20              ,              ,168,1027,B, 18,X,CC,   4.00,    155.1400,Su       ,Nannofossils                                 ,C              ,G                 ,                         ,                       ,                        ,3.0%                 ,                      ,                         ,                            ,                 ,                     ,77.0%                    ,11.7%                 ,                      ,6.0%                     ,                               ,                       ,3.0%                 ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN20              ,              ,168,1027,B, 19,X, 1,  82.00,    165.5200,Su       ,Nannofossils                                 ,C              ,M-G               ,                         ,                       ,                        ,2.0%                 ,                      ,                         ,                            ,                 ,                     ,29.0%                    ,28.1%                 ,                      ,29.0%                    ,                               ,                       ,11.0%                ,1.0%                     ,                 ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN20              ,              ,168,1027,B, 19,X,CC,  10.00,    166.4200,Su       ,Nannofossils                                 ,F              ,M-G               ,                         ,                       ,                        ,2.0%                 ,                      ,                         ,                            ,                 ,                     ,46.0%                    ,19.5%                 ,                      ,20.0%                    ,                               ,                       ,12.0%                ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN20              ,              ,168,1027,B, 20,X,CC,  10.00,    174.4000,Su       ,Nannofossils                                 ,R              ,M-G               ,                         ,2.0%                   ,                        ,3.0%                 ,                      ,                         ,                            ,                 ,                     ,38.0%                    ,29.3%                 ,                      ,14.0%                    ,                               ,                       ,14.0%                ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN20              ,              ,168,1027,B, 21,X,CC,  23.00,    184.1300,Su       ,Nannofossils                                 ,F              ,VG                ,                         ,                       ,                        ,2.0%                 ,                      ,                         ,                            ,                 ,                     ,59.0%                    ,3.7%                  ,                      ,33.0%                    ,                               ,                       ,2.0%                 ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN20              ,              ,168,1027,B, 22,X, 1,  80.00,    194.3000,Su       ,Nannofossils                                 ,P              ,G                 ,                         ,                       ,                        ,                     ,                      ,                         ,                            ,                 ,                     ,45.0%                    ,9.0%                  ,                      ,38.0%                    ,                               ,                       ,7.0%                 ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN19F             ,              ,168,1027,B, 22,X, 4,  88.00,    198.8800,Su       ,Nannofossils                                 ,D              ,VG                ,                         ,                       ,4.0%                    ,3.0%                 ,                      ,                         ,                            ,                 ,                     ,46.0%                    ,1.9%                  ,                      ,41.0%                    ,                               ,                       ,4.0%                 ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN19F             ,              ,168,1027,B, 23,X, 1,  50.00,    203.7000,Su       ,Nannofossils                                 ,P              ,M-G               ,                         ,                       ,3.0%                    ,                     ,                      ,                         ,                            ,                 ,                     ,42.0%                    ,6.4%                  ,                      ,23.0%                    ,                               ,                       ,26.0%                ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN19F             ,              ,168,1027,B, 24,X,CC,   4.00,    212.8400,Su       ,Nannofossils                                 ,R              ,G                 ,                         ,                       ,60.0%                   ,1.0%                 ,                      ,2.0%                     ,                            ,                 ,                     ,16.0%                    ,3.4%                  ,                      ,6.0%                     ,                               ,                       ,11.0%                ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN19F             ,              ,168,1027,B, 24,X,CC,   5.00,    212.8500,Su       ,Nannofossils                                 ,T              ,M-G               ,                         ,                       ,F                       ,                     ,                      ,                         ,                            ,                 ,                     ,C                        ,C                     ,                      ,A                        ,                               ,                       ,                     ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN19F             ,              ,168,1027,B, 25,X, 1,  95.00,    223.3500,Su       ,Nannofossils                                 ,P              ,M-G               ,                         ,                       ,9.0%                    ,4.0%                 ,                      ,                         ,                            ,                 ,                     ,40.0%                    ,8.8%                  ,                      ,33.0%                    ,                               ,                       ,4.0%                 ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN19F             ,              ,168,1027,B, 25,X,CC,  30.00,    225.2300,Su       ,Nannofossils                                 ,F              ,M                 ,                         ,                       ,8.0%                    ,                     ,                      ,                         ,                            ,                 ,                     ,61.0%                    ,10.1%                 ,                      ,20.0%                    ,                               ,                       ,1.0%                 ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by  Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN19F             ,              ,168,1027,B, 26,X, 2,  42.00,    233.9200,Su       ,Nannofossils                                 ,C              ,M-G               ,                         ,                       ,                        ,C                    ,                      ,                         ,                            ,                 ,F                    ,D                        ,T                     ,                      ,                         ,                               ,                       ,                     ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN19F             ,              ,168,1027,B, 26,X,CC,  22.00,    237.3800,Su       ,Nannofossils                                 ,A              ,M-G               ,                         ,                       ,                        ,C                    ,                      ,                         ,                            ,                 ,R                    ,D                        ,T                     ,                      ,                         ,                               ,                       ,                     ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN20              ,              ,168,1027,B, 27,X, 2,  12.00,    243.2200,Su       ,Nannofossils                                 ,C              ,VG                ,                         ,                       ,F                       ,T                    ,                      ,                         ,                            ,                 ,                     ,A                        ,C                     ,                      ,A                        ,                               ,                       ,                     ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN19F             ,              ,168,1027,B, 27,X,CC,  16.00,    243.9000,Su       ,Nannofossils                                 ,T              ,M-G               ,                         ,                       ,F                       ,                     ,                      ,                         ,                            ,                 ,                     ,C                        ,C                     ,                      ,C                        ,                               ,                       ,                     ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN19F             ,              ,168,1027,B, 28,X, 2,  30.00,    253.1000,Su       ,Nannofossils                                 ,F              ,G                 ,                         ,                       ,A                       ,R                    ,                      ,                         ,                            ,                 ,                     ,C                        ,C                     ,                      ,R                        ,                               ,                       ,                     ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1027,B, 28,X, 4,  44.00,    256.2400,Su       ,Nannofossils                                 ,T              ,M-G               ,                         ,                       ,C                       ,T                    ,                      ,                         ,                            ,                 ,                     ,F                        ,R                     ,                      ,                         ,                               ,                       ,T                    ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1027,B, 28,X, 5, 108.00,    258.3800,Su       ,Nannofossils                                 ,T              ,M                 ,                         ,                       ,C                       ,R                    ,                      ,                         ,                            ,                 ,                     ,C                        ,C                     ,                      ,                         ,                               ,                       ,R                    ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN19F             ,              ,168,1027,B, 28,X,CC,  20.00,    259.2600,Su       ,Nannofossils                                 ,P              ,G                 ,                         ,                       ,C                       ,C                    ,                      ,                         ,                            ,                 ,                     ,A                        ,A                     ,                      ,                         ,                               ,                       ,                     ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN19F             ,              ,168,1027,B, 29,X, 2,  34.00,    262.7400,Su       ,Nannofossils                                 ,P              ,G                 ,                         ,                       ,                        ,D                    ,                      ,                         ,                            ,                 ,                     ,                         ,                      ,                      ,                         ,                               ,                       ,                     ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1027,B, 29,X, 4,  48.00,    265.8800,Su       ,Nannofossils                                 ,T              ,M                 ,                         ,                       ,F                       ,F                    ,                      ,                         ,                            ,                 ,                     ,C                        ,C                     ,                      ,                         ,                               ,                       ,T                    ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN19F             ,              ,168,1027,B, 29,X, 6,  62.00,    269.0200,Su       ,Nannofossils                                 ,P              ,G                 ,                         ,                       ,C                       ,D                    ,                      ,                         ,                            ,                 ,                     ,                         ,                      ,                      ,                         ,                               ,                       ,                     ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN19F             ,              ,168,1027,B, 30,X, 2,  25.00,    272.2500,Su       ,Nannofossils                                 ,P              ,M-G               ,                         ,                       ,                        ,D                    ,                      ,                         ,                            ,                 ,C                    ,F                        ,F                     ,                      ,                         ,                               ,                       ,                     ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN19F             ,              ,168,1027,B, 30,X, 6, 148.00,    279.4800,Su       ,Nannofossils                                 ,F              ,M-G               ,F                        ,                       ,F                       ,F                    ,                      ,T                        ,                            ,                 ,                     ,C                        ,F                     ,                      ,                         ,                               ,                       ,F                    ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN19F             ,              ,168,1027,B, 31,X, 2,  46.00,    282.0600,Su       ,Nannofossils                                 ,C              ,G                 ,                         ,                       ,F                       ,C                    ,                      ,                         ,                            ,                 ,                     ,D                        ,                      ,                      ,                         ,                               ,                       ,                     ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN19D             ,              ,168,1027,B, 31,X, 4,  40.00,    285.0000,Su       ,Nannofossils                                 ,C              ,P-M               ,                         ,                       ,F                       ,C                    ,F                     ,                         ,                            ,                 ,                     ,D                        ,F                     ,F                     ,                         ,                               ,                       ,                     ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN19C             ,              ,168,1027,B, 31,X, 5,  91.00,    287.0100,Su       ,Nannofossils                                 ,               ,M-G               ,                         ,                       ,F                       ,C                    ,F                     ,                         ,                            ,R                ,                     ,D                        ,                      ,F                     ,                         ,                               ,                       ,                     ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN19B             ,              ,168,1027,B, 31,X, 7,   4.00,    289.1400,Su       ,Nannofossils                                 ,A              ,G                 ,                         ,                       ,F                       ,C                    ,F                     ,                         ,                            ,R                ,                     ,D                        ,                      ,F                     ,                         ,                               ,                       ,                     ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN19D             ,              ,168,1027,B, 32,X, 1, 146.00,    291.2600,Su       ,Nannofossils                                 ,A              ,M                 ,                         ,                       ,F                       ,F                    ,T                     ,                         ,                            ,                 ,                     ,D                        ,F                     ,F                     ,                         ,                               ,                       ,                     ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN19B             ,              ,168,1027,B, 32,X, 2,  86.00,    292.1600,Su       ,Nannofossils                                 ,C              ,M-G               ,                         ,                       ,+                       ,F                    ,T                     ,                         ,                            ,+                ,                     ,D                        ,                      ,R                     ,                         ,                               ,                       ,                     ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN19B             ,              ,168,1027,B, 32,X, 5,  60.00,    296.4000,Su       ,Nannofossils                                 ,F              ,M-G               ,                         ,                       ,F                       ,F                    ,                      ,                         ,                            ,F                ,                     ,D                        ,                      ,                      ,F                        ,                               ,                       ,                     ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN19D             ,              ,168,1027,B, 32,X, 7,  20.00,    299.0000,Su       ,Nannofossils                                 ,T              ,M                 ,                         ,                       ,F                       ,C                    ,                      ,                         ,                            ,                 ,                     ,D                        ,A                     ,+                     ,                         ,                               ,                       ,                     ,                         ,                 ,                     ,from unpublished FOSSILLIST files provided by Su(4506) in 2002.
