Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Hastigerina digitata,Globorotalia tumida flexuosa,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia menardii,Globorotalia inflata,Globorotalia hexagonus,Globorotalia fimbriata,Globorotalia crassaformis viola,Globorotalia crassaformis hessi,Globorotalia crassaformis crassaformis,Globigerinoides trilobus trilobus,Globigerinoides trilobus sacculifer,Globigerinoides ruber (pink),Globigerinoides ruber (high),Globigerina calida calida,Globigerina bulloides,Bolliella adamsi,Comment
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A,  1,H,CC,   1.00,      2.7600,Showers  ,Planktonic Foraminifers                      ,A              ,                  ,C                           ,C                         ,-                   ,-                           ,F                  ,F                            ,-                     ,R                    ,-                   ,-                     ,-                     ,-                              ,R                              ,-                                     ,C                                ,F                                  ,-                           ,C                           ,-                        ,C                    ,-               ,RN.BN;SP; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A,  2,H,CC,   8.00,     12.5200,Showers  ,Planktonic Foraminifers                      ,R              ,M                 ,-                           ,R                         ,-                   ,-                           ,-                  ,R                            ,-                     ,R                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,R                                ,-                                  ,-                           ,R                           ,-                        ,-                    ,-               ,IS.PT;RN3N; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A,  3,H,CC,   0.00,     21.3000,Showers  ,Planktonic Foraminifers                      ,               ,M                 ,-                           ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,R                                  ,-                           ,-                           ,-                        ,-                    ,-               ,PT;BN;RN.IS; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A,  4,H,CC,  17.00,     31.6500,Showers  ,Planktonic Foraminifers                      ,F              ,M                 ,-                           ,C                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,F                                ,C                                  ,R                           ,F                           ,-                        ,-                    ,-               ,BNJS; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A,  5,H,CC,  41.00,     40.1100,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,-                           ,F                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,R                   ,-                     ,-                     ,-                              ,R                              ,-                                     ,C                                ,C                                  ,-                           ,F                           ,-                        ,-                    ,-               ,M.RN;IS;PT; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A,  6,H,CC,  41.00,     51.1000,Showers  ,Planktonic Foraminifers                      ,F              ,G                 ,-                           ,C                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,R                           ,R                           ,-                        ,-                    ,-               ,PT;M; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A,  7,H,CC,  56.00,     59.2700,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,-                           ,C                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,R                              ,-                                     ,A                                ,A                                  ,R                           ,C                           ,-                        ,-                    ,-               ,IS;M;FO; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A,  8,H,CC,  20.00,     68.7200,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,-                           ,C                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,R                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,R                           ,F                           ,-                        ,-                    ,-               ,SP;RN;IS; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A,  9,X,CC,   9.00,     77.1000,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,-                           ,C                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,F                           ,C                           ,-                        ,-                    ,-               ,IS;M; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A, 10,X,CC,  17.00,     84.6700,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,-                           ,C                         ,-                   ,-                           ,-                  ,F                            ,-                     ,-                    ,-                   ,R                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,-                           ,F                           ,-                        ,-                    ,-               ,M;IS; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A, 11,X,CC,  21.00,     93.4500,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,-                           ,C                         ,-                   ,-                           ,-                  ,P                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,R                           ,F                           ,-                        ,-                    ,-               ,SP;FO;IS; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A, 12,X,CC,  14.00,    102.2200,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,-                           ,C                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,R                              ,-                                     ,C                                ,C                                  ,-                           ,F                           ,-                        ,-                    ,-               ,IS;M; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A, 13,X,CC,  14.00,    110.9700,Showers  ,Planktonic Foraminifers                      ,R              ,M                 ,-                           ,R                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,R                                ,F                                  ,R                           ,R                           ,-                        ,-                    ,-               ,M.FOJS.RN; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A, 14,X,CC,  19.00,    120.7400,Showers  ,Planktonic Foraminifers                      ,               ,M                 ,-                           ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,R                                ,-                                  ,-                           ,-                           ,-                        ,-                    ,-               ,M; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A, 15,X,CC,   8.00,    130.0400,Showers  ,Planktonic Foraminifers                      ,F              ,G                 ,-                           ,C                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,F                                  ,-                           ,F                           ,-                        ,-                    ,-               ,M; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A, 16,X,CC,   9.00,    142.6800,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,-                           ,R                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,F                                ,F                                  ,-                           ,R                           ,-                        ,-                    ,-               ,P. obliq datum; M; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A, 17,X,CC,  37.00,    149.7000,Showers  ,Planktonic Foraminifers                      ,F              ,G                 ,-                           ,R                         ,-                   ,-                           ,-                  ,P                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,F                                ,R                                  ,-                           ,R                           ,-                        ,-                    ,-               ,M;FO;RN; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A, 18,X,CC,  35.00,    160.7200,Showers  ,Planktonic Foraminifers                      ,F              ,M                 ,-                           ,C                         ,-                   ,-                           ,-                  ,F                            ,-                     ,-                    ,R                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,F                                  ,R                           ,R                           ,-                        ,-                    ,-               ,M;SF.IS; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A, 19,X,CC,   0.00,    167.5300,Showers  ,Planktonic Foraminifers                      ,R              ,M                 ,-                           ,C                         ,-                   ,-                           ,-                  ,F                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,R                           ,F                           ,-                        ,-                    ,-               ,from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A, 20,X,CC,   0.00,    172.2600,Showers  ,Planktonic Foraminifers                      ,R              ,M                 ,-                           ,F                         ,-                   ,-                           ,-                  ,F                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,R                              ,-                                     ,C                                ,C                                  ,R                           ,C                           ,-                        ,-                    ,-               ,M; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A, 21,X,CC,   0.00,    187.0100,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,-                           ,C                         ,-                   ,-                           ,-                  ,C                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,R                           ,F                           ,-                        ,-                    ,-               ,M; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A, 22,X,CC,   0.00,    198.8300,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,-                           ,C                         ,-                   ,-                           ,-                  ,F                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,A                                  ,R                           ,F                           ,-                        ,-                    ,-               ,M; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A, 23,X,CC,  19.00,    209.7200,Showers  ,Planktonic Foraminifers                      ,F              ,G                 ,-                           ,C                         ,-                   ,-                           ,-                  ,C                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,R                              ,-                                     ,C                                ,C                                  ,R                           ,C                           ,-                        ,-                    ,-               ,M; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A, 24,X,CC,  18.00,    217.9500,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,-                           ,C                         ,-                   ,-                           ,-                  ,C                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,R                           ,C                           ,-                        ,-                    ,-               ,M;FO; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A, 25,X,CC,   0.00,    224.2800,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,-                           ,C                         ,-                   ,-                           ,-                  ,C                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,-                           ,C                           ,-                        ,-                    ,-               ,M; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A, 26,X,CC,   0.00,    236.1400,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,-                           ,C                         ,-                   ,-                           ,-                  ,C                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,R                           ,F                           ,-                        ,-                    ,-               ,M; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 940,A, 27,X,CC,  29.00,    247.7800,Showers  ,Planktonic Foraminifers                      ,F              ,G                 ,-                           ,F                         ,-                   ,-                           ,-                  ,F                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,-                           ,F                           ,-                        ,-                    ,-               ,M.FO; from Leg 155IR p. 477 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
