Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sponge spicules,Pyxilla fragments,Distephanosira architecturalis,Coscinodiscus spp.,Xanthiopyxis spp.,Triceratium spp.,Stephanopyxis turris,Silicoflagellate tests,Rhizosolenia spp.,Rhizosolenia bergonii,Paralia sulcata var. crenulata,Hemiaulus spp.,Chaetoceros spp. (resting spores),Thalassiothrix antarctica,Sceptroneis spp.,Podosira spp.,Coscinodiscus marginatus,Rossiella spp.,Actinoptychus senarius,Thalassiosira spp.,Actinocyclus spp.,Proboscia barboi,Paralia sulcata,Proboscia praebarboi,Synedra jouseana,Rocella vigilans,Thalassiosira oestrupii,Odontella aurita,Azpeitia nodulifera,Cocconeis spp.,Actinocyclus ingens  var. nodus,Denticulopsis dimorpha,Hemidiscus cuneiformis,Azpeitia tabularis,Actinocyclus curvatulus,Asteromphalus kennettii,Thalassiosira leptopus,Actinocyclus ingens var. ovalis,Hemidiscus karstenii,Coscinodiscus rhombicus,Denticulopsis hustedtii,Actinocyclus karstenii,Thalassiosira eccentrica,Thalassionema nitzschioides  var. parva,Hemidiscus sp.,Fragilariopsis reinholdii,Dactyliosolen antarcticus,Corethron criophilum,Asteromphalus spp.,Ethmodiscus rex,Actinoptychus bipunctatus,Actinocyclus octonarius var. tenella,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A,  5,H,CC,   0.00,     44.5000,diatoms  ,Diatoms                                      ,B              ,                  ,C              ,                 ,                              ,                  ,                 ,                ,                    ,                      ,                 ,                     ,                              ,              ,                                 ,                         ,                ,             ,                        ,              ,                      ,                  ,                 ,                ,               ,                    ,                ,                ,                       ,                ,                   ,              ,                               ,                      ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A,  6,H,CC,  11.00,     53.9700,diatoms  ,Diatoms                                      ,B              ,                  ,T              ,                 ,                              ,                  ,                 ,                ,                    ,                      ,                 ,                     ,                              ,              ,                                 ,                         ,                ,             ,                        ,              ,                      ,                  ,                 ,                ,               ,                    ,                ,                ,                       ,                ,                   ,              ,                               ,                      ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A,  7,H,CC,  27.00,     63.7900,diatoms  ,Diatoms                                      ,B              ,                  ,T              ,                 ,                              ,                  ,                 ,                ,                    ,                      ,                 ,                     ,                              ,              ,                                 ,                         ,                ,             ,                        ,              ,                      ,                  ,                 ,                ,               ,                    ,                ,                ,                       ,                ,                   ,              ,                               ,                      ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A,  8,H,CC,  15.00,     73.2200,diatoms  ,Diatoms                                      ,B              ,                  ,F              ,                 ,                              ,                  ,                 ,                ,                    ,                      ,                 ,                     ,                              ,              ,                                 ,                         ,                ,             ,                        ,              ,                      ,                  ,                 ,                ,               ,                    ,                ,                ,                       ,                ,                   ,              ,                               ,                      ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A,  9,H,CC,   0.00,     82.5200,diatoms  ,Diatoms                                      ,B              ,                  ,A              ,                 ,                              ,                  ,                 ,                ,R                   ,                      ,                 ,                     ,                              ,              ,                                 ,                         ,                ,             ,                        ,              ,                      ,                  ,                 ,                ,               ,                    ,                ,                ,                       ,                ,                   ,              ,                               ,                      ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 10,H,CC,  15.00,     92.1000,diatoms  ,Diatoms                                      ,B              ,                  ,C              ,                 ,                              ,                  ,                 ,                ,                    ,                      ,                 ,                     ,                              ,              ,                                 ,                         ,                ,             ,                        ,              ,                      ,                  ,                 ,                ,               ,                    ,                ,                ,                       ,                ,                   ,              ,                               ,                      ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 11,H,CC,   7.00,    101.3400,diatoms  ,Diatoms                                      ,R              ,MP                ,A              ,                 ,                              ,                  ,                 ,                ,R                   ,                      ,                 ,                     ,                              ,              ,                                 ,                         ,                ,             ,                        ,              ,                      ,                  ,R                ,                ,               ,                    ,                ,                ,                       ,                ,R                  ,              ,                               ,                      ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 12,H,CC,  10.00,    110.0500,diatoms  ,Diatoms                                      ,R              ,MP                ,A              ,                 ,                              ,                  ,                 ,                ,R                   ,                      ,                 ,                     ,                              ,              ,                                 ,                         ,                ,             ,                        ,              ,                      ,                  ,                 ,                ,               ,                    ,                ,                ,                       ,R               ,                   ,              ,                               ,                      ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 13,H,CC,  26.00,    120.7600,diatoms  ,Diatoms                                      ,A              ,G                 ,               ,                 ,                              ,                  ,                 ,                ,                    ,C                     ,                 ,                     ,                              ,              ,                                 ,C                        ,                ,             ,C                       ,              ,F                     ,                  ,                 ,                ,               ,                    ,                ,                ,                       ,                ,A                  ,              ,                               ,                      ,A                     ,F                 ,                       ,                       ,F                     ,                               ,                    ,                       ,                       ,                      ,F                       ,                                       ,A             ,                         ,                         ,                    ,                  ,R              ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 14,H,CC,  10.00,    129.2400,diatoms  ,Diatoms                                      ,A              ,G                 ,A              ,                 ,                              ,                  ,                 ,                ,                    ,A                     ,                 ,                     ,                              ,              ,R                                ,R                        ,                ,             ,F                       ,              ,F                     ,                  ,                 ,R               ,               ,                    ,                ,                ,                       ,                ,A                  ,              ,                               ,                      ,A                     ,A                 ,                       ,                       ,C                     ,                               ,                    ,                       ,                       ,                      ,C                       ,F                                      ,A             ,A                        ,R                        ,R                   ,C                 ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 15,H,CC,  22.00,    139.7900,diatoms  ,Diatoms                                      ,A              ,G                 ,               ,                 ,                              ,                  ,                 ,                ,                    ,                      ,                 ,                     ,                              ,              ,F                                ,                         ,                ,             ,A                       ,              ,F                     ,                  ,                 ,                ,               ,                    ,                ,                ,                       ,D               ,F                  ,              ,                               ,                      ,T                     ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,F                      ,R                     ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 16,H,CC,  22.00,    149.2200,diatoms  ,Diatoms                                      ,A              ,G                 ,A              ,                 ,                              ,                  ,                 ,                ,                    ,C                     ,                 ,                     ,                              ,              ,R                                ,F                        ,                ,             ,R                       ,              ,R                     ,                  ,                 ,                ,F              ,                    ,                ,                ,                       ,R               ,                   ,              ,                               ,                      ,A                     ,                  ,                       ,                       ,C                     ,D                              ,R                   ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 17,H,CC,  19.00,    158.2700,diatoms  ,Diatoms                                      ,A              ,G                 ,A              ,                 ,                              ,                  ,R                ,                ,                    ,F                     ,                 ,                     ,                              ,              ,                                 ,                         ,                ,             ,F                       ,              ,                      ,                  ,                 ,                ,               ,                    ,                ,                ,                       ,                ,                   ,              ,                               ,                      ,                      ,                  ,                       ,                       ,C                     ,C                              ,C                   ,R                      ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 18,H,CC,   0.00,    167.8500,diatoms  ,Diatoms                                      ,A              ,G                 ,A              ,                 ,                              ,                  ,                 ,                ,                    ,C                     ,                 ,                     ,                              ,              ,                                 ,C                        ,                ,R            ,C                       ,              ,                      ,                  ,                 ,R               ,               ,                    ,                ,                ,                       ,                ,                   ,              ,                               ,                      ,C                     ,                  ,                       ,D                      ,C                     ,R                              ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 19,H,CC,  28.00,    177.7600,diatoms  ,Diatoms                                      ,F              ,G                 ,A              ,                 ,                              ,                  ,                 ,                ,                    ,                      ,                 ,                     ,                              ,              ,                                 ,R                        ,                ,             ,F                       ,              ,                      ,                  ,                 ,                ,               ,                    ,                ,                ,                       ,                ,F                  ,              ,                               ,                      ,R                     ,                  ,                       ,                       ,R                     ,F                              ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 20,H,CC,   5.00,    186.4400,diatoms  ,Diatoms                                      ,F              ,G                 ,A              ,                 ,                              ,                  ,                 ,                ,                    ,                      ,                 ,                     ,                              ,              ,                                 ,                         ,                ,             ,F                       ,              ,F                     ,                  ,                 ,                ,R              ,                    ,                ,                ,                       ,                ,                   ,              ,                               ,                      ,R                     ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 21,H,CC,  33.00,    196.8100,diatoms  ,Diatoms                                      ,F              ,G                 ,A              ,                 ,                              ,                  ,                 ,                ,                    ,                      ,                 ,                     ,                              ,              ,                                 ,F                        ,                ,             ,R                       ,              ,                      ,                  ,                 ,                ,               ,                    ,                ,                ,                       ,F               ,F                  ,              ,                               ,                      ,F                     ,                  ,R                      ,R                      ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 22,H,CC,  21.00,    206.1800,diatoms  ,Diatoms                                      ,F              ,M                 ,A              ,                 ,                              ,                  ,                 ,                ,                    ,                      ,                 ,                     ,                              ,              ,                                 ,                         ,                ,             ,R                       ,              ,                      ,                  ,                 ,                ,               ,                    ,                ,                ,                       ,F               ,                   ,              ,                               ,                      ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 23,H,CC,  12.00,    215.2700,diatoms  ,Diatoms                                      ,R              ,M                 ,A              ,                 ,                              ,                  ,                 ,                ,                    ,                      ,                 ,                     ,                              ,              ,T                                ,                         ,                ,             ,T                       ,              ,                      ,                  ,                 ,                ,               ,                    ,                ,                ,                       ,R               ,                   ,              ,                               ,                      ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 24,H,CC,  15.00,    225.1500,diatoms  ,Diatoms                                      ,F              ,M                 ,C              ,                 ,                              ,                  ,                 ,                ,                    ,                      ,                 ,                     ,                              ,              ,                                 ,                         ,                ,             ,F                       ,              ,                      ,                  ,                 ,                ,               ,                    ,                ,                ,                       ,F               ,                   ,              ,                               ,F                     ,                      ,                  ,R                      ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 25,X,CC,  14.00,    228.0100,diatoms  ,Diatoms                                      ,F              ,M                 ,A              ,                 ,                              ,                  ,                 ,                ,                    ,                      ,                 ,                     ,                              ,              ,                                 ,                         ,                ,             ,                        ,              ,                      ,                  ,                 ,                ,               ,                    ,                ,                ,                       ,R               ,                   ,              ,                               ,                      ,F                     ,F                 ,F                      ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 26,X,CC,  29.00,    235.8400,diatoms  ,Diatoms                                      ,F              ,P                 ,               ,                 ,                              ,                  ,                 ,                ,                    ,                      ,                 ,                     ,                              ,              ,                                 ,F                        ,                ,             ,                        ,              ,                      ,                  ,                 ,                ,R              ,                    ,                ,                ,                       ,                ,F                  ,              ,                               ,F                     ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 27,X,CC,  25.00,    246.8600,diatoms  ,Diatoms                                      ,C              ,G                 ,A              ,                 ,                              ,                  ,                 ,                ,                    ,C                     ,                 ,                     ,                              ,              ,                                 ,C                        ,                ,             ,                        ,              ,                      ,                  ,                 ,                ,               ,                    ,                ,                ,                       ,C               ,                   ,R             ,R                              ,                      ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 28,X,CC,  16.00,    255.6500,diatoms  ,Diatoms                                      ,F              ,G                 ,A              ,R                ,                              ,                  ,                 ,                ,                    ,                      ,                 ,                     ,                              ,              ,                                 ,F                        ,                ,             ,                        ,              ,                      ,                  ,                 ,                ,               ,                    ,                ,                ,                       ,F               ,R                  ,              ,                               ,                      ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 29,X,CC,  22.00,    266.2700,diatoms  ,Diatoms                                      ,T              ,P                 ,C              ,+                ,                              ,R                 ,                 ,                ,                    ,                      ,                 ,                     ,                              ,              ,                                 ,+                        ,                ,             ,                        ,              ,                      ,                  ,                 ,                ,               ,                    ,                ,                ,                       ,+               ,+                  ,              ,                               ,                      ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 30,X,CC,  10.00,    276.4500,diatoms  ,Diatoms                                      ,T              ,P                 ,C              ,                 ,                              ,R                 ,                 ,                ,T                   ,                      ,                 ,                     ,                              ,              ,                                 ,                         ,                ,             ,                        ,              ,                      ,                  ,                 ,                ,R              ,                    ,                ,                ,T                      ,                ,                   ,              ,                               ,                      ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 31,X,CC,  21.00,    285.9000,diatoms  ,Diatoms                                      ,T              ,P                 ,C              ,                 ,                              ,T                 ,                 ,                ,                    ,                      ,                 ,                     ,                              ,              ,                                 ,                         ,                ,             ,                        ,              ,                      ,                  ,                 ,                ,               ,                    ,                ,                ,                       ,                ,                   ,              ,                               ,                      ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 32,X,CC,  31.00,    295.7900,diatoms  ,Diatoms                                      ,T              ,P                 ,               ,                 ,                              ,                  ,                 ,                ,                    ,                      ,                 ,                     ,                              ,              ,                                 ,                         ,                ,             ,                        ,              ,                      ,                  ,                 ,                ,T              ,                    ,                ,                ,                       ,                ,                   ,              ,                               ,                      ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 33,X,CC,  19.00,    306.3700,diatoms  ,Diatoms                                      ,B              ,                  ,A              ,                 ,                              ,                  ,                 ,                ,                    ,                      ,                 ,                     ,                              ,              ,                                 ,                         ,                ,             ,                        ,              ,                      ,                  ,                 ,                ,               ,                    ,                ,                ,                       ,                ,                   ,              ,                               ,                      ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 37,X,CC,  38.00,    345.1000,diatoms  ,Diatoms                                      ,B              ,                  ,C              ,                 ,                              ,                  ,                 ,                ,                    ,                      ,                 ,                     ,                              ,              ,                                 ,                         ,                ,             ,                        ,              ,                      ,                  ,                 ,                ,               ,                    ,                ,                ,                       ,                ,                   ,              ,                               ,                      ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 38,X,CC,  24.00,    353.7600,diatoms  ,Diatoms                                      ,A              ,MG                ,A              ,                 ,R                             ,R                 ,                 ,                ,C                   ,F                     ,                 ,                     ,                              ,              ,                                 ,                         ,R               ,             ,R                       ,              ,                      ,                  ,                 ,                ,               ,C                   ,A               ,C               ,                       ,                ,                   ,              ,                               ,                      ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 39,X, 2,   3.00,    356.1300,diatoms  ,Diatoms                                      ,A              ,G                 ,C              ,+                ,+                             ,                  ,+                ,                ,+                   ,F                     ,+                ,                     ,+                             ,+             ,+                                ,                         ,                ,             ,+                       ,              ,+                     ,                  ,                 ,                ,               ,C                   ,A               ,C               ,                       ,                ,                   ,              ,                               ,                      ,                      ,                  ,                       ,                       ,                      ,                               ,                    ,                       ,                       ,                      ,                        ,                                       ,              ,                         ,                         ,                    ,                  ,               ,                         ,                                    ,       
