Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra spp.,Reticulofenestra samodurovii,Ericsonia formosa,Chiasmolithus spp.,Zygrhablithus bijugatus,Chiasmolithus solitus,Reticulofenestra dictyoda,Chiasmolithus expansus,Reticulofenestra umbilica,Reticulofenestra reticulata,Chiasmolithus oamaruensis,Dictyococcites bisectus,Sphenolithus moriformis,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Coccolithus pelagicus,Chiasmolithus altus,Discoaster spp.,Coccolithus miopelagicus,Reticulofenestra pseudoumbilica,Calcidiscus premacintyrei,Calcidiscus macintyrei,Calcidiscus leptoporus,Sphenolithus heteromorphus,Reticulofenestra gelida,Helicosphaera spp.,Discoaster variabilis,Reticulofenestra perplexa,Discoaster bellus,Discoaster pentaradiatus,Discoaster brouweri,Discoaster challengeri,Discoaster loeblichii,Discoaster lodoensis,Triquetrorhabdulus rugosus,Discoaster surculus,Discoaster quinqueramus,Discoaster intercalaris,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus ninae,Helicosphaera kamptneri,Discoaster triradiatus,Discoaster calcaris,Pseudoemiliania lacunosa,Gephyrocapsa > 4.5,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A,  5,H,CC,   0.00,     44.5000,nannos   ,Nannofossils                                 ,A              ,G                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,                     ,                   ,               ,                        ,                               ,                         ,C                     ,                      ,                          ,                       ,                  ,                     ,                         ,                 ,R                       ,                   ,                      ,                     ,                    ,                          ,R                  ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A,  6,H,CC,  11.00,     53.9700,nannos   ,Nannofossils                                 ,A              ,G                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,                     ,                   ,               ,                        ,F                              ,                         ,                      ,                      ,                          ,C                      ,                  ,                     ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,R                  ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A,  7,H,CC,  27.00,     63.7900,nannos   ,Nannofossils                                 ,A              ,G                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,                     ,                   ,               ,                        ,C                              ,                         ,                      ,                      ,                          ,C                      ,                  ,                     ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A,  8,H,CC,  15.00,     73.2200,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,A                    ,                   ,               ,                        ,C                              ,                         ,F                     ,F                     ,                          ,C                      ,                  ,                     ,                         ,                 ,R                       ,F                  ,                      ,                     ,                    ,                          ,F                  ,                       ,                       ,                      ,R                  ,                  ,F                      ,R                     ,R                  ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A,  9,H,CC,   0.00,     82.5200,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,C                    ,                   ,               ,                        ,                               ,                         ,F                     ,F                     ,                          ,                       ,                  ,F                    ,                         ,                 ,                        ,R                  ,                      ,                     ,                    ,                          ,F                  ,R                      ,R                      ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 10,H,CC,  15.00,     92.1000,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,A                    ,                   ,               ,                        ,                               ,                         ,A                     ,A                     ,                          ,D                      ,                  ,                     ,                         ,                 ,                        ,                   ,                      ,R                    ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,F                      ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 11,H,CC,   7.00,    101.3400,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,C                    ,                   ,               ,                        ,C                              ,                         ,                      ,A                     ,                          ,D                      ,                  ,                     ,                         ,                 ,                        ,R                  ,                      ,                     ,                    ,                          ,R                  ,                       ,F                      ,F                     ,R                  ,R                 ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 12,H,CC,  10.00,    110.0500,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,A                    ,                   ,               ,                        ,F                              ,                         ,F                     ,F                     ,                          ,A                      ,                  ,R                    ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,F                  ,                       ,R                      ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 13,H,CC,  26.00,    120.7600,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,                     ,                   ,               ,                        ,F                              ,                         ,                      ,F                     ,                          ,C                      ,                  ,R                    ,                         ,                 ,                        ,                   ,                      ,                     ,R                   ,R                         ,R                  ,R                      ,C                      ,+                     ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 14,H,CC,  10.00,    129.2400,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,A                    ,                   ,               ,                        ,F                              ,                         ,C                     ,C                     ,                          ,                       ,                  ,C                    ,                         ,                 ,                        ,R                  ,R                     ,                     ,F                   ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 15,H,CC,  22.00,    139.7900,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,                     ,                   ,               ,                        ,C                              ,                         ,F                     ,F                     ,                          ,A                      ,                  ,C                    ,                         ,                 ,                        ,                   ,C                     ,C                    ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 16,H,CC,  22.00,    149.2200,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,A                    ,                   ,               ,                        ,                               ,                         ,C                     ,F                     ,                          ,C                      ,                  ,C                    ,R                        ,                 ,                        ,                   ,F                     ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 17,H,CC,  19.00,    158.2700,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,                     ,                   ,               ,                        ,                               ,                         ,C                     ,                      ,                          ,C                      ,                  ,C                    ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 18,H,CC,   0.00,    167.8500,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,                     ,                   ,               ,                        ,                               ,                         ,C                     ,                      ,                          ,C                      ,                  ,                     ,                         ,                 ,R                       ,R                  ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 19,H,CC,  28.00,    177.7600,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,                     ,                   ,               ,                        ,                               ,                         ,C                     ,                      ,                          ,C                      ,                  ,                     ,                         ,                 ,R                       ,R                  ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 20,H,CC,   5.00,    186.4400,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,                     ,                   ,               ,                        ,                               ,                         ,C                     ,                      ,                          ,C                      ,                  ,                     ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 21,H,CC,  33.00,    196.8100,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,                     ,                   ,               ,                        ,                               ,                         ,C                     ,                      ,                          ,C                      ,                  ,                     ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 22,H,CC,  21.00,    206.1800,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,                     ,                   ,               ,                        ,                               ,                         ,C                     ,                      ,                          ,C                      ,                  ,                     ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 23,H,CC,  12.00,    215.2700,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,                     ,                   ,               ,                        ,                               ,                         ,C                     ,                      ,                          ,C                      ,                  ,                     ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 24,H,CC,  15.00,    225.1500,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,                     ,                   ,               ,                        ,                               ,                         ,C                     ,                      ,                          ,C                      ,                  ,                     ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 25,X,CC,  14.00,    228.0100,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,                     ,                   ,               ,                        ,                               ,                         ,C                     ,                      ,                          ,C                      ,                  ,                     ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 26,X,CC,  29.00,    235.8400,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,                           ,                          ,                     ,                   ,               ,C                       ,                               ,                         ,C                     ,                      ,                          ,C                      ,                  ,                     ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 27,X,CC,  25.00,    246.8600,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,C                          ,                          ,                     ,                   ,               ,                        ,                               ,                         ,C                     ,                      ,                          ,C                      ,                  ,                     ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 28,X,CC,  16.00,    255.6500,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,C                          ,                          ,                     ,                   ,               ,                        ,                               ,                         ,C                     ,                      ,                          ,C                      ,                  ,                     ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 29,X,CC,  22.00,    266.2700,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,F                          ,                          ,C                    ,                   ,               ,                        ,R                              ,F                        ,F                     ,C                     ,                          ,A                      ,                  ,                     ,C                        ,R                ,                        ,                   ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 30,X,CC,  10.00,    276.4500,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,C                          ,                          ,A                    ,                   ,               ,F                       ,                               ,C                        ,                      ,                      ,                          ,F                      ,F                 ,R                    ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 31,X,CC,  21.00,    285.9000,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,F                      ,A                          ,                          ,C                    ,                   ,A              ,                        ,F                              ,C                        ,                      ,C                     ,                          ,                       ,                  ,                     ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 32,X,CC,  31.00,    295.7900,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,F                      ,C                          ,                          ,C                    ,                   ,C              ,F                       ,                               ,F                        ,F                     ,C                     ,                          ,                       ,                  ,                     ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 33,X,CC,  19.00,    306.3700,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,C                      ,C                          ,                          ,C                    ,                   ,A              ,F                       ,A                              ,C                        ,                      ,F                     ,C                         ,                       ,                  ,                     ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 34,X,CC,  23.00,    316.3400,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,                       ,A                          ,                          ,C                    ,                   ,C              ,                        ,C                              ,F                        ,F                     ,F                     ,                          ,                       ,                  ,                     ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 35,X,CC,  24.00,    324.9200,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,C                      ,C                          ,F                         ,A                    ,                   ,C              ,                        ,A                              ,                         ,                      ,                      ,                          ,                       ,                  ,                     ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 36,X,CC,  21.00,    335.0800,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,                       ,C                      ,C                          ,C                         ,C                    ,                   ,A              ,F                       ,                               ,                         ,                      ,                      ,                          ,                       ,                  ,                     ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 37,X,CC,  38.00,    345.1000,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,C                      ,C                      ,C                          ,C                         ,C                    ,                   ,A              ,                        ,                               ,                         ,                      ,                      ,                          ,                       ,                  ,                     ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,A, 38,X,CC,  24.00,    353.7600,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                            ,                 ,                  ,                       ,                     ,                         ,                      ,                         ,                           ,                         ,C                      ,C                      ,A                          ,F                         ,C                    ,A                  ,               ,                        ,                               ,                         ,                      ,                      ,                          ,                       ,                  ,                     ,                         ,                 ,                        ,                   ,                      ,                     ,                    ,                          ,                   ,                       ,                       ,                      ,                   ,                  ,                       ,                      ,                   ,                        ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
