Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylosphaera coronata,Stylatractus ostracion,Theocyrtis litos,Cenosphaera eocenica,Dictyomitra amygdala,Lithocarpium titan,Carposphaera magnaporulosa,Cenosphaera coronata,Sphaeropyle robusta,Cenosphaera sp.,Stylosphaera angelina,Lithocarpium polyacantha,Cyrtocapsella tetrapera,Stylatractus universus,Anthocyrtella (?) callopisma,Amphymenium amphistylium,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cenosphaera coronataformis,Gen. et sp. indet,Stichocorys wolffii,Stichocorys diploconus,Stichocorys delmontensis,Cycladophora cosma cosma,Sphaeropyle langii,Lipmanella redondoensis,Diplocyclas cornutoides,Cornutella profunda,Acrospyris lingi,Theocorys redondoensis,Prunopyle hayesi,Corythospyris? sp.,Eucyrtidium calvertense,Eucyrtidium asanoi,Amphymenium amphistylium group,Lithopera renzae,Eucyrtidium inflatum,Dictyophimus splendens,Clathrocyclas bicornis group,Lychnocanoma nipponica magnacornuta,Lychnocanium nipponicum magnacornutum,Lychnocanoma nipponica nipponica,Phormostichoartus fistula,Stichocorys peregrina,Stichocorys sp. P,Botryostrobus bramlettei,Botryostrobus auritus/australis,Actinomma popofskii,Stylacontarium acquilonium,Cycladophora pliocenica,Axoprunum acquilonius,Botryostrobus aquilonaris,Lamprocyrtis heteroporos,Androcyclas heteroporos,Haliommetta miocenica,Cycladophora davisiana davisiana,Lamprocyrtis neoheteroporos,Diplocyclas davisiana,Lychnocanoma nipponica sakaii,Androcyclas neoheteroporos,Axoprunum bispiculum,Phormostichoartus pitomorphus,Eucyrtidium matuyamai,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 884,B,  4,H, 5, 135.00,     32.8500,Morley   ,Radiolarians                                 ,F              ,G                 ,                     ,                      ,                ,                    ,                    ,                  ,                          ,                    ,                   ,               ,                     ,                        ,                       ,+                     ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,C                       ,F                 ,                       ,                       ,                   ,                ,                      ,                ,                  ,                       ,                  ,                              ,                ,                    ,                      ,                            ,                                   ,                                     ,                                ,                         ,                     ,                 ,                        ,                               ,+                  ,+                         ,                       ,                     ,C                        ,                        ,                       ,                     ,C                               ,                           ,                     ,+                            ,                          ,                    ,                             ,                     ,From Leg 145n SR; Ch 4; Table 3; p. 58-59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 884,B,  5,H, 5, 135.00,     42.3500,Morley   ,Radiolarians                                 ,C              ,G                 ,                     ,                      ,                ,                    ,                    ,                  ,                          ,                    ,                   ,               ,                     ,                        ,                       ,R                     ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,C                       ,F                 ,                       ,                       ,                   ,                ,                      ,                ,                  ,                       ,                  ,                              ,                ,                    ,                      ,                            ,                                   ,                                     ,                                ,                         ,                     ,                 ,                        ,                               ,                   ,F                         ,                       ,                     ,C                        ,                        ,                       ,R                    ,C                               ,                           ,                     ,                             ,                          ,                    ,                             ,                     ,From Leg 145n SR; Ch 4; Table 3; p. 58-59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 884,B,  6,H, 5, 135.00,     51.8500,Morley   ,Radiolarians                                 ,R              ,G                 ,                     ,                      ,                ,                    ,                    ,                  ,                          ,                    ,                   ,               ,                     ,                        ,                       ,T                     ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,F                       ,R                 ,                       ,                       ,                   ,                ,                      ,                ,                  ,                       ,                  ,                              ,                ,                    ,                      ,                            ,                                   ,                                     ,                                ,                         ,                     ,                 ,                        ,                               ,                   ,F                         ,                       ,                     ,                         ,                        ,                       ,R                    ,C                               ,                           ,                     ,                             ,                          ,                    ,R                            ,                     ,From Leg 145n SR; Ch 4; Table 3; p. 58-59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 884,B,  7,H, 5, 135.00,     61.3500,Morley   ,Radiolarians                                 ,C              ,M-G               ,                     ,                      ,                ,                    ,                    ,                  ,                          ,                    ,                   ,               ,                     ,                        ,                       ,T                     ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,C                       ,F                 ,                       ,                       ,                   ,                ,                      ,                ,                  ,                       ,                  ,                              ,                ,                    ,                      ,                            ,                                   ,                                     ,                                ,                         ,                     ,                 ,                        ,                               ,                   ,R                         ,                       ,                     ,                         ,                        ,                       ,                     ,C                               ,                           ,                     ,                             ,                          ,                    ,                             ,T                    ,From Leg 145n SR; Ch 4; Table 3; p. 58-59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 884,B,  8,H, 5, 135.00,     70.8500,Morley   ,Radiolarians                                 ,F              ,G                 ,                     ,                      ,                ,                    ,                    ,                  ,                          ,                    ,                   ,               ,                     ,                        ,                       ,F                     ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,C                       ,T                 ,                       ,                       ,                   ,                ,                      ,                ,                  ,                       ,                  ,                              ,                ,                    ,                      ,                            ,                                   ,                                     ,                                ,                         ,                     ,                 ,                        ,                               ,                   ,F                         ,T                      ,                     ,                         ,                        ,                       ,R                    ,C                               ,                           ,                     ,+                            ,                          ,                    ,T                            ,R                    ,From Leg 145n SR; Ch 4; Table 3; p. 58-59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 884,B,  9,H, 4, 135.00,     78.8500,Morley   ,Radiolarians                                 ,R              ,M                 ,                     ,                      ,                ,                    ,                    ,                  ,                          ,                    ,                   ,               ,                     ,                        ,                       ,F                     ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,C                       ,                  ,                       ,                       ,                   ,                ,                      ,                ,                  ,                       ,                  ,                              ,                ,                    ,                      ,                            ,                                   ,                                     ,                                ,                         ,                     ,                 ,                        ,                               ,                   ,F                         ,                       ,                     ,R                        ,                        ,                       ,R                    ,C                               ,                           ,                     ,                             ,                          ,                    ,                             ,R                    ,From Leg 145n SR; Ch 4; Table 3; p. 58-59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 884,B, 10,H,CC,   9.00,     85.9500,Morley   ,Radiolarians                                 ,R              ,M-G               ,                     ,                      ,                ,                    ,                    ,                  ,                          ,                    ,-                  ,               ,                     ,                        ,                       ,F                     ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,F                       ,R                 ,                       ,                       ,                   ,                ,                      ,                ,                  ,                       ,                  ,                              ,                ,                    ,                      ,                            ,                                   ,                                     ,                                ,                         ,                     ,                 ,                        ,                               ,                   ,R                         ,                       ,                     ,F                        ,-                       ,                       ,T                    ,C                               ,-                          ,                     ,T                            ,                          ,                    ,R                            ,T                    ,From Leg 145n SR; Ch 4; Table 3; p. 58-59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 884,B, 12,X, 1,  68.00,     87.9800,Morley   ,Radiolarians                                 ,F              ,M                 ,                     ,                      ,                ,                    ,                    ,                  ,                          ,                    ,+                  ,               ,                     ,                        ,                       ,F                     ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,C                       ,T                 ,                       ,                       ,                   ,                ,                      ,                ,                  ,T                      ,                  ,                              ,                ,                    ,                      ,                            ,                                   ,                                     ,                                ,                         ,                     ,                 ,                        ,                               ,                   ,R                         ,                       ,                     ,                         ,T                       ,                       ,R                    ,C                               ,-                          ,                     ,-                            ,                          ,                    ,F                            ,R                    ,From Leg 145n SR; Ch 4; Table 3; p. 58-59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,D. cornutoides    ,              ,145, 884,B, 12,X,CC,  12.00,     88.1400,Shilov   ,Radiolarians                                 ,C              ,G                 ,                     ,                      ,                ,                    ,                    ,                  ,                          ,                    ,                   ,               ,F                    ,R                       ,                       ,                      ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,                        ,R                 ,                       ,C                      ,                   ,                ,                      ,                ,                  ,                       ,                  ,                              ,                ,                    ,                      ,                            ,                                   ,                                     ,                                ,                         ,                     ,                 ,                        ,R                              ,                   ,                          ,                       ,F                    ,                         ,                        ,                       ,                     ,                                ,                           ,C                    ,                             ,                          ,                    ,                             ,                     ,from Leg 145 SR; Ch 5; Table 5; p. 102-104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 884,B, 13,X, 3, 134.00,     97.6400,Morley   ,Radiolarians                                 ,F              ,M                 ,                     ,                      ,                ,                    ,                    ,                  ,                          ,                    ,+                  ,               ,                     ,                        ,                       ,                      ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,C                       ,R                 ,                       ,                       ,                   ,                ,                      ,                ,                  ,                       ,                  ,                              ,                ,                    ,                      ,                            ,                                   ,                                     ,                                ,                         ,                     ,                 ,                        ,                               ,                   ,R                         ,                       ,                     ,R                        ,                        ,                       ,R                    ,C                               ,-                          ,                     ,-                            ,                          ,                    ,T                            ,-                    ,From Leg 145n SR; Ch 4; Table 3; p. 58-59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,D. cornutoides    ,              ,145, 884,B, 13,X,CC,  12.00,     98.4800,Shilov   ,Radiolarians                                 ,R              ,P                 ,                     ,                      ,                ,                    ,                    ,                  ,                          ,                    ,                   ,               ,                     ,                        ,                       ,                      ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,                        ,                  ,                       ,                       ,                   ,                ,                      ,                ,                  ,                       ,                  ,                              ,                ,                    ,                      ,                            ,                                   ,                                     ,                                ,                         ,                     ,                 ,                        ,                               ,                   ,                          ,                       ,                     ,                         ,                        ,                       ,                     ,                                ,                           ,                     ,                             ,                          ,R                   ,                             ,                     ,from Leg 145 SR; Ch 5; Table 5; p. 102-104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 884,B, 14,X, 5, 133.00,    110.3300,Morley   ,Radiolarians                                 ,F              ,M                 ,                     ,                      ,                ,                    ,                    ,                  ,                          ,                    ,                   ,               ,                     ,                        ,                       ,R                     ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,C                       ,+                 ,                       ,                       ,                   ,                ,                      ,                ,                  ,                       ,                  ,                              ,                ,                    ,                      ,                            ,                                   ,                                     ,                                ,                         ,                     ,                 ,                        ,                               ,                   ,R                         ,                       ,                     ,                         ,                        ,                       ,R                    ,C                               ,                           ,                     ,                             ,                          ,                    ,                             ,                     ,From Leg 145n SR; Ch 4; Table 3; p. 58-59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,D. cornutoides    ,              ,145, 884,B, 14,X,CC,  17.00,    112.1100,Shilov   ,Radiolarians                                 ,C              ,G                 ,                     ,                      ,                ,                    ,                    ,R                 ,                          ,                    ,C                  ,               ,                     ,                        ,                       ,                      ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,                        ,                  ,                       ,C                      ,F                  ,                ,                      ,                ,                  ,                       ,                  ,                              ,                ,                    ,                      ,                            ,                                   ,                                     ,                                ,                         ,                     ,                 ,                        ,R                              ,                   ,                          ,                       ,C                    ,                         ,                        ,                       ,                     ,                                ,                           ,C                    ,                             ,R                         ,                    ,                             ,                     ,from Leg 145 SR; Ch 5; Table 5; p. 102-104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 884,B, 15,X, 5, 135.00,    119.9500,Morley   ,Radiolarians                                 ,F              ,M                 ,                     ,                      ,                ,                    ,                    ,                  ,                          ,                    ,+                  ,               ,                     ,                        ,                       ,R                     ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,C                       ,T                 ,                       ,                       ,                   ,                ,                      ,                ,                  ,+                      ,                  ,                              ,                ,                    ,                      ,                            ,                                   ,                                     ,                                ,                         ,                     ,                 ,                        ,                               ,                   ,F                         ,                       ,                     ,+                        ,-                       ,                       ,+                    ,C                               ,-                          ,                     ,-                            ,                          ,                    ,                             ,                     ,From Leg 145n SR; Ch 4; Table 3; p. 58-59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,D. cornutoides    ,              ,145, 884,B, 15,X,CC,  15.00,    121.4700,Shilov   ,Radiolarians                                 ,A              ,G                 ,                     ,                      ,                ,                    ,                    ,R                 ,                          ,                    ,C                  ,               ,F                    ,F                       ,                       ,                      ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,                        ,                  ,                       ,A                      ,R                  ,                ,                      ,                ,                  ,                       ,                  ,                              ,                ,                    ,                      ,                            ,                                   ,                                     ,                                ,                         ,                     ,                 ,                        ,C                              ,                   ,                          ,                       ,C                    ,F                        ,                        ,                       ,                     ,                                ,                           ,A                    ,                             ,                          ,                    ,                             ,                     ,from Leg 145 SR; Ch 5; Table 5; p. 102-104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 884,B, 16,X, 5, 135.00,    129.5500,Morley   ,Radiolarians                                 ,R              ,P-M               ,                     ,                      ,                ,                    ,                    ,                  ,                          ,                    ,                   ,               ,                     ,                        ,                       ,                      ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,R                       ,                  ,                       ,                       ,                   ,                ,                      ,                ,                  ,                       ,                  ,                              ,                ,                    ,                      ,                            ,                                   ,                                     ,                                ,                         ,                     ,                 ,                        ,                               ,                   ,T                         ,                       ,                     ,                         ,-                       ,                       ,T                    ,F                               ,-                          ,                     ,                             ,                          ,                    ,                             ,                     ,From Leg 145n SR; Ch 4; Table 3; p. 58-59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,A. acquilonius    ,              ,145, 884,B, 16,X,CC,  11.00,    131.7100,Shilov   ,Radiolarians                                 ,R              ,M                 ,                     ,                      ,                ,                    ,                    ,R                 ,                          ,                    ,                   ,               ,R                    ,R                       ,                       ,                      ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,                        ,                  ,                       ,                       ,                   ,                ,                      ,                ,                  ,                       ,                  ,                              ,                ,                    ,                      ,                            ,                                   ,                                     ,                                ,                         ,                     ,                 ,                        ,                               ,                   ,                          ,                       ,R                    ,                         ,                        ,                       ,                     ,                                ,                           ,                     ,                             ,                          ,                    ,                             ,                     ,from Leg 145 SR; Ch 5; Table 5; p. 102-104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 884,B, 17,X, 5, 135.00,    139.1500,Morley   ,Radiolarians                                 ,R              ,P-M               ,                     ,                      ,                ,                    ,                    ,                  ,                          ,                    ,                   ,               ,                     ,                        ,                       ,R                     ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,F                       ,                  ,                       ,                       ,                   ,                ,                      ,                ,                  ,                       ,                  ,                              ,                ,                    ,                      ,                            ,                                   ,                                     ,                                ,                         ,                     ,                 ,                        ,                               ,                   ,F                         ,R                      ,                     ,T                        ,                        ,                       ,R                    ,F                               ,                           ,                     ,                             ,                          ,                    ,                             ,                     ,From Leg 145n SR; Ch 4; Table 3; p. 58-59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,A. acquilonius    ,              ,145, 884,B, 17,X,CC,  17.00,    141.4600,Shilov   ,Radiolarians                                 ,R              ,M                 ,                     ,                      ,                ,                    ,                    ,                  ,                          ,                    ,R                  ,               ,                     ,R                       ,                       ,                      ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,                        ,                  ,                       ,R                      ,                   ,                ,                      ,                ,                  ,                       ,                  ,                              ,                ,                    ,                      ,R                           ,                                   ,                                     ,                                ,                         ,                     ,                 ,                        ,R                              ,                   ,                          ,                       ,R                    ,                         ,                        ,                       ,                     ,                                ,                           ,                     ,                             ,                          ,                    ,                             ,                     ,from Leg 145 SR; Ch 5; Table 5; p. 102-104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 884,B, 18,X, 5, 135.00,    148.8500,Morley   ,Radiolarians                                 ,R              ,M                 ,                     ,                      ,                ,                    ,                    ,                  ,                          ,                    ,                   ,               ,                     ,                        ,                       ,R                     ,                            ,                        ,                     ,                      ,                          ,                 ,                   ,                      ,                        ,F                       ,R                 ,                       ,                       ,                   ,                ,                      ,                ,                  ,                       ,                  ,                              ,                ,                    ,                      ,                            ,                                   ,                                     ,                                ,T                        ,                     ,                 ,                        ,                               ,                   ,F                         ,                       ,                     ,T                        ,                        ,                       ,                     ,                                ,                           ,                     ,                             ,                          ,                    ,                             ,                     ,From Leg 145n SR; Ch 4; Table 3; p. 58-59
