Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiosira oestrupii,Stephanopyxis turris,Rhizosolenia barboi,Neodenticula koizumii,Neodenticula kamtschatica,Neodenticula cf. N. seminae,Grammatophora sp.,Coscinodiscus marginatus,Thalassiosira convexa,Thalassiosira antiqua,Rhaphoneis sp.,Paralia sulcata,Hemidiscus cuneiformis,Azpeitia nodulifera,Thalassiothrix longissima,Nitzschia granulata,Cocconeis scutellum,Denticulopsis lauta s.l.,Cocconeis costata,Pinn* spp.,Neodenticula seminae,Cocconeis sp.,Amphora sp.,Nitzschia reinholdii,Neodenticula cf. N. koizumii,Coscinodiscus radiatus,Nitzschia fossilis,Cymbella sp.,Rhopalodia sp.,Cocconeis decipiens,Actinoptychus senarius,Thalassiothrix spp.,Thalassiosira leptopus,Neodenticula cf. N. kamtschatica,Actinocyclus curvatulus,Actinocyclus oculatus,Neodenticula seminae (sensu Akiba),Nitzschia marina,Diatom fragments (girdle bands),Actinocyclus ingens,Thalassionema nitzschioides,Rhizosolenia curvirostris,Aulacosira granulata,Thalassiosira spp.,Navicula sp.,Denticulopsis hustedtii,Biddulphia aurita,Coscinodiscus sp.,Actinocyclus ehrenbergii,Pseudoeunotia doliolus,Denticulopsis lauta,Delphineis spp.,Cocconeis californica,Epithemia sp.,Denticulopsis hyalina,Thalassiosira eccentrica,Sponge spicules,Thalassionema nitzschioides  var. parva,Gomphonema sp.,Cocconeis cf. C. californica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1018,A,  5,H,CC,  28.00,     43.6100,Maruyama ,Diatoms                                      ,F              ,M                 ,                       ,C                   ,                   ,                     ,                         ,                           ,                 ,                        ,                     ,                     ,              ,               ,                      ,                   ,                         ,                   ,                   ,                        ,                 ,          ,T                   ,             ,           ,                    ,                            ,                      ,                  ,            ,              ,                   ,                      ,                   ,                      ,                                ,                       ,                     ,                                  ,                ,                               ,                   ,                           ,                         ,                    ,                  ,T           ,                       ,                 ,                 ,                        ,                      ,                   ,               ,                     ,             ,                     ,                        ,               ,                                       ,              ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1018,A,  6,H,CC,  36.00,     52.8100,Maruyama ,Diatoms                                      ,R              ,P/M               ,                       ,T                   ,                   ,                     ,                         ,                           ,                 ,                        ,                     ,                     ,              ,               ,                      ,                   ,                         ,                   ,                   ,                        ,                 ,          ,                    ,             ,           ,                    ,                            ,                      ,                  ,            ,              ,                   ,                      ,                   ,                      ,                                ,                       ,                     ,                                  ,                ,                               ,                   ,                           ,                         ,T                   ,                  ,            ,T                      ,                 ,                 ,                        ,                      ,                   ,               ,                     ,             ,                     ,                        ,               ,                                       ,              ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1018,A,  7,H,CC,  24.00,     61.8100,Maruyama ,Diatoms                                      ,C              ,P/M               ,                       ,R                   ,                   ,                     ,                         ,                           ,                 ,                        ,                     ,                     ,              ,               ,                      ,                   ,                         ,                   ,                   ,                        ,                 ,          ,F                   ,T            ,           ,                    ,                            ,                      ,                  ,            ,              ,                   ,                      ,                   ,                      ,                                ,                       ,                     ,                                  ,                ,                               ,                   ,                           ,                         ,                    ,                  ,            ,                       ,                 ,                 ,                        ,                      ,                   ,               ,                     ,             ,                     ,                        ,               ,T                                      ,T             ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1018,A,  8,H,CC,  40.00,     71.8100,Maruyama ,Diatoms                                      ,C              ,P/M               ,                       ,C                   ,                   ,                     ,                         ,                           ,                 ,                        ,                     ,                     ,              ,               ,                      ,                   ,                         ,                   ,                   ,                        ,                 ,          ,C                   ,             ,           ,                    ,                            ,                      ,                  ,            ,              ,                   ,                      ,                   ,R                     ,                                ,R                      ,                     ,                                  ,R               ,F                              ,                   ,R                          ,F                        ,                    ,                  ,            ,                       ,                 ,                 ,                        ,R                     ,                   ,               ,                     ,             ,                     ,                        ,               ,                                       ,              ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1018,A,  9,H,CC,  23.00,     81.4300,Maruyama ,Diatoms                                      ,C              ,P/M               ,                       ,F                   ,                   ,                     ,                         ,                           ,                 ,                        ,                     ,                     ,              ,               ,                      ,                   ,                         ,                   ,                   ,                        ,                 ,          ,R                   ,             ,           ,                    ,                            ,                      ,                  ,            ,              ,                   ,                      ,                   ,                      ,                                ,                       ,                     ,                                  ,                ,                               ,                   ,                           ,C                        ,                    ,                  ,T           ,                       ,                 ,                 ,                        ,                      ,                   ,               ,                     ,             ,                     ,                        ,R              ,                                       ,              ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 11            ,              ,167,1018,A, 10,H,CC,  44.00,     91.1500,Maruyama ,Diatoms                                      ,C              ,M                 ,                       ,                    ,                   ,                     ,                         ,                           ,                 ,                        ,                     ,                     ,              ,               ,                      ,                   ,F                        ,                   ,                   ,                        ,                 ,          ,C                   ,             ,           ,                    ,                            ,                      ,                  ,            ,              ,                   ,R                     ,                   ,                      ,                                ,                       ,                     ,                                  ,R               ,                               ,                   ,                           ,F                        ,                    ,                  ,            ,                       ,                 ,                 ,                        ,R                     ,                   ,               ,R                    ,             ,                     ,                        ,               ,                                       ,              ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 10            ,              ,167,1018,A, 11,X,CC,  11.00,     99.2100,Maruyama ,Diatoms                                      ,A              ,M                 ,                       ,F                   ,R                  ,                     ,                         ,                           ,                 ,                        ,                     ,                     ,              ,               ,                      ,                   ,F                        ,                   ,                   ,                        ,                 ,          ,C                   ,             ,           ,                    ,                            ,                      ,                  ,            ,              ,                   ,                      ,C                  ,                      ,                                ,                       ,T                    ,                                  ,R               ,                               ,                   ,                           ,F                        ,R                   ,                  ,R           ,                       ,                 ,                 ,                        ,R                     ,                   ,               ,                     ,             ,                     ,R                       ,               ,                                       ,              ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 10            ,              ,167,1018,A, 12,X,CC,  11.00,    106.2100,Maruyama ,Diatoms                                      ,F              ,P/M               ,                       ,C                   ,                   ,                     ,                         ,                           ,                 ,                        ,                     ,                     ,              ,               ,                      ,                   ,                         ,                   ,                   ,                        ,                 ,          ,F                   ,             ,           ,                    ,                            ,                      ,                  ,            ,              ,                   ,R                     ,                   ,                      ,                                ,                       ,                     ,                                  ,                ,                               ,                   ,R                          ,                         ,R                   ,                  ,            ,                       ,                 ,                 ,                        ,                      ,                   ,               ,                     ,R            ,T                    ,                        ,               ,                                       ,              ,                            ,spore of diatoms present. from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 10            ,              ,167,1018,A, 13,X,CC,  26.00,    117.9000,Maruyama ,Diatoms                                      ,A              ,M                 ,                       ,C                   ,R                  ,                     ,                         ,                           ,                 ,                        ,                     ,                     ,              ,               ,                      ,                   ,R                        ,                   ,R                  ,                        ,                 ,          ,C                   ,             ,           ,R                   ,                            ,                      ,                  ,            ,              ,                   ,                      ,                   ,                      ,                                ,                       ,                     ,                                  ,R               ,                               ,                   ,                           ,                         ,                    ,                  ,            ,                       ,                 ,R                ,                        ,R                     ,                   ,R              ,F                    ,             ,                     ,                        ,               ,                                       ,              ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 10            ,              ,167,1018,A, 14,X,CC,  12.00,    127.7500,Maruyama ,Diatoms                                      ,R              ,P                 ,                       ,T                   ,                   ,                     ,rT                       ,                           ,                 ,T                       ,                     ,                     ,              ,               ,                      ,                   ,                         ,                   ,                   ,                        ,                 ,T         ,T                   ,             ,           ,                    ,                            ,                      ,                  ,            ,              ,                   ,                      ,                   ,                      ,                                ,                       ,                     ,                                  ,                ,                               ,T                  ,T                          ,                         ,                    ,                  ,            ,                       ,                 ,                 ,                        ,T                     ,T                  ,               ,                     ,             ,                     ,                        ,               ,                                       ,              ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 10            ,              ,167,1018,A, 15,X,CC,  17.00,    137.6400,Maruyama ,Diatoms                                      ,A              ,M/G               ,                       ,A                   ,R                  ,                     ,                         ,                           ,                 ,                        ,                     ,                     ,              ,               ,                      ,                   ,R                        ,                   ,                   ,                        ,                 ,          ,A                   ,             ,           ,R                   ,                            ,                      ,                  ,            ,              ,                   ,                      ,                   ,                      ,                                ,                       ,                     ,                                  ,R               ,                               ,                   ,                           ,F                        ,                    ,                  ,            ,                       ,                 ,R                ,R                       ,                      ,                   ,               ,                     ,             ,                     ,                        ,               ,                                       ,              ,                            ,few spore of diatoms. from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 10            ,              ,167,1018,A, 16,X,CC,  14.00,    142.2800,Maruyama ,Diatoms                                      ,A              ,M/G               ,                       ,A                   ,                   ,                     ,                         ,                           ,                 ,                        ,                     ,                     ,R             ,               ,                      ,                   ,R                        ,                   ,                   ,                        ,                 ,          ,A                   ,             ,           ,                    ,                            ,                      ,                  ,            ,              ,                   ,                      ,                   ,                      ,                                ,R                      ,                     ,                                  ,                ,                               ,                   ,                           ,F                        ,                    ,                  ,R           ,                       ,R                ,                 ,                        ,                      ,                   ,               ,                     ,             ,                     ,                        ,               ,                                       ,              ,                            ,few spore of diatoms. from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 10            ,              ,167,1018,A, 17,X,CC,  31.00,    157.0700,Maruyama ,Diatoms                                      ,F              ,P                 ,                       ,C                   ,                   ,                     ,rT                       ,                           ,                 ,                        ,                     ,                     ,              ,               ,                      ,                   ,                         ,                   ,                   ,                        ,                 ,          ,C                   ,             ,           ,                    ,                            ,                      ,                  ,            ,              ,                   ,                      ,                   ,                      ,                                ,                       ,                     ,                                  ,                ,A                              ,                   ,                           ,                         ,T                   ,                  ,T           ,T                      ,                 ,                 ,                        ,                      ,                   ,               ,                     ,             ,                     ,                        ,               ,                                       ,              ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 10            ,              ,167,1018,A, 18,X,CC,  33.00,    166.8100,Maruyama ,Diatoms                                      ,A              ,M/G               ,                       ,                    ,T                  ,                     ,rT                       ,                           ,                 ,R                       ,                     ,                     ,              ,               ,                      ,                   ,F                        ,                   ,                   ,                        ,                 ,          ,C                   ,             ,           ,                    ,                            ,                      ,                  ,            ,              ,                   ,T                     ,A                  ,                      ,                                ,                       ,                     ,T                                 ,T               ,                               ,                   ,                           ,F                        ,T                   ,R                 ,            ,                       ,                 ,                 ,                        ,                      ,                   ,               ,                     ,             ,                     ,                        ,               ,                                       ,              ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 10            ,              ,167,1018,A, 19,X,CC,  40.00,    176.3000,Maruyama ,Diatoms                                      ,A              ,M                 ,R                      ,F                   ,R                  ,                     ,                         ,                           ,                 ,                        ,                     ,                     ,              ,               ,                      ,                   ,                         ,                   ,                   ,                        ,                 ,          ,R                   ,             ,           ,                    ,                            ,                      ,                  ,            ,              ,                   ,                      ,                   ,                      ,                                ,                       ,                     ,                                  ,                ,A                              ,                   ,                           ,R                        ,                    ,                  ,            ,                       ,                 ,                 ,                        ,                      ,                   ,               ,                     ,             ,                     ,                        ,               ,                                       ,              ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 10            ,              ,167,1018,A, 20,X,CC,  31.00,    185.9600,Maruyama ,Diatoms                                      ,A              ,M/G               ,                       ,F                   ,                   ,                     ,                         ,                           ,                 ,                        ,                     ,                     ,              ,               ,                      ,                   ,                         ,                   ,                   ,                        ,                 ,          ,C                   ,             ,           ,                    ,                            ,                      ,                  ,            ,              ,                   ,                      ,                   ,                      ,                                ,                       ,                     ,                                  ,                ,                               ,                   ,                           ,R                        ,T                   ,                  ,            ,                       ,                 ,                 ,                        ,                      ,                   ,               ,                     ,             ,                     ,                        ,               ,                                       ,              ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 10            ,              ,167,1018,A, 21,X,CC,  31.00,    195.4800,Maruyama ,Diatoms                                      ,A              ,P                 ,                       ,F                   ,R                  ,                     ,                         ,                           ,                 ,                        ,                     ,                     ,              ,               ,                      ,                   ,                         ,                   ,                   ,                        ,                 ,          ,F                   ,             ,           ,                    ,                            ,                      ,                  ,            ,              ,                   ,R                     ,                   ,                      ,                                ,R                      ,                     ,                                  ,                ,A                              ,                   ,                           ,                         ,                    ,                  ,            ,                       ,                 ,                 ,                        ,                      ,                   ,               ,                     ,             ,                     ,                        ,               ,                                       ,              ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 10            ,              ,167,1018,A, 22,X,CC,  25.00,    205.0200,Maruyama ,Diatoms                                      ,A              ,P                 ,                       ,                    ,R                  ,                     ,                         ,                           ,                 ,                        ,                     ,                     ,              ,               ,                      ,                   ,                         ,                   ,                   ,                        ,                 ,          ,F                   ,             ,           ,                    ,                            ,R                     ,                  ,            ,              ,                   ,R                     ,                   ,                      ,                                ,                       ,                     ,                                  ,                ,A                              ,                   ,                           ,                         ,                    ,                  ,            ,                       ,                 ,                 ,                        ,                      ,                   ,               ,                     ,             ,                     ,                        ,               ,                                       ,              ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 10            ,              ,167,1018,A, 23,X,CC,  11.00,    214.4800,Maruyama ,Diatoms                                      ,C              ,M                 ,                       ,R                   ,F                  ,                     ,                         ,                           ,                 ,                        ,                     ,                     ,              ,               ,R                     ,                   ,R                        ,                   ,                   ,                        ,                 ,          ,C                   ,             ,           ,R                   ,                            ,                      ,                  ,            ,              ,                   ,                      ,                   ,                      ,                                ,                       ,                     ,                                  ,R               ,                               ,                   ,R                          ,                         ,                    ,                  ,            ,                       ,                 ,                 ,                        ,                      ,                   ,               ,                     ,             ,                     ,                        ,               ,                                       ,              ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 10            ,              ,167,1018,A, 24,X,CC,  28.00,    224.2800,Maruyama ,Diatoms                                      ,C              ,P                 ,                       ,F                   ,                   ,                     ,                         ,                           ,                 ,                        ,                     ,                     ,              ,               ,R                     ,                   ,                         ,                   ,                   ,                        ,R                ,          ,R                   ,             ,R          ,                    ,                            ,                      ,                  ,R           ,              ,                   ,                      ,                   ,                      ,                                ,                       ,R                    ,R                                 ,                ,A                              ,R                  ,                           ,                         ,                    ,                  ,            ,                       ,                 ,                 ,                        ,                      ,                   ,               ,                     ,             ,                     ,                        ,               ,                                       ,              ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 10            ,              ,167,1018,A, 25,X,CC,  29.00,    233.9300,Maruyama ,Diatoms                                      ,A              ,P/M               ,R                      ,                    ,F                  ,                     ,                         ,                           ,                 ,                        ,                     ,                     ,              ,               ,R                     ,                   ,                         ,                   ,                   ,                        ,                 ,R         ,C                   ,             ,           ,                    ,                            ,                      ,                  ,            ,              ,                   ,                      ,                   ,                      ,                                ,                       ,                     ,                                  ,R               ,                               ,                   ,                           ,                         ,                    ,                  ,            ,                       ,                 ,                 ,                        ,                      ,                   ,               ,                     ,             ,                     ,                        ,               ,                                       ,              ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,                 ,NPD 9             ,              ,167,1018,A, 26,X,CC,  35.00,    243.6600,Maruyama ,Diatoms                                      ,A              ,M/G               ,                       ,R                   ,F                  ,R                    ,                         ,                           ,                 ,                        ,                     ,                     ,              ,R              ,                      ,                   ,                         ,                   ,                   ,                        ,R                ,          ,A                   ,             ,           ,                    ,                            ,                      ,                  ,            ,              ,                   ,                      ,                   ,                      ,                                ,                       ,                     ,                                  ,                ,                               ,                   ,                           ,                         ,                    ,                  ,            ,                       ,                 ,                 ,                        ,                      ,                   ,               ,                     ,             ,                     ,                        ,               ,                                       ,              ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,                 ,NPD 9             ,              ,167,1018,A, 27,X,CC,  32.00,    253.2900,Maruyama ,Diatoms                                      ,A              ,P/M               ,                       ,                    ,F                  ,R                    ,                         ,                           ,                 ,                        ,                     ,                     ,              ,               ,R                     ,                   ,                         ,                   ,                   ,                        ,                 ,          ,A                   ,             ,           ,R                   ,                            ,R                     ,                  ,            ,              ,                   ,                      ,                   ,                      ,                                ,                       ,                     ,                                  ,                ,                               ,                   ,                           ,                         ,                    ,                  ,            ,                       ,                 ,                 ,                        ,                      ,                   ,               ,                     ,             ,                     ,                        ,               ,                                       ,              ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,                 ,NPD 9             ,              ,167,1018,A, 28,X,CC,  20.00,    262.7000,Maruyama ,Diatoms                                      ,C              ,P                 ,                       ,F                   ,R                  ,                     ,                         ,                           ,                 ,                        ,                     ,                     ,              ,               ,                      ,                   ,R                        ,                   ,R                  ,                        ,                 ,          ,R                   ,             ,           ,R                   ,                            ,                      ,                  ,            ,              ,                   ,                      ,                   ,                      ,                                ,                       ,                     ,                                  ,                ,                               ,                   ,                           ,                         ,                    ,                  ,            ,                       ,                 ,                 ,                        ,                      ,                   ,               ,                     ,             ,                     ,                        ,               ,                                       ,              ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,                 ,NPD 9             ,              ,167,1018,A, 29,X,CC,  32.00,    272.2800,Maruyama ,Diatoms                                      ,A              ,P/M               ,                       ,                    ,R                  ,F                    ,                         ,                           ,                 ,                        ,                     ,                     ,              ,               ,                      ,                   ,                         ,                   ,R                  ,                        ,                 ,          ,C                   ,             ,           ,                    ,                            ,                      ,                  ,            ,              ,                   ,                      ,                   ,R                     ,                                ,R                      ,                     ,F                                 ,                ,                               ,                   ,                           ,                         ,                    ,                  ,            ,                       ,                 ,                 ,                        ,                      ,                   ,               ,                     ,             ,                     ,                        ,               ,                                       ,              ,                            ,from IR. Ch 12. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
