Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Tribrachiatus orthostylus	Toweius magnicrassus	Toweius callosus	Sphenolithus radians	Reticulofenestra pseudogammation	Reticulofenestra floridana	Neococcolithes dubius	Nannotetrina cristata	Ericsonia formosa	Discoaster sublodoensis	Discoaster lodoensis	Discoaster kuepperi	Discoaster gemmifer	Discoaster cf. saipanensis	Discoaster barbadiensis	Coccolithus pelagicus	Chiphragmalithus calathus	Chiasmolithus solitus	Chiasmolithus grandis	Chiasmolithus eograndis	Reticulofenestra dictyoda	Discoaster binodosus	Sphenolithus moriformis	Reticulofenestra sp.	Reticulofenestra samodurovii	Discoaster distinctus	Discoaster cf. septemradiatus	Discoaster sp.	Discoaster saipanensis	Chiasmolithus sp.	Nannotetrina fulgens	Discoaster cf. sublodoensis	Chiasmolithus modestus	Reticulofenestra hillae	Chiasmolithus titus	Pontosphaera duocava	Markalius inversus	Blackites tenuis	Discoaster multiradiatus	Cruciplacolithus delus	Chiasmolithus gigas	Chiasmolithus expansus	Neococcolithes sp.	Cyclicargolithus floridanus	Discoaster bifax	Reticulofenestra reticulata	Reticulofenestra bisecta	Rhabdosphaera sp.	Reticulofenestra spp.	Discoaster spp.	Reticulofenestra umbilica	Neococcolithes minutus	Isthmolithus recurvus	Isthmolithus recurvus s.s.	Dictyococcites spp.	Coccolithus eopelagicus	Reticulofenestra hampdenensis	Sphenolithus sp. cf. primus	Chiasmolithus medius	Discoaster tanii nodifer	Chiasmolithus oamaruensis	Reticulofenestra oamaruensis	Dictyococcites bisectus	Discoaster tanii	Isthmolithus recurvus triplus	Reticulofenestra minutula	Reticulofenestra perplexa	Pyrocyclus sp.	Discoaster deflandrei	Coronocyclus sp.	Reticulofenestra pseudoumbilica	Placolith (small)	Calcidiscus macintyrei	Reticulofenestra spp. (small)	Reticulofenestra gelida	Pseudoemiliania lacunosa	Discoaster brouweri	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Gephyrocapsa (small)	Calcidiscus leptoporus	Comment

  SR	                 	Pliocene         	                  	              	145	 884	B	 19	X	 3	  70.00	    154.8000	Olafsson 	Nannofossils                                 	A              	G                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	C                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	R              	                         	                      	                     	                          	F                  	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	A                            	                       	R                       	R                  	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Pliocene         	                  	              	145	 884	B	 19	X	CC	  19.00	    160.7200	Olafsson 	Nannofossils                                 	C              	M                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	C                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	C                            	                       	R                       	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Pliocene         	                  	              	145	 884	B	 21	X	 3	  89.00	    174.3900	Olafsson 	Nannofossils                                 	A              	M                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	F                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	A                            	R                      	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Pliocene         	                  	              	145	 884	B	 22	X	CC	  13.00	    189.6000	Olafsson 	Nannofossils                                 	R              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	                     	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	R                	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Pliocene         	                  	              	145	 884	B	 28	X	CC	  10.00	    239.2600	Olafsson 	Nannofossils                                 	R              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	R                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Miocene          	                  	              	145	 884	B	 36	X	 5	   4.00	    321.3400	Olafsson 	Nannofossils                                 	F              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	F                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	R                            	R                      	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Miocene          	                  	              	145	 884	B	 36	X	CC	  26.00	    325.0800	Olafsson 	Nannofossils                                 	R              	M                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	                     	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	R                        	                         	              	                     	                	R                              	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Miocene          	                  	              	145	 884	B	 37	X	CC	   0.00	    334.6100	Olafsson 	Nannofossils                                 	F              	M                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	R                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	F                            	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Miocene          	                  	              	145	 884	B	 43	X	CC	   0.00	    391.9700	Olafsson 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	                     	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	C                        	F                        	              	                     	                	C                              	                 	                      	                             	C                      	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Miocene          	                  	              	145	 884	B	 45	X	CC	  13.00	    411.5200	Olafsson 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	                     	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	C                        	                         	              	                     	                	C                              	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Miocene          	                  	              	145	 884	B	 46	X	CC	  14.00	    420.4700	Olafsson 	Nannofossils                                 	C              	M                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	                     	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	C                        	              	                     	                	C                              	                 	                      	C                            	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Miocene          	                  	              	145	 884	B	 47	X	CC	  21.00	    430.6900	Olafsson 	Nannofossils                                 	A              	M                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	                     	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	F                        	              	                     	                	C                              	                 	                      	C                            	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Miocene          	                  	              	145	 884	B	 48	X	CC	  14.00	    438.9100	Olafsson 	Nannofossils                                 	R              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	R                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Miocene          	                  	              	145	 884	B	 59	X	CC	   0.00	    545.6000	Olafsson 	Nannofossils                                 	R              	M                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	                     	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	R                        	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Miocene          	                  	              	145	 884	B	 63	X	CC	   0.00	    583.8200	Olafsson 	Nannofossils                                 	R              	M                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	R                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	R                          	                	                           	                        	                 	R                    	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	R                    	                	R                              	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Miocene          	                  	              	145	 884	B	 64	X	CC	  13.00	    594.3300	Olafsson 	Nannofossils                                 	A              	M                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	F                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	F                          	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	A                	R                     	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Miocene          	                  	              	145	 884	B	 65	X	CC	  27.00	    604.0400	Olafsson 	Nannofossils                                 	C              	M                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	R                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	F                          	                	                           	                        	                 	C                    	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628
