Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocapsa spp.	Cenosphaera spp.	Stylosphaera coronata	Podocyrtis mitrella	Lithomitra  micropore	Gorgospyris hemisphaerica	Dictyoprora amphora	Eusyringium striata striata	Dictyoprora mongolfieri	Dictyomitra amygdala	Phormocyrtis embolum	Artobotrys auriculaleporis	Stylatractus ostracion	Lithomitrella elizabethae	Lychnocanium conicum	Lithomitrella minuta	Lychnocanella babylonis	Axoprunum losbanosensis	Stylosphaera minor	Dictyopora urceolus	Clathrocyclas extensa	Artobotrys titanothericeraos	Spongosphaera pachystyla	Cenosphaera aspera	Cenosphaera eocenica	Calocyclas asperum	Stylosphaera angelina	Clathrocyclas universa	Axoprunum bispiculum	Lithocarpium titan	Spongodiscus osculosus	Cenosphaera coronata	Sphaeropyle robusta	Lipmanella redondoensis	Cyrtocapsella tetrapera	Amphymenium amphistylium group	Cyrtocapsella cornuta	Cenosphaera coronataformis	Stichocorys delmontensis	Diplocyclas cornutoides	Stichocorys diploconus	Lithocarpium polyacantha	Lithocampe subligata	Acrospyris lingi	Stichocorys sp. P	Eucyrtidium calvertense	Eucyrtidium asanoi	Cornutella profunda	Cyrtocapsella japonica	Eucyrtidium inflatum	Lychnocanium nipponicum magnacornutum	Lychnocanium nipponicum	Botryostrobus auritus/australis	Stichocorys wolffii	Axoprunum acquilonius	Botryostrobus bramlettei	Clathrocyclas bicornis group	Androcyclas heteroporos	Botryostrobus aquilonaris	Sphaeropyle langii	Diplocyclas davisiana	Comment

  SR	Late Pliocene    	                 	D. cornutoides    	              	145	 883	B	 12	H	CC	  24.00	    112.4800	Shilov   	Radiolarians                                 	R              	M                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	F                    	                      	                    	                  	                      	                    	                   	                       	                       	                              	                     	                          	                        	R                      	                      	                        	                    	                	                 	                       	                  	                   	                      	                    	                                     	                       	                               	                   	F                    	                        	                            	R                      	                         	                  	R                    	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	B	 13	H	CC	   9.00	    122.0600	Shilov   	Radiolarians                                 	R              	M                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	R                    	                      	                    	                  	                      	                    	                   	                       	rR                     	                              	                     	                          	                        	F                      	                      	                        	                    	                	                 	                       	                  	                   	                      	                    	                                     	                       	R                              	                   	R                    	                        	                            	                       	                         	                  	                     	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	B	 14	H	CC	  24.00	    131.9900	Shilov   	Radiolarians                                 	R              	M                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	                     	                      	                    	                  	                      	                    	                   	                       	                       	                              	                     	                          	                        	R                      	                      	                        	                    	                	R                	R                      	                  	                   	                      	                    	                                     	                       	                               	                   	F                    	                        	                            	                       	                         	R                 	                     	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	B	 15	H	CC	   7.00	    140.7200	Shilov   	Radiolarians                                 	R              	M                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	R                    	                      	                    	                  	                      	                    	                   	                       	                       	                              	                     	                          	                        	R                      	                      	                        	                    	                	R                	                       	                  	                   	                      	                    	                                     	                       	                               	                   	F                    	                        	                            	                       	R                        	                  	                     	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	B	 16	H	CC	   8.00	    150.8400	Shilov   	Radiolarians                                 	R              	M                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	                     	                      	                    	                  	                      	                    	R                  	                       	                       	                              	                     	                          	                        	R                      	                      	                        	                    	                	                 	                       	                  	                   	                      	                    	                                     	                       	R                              	                   	R                    	                        	                            	                       	                         	                  	                     	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	B	 17	H	CC	   7.00	    160.1400	Shilov   	Radiolarians                                 	R              	M                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	                     	                      	                    	                  	                      	                    	                   	                       	                       	                              	                     	                          	                        	                       	                      	                        	                    	                	                 	                       	                  	                   	                      	                    	                                     	                       	                               	                   	R                    	                        	R                           	                       	R                        	                  	                     	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	B	 18	H	CC	  11.00	    169.6700	Shilov   	Radiolarians                                 	R              	M                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	                     	                      	                    	                  	                      	                    	                   	                       	                       	                              	                     	                          	                        	                       	                      	                        	                    	                	                 	                       	                  	                   	                      	                    	                                     	                       	                               	                   	                     	                        	                            	                       	R                        	                  	                     	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	B	 19	H	CC	   5.00	    179.3100	Shilov   	Radiolarians                                 	R              	M                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	                     	                      	                    	                  	                      	                    	                   	                       	                       	                              	                     	                          	                        	R                      	                      	                        	                    	                	                 	                       	                  	R                  	                      	                    	                                     	                       	                               	                   	                     	                        	                            	                       	                         	                  	                     	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	B	 20	H	CC	  12.00	    188.8900	Shilov   	Radiolarians                                 	R              	M                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	                     	                      	                    	                  	                      	                    	                   	                       	                       	                              	                     	                          	                        	                       	                      	                        	                    	                	                 	                       	                  	R                  	                      	                    	                                     	                       	                               	                   	                     	                        	                            	                       	                         	                  	                     	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	B	 21	H	CC	   7.00	    198.3200	Shilov   	Radiolarians                                 	R              	M                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	                     	                      	                    	                  	                      	                    	                   	                       	                       	                              	                     	                          	                        	R                      	                      	                        	                    	                	                 	                       	                  	                   	                      	                    	                                     	                       	                               	                   	R                    	                        	                            	                       	                         	                  	                     	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	B	 22	H	CC	   8.00	    207.8400	Shilov   	Radiolarians                                 	R              	M                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	                     	                      	                    	                  	                      	                    	                   	                       	                       	                              	                     	                          	                        	R                      	                      	                        	                    	                	                 	                       	                  	R                  	                      	                    	                                     	                       	                               	                   	                     	                        	                            	                       	                         	                  	                     	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	B	 23	H	CC	   6.00	    217.2100	Shilov   	Radiolarians                                 	R              	M                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	                     	                      	                    	                  	                      	                    	                   	                       	                       	                              	                     	                          	                        	R                      	                      	                        	                    	                	                 	                       	                  	                   	                      	                    	                                     	                       	                               	                   	R                    	                        	                            	                       	                         	                  	                     	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	B	 24	H	CC	  12.00	    226.6900	Shilov   	Radiolarians                                 	R              	M                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	R                    	                      	                    	                  	                      	                    	R                  	                       	                       	                              	                     	                          	                        	                       	                      	                        	                    	                	                 	                       	                  	                   	                      	                    	                                     	                       	                               	                   	R                    	                        	                            	                       	                         	                  	                     	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	B	 25	H	CC	  19.00	    236.2300	Shilov   	Radiolarians                                 	R              	M                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	                     	                      	                    	                  	                      	                    	                   	                       	                       	                              	                     	                          	                        	R                      	                      	                        	                    	                	                 	                       	                  	                   	                      	                    	                                     	                       	R                              	                   	                     	                        	R                           	                       	                         	                  	                     	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	B	 26	H	CC	  20.00	    245.3200	Shilov   	Radiolarians                                 	R              	M                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	R                    	                      	                    	                  	                      	                    	R                  	                       	                       	                              	                     	                          	                        	F                      	                      	                        	                    	                	                 	                       	                  	                   	                      	                    	                                     	                       	                               	                   	R                    	                        	                            	                       	                         	                  	                     	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	B	 27	H	CC	  16.00	    254.5100	Shilov   	Radiolarians                                 	R              	M                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	R                    	                      	                    	                  	                      	                    	                   	                       	                       	                              	                     	                          	                        	                       	                      	                        	                    	                	                 	                       	                  	R                  	                      	                    	                                     	                       	R                              	                   	                     	                        	                            	                       	                         	                  	                     	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	B	 28	H	CC	  26.00	    264.8500	Shilov   	Radiolarians                                 	R              	M                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	R                    	                      	                    	                  	                      	                    	                   	                       	                       	                              	                     	                          	                        	                       	                      	                        	                    	                	                 	                       	                  	R                  	                      	                    	                                     	                       	R                              	                   	R                    	R                       	                            	                       	                         	                  	                     	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	B	 29	H	CC	  23.00	    274.3800	Shilov   	Radiolarians                                 	R              	M                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	R                    	                      	                    	                  	                      	                    	R                  	                       	                       	                              	                     	                          	                        	                       	                      	                        	                    	                	                 	                       	                  	R                  	                      	                    	                                     	                       	R                              	                   	                     	                        	                            	R                      	                         	                  	                     	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	B	 30	H	CC	  20.00	    283.7400	Shilov   	Radiolarians                                 	R              	M                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	R                    	                      	                    	                  	                      	                    	                   	                       	                       	                              	                     	                          	                        	R                      	                      	                        	                    	                	                 	                       	                  	R                  	                      	                    	                                     	                       	R                              	                   	                     	                        	                            	                       	                         	                  	                     	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	B	 31	H	CC	  21.00	    292.9800	Shilov   	Radiolarians                                 	R              	G                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	                     	                      	                    	                  	                      	                    	                   	                       	                       	                              	                     	                          	                        	R                      	                      	                        	                    	                	                 	                       	                  	                   	                      	                    	                                     	                       	                               	                   	                     	                        	                            	                       	                         	                  	                     	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	B	 32	X	CC	  21.00	    302.5500	Shilov   	Radiolarians                                 	R              	M                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	                     	                      	                    	                  	                      	                    	R                  	                       	                       	                              	                     	                          	                        	                       	                      	                        	                    	                	R                	                       	                  	                   	                      	                    	                                     	                       	                               	                   	R                    	                        	                            	                       	                         	                  	                     	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	B	 33	X	CC	   6.00	    306.5800	Shilov   	Radiolarians                                 	R              	G                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	                     	                      	                    	                  	                      	                    	R                  	                       	                       	                              	                     	                          	                        	R                      	                      	                        	                    	                	                 	                       	                  	R                  	                      	                    	                                     	                       	R                              	                   	R                    	                        	                            	R                      	                         	                  	                     	from Leg 145 SR; Ch 5; Table 3; p. 98-100

  SR	Late Miocene     	Early Pliocene   	A.. acq.-L. redond.	              	145	 883	B	 34	X	CC	  14.00	    319.5900	Shilov   	Radiolarians                                 	R              	G                 	                	                	                     	                   	                     	                         	                   	                           	                       	                    	                    	                          	                      	                         	                    	                    	                       	                       	                  	                   	                     	                            	                        	                  	                    	                  	                     	                      	                    	                  	                      	                    	                   	R                      	                       	                              	                     	                          	                        	R                      	                      	                        	                    	                	                 	                       	                  	R                  	                      	                    	                                     	                       	                               	                   	                     	R                       	                            	                       	                         	                  	                     	from Leg 145 SR; Ch 5; Table 3; p. 98-100
