Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina peregrina	Spiroloculina pusilla	Quinqueloculina oblonga	Pleurostomella acuta	Nuttallides umbonifera	Melonis pompilioides	Melonis barleeanus	Lenticulina sp.	Gyroidina soldanii	Fontbotia wuellerstorfi	Epistominella exigua	Eggerella bradyi	Cibicidoides cicatricosus	Sigmoilina schlumbergeri	Pyrgo spp.	Cibicidoides kullenbergi	Pullenia quinqueloba	Pullenia bulloides	Nodosaria holoserica	Gyroidina lamarckiana	Globocassidulina subglobosa	Agglutinated sp. 1	Pullenia salisburyi	Chilostomella argentae	Stilostomella sp.	Valvulineria sp.	Laticarinina pauperata	Agglutinated sp. 2	Triloculina tricarinata	Spirosigmoilinella sp.	Agglutinated sp. 3	Rosalina sp.	Ehrenbergina trigona	Cribrostomoides sp.	Quinqueloculina venusta	Bolivina sp.	Bulimina marginata	Bulimina alazanensis	Oridorsalis spp.	Siphonodosaria gracillima	Laryngosigma hyalascidia	Hoeglundina elegans	Fursenkoina spp.	Karreriella bradyi	Globobulimina auriculata	Sphaeroidina bulloides	Gyroidina zealandica	Silicosigmoilina sp.	Nodosariidae (taxa)	Stilostomella lepidula	Trifarina angulosa	Uvigerina proboscidea	Comment

  SR	                 	                 	                  	              	145	 883	B	 15	H	 2	  51.00	    133.4100	Ishman   	Benthic Foraminifers                         	               	M                 	                   	                     	40                     	20                  	13                    	57                  	                  	               	2                 	60                     	                    	10              	                         	                        	          	                        	3                   	                  	                    	4                    	120                        	                  	9                  	5                     	1                	45              	3                     	                  	                       	                      	                  	5           	                    	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	1                 	                     	,Total count = 398; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 15	H	 2	 135.00	    134.2500	Ishman   	Benthic Foraminifers                         	               	M                 	3                  	                     	9                      	3                   	4                     	27                  	1                 	1              	3                 	29                     	                    	32              	                         	                        	          	                        	2                   	                  	                    	2                    	3                          	2                 	8                  	2                     	9                	53              	4                     	                  	                       	                      	                  	            	                    	                   	                       	            	                  	                    	                	                         	                        	                   	                	1                 	                        	                      	1                   	                    	                   	1                     	                  	                     	,Total count = 199; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 15	H	 3	  25.00	    134.6500	Ishman   	Benthic Foraminifers                         	               	M                 	                   	                     	19                     	6                   	9                     	44                  	1                 	1              	2                 	24                     	                    	40              	                         	                        	1         	                        	1                   	1                 	                    	8                    	9                          	                  	9                  	2                     	3                	69              	4                     	                  	                       	                      	                  	7           	                    	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	1                     	                  	                     	1,Total count = 261; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 15	H	 3	  65.00	    135.0500	Ishman   	Benthic Foraminifers                         	               	M                 	                   	                     	6                      	2                   	7                     	52                  	                  	               	1                 	34                     	                    	21              	                         	                        	          	                        	                    	2                 	                    	4                    	1                          	                  	2                  	3                     	                 	111             	5                     	                  	                       	                      	                  	            	                    	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	1                     	                    	                    	                   	                      	                  	                     	2,Total count = 254; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 15	H	 3	 102.00	    135.4200	Ishman   	Benthic Foraminifers                         	               	M                 	                   	                     	24                     	                    	4                     	47                  	2                 	2              	17                	31                     	2                   	38              	                         	                        	          	                        	2                   	                  	                    	                     	3                          	1                 	3                  	2                     	                 	112             	5                     	                  	                       	                      	                  	2           	                    	                   	                       	            	1                 	                    	                	                         	                        	                   	                	                  	1                       	1                     	                    	1                   	1                  	                      	                  	                     	,Total count = 300; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 15	H	 3	 145.00	    135.8500	Ishman   	Benthic Foraminifers                         	               	M                 	                   	                     	41                     	1                   	4                     	42                  	                  	               	22                	27                     	3                   	15              	                         	                        	          	                        	                    	                  	                    	                     	1                          	                  	                   	2                     	                 	43              	1                     	                  	                       	                      	                  	            	                    	                   	4                      	            	                  	                    	                	                         	                        	                   	                	1                 	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 207; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 15	H	 4	  35.00	    136.2500	Ishman   	Benthic Foraminifers                         	               	M                 	                   	                     	19                     	                    	9                     	37                  	                  	               	5                 	27                     	2                   	11              	                         	                        	          	                        	                    	                  	                    	                     	                           	                  	2                  	1                     	                 	50              	4                     	                  	                       	                      	                  	            	                    	                   	2                      	            	                  	                    	                	                         	                        	                   	                	5                 	                        	1                     	1                   	                    	                   	                      	                  	                     	1,Total count = 177; from Leg 145 SR; Ch 8; Table 3; pp 144-145

