Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Naviculopsis constricta	Naviculopsis biapiculata	Distephanus speculum triommata	Distephanus speculum speculum	Distephanus speculum minutus	Distephanus speculum diommata	Distephanus speculum binoculus	Distephanus schauinslandii	Distephanus quinquangellus	Distephanus crux scutulatus	Distephanus crux crux	Dictyocha deflandrei	Corbisema flexuosa	Bachmannocena apiculata glabra	Bachmannocena apiculata apiculata	Bachmannocena apiculata evexa	Bachmannocena apiculata curvata	Naviculopsis sp. aff. N. navicula (spines)	Distephanus speculum haliomma	Distephanus longispinus	Corbisema triacantha mediana	Corbisema triacantha triacantha	Distephanus quintus	Distephanus crux parvus	Caryocha sp.	Naviculopsis lata var. obliqua	Naviculopsis lata	Naviculopsis eobiapiculata	Naviculopsis ponticula ponticula	Distephanus staurodon	Corbisema triacantha var. nuda	Comment
  SR	                 	                 	N. lata           	              	145	 883	B	 66	X	 3	 104.00	    630.3400	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	                        	                              	8                            	                            	                             	                              	                          	                          	3                          	16                   	                    	                  	2                             	3                                	                             	15                             	                                          	                             	                       	                            	                               	                   	                       	7           	45                            	                 	                          	                                	R                    	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	N. lata           	              	145	 883	B	 66	X	 4	  22.00	    631.0200	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	                        	                              	4                            	                            	                             	                              	R                         	                          	6                          	13                   	                    	                  	12                            	4                                	                             	9                              	R                                         	R                            	                       	                            	                               	                   	R                      	19          	32                            	                 	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	N. lata           	              	145	 883	B	 66	X	 4	 104.00	    631.8400	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	                        	                              	5                            	5                           	                             	                              	R                         	R                         	3                          	7                    	                    	                  	5                             	7                                	3                            	19                             	2                                         	                             	                       	                            	                               	                   	11                     	0           	24                            	7                	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	N. lata           	              	145	 883	B	 66	X	 5	  22.00	    632.5200	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	                        	                              	8                            	2                           	                             	                              	5                         	7                         	1                          	5                    	                    	                  	4                             	9                                	1                            	10                             	                                          	                             	                       	                            	                               	                   	16                     	9           	5                             	18               	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	N. lata           	              	145	 883	B	 66	X	 5	 104.00	    633.3400	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	1                       	R                             	11                           	3                           	                             	                              	                          	5                         	7                          	3                    	                    	                  	5                             	1                                	                             	5                              	                                          	                             	1                      	                            	                               	                   	R                      	15          	R                             	42               	                          	R                               	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	N. lata           	              	145	 883	B	 66	X	 6	  22.00	    634.0200	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	                        	                              	                             	16                          	                             	                              	4                         	                          	10                         	4                    	                    	                  	10                            	2                                	                             	4                              	                                          	                             	                       	                            	                               	                   	                       	8           	6                             	36               	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	N. lata           	              	145	 883	B	 66	X	 6	 104.00	    634.8400	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	1                       	                              	2                            	R                           	                             	R                             	1                         	2                         	3                          	1                    	R                   	                  	2                             	4                                	3                            	14                             	1                                         	                             	                       	                            	                               	                   	1                      	25          	5                             	34               	R                         	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	N. lata           	              	145	 883	B	 66	X	 7	  22.00	    635.5200	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	                        	                              	                             	2                           	                             	R                             	3                         	1                         	6                          	9                    	                    	                  	1                             	                                 	1                            	10                             	R                                         	1                            	                       	                            	                               	                   	3                      	33          	1                             	27               	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	Ds. s. haliomma   	              	145	 883	B	 67	X	 1	  19.00	    636.1900	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	1                       	                              	8                            	                            	                             	                              	28                        	3                         	35                         	2                    	1                   	                  	2                             	6                                	                             	14                             	                                          	                             	                       	                            	                               	                   	                       	            	                              	                 	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	Ds. s. haliomma   	              	145	 883	B	 67	X	 1	 104.00	    637.0400	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	R                       	1                             	11                           	3                           	                             	                              	10                        	12                        	29                         	9                    	1                   	                  	1                             	5                                	1                            	16                             	                                          	                             	1                      	                            	                               	                   	                       	            	                              	                 	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	Ds. s. haliomma   	              	145	 883	B	 67	X	 2	  19.00	    637.6900	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	1                       	1                             	17                           	6                           	1                            	2                             	5                         	8                         	30                         	9                    	1                   	                  	4                             	                                 	1                            	14                             	                                          	                             	                       	                            	                               	                   	4                      	1           	                              	                 	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	Ds. s. haliomma   	              	145	 883	B	 67	X	 2	 104.00	    638.5400	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	2                       	2                             	12                           	3                           	1                            	2                             	19                        	6                         	30                         	8                    	1                   	                  	5                             	                                 	R                            	9                              	                                          	                             	                       	                            	                               	                   	                       	            	                              	                 	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	Ds. s. haliomma   	              	145	 883	B	 67	X	 3	  19.00	    639.1900	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	                        	1                             	9                            	16                          	1                            	1                             	7                         	6                         	31                         	7                    	                    	                  	5                             	4                                	1                            	8                              	                                          	                             	2                      	                            	                               	                   	1                      	            	                              	                 	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	Ds. s. haliomma   	              	145	 883	B	 67	X	 3	 104.00	    640.0400	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	3                       	1                             	5                            	8                           	1                            	1                             	14                        	4                         	40                         	8                    	1                   	                  	3                             	4                                	                             	9                              	                                          	1                            	                       	                            	                               	1                  	1                      	            	                              	                 	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	Ds. s. haliomma   	              	145	 883	B	 67	X	 4	  19.00	    640.6900	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                      	1                       	R                             	8                            	8                           	                             	                              	8                         	3                         	36                         	16                   	2                   	                  	4                             	6                                	                             	6                              	                                          	1                            	                       	                            	                               	                   	                       	            	                              	                 	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	Ds. s. haliomma   	              	145	 883	B	 67	X	 4	 104.00	    641.5400	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	9                       	R                             	8                            	18                          	                             	1                             	16                        	2                         	16                         	5                    	7                   	5                 	                              	4                                	                             	4                              	                                          	1                            	2                      	2                           	                               	                   	                       	            	                              	                 	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	Ds. s. haliomma   	              	145	 883	B	 67	X	 5	  19.00	    642.1900	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	18                      	1                             	13                           	9                           	                             	1                             	6                         	1                         	28                         	8                    	3                   	3                 	2                             	2                                	                             	3                              	                                          	                             	3                      	                            	                               	R                  	                       	            	                              	                 	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	Ds. s. haliomma   	              	145	 883	B	 67	X	 5	 104.00	    643.0400	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	20                      	R                             	9                            	4                           	1                            	1                             	13                        	3                         	8                          	10                   	27                  	                  	                              	3                                	                             	2                              	                                          	                             	                       	                            	                               	                   	                       	            	                              	                 	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	Ds. s. haliomma   	              	145	 883	B	 67	X	 6	  19.00	    643.7200	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	1                      	8                       	1                             	17                           	7                           	                             	1                             	9                         	2                         	5                          	5                    	37                  	                  	1                             	3                                	                             	2                              	                                          	                             	                       	                            	                               	                   	                       	            	                              	                 	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	Ds. s. haliomma   	              	145	 883	B	 67	X	 7	  19.00	    645.2200	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	13                      	                              	9                            	3                           	                             	                              	3                         	1                         	7                          	10                   	49                  	R                 	1                             	2                                	                             	                               	                                          	1                            	                       	                            	R                              	                   	                       	            	                              	                 	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	Ds. s. haliomma   	              	145	 883	B	 68	X	 2	  22.00	    646.8200	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	2                      	20                      	R                             	7                            	1                           	                             	                              	5                         	1                         	13                         	7                    	30                  	9                 	                              	1                                	                             	R                              	                                          	                             	                       	2                           	                               	                   	                       	            	                              	                 	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	Ds. s. haliomma   	              	145	 883	B	 68	X	 3	  22.00	    648.3200	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	11                      	2                             	7                            	15                          	                             	R                             	18                        	2                         	19                         	6                    	6                   	6                 	                              	3                                	                             	1                              	R                                         	R                            	3                      	                            	                               	                   	                       	            	                              	                 	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	Ds. s. haliomma   	              	145	 883	B	 68	X	 3	 104.00	    649.1400	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                       	14                      	1                             	8                            	3                           	R                            	1                             	14                        	1                         	22                         	16                   	8                   	5                 	                              	2                                	1                            	4                              	                                          	                             	                       	                            	                               	                   	                       	            	                              	                 	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

  SR	                 	                 	Ds. s. haliomma   	              	145	 883	B	 68	X	 4	  22.00	    649.8200	Bukry    	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	2                      	13                      	1                             	10                           	7                           	R                            	1                             	8                         	4                         	19                         	14                   	15                  	1                 	3                             	3                                	                             	                               	                                          	                             	                       	                            	                               	                   	                       	            	                              	                 	                          	                                	                     	                              	from Leg 145 SR; Ch 41; Talbe 1; p. 641

