Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spirosigmoilinella compressa,Martinottiella nodulosa,Haplophragmoides sp. D,Haplophragmoides sp. A,Haplophragmoides compressum,Cyclammina spp.,Cyclammina japonica,Cyclammina cancellata,Ammodiscus sp.,Agglutinated spp. (indeterminate),Thalmannammina cf. parkerae,Rhabdammina sp.,Recurvoides(?) sp.,Martinottiella communis,Haplophragmoides(?) sp.,Eggerella sp. B,Cyclammina sp. C ,Ammovertellina sp.,Ammodiscus macilentus,Oridorsalis tener,Nonionella miocenica,Haplophragmoides spp.,Haplophragmoides sp. C,Gyroidina sp. A,Globobulimina pupoides,Eggerella sp. A,Cyclammina pusilla,Chilostomella oolina,Cassidulinoides tenuis,Cassidulinoides sp.,Calcareous sp. indeterminate,Valvulineria cf. masudai,Tosaia hanzawai,Pullenia sp.,Pullenia bulloides,Psammosphaera compressa,Plectina nipponica,Marginulina cf. glabra,Hopkinsina sp.,Gyroidina spp.,Gyroidina orbicularis,Gaudryinella? sp.,Epistominella sp.,Dentalina spp.,Cribrostomoides cf. crassimargo,Bathysiphon spp.,Trochammina spp.,Nummoloculina sp. B,Nummoloculina sp. A,Miliolinella cf. M. oblonga,Martinottiella sp.,Lagena cf. L. elongata,Chilostomella sp.,Uvigerina spp.,Spiroplectammina sp.,Saccammina sphaerica,Nonionella labradorica,Nodosaria spp.,Nodosaria longiscata,Gyroidinoides planulatus,Globobulimina sp.  indet.,Globobulimina sp.,Fursenkoina sp.,Fursenkoina ishikiensis,Fissurina spp.,Eggerella bradyi,Uvigerina cf. proboscidea,Nonionella(?) sp.  ,Nonionella stella,Miliolinella sp.,Globocassidulina sp. B,Cyclammina? sp.,Ammodiscus concinnus,Plectina(?) sp.,Trochammina(?) sp.,Ammosphaeroidina sp.,Textularia spp.,Quinqueloculina cf. Q. akneriana,Fontbotia wuellerstorfi,Spirosigmoilinella cf. S. compressa,Rectobolivina raphana,Karreriella sp. A,Uvigerina senticosa,Uvigerina cf. U. senticosa,Pullenia salisburyi,Parafissurina curta,Nonion pacificum,Melonis nicobarense,Eggerella spp.,Globobulimina pacifica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,                  ,              ,127, 794,B, 19,R, 3,  43.00,    475.7300,Nomura   ,Benthic Foraminifers                         ,               ,                  ,                            ,                       ,                      ,                      ,                           ,               ,                   ,                     ,5.0%          ,                                 ,                           ,               ,                  ,25.0%                  ,                       ,               ,                 ,                  ,                     ,                 ,                    ,                     ,                      ,               ,                      ,               ,                  ,                    ,                      ,                   ,                            ,                        ,               ,            ,                  ,                       ,                  ,                      ,              ,              ,                     ,                 ,                 ,              ,10.0%                          ,+               ,                ,                   ,                   ,                           ,                  ,                      ,                 ,              ,                    ,                    ,                      ,              ,                    ,                        ,                         ,                 ,               ,                       ,              ,                ,                         ,                   ,                 ,                ,                      ,5.0%           ,                    ,               ,                  ,                    ,               ,                                ,                       ,                                   ,                     ,                 ,                   ,                          ,                   ,                   ,                ,                   ,              ,                      ,Miscellaneous taxa = 55%; from ODP Leg 127&128 SR Chapter 29 Table 1 p 495
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,                  ,              ,127, 794,B, 19,R, 4,  37.00,    477.1700,Nomura   ,Benthic Foraminifers                         ,               ,                  ,10.3%                       ,                       ,                      ,                      ,                           ,               ,                   ,5.1%                 ,2.6%          ,                                 ,10.3%                      ,               ,                  ,5.1%                   ,                       ,               ,                 ,                  ,                     ,                 ,                    ,                     ,                      ,               ,                      ,               ,                  ,                    ,                      ,                   ,                            ,                        ,               ,            ,                  ,                       ,                  ,                      ,              ,              ,                     ,                 ,                 ,              ,                               ,                ,                ,                   ,                   ,                           ,                  ,                      ,                 ,              ,                    ,                    ,                      ,              ,                    ,                        ,                         ,                 ,               ,                       ,              ,                ,                         ,                   ,                 ,                ,                      ,38.5%          ,                    ,2.6%           ,                  ,                    ,               ,                                ,                       ,                                   ,                     ,                 ,                   ,                          ,                   ,                   ,                ,                   ,              ,                      ,Miscellaneous taxa = 25.6%; from ODP Leg 127&128 SR Chapter 29 Table 1 p 495
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,                  ,              ,127, 794,B, 20,R, 1, 139.00,    483.3900,Nomura   ,Benthic Foraminifers                         ,               ,                  ,1.7%                        ,                       ,                      ,                      ,                           ,               ,                   ,5.8%                 ,              ,                                 ,                           ,+              ,                  ,45.0%                  ,2.5%                   ,               ,                 ,                  ,6.7%                 ,                 ,2.5%                ,                     ,                      ,               ,                      ,               ,.8%               ,2.5%                ,                      ,                   ,                            ,                        ,               ,            ,                  ,                       ,                  ,                      ,              ,              ,                     ,                 ,                 ,              ,10.0%                          ,+               ,                ,                   ,                   ,                           ,                  ,                      ,                 ,              ,.8%                 ,                    ,                      ,              ,                    ,                        ,                         ,                 ,               ,                       ,              ,                ,                         ,                   ,                 ,                ,.8%                   ,12.5%          ,                    ,               ,                  ,                    ,               ,                                ,                       ,                                   ,                     ,                 ,                   ,                          ,                   ,                   ,                ,                   ,              ,                      ,Miscellaneous taxa = 8.3%; from ODP Leg 127&128 SR Chapter 29 Table 1 p 495
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,                  ,              ,127, 794,B, 20,R, 4,   7.00,    486.5700,Nomura   ,Benthic Foraminifers                         ,               ,                  ,1.7%                        ,                       ,                      ,                      ,                           ,               ,                   ,                     ,              ,                                 ,                           ,+              ,                  ,15.4%                  ,                       ,               ,3.4%             ,                  ,5.1%                 ,                 ,                    ,                     ,                      ,               ,                      ,               ,                  ,                    ,                      ,                   ,                            ,                        ,               ,            ,                  ,                       ,                  ,                      ,              ,              ,                     ,                 ,                 ,              ,                               ,+               ,                ,                   ,                   ,                           ,                  ,                      ,                 ,              ,+                   ,                    ,                      ,              ,                    ,                        ,                         ,                 ,               ,                       ,              ,2.6%            ,                         ,                   ,                 ,                ,                      ,7.7%           ,1.7%                ,               ,                  ,                    ,               ,                                ,                       ,                                   ,                     ,                 ,                   ,                          ,                   ,                   ,                ,                   ,              ,                      ,Miscellaneous taxa = 62.4%; from ODP Leg 127&128 SR Chapter 29 Table 1 p 495
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,                  ,              ,127, 794,B, 24,R, 1,  17.00,    520.7700,Nomura   ,Benthic Foraminifers                         ,               ,                  ,.6%                         ,                       ,                      ,                      ,                           ,               ,                   ,                     ,              ,                                 ,9.6%                       ,               ,                  ,1.2%                   ,                       ,               ,.6%              ,                  ,1.2%                 ,                 ,                    ,                     ,                      ,               ,                      ,               ,                  ,16.9%               ,                      ,                   ,                            ,                        ,               ,            ,                  ,                       ,3.0%              ,                      ,              ,.6%           ,                     ,                 ,                 ,              ,3.0%                           ,                ,                ,                   ,                   ,                           ,                  ,                      ,                 ,              ,                    ,                    ,.6%                   ,              ,                    ,                        ,                         ,                 ,               ,                       ,              ,                ,2.4%                     ,1.2%               ,1.7%             ,.6%             ,.6%                   ,               ,                    ,               ,                  ,                    ,               ,                                ,                       ,                                   ,                     ,                 ,                   ,                          ,                   ,                   ,                ,                   ,              ,                      ,Miscellaneous taxa = 56%; from ODP Leg 127&128 SR Chapter 29 Table 1 p 495
