Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Verneuilinidae taxa,Rotaliid taxa (large),Miliolids species,Miliolid taxa (large),Discocyclina sp. cf. D. barkeri,Planorbulina sp.,Discorbid taxa,Alveolina sp.,Rotaliid taxa,Quinqueloculina spp.,Textulariid taxa,Asterocyclina sp.,Foraminifers (encrusting),Alveolina sp. (flosculine),Valvulinidae taxa,Nummulites sp.,Arenobulimina sp.,Nummulites sp. cf. N. deserti,Istriloculina sp.,Alveolina (Glomalveolina) sp.,Alveolina sp. 1,Pseudochrysalidina sp.,Alveolina (Alveolina) sp. aff. A. ilerdensis,Alveolina (Alveolina) sp. 3,Alveolina (Alveolina) ilerdensis,Alveolina sp. aff. A. sakaryaensis,Alveolina (Alveolina) sp. 2,Praehapydionina sp.,Alveolina (Alveolina) pinguis,Nubecularia sp.,Buliminid and Bolivinid taxa,Nummulites nitidus group,Agglutinated spp. (indeterminate),Coleiconus elongatus,Nummulites sp. cf. N. laevigatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  2,R, 1,  39.00,    134.0900,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,C                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,R                            ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  2,R, 1,  44.00,    134.1400,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,A                    ,A                ,                     ,                               ,                ,              ,             ,             ,C                   ,                ,                 ,                         ,                          ,                 ,              ,                 ,F                            ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,1                               ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  2,R, 1,  51.00,    134.2100,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,A                ,F                    ,                               ,                ,              ,             ,             ,C                   ,                ,                 ,                         ,F                         ,                 ,              ,                 ,C                            ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,C                           ,                        ,                                 ,F                   ,C                               ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  2,R, 1,  59.00,    134.2900,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,F                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,1                         ,                 ,              ,                 ,F                            ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,1                  ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  3,R, 1,   0.00,    143.3000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,F                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  3,R, 1,   0.00,    143.3000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,A                    ,A                ,F                    ,                               ,                ,              ,             ,             ,A                   ,                ,                 ,                         ,                          ,                 ,              ,                 ,C                            ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  3,R, 1,  11.00,    143.4100,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,A                ,                     ,                               ,                ,              ,             ,             ,A                   ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  3,R, 1,  12.00,    143.4200,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,A                    ,A                ,                     ,                               ,C               ,              ,             ,             ,A                   ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,C                     ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,R                   ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  3,R, 1,  28.00,    143.5800,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,A                ,C                    ,                               ,                ,              ,             ,             ,C                   ,                ,C                ,                         ,                          ,                 ,              ,                 ,R                            ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,1                  ,                             ,               ,C                           ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  4,R, 1,   0.00,    152.9000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,R                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  4,R, 1,  14.00,    153.0400,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,A                ,F                    ,                               ,C               ,              ,             ,             ,A                   ,                ,F                ,                         ,                          ,                 ,              ,                 ,C                            ,                 ,                             ,               ,F                     ,                                            ,                           ,                                ,                                  ,                           ,1                  ,                             ,               ,                            ,                        ,1                                ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  4,R, 1,  29.00,    153.1900,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,A                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  4,R, 1,  42.00,    153.3200,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,A                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  4,R, 1,  48.00,    153.3800,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,A                ,F                    ,                               ,R               ,              ,             ,             ,                    ,                ,                 ,F                        ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,F                     ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  5,R, 1,   0.00,    162.6000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,A                ,F                    ,                               ,F               ,              ,             ,             ,                    ,                ,R                ,                         ,                          ,                 ,              ,R                ,                             ,                 ,                             ,               ,C                     ,                                            ,                           ,                                ,                                  ,                           ,R                  ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  6,R, 1,   0.00,    172.3000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,R                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  6,R, 1,   4.00,    172.3400,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,A                ,F                    ,                               ,F               ,              ,             ,             ,                    ,                ,F                ,F                        ,R                         ,                 ,R             ,R                ,                             ,                 ,                             ,               ,F                     ,                                            ,                           ,                                ,                                  ,                           ,C                  ,                             ,F              ,R                           ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  6,R, 1,  43.00,    172.7300,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,F                ,C                    ,                               ,                ,              ,             ,             ,                    ,                ,F                ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,F                           ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  7,R, 1,   0.00,    181.9000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,                 ,                     ,                               ,1               ,              ,             ,             ,                    ,                ,F                ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  7,R, 1,   3.00,    181.9300,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,C                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,1                  ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,Praehapydionina sp.questionably identified; from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  8,R, 1,   0.00,    191.5000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,1                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  8,R, 1,   7.00,    191.5700,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,F                ,F                    ,                               ,C               ,              ,             ,             ,                    ,                ,F                ,1                        ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,R                     ,                                            ,                           ,                                ,                                  ,                           ,C                  ,                             ,F              ,C                           ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  8,R, 1,  21.00,    191.7100,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,R                ,C                    ,                               ,                ,              ,             ,             ,                    ,                ,F                ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,F                  ,                             ,               ,F                           ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,144, 871,C,  9,R, 1,   0.00,    201.2000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,R                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,R                ,F                            ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,R                       ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  9,R, 1,   5.00,    201.2500,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,                 ,F                    ,                               ,VR              ,              ,             ,             ,                    ,                ,R                ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,VR                          ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,144, 871,C,  9,R, 1,  30.00,    201.5000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,A                    ,                 ,                     ,                               ,R               ,              ,             ,             ,                    ,                ,F                ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,R                     ,                                            ,                           ,                                ,                                  ,                           ,F                  ,                             ,F              ,R                           ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,144, 871,C,  9,R, 1,  46.00,    201.6600,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,F                ,F                    ,                               ,1               ,              ,             ,             ,                    ,                ,F                ,                         ,                          ,                 ,              ,                 ,A                            ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,R                           ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 10,R, 1,   0.00,    210.9000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,R                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,1                  ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,Praehapydionina sp. questionably identified; from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,144, 871,C, 10,R, 1,  10.00,    211.0000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,                 ,C                    ,                               ,                ,              ,             ,             ,                    ,                ,VA               ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 10,R, 1,  14.00,    211.0400,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,A                ,C                    ,                               ,F               ,              ,             ,             ,                    ,                ,F                ,1                        ,R                         ,                 ,              ,F                ,                             ,                 ,                             ,               ,F                     ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 11,R, 1,   0.00,    220.5000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,R                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,1                     ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 11,R, 1,   5.00,    220.5500,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,C                ,C                    ,                               ,F               ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,R                            ,               ,F                     ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,?              ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 12,R, 1,   0.00,    230.1000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,R                ,F                    ,                               ,F               ,              ,             ,1            ,                    ,                ,F                ,VR                       ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 12,R, 1,   0.00,    230.1000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,R                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 13,R, 1,   0.00,    239.8000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,R                ,                     ,                               ,1               ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 13,R, 1,  10.00,    239.9000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,VA               ,C                    ,                               ,F               ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,F                     ,                                            ,                           ,                                ,                                  ,                           ,C                  ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 14,R, 1,   0.00,    249.5000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,R                ,                     ,                               ,R               ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,144, 871,C, 14,R, 1,  11.00,    249.6100,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,VA               ,F                    ,                               ,                ,              ,             ,             ,                    ,                ,R                ,                         ,                          ,                 ,              ,                 ,                             ,                 ,R                            ,               ,F                     ,                                            ,                           ,                                ,                                  ,                           ,?                  ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
