Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Sphenolithus radians,Sphenolithus pseudoradians,Reticulofenestra umbilica,Markalius inversus,Ericsonia formosa,Discoaster saipanensis,Discoaster barbadiensis,Dictyococcites bisectus,Cribrocentrum reticulatum,Coccolithus pelagicus,Coccolithus eopelagicus,Chiasmolithus grandis,Chiasmolithus expansus,Chiasmolithus consuetus,Pemma basquensis,Pemma papillatum,Campylosphaera dela,Isthmolithus recurvus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15a         ,171,1052,F,  8,H,CC,   6.00,     76.2100,Watkins  ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                          ,+                        ,                  ,                 ,+                     ,+                      ,+                      ,+                        ,                     ,                       ,                     ,                      ,                       ,+               ,+               ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15a         ,171,1052,F,  9,H,CC,   5.00,     81.7500,Watkins  ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                          ,+                        ,                  ,                 ,+                     ,+                      ,+                      ,+                        ,                     ,                       ,                     ,                      ,                       ,+               ,                ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14b         ,171,1052,F, 10,H,CC,  22.00,     90.4300,Watkins  ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                          ,+                        ,                  ,                 ,+                     ,+                      ,+                      ,+                        ,                     ,                       ,+                    ,                      ,+                      ,                ,                ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14b         ,171,1052,F, 11,H,CC,   0.00,     99.8100,Mita     ,Nannofossils                                 ,A              ,G                 ,R                      ,R                   ,R                         ,F                        ,                  ,                 ,R                     ,                       ,                       ,R                        ,                     ,F                      ,R                    ,R                     ,                       ,                ,                ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14b         ,171,1052,F, 12,H,CC,   7.00,    109.7600,Mita     ,Nannofossils                                 ,A              ,G                 ,R                      ,                    ,                          ,R                        ,                  ,                 ,R                     ,R                      ,R                      ,R                        ,                     ,F                      ,R                    ,                      ,                       ,                ,                ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14b         ,171,1052,F, 13,H,CC,  21.00,    119.3500,Watkins  ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                          ,+                        ,                  ,                 ,+                     ,+                      ,+                      ,                         ,                     ,                       ,+                    ,                      ,                       ,                ,                ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14b         ,171,1052,F, 14,H,CC,   0.00,    128.5000,Mita     ,Nannofossils                                 ,A              ,G                 ,R                      ,R                   ,R                         ,R                        ,R                 ,R                ,R                     ,R                      ,F                      ,R                        ,R                    ,R                      ,R                    ,R                     ,                       ,                ,                ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
