Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Prediscosphaera cretacea,Nephrolithus frequens,Nephrolithus corystus,Micula decussata,Eiffellithus turriseiffelii,Cribrosphaerella daniae,Arkhangelskiella cymbiformis,Ahmuellerella octoradiata,Reticulofenestra spp.,Ericsonia formosa,Discoaster spp.,Discoaster lodoensis,Chiasmolithus solitus,Reticulofenestra dictyoda,Pontosphaera spp.,Neococcolithes dubius,Dictyococcites callidus,Coccolithus pelagicus,Chiasmolithus expansus,Reticulofenestra samodurovii,Cyclicargolithus floridanus,Reticulofenestra umbilica,Reticulofenestra reticulata,Dictyococcites bisectus,Chiasmolithus oamaruensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,D,  7,R,CC,  15.00,    535.2500,nannos   ,Nannofossils                                 ,F              ,P                 ,                        ,                     ,                     ,                ,                           ,                       ,                            ,                         ,F                    ,                 ,               ,                    ,F                    ,                         ,                 ,                     ,                       ,                     ,                      ,R                           ,                           ,                         ,                           ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,D,  8,R,CC,   7.00,    543.9900,nannos   ,Nannofossils                                 ,F              ,M                 ,                        ,                     ,                     ,                ,                           ,                       ,                            ,                         ,F                    ,                 ,               ,                    ,F                    ,R                        ,R                ,R                    ,C                      ,F                    ,F                     ,                            ,                           ,                         ,                           ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,D,  9,R,CC,  15.00,    555.2600,nannos   ,Nannofossils                                 ,C              ,M                 ,                        ,                     ,                     ,                ,                           ,                       ,                            ,                         ,C                    ,D                ,F              ,R                   ,F                    ,                         ,                 ,                     ,                       ,                     ,                      ,                            ,                           ,                         ,                           ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,D, 25,R,CC,  14.00,    709.1700,nannos   ,Nannofossils                                 ,F              ,G                 ,                        ,                     ,                     ,R               ,R                          ,R                      ,F                           ,                         ,                     ,                 ,               ,                    ,                     ,                         ,                 ,                     ,                       ,                     ,                      ,                            ,                           ,                         ,                           ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,D, 26,R, 6, 100.00,    717.1300,nannos   ,Nannofossils                                 ,C              ,M                 ,F                       ,F                    ,                     ,                ,R                          ,                       ,F                           ,                         ,                     ,                 ,               ,                    ,                     ,                         ,                 ,                     ,                       ,                     ,                      ,                            ,                           ,                         ,                           ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,D, 27,R,CC,   0.00,    728.2200,nannos   ,Nannofossils                                 ,F              ,M                 ,                        ,R                    ,                     ,R               ,                           ,R                      ,F                           ,                         ,                     ,                 ,               ,                    ,                     ,                         ,                 ,                     ,                       ,                     ,                      ,                            ,                           ,                         ,                           ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,D, 28,R,CC,   0.00,    737.1800,nannos   ,Nannofossils                                 ,F              ,M                 ,                        ,R                    ,                     ,                ,                           ,R                      ,F                           ,                         ,                     ,                 ,               ,                    ,                     ,                         ,                 ,                     ,                       ,                     ,                      ,                            ,                           ,                         ,                           ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,D, 31,R,CC,  17.00,    766.1400,nannos   ,Nannofossils                                 ,F              ,M                 ,R                       ,R                    ,R                    ,R               ,R                          ,R                      ,F                           ,R                        ,                     ,                 ,               ,                    ,                     ,                         ,                 ,                     ,                       ,                     ,                      ,                            ,                           ,                         ,                           ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
