Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Verrucosisporites spp.	Monosulcites spp.	Camerosporites pseudoverrucatus	Camerosporis secatus	Bisaccate pollen (unspecified taxon or taxa)	Baltisphaeridium/Veryhachium (unspecified taxon or taxa)	Baculatisporites spp.	Aratrisporites spp.	Samaropollenites speciosus	Deltoidospora spp.	Aratrisporites parvispinosus	Plaesiodictyon mosellanum	Freshwater Algae (undifferentiated)	Enzonalasporites vigens	Minutosaccus crenulatus	Trilete spores (unspecified taxon or taxa)	Ephedripites spp.	Bartenia communis	Araicaroacites australis	Comment
  SR	Norian           	                 	M. crenulatus     	              	122	 760	B	  9	R	 4	  10.00	    316.1000	Brenner  	Pollen/Spores                                	               	                  	                      	                 	                               	                    	A                                           	F                                                       	R                    	                   	                          	F                 	                            	C                        	C                                  	R                      	                       	C                                         	                 	                 	R                       	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Norian           	                 	M. crenulatus     	              	122	 760	B	 10	R	 1	  76.00	    321.7600	Brenner  	Pollen/Spores                                	               	                  	                      	R                	                               	                    	A                                           	F                                                       	F                    	                   	                          	F                 	                            	F                        	F                                  	R                      	                       	C                                         	                 	                 	R                       	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Norian           	                 	M. crenulatus     	              	122	 760	B	 10	R	 2	  76.00	    323.2600	Brenner  	Pollen/Spores                                	               	                  	                      	F                	                               	                    	A                                           	C                                                       	                     	                   	                          	F                 	                            	R                        	R                                  	C                      	                       	C                                         	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Norian           	                 	M. crenulatus     	              	122	 760	B	 11	R	 1	 115.00	    331.6500	Brenner  	Pollen/Spores                                	               	                  	                      	R                	                               	                    	A                                           	A                                                       	R                    	                   	                          	A                 	                            	                         	F                                  	R                      	F                      	F                                         	                 	F                	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Norian           	                 	M. crenulatus     	              	122	 760	B	 12	R	 2	  73.00	    342.2300	Brenner  	Pollen/Spores                                	               	                  	                      	F                	                               	                    	A                                           	F                                                       	R                    	R                  	                          	                  	                            	F                        	C                                  	F                      	                       	F                                         	                 	C                	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Norian           	                 	M. crenulatus     	              	122	 760	B	 13	R	 1	  77.00	    350.2700	Brenner  	Pollen/Spores                                	               	                  	                      	                 	                               	                    	+                                           	+                                                       	+                    	                   	                          	+                 	                            	                         	+                                  	+                      	                       	+                                         	                 	+                	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 13	R	 2	  94.00	    351.9400	Brenner  	Pollen/Spores                                	               	                  	                      	                 	                               	                    	+                                           	                                                        	                     	                   	+                         	+                 	                            	                         	                                   	                       	                       	+                                         	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 15	R	 2	  41.00	    370.4100	Brenner  	Pollen/Spores                                	               	                  	                      	                 	                               	                    	+                                           	+                                                       	                     	                   	                          	+                 	                            	                         	                                   	+                      	                       	+                                         	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 16	R	 3	  64.00	    381.6400	Bralower 	Pollen/Spores                                	               	                  	                      	+                	                               	                    	+                                           	+                                                       	                     	+                  	                          	+                 	                            	                         	                                   	                       	                       	+                                         	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 16	R	 4	  60.00	    383.1000	Brenner  	Pollen/Spores                                	               	                  	                      	+                	                               	                    	+                                           	+                                                       	                     	                   	                          	                  	                            	                         	                                   	                       	                       	+                                         	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 17	R	 2	  74.00	    389.7400	Brenner  	Pollen/Spores                                	               	                  	                      	+                	                               	                    	+                                           	+                                                       	                     	                   	                          	+                 	                            	+                        	+                                  	+                      	+                      	+                                         	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 17	R	 3	  74.00	    391.2400	Brenner  	Pollen/Spores                                	               	                  	                      	+                	                               	                    	+                                           	                                                        	+                    	                   	                          	                  	                            	+                        	+                                  	                       	                       	+                                         	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 18	R	 1	  78.00	    397.7800	Brenner  	Pollen/Spores                                	               	                  	                      	R                	                               	                    	A                                           	A                                                       	                     	                   	                          	R                 	                            	                         	                                   	A                      	R                      	F                                         	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 19	R	 2	  76.00	    408.7600	Brenner  	Pollen/Spores                                	               	                  	                      	F                	                               	F                   	A                                           	                                                        	F                    	                   	R                         	R                 	                            	C                        	C                                  	C                      	F                      	F                                         	R                	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 19	R	 3	  76.00	    410.2600	Brenner  	Pollen/Spores                                	               	                  	                      	F                	                               	F                   	A                                           	                                                        	F                    	R                  	R                         	F                 	                            	F                        	F                                  	R                      	F                      	C                                         	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 20	R	 1	  73.00	    416.7300	Brenner  	Pollen/Spores                                	               	                  	                      	F                	                               	R                   	A                                           	F                                                       	F                    	                   	F                         	                  	                            	F                        	F                                  	F                      	                       	F                                         	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 20	R	 2	  72.00	    418.2200	Brenner  	Pollen/Spores                                	               	                  	                      	F                	                               	                    	A                                           	F                                                       	R                    	                   	R                         	F                 	                            	                         	                                   	R                      	                       	F                                         	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 20	R	 3	  75.00	    419.7700	Brenner  	Pollen/Spores                                	               	                  	                      	                 	                               	                    	+                                           	+                                                       	+                    	                   	+                         	                  	                            	                         	                                   	+                      	                       	                                          	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 20	R	 5	  74.00	    422.7800	Brenner  	Pollen/Spores                                	               	                  	R                     	F                	                               	F                   	A                                           	F                                                       	R                    	                   	F                         	                  	                            	F                        	F                                  	R                      	                       	F                                         	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 21	R	 4	  89.00	    430.8900	Brenner  	Pollen/Spores                                	               	                  	                      	F                	                               	F                   	A                                           	F                                                       	                     	F                  	F                         	F                 	                            	C                        	A                                  	R                      	                       	C                                         	F                	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 22	R	 4	  74.00	    440.2400	Brenner  	Pollen/Spores                                	               	                  	F                     	F                	                               	F                   	A                                           	F                                                       	F                    	F                  	F                         	F                 	                            	R                        	R                                  	R                      	                       	F                                         	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 23	R	 1	  74.00	    445.2400	Brenner  	Pollen/Spores                                	               	                  	R                     	R                	                               	F                   	A                                           	F                                                       	F                    	                   	                          	R                 	                            	                         	                                   	                       	R                      	C                                         	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 23	R	 2	  74.00	    446.7400	Brenner  	Pollen/Spores                                	               	                  	F                     	R                	                               	F                   	A                                           	R                                                       	F                    	                   	R                         	F                 	                            	R                        	R                                  	                       	                       	F                                         	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 23	R	 3	  74.00	    448.2400	Brenner  	Pollen/Spores                                	               	                  	                      	R                	                               	F                   	A                                           	F                                                       	F                    	                   	F                         	F                 	                            	R                        	R                                  	R                      	R                      	F                                         	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 23	R	 4	  74.00	    449.7400	Brenner  	Pollen/Spores                                	               	                  	                      	F                	                               	F                   	A                                           	F                                                       	F                    	R                  	                          	                  	                            	F                        	F                                  	R                      	R                      	F                                         	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 25	R	 1	  72.00	    464.2200	Brenner  	Pollen/Spores                                	               	                  	                      	+                	                               	+                   	+                                           	                                                        	+                    	                   	+                         	                  	                            	                         	                                   	                       	                       	+                                         	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 25	R	 2	  83.00	    465.8300	Brenner  	Pollen/Spores                                	               	                  	R                     	R                	                               	F                   	A                                           	F                                                       	                     	                   	                          	                  	                            	                         	                                   	R                      	                       	F                                         	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 25	R	 3	  10.00	    466.6000	Brenner  	Pollen/Spores                                	               	                  	R                     	R                	                               	                    	A                                           	F                                                       	                     	                   	                          	                  	                            	                         	                                   	R                      	                       	F                                         	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 26	R	 1	  30.00	    468.3000	Brenner  	Pollen/Spores                                	               	                  	                      	                 	                               	+                   	+                                           	+                                                       	                     	                   	                          	                  	                            	                         	                                   	                       	                       	                                          	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 26	R	 2	  35.00	    469.8500	Brenner  	Pollen/Spores                                	               	                  	                      	+                	                               	+                   	+                                           	+                                                       	                     	+                  	                          	+                 	                            	                         	                                   	+                      	                       	                                          	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 26	R	 3	  30.00	    471.3000	Brenner  	Pollen/Spores                                	               	                  	                      	                 	                               	+                   	+                                           	+                                                       	                     	                   	                          	+                 	                            	                         	                                   	+                      	                       	                                          	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 27	R	 1	  67.00	    478.1700	Brenner  	Pollen/Spores                                	               	                  	                      	                 	                               	+                   	+                                           	+                                                       	                     	+                  	                          	                  	                            	                         	                                   	+                      	                       	                                          	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 27	R	 2	  69.00	    479.6900	Brenner  	Pollen/Spores                                	               	                  	+                     	                 	                               	+                   	+                                           	+                                                       	+                    	                   	                          	+                 	                            	                         	                                   	                       	                       	                                          	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 27	R	 3	  70.00	    481.2000	Brenner  	Pollen/Spores                                	               	                  	                      	                 	                               	+                   	+                                           	                                                        	+                    	+                  	                          	                  	                            	                         	                                   	                       	+                      	                                          	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 27	R	 4	  67.00	    482.6700	Brenner  	Pollen/Spores                                	               	                  	                      	+                	                               	+                   	+                                           	+                                                       	+                    	                   	+                         	+                 	                            	+                        	+                                  	                       	                       	                                          	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 27	R	 5	  70.00	    484.2000	Brenner  	Pollen/Spores                                	               	                  	                      	+                	                               	+                   	+                                           	+                                                       	+                    	+                  	                          	                  	                            	+                        	+                                  	                       	                       	                                          	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 27	R	 6	  75.00	    485.7500	Brenner  	Pollen/Spores                                	               	                  	+                     	+                	                               	+                   	+                                           	+                                                       	+                    	+                  	                          	+                 	                            	                         	                                   	+                      	                       	                                          	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 28	R	 1	  66.00	    487.6600	Bralower 	Pollen/Spores                                	               	                  	                      	                 	                               	+                   	+                                           	+                                                       	                     	                   	+                         	                  	                            	                         	                                   	                       	                       	                                          	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 28	R	 2	  62.00	    489.1200	Brenner  	Pollen/Spores                                	               	                  	                      	                 	                               	+                   	+                                           	+                                                       	                     	                   	+                         	+                 	                            	+                        	+                                  	                       	                       	                                          	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 28	R	 3	  96.00	    490.9600	Bralower 	Pollen/Spores                                	               	                  	                      	+                	                               	+                   	+                                           	+                                                       	+                    	+                  	+                         	+                 	+                           	                         	                                   	                       	                       	                                          	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 28	R	 4	  95.00	    492.4500	Brenner  	Pollen/Spores                                	               	                  	                      	+                	                               	+                   	+                                           	+                                                       	                     	+                  	                          	                  	                            	                         	                                   	                       	                       	                                          	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 28	R	CC	   6.00	    492.9800	Brenner  	Pollen/Spores                                	               	                  	                      	+                	                               	+                   	+                                           	+                                                       	+                    	+                  	                          	                  	                            	                         	                                   	                       	                       	                                          	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 29	R	 1	  74.00	    497.2400	Brenner  	Pollen/Spores                                	               	                  	+                     	+                	                               	+                   	+                                           	+                                                       	+                    	+                  	                          	                  	                            	                         	                                   	                       	                       	                                          	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 29	R	 2	  74.00	    498.7400	Bralower 	Pollen/Spores                                	               	                  	                      	+                	                               	+                   	+                                           	+                                                       	+                    	+                  	                          	                  	                            	                         	                                   	                       	                       	                                          	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 29	R	 3	  74.00	    500.2400	Brenner  	Pollen/Spores                                	               	                  	                      	+                	                               	+                   	+                                           	+                                                       	+                    	+                  	                          	                  	                            	                         	                                   	                       	                       	                                          	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 760	B	 29	R	 4	  74.00	    501.7400	Brenner  	Pollen/Spores                                	               	                  	+                     	+                	+                              	+                   	+                                           	+                                                       	+                    	+                  	                          	                  	                            	                         	                                   	                       	                       	                                          	                 	                 	                        	from ODP Leg 122 SR Chapter 23 Table 5 p 420-421

