Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus predistentus	Sphenolithus moriformis	Sphenolithus distentus	Discoaster deflandrei	Cyclicargolithus floridanus	Coccolithus pelagicus	Coccolithus eopelagicus	Helicosphaera compacta	Zygrhablithus bijugatus	Sphenolithus ciperoensis	Ericsonia fenestrata	Coronocyclus nitescens	Reticulofenestra daviesii	Helicosphaera truempyi	Helicosphaera granulata	Discoaster surculus	Coccolithus miopelagicus	Helicosphaera euphratis	Cyclicargolithus abisectus	Triquetrorhabdulus carinatus	Reticulofenestra gartneri	Helicosphaera intermedia	Discoaster adamanteus	Cyclolithella rotula	Pyrocyclus orangensis	Helicosphaera recta	Sphenolithus conicus	Sphenolithus dissimilis	Orthorhabdus serratus	Discoaster druggii	Sphenolithus belemnos	Sphenolithus heteromorphus	Helicosphaera ampliaperta	Triquetrorhabdulus milowii	Discoaster variabilis	Reticulofenestra pseudoumbilica	Helicosphaera kamptneri	Discoaster exilis	Calcidiscus macintyrei	Pontosphaera japonica	Sphenolithus abies/neoabies	Triquetrorhabdulus rugosus	Reticulofenestra spp. small	Discoaster kugleri	Catinaster coalitus	Calcidiscus leptoporus	Discoaster pentaradiatus	Discoaster brouweri	Discoaster neorectus	Discoaster neohamatus	Discoaster bellus	Discoaster loeblichii	Discoaster challengeri	Catinaster calyculus	Discoaster quinqueramus	Discoaster berggrenii	Reticulofenestra doronicoides	Amaurolithus delicatus	Rhabdosphaera clavigera	Amaurolithus primus	Helicosphaera sellii	Ceratolithus acutus	Pseudoemiliania lacunosa	Amaurolithus tricorniculatus	Amaurolithus amplificus	Syracosphaera pulchra	Scyphosphaera pulcherrima	Ceratolithus rugosus	Oolithotus antillarum	Discoaster asymmetricus	Discoaster tamalis	Discoaster triradiatus	Ceratolithus cristatus	Syracosphaera histrica	Rhabdosphaera stylifera	Gephyrocapsa spp.	Gephyrocapsa caribbeanica	Umbilicosphaera mirabilis	Discoaster prepentaradiatus	Gephyrocapsa oceanica	Umbilicosphaera sibogae	Ceratolithus telesmus	Comment

  SR	Pleistocene      	                 	CN13              	CN14a         	108	 667	A	  3	H	CC	  13.00	     20.2800	Manivit  	Nannofossils                                 	A              	M                 	                         	                       	                      	                     	                           	                     	                       	                      	                       	                        	                    	                      	                         	                      	                       	                   	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	rR                   	rR                             	C                      	                 	                      	F                    	                           	                          	                           	                  	                   	F                     	                        	rR                 	                    	                     	                 	                     	                      	                    	                       	                     	A                            	                      	C                      	                   	F                   	                   	C                       	                            	                       	C                    	R                        	                    	                     	rR                     	                  	                      	R                     	C                     	                       	A                	C                        	C                        	rR                         	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Pleistocene      	                 	CN13              	              	108	 667	A	  4	H	CC	  10.00	     29.2200	Manivit  	Nannofossils                                 	A              	M                 	                         	                       	                      	                     	                           	R                    	                       	                      	                       	                        	                    	                      	                         	                      	                       	                   	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	                     	                               	C                      	                 	F                     	F                    	                           	                          	                           	                  	                   	F                     	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	C                            	                      	C                      	                   	F                   	                   	C                       	                            	                       	F                    	R                        	                    	                     	                       	                  	                      	                      	                      	F                      	A                	F                        	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Pliocene         	                 	CN12d             	CN13          	108	 667	A	  5	H	 2	  90.00	     32.2000	Manivit  	Nannofossils                                 	A              	M                 	                         	                       	                      	                     	                           	                     	                       	                      	                       	                        	                    	                      	                         	F                     	                       	                   	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	                     	                               	C                      	                 	F                     	                     	                           	                          	                           	                  	                   	F                     	                        	C                  	                    	                     	                 	                     	                      	                    	                       	                     	C                            	                      	C                      	                   	F                   	                   	C                       	                            	                       	F                    	                         	R                   	                     	                       	                  	F                     	R                     	F                     	F                      	A                	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Pliocene         	                 	CN12c             	CN12d         	108	 667	A	  5	H	 3	 110.00	     33.9000	Manivit  	Nannofossils                                 	A              	M                 	                         	                       	                      	                     	                           	R                    	                       	                      	                       	                        	                    	                      	                         	                      	                       	                   	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	                     	                               	C                      	                 	C                     	F                    	                           	                          	                           	                  	                   	F                     	R                       	C                  	                    	                     	                 	                     	                      	                    	                       	                     	C                            	                      	C                      	                   	F                   	                   	C                       	                            	                       	F                    	                         	                    	                     	                       	                  	R                     	R                     	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Pliocene         	                 	CN12a             	CN12c         	108	 667	A	  5	H	 5	 114.00	     36.9400	Manivit  	Nannofossils                                 	A              	M                 	                         	                       	                      	                     	                           	                     	                       	                      	                       	                        	                    	                      	                         	                      	                       	R                  	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	                     	                               	C                      	                 	C                     	F                    	                           	                          	A                          	                  	                   	C                     	F                       	C                  	                    	                     	                 	                     	                      	                    	                       	                     	C                            	                      	C                      	                   	F                   	                   	C                       	                            	                       	F                    	R                        	R                   	R                    	                       	                  	R                     	                      	F                     	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Pliocene         	                 	CN12a             	CN12c         	108	 667	A	  6	H	 2	  80.00	     41.6000	Manivit  	Nannofossils                                 	A              	M                 	                         	                       	                      	                     	                           	R                    	                       	                      	                       	                        	                    	                      	                         	                      	                       	F                  	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	                     	                               	C                      	                 	C                     	                     	                           	                          	A                          	                  	                   	F                     	F                       	C                  	                    	                     	                 	                     	                      	                    	                       	                     	A                            	                      	F                      	                   	F                   	                   	C                       	                            	                       	F                    	                         	                    	                     	                       	R                 	R                     	R                     	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Pliocene         	                 	CN12a             	CN12b         	108	 667	A	  6	H	CC	  11.00	     47.9000	Manivit  	Nannofossils                                 	A              	M                 	                         	                       	                      	                     	                           	F                    	                       	                      	                       	                        	                    	                      	                         	                      	                       	F                  	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	F                    	                               	C                      	                 	C                     	R                    	                           	                          	A                          	                  	                   	F                     	C                       	C                  	                    	                     	                 	                     	                      	                    	                       	                     	A                            	                      	F                      	                   	F                   	                   	F                       	                            	                       	F                    	R                        	                    	                     	F                      	F                 	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Pliocene         	                 	CN11              	CN12a         	108	 667	A	  7	H	 1	  50.00	     49.3000	Manivit  	Nannofossils                                 	A              	M                 	                         	                       	                      	                     	                           	                     	                       	                      	                       	                        	                    	                      	                         	                      	                       	F                  	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	F                    	                               	C                      	                 	C                     	                     	F                          	                          	A                          	                  	                   	F                     	C                       	C                  	                    	                     	                 	                     	                      	                    	                       	                     	A                            	                      	F                      	                   	F                   	                   	F                       	                            	                       	F                    	                         	R                   	R                    	F                      	R                 	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Pliocene         	                 	CN11              	CN12a         	108	 667	A	  7	H	 1	 135.00	     50.1500	Manivit  	Nannofossils                                 	A              	M                 	                         	                       	                      	                     	                           	R                    	                       	                      	                       	                        	                    	                      	                         	                      	                       	C                  	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	F                    	R                              	C                      	                 	C                     	R                    	C                          	                          	A                          	                  	                   	F                     	C                       	C                  	                    	                     	                 	                     	R                     	                    	                       	                     	C                            	                      	C                      	                   	F                   	                   	C                       	                            	                       	F                    	R                        	R                   	                     	R                      	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Pliocene         	                 	CN11              	              	108	 667	A	  7	H	CC	  10.00	     56.8200	Manivit  	Nannofossils                                 	A              	M                 	                         	                       	                      	                     	                           	R                    	                       	                      	                       	                        	                    	                      	                         	                      	                       	C                  	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	C                    	F                              	C                      	                 	C                     	                     	C                          	                          	A                          	                  	                   	F                     	C                       	A                  	                    	                     	                 	                     	                      	                    	                       	                     	C                            	                      	F                      	                   	F                   	                   	C                       	                            	R                      	F                    	                         	                    	                     	R                      	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Pliocene         	                 	CN10d             	CN11          	108	 667	A	  8	H	CC	  13.00	     66.4000	Manivit  	Nannofossils                                 	A              	M                 	                         	                       	                      	                     	                           	                     	                       	                      	                       	                        	                    	                      	                         	                      	                       	C                  	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	C                    	C                              	C                      	                 	C                     	F                    	A                          	                          	A                          	                  	                   	F                     	A                       	C                  	                    	                     	                 	                     	                      	                    	                       	rR                   	C                            	R                     	C                      	                   	F                   	                   	F                       	                            	                       	R                    	                         	R                   	R                    	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Pliocene         	                 	CN10d             	              	108	 667	A	  9	H	 6	  52.00	     75.8200	Manivit  	Nannofossils                                 	A              	M                 	                         	                       	                      	                     	                           	R                    	                       	                      	                       	                        	                    	                      	                         	                      	                       	C                  	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	C                    	C                              	C                      	                 	C                     	                     	C                          	                          	A                          	                  	                   	C                     	A                       	A                  	                    	                     	                 	                     	                      	                    	                       	                     	C                            	                      	C                      	                   	F                   	                   	R                       	R                           	                       	F                    	R                        	R                   	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Pliocene         	                 	CN10c             	              	108	 667	A	 10	H	 1	 101.00	     78.3100	Manivit  	Nannofossils                                 	A              	M                 	                         	                       	                      	                     	                           	                     	                       	                      	                       	                        	                    	                      	                         	                      	                       	C                  	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	C                    	C                              	C                      	                 	C                     	                     	C                          	                          	A                          	                  	                   	C                     	A                       	A                  	                    	                     	                 	                     	                      	                    	                       	                     	F                            	                      	C                      	R                  	F                   	R                  	R                       	F                           	R                      	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Pliocene         	                 	CN10a             	CN10b         	108	 667	A	 10	H	 5	  86.00	     84.1600	Manivit  	Nannofossils                                 	A              	M                 	                         	                       	                      	                     	                           	R                    	                       	                      	                       	                        	                    	                      	                         	                      	                       	C                  	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	F                    	C                              	C                      	                 	C                     	                     	C                          	R                         	A                          	                  	                   	F                     	A                       	C                  	                    	                     	                 	                     	                      	                    	                       	                     	F                            	R                     	F                      	                   	R                   	R                  	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Late Miocene     	                 	CN8a              	CN10a         	108	 667	A	 10	H	 6	  31.00	     85.1100	Manivit  	Nannofossils                                 	A              	M                 	                         	                       	                      	                     	                           	F                    	                       	                      	                       	                        	                    	                      	                         	                      	                       	F                  	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	F                    	C                              	F                      	                 	F                     	                     	C                          	F                         	C                          	                  	                   	F                     	A                       	C                  	                    	                     	                 	                     	R                     	                    	C                      	                     	F                            	                      	F                      	                   	R                   	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Late Miocene     	                 	CN8a              	              	108	 667	A	 11	H	CC	  13.00	     94.6200	Manivit  	Nannofossils                                 	A              	M                 	                         	                       	                      	                     	                           	F                    	                       	                      	                       	                        	                    	                      	                         	                      	                       	R                  	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	F                    	C                              	F                      	                 	F                     	                     	C                          	F                         	C                          	                  	                   	F                     	A                       	C                  	                    	                     	                 	                     	                      	                    	C                      	F                    	F                            	R                     	F                      	R                  	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Late Miocene     	                 	CN8               	CN8a          	108	 667	A	 12	H	CC	  15.00	    104.1900	Manivit  	Nannofossils                                 	A              	M                 	                         	                       	                      	                     	                           	R                    	                       	                      	                       	                        	                    	                      	                         	                      	                       	                   	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	F                    	C                              	F                      	                 	F                     	                     	C                          	R                         	C                          	                  	                   	F                     	C                       	C                  	                    	                     	                 	                     	                      	                    	C                      	F                    	F                            	R                     	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Late Miocene     	                 	CN8               	CN8a          	108	 667	A	 13	H	 2	 100.00	    108.3000	Manivit  	Nannofossils                                 	A              	M                 	                         	                       	                      	                     	                           	F                    	                       	                      	                       	                        	                    	                      	                         	                      	                       	                   	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	F                    	C                              	F                      	                 	F                     	                     	C                          	F                         	A                          	                  	                   	C                     	C                       	C                  	                    	R                    	                 	                     	                      	                    	F                      	F                    	R                            	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Late Miocene     	                 	CN8               	CN8a          	108	 667	A	 13	H	CC	  16.00	    114.8600	Manivit  	Nannofossils                                 	A              	M                 	                         	                       	                      	                     	                           	F                    	                       	                      	                       	                        	                    	                      	                         	                      	                       	                   	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	F                    	C                              	F                      	                 	C                     	                     	C                          	R                         	A                          	                  	                   	F                     	C                       	C                  	                    	F                    	                 	R                    	                      	                    	F                      	F                    	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Late Miocene     	                 	CN8               	CN8a          	108	 667	A	 14	H	 3	 120.00	    119.5000	Manivit  	Nannofossils                                 	A              	M                 	                         	                       	                      	                     	                           	R                    	                       	                      	                       	                        	                    	                      	                         	                      	                       	                   	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	F                    	C                              	F                      	                 	F                     	                     	C                          	R                         	C                          	                  	                   	F                     	F                       	F                  	                    	F                    	R                	R                    	R                     	R                   	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Late Miocene     	                 	CN8               	              	108	 667	A	 14	H	CC	  11.00	    124.2900	Manivit  	Nannofossils                                 	A              	M                 	                         	                       	                      	                     	                           	F                    	                       	                      	                       	                        	                    	                      	                         	                      	R                      	                   	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	F                    	C                              	C                      	                 	F                     	                     	F                          	F                         	C                          	                  	                   	                      	F                       	F                  	R                   	F                    	F                	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Middle Miocene   	                 	CN4               	              	108	 667	A	 15	H	CC	  21.00	    134.3500	Manivit  	Nannofossils                                 	A              	M                 	                         	F                      	                      	                     	rR                         	F                    	                       	                      	                       	                        	                    	                      	                         	                      	F                      	                   	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	rR                        	                         	                          	F                    	F                              	F                      	R                	F                     	                     	F                          	R                         	C                          	                  	                   	R                     	F                       	F                  	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	slump deposits mixed assemblages from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Middle Miocene   	                 	CN4               	CN5           	108	 667	A	 16	H	CC	  22.00	    143.3100	Manivit  	Nannofossils                                 	A              	P                 	                         	F                      	                      	                     	rR                         	R                    	                       	                      	                       	                        	                    	rR                    	                         	                      	F                      	                   	                        	                       	                          	                            	                         	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	rR                        	                         	                          	F                    	F                              	F                      	                 	F                     	                     	F                          	                          	C                          	                  	                   	                      	F                       	F                  	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	slump deposits mixed assemblages from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Middle Miocene   	                 	CN4               	CN5           	108	 667	A	 17	H	 4	 100.00	    149.3000	Manivit  	Nannofossils                                 	A              	P                 	                         	F                      	                      	                     	                           	F                    	                       	                      	                       	                        	                    	                      	                         	                      	F                      	                   	R                       	                       	                          	                            	R                        	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	                     	F                              	R                      	                 	R                     	                     	F                          	R                         	F                          	                  	R                  	R                     	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	slump deposits mixed assemblages from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Middle Miocene   	                 	CN4               	CN5           	108	 667	A	 17	H	CC	  25.00	    151.3200	Manivit  	Nannofossils                                 	A              	P                 	                         	F                      	                      	                     	                           	F                    	                       	                      	                       	                        	                    	                      	                         	                      	R                      	                   	F                       	                       	                          	                            	F                        	                        	                     	                    	R                    	                   	                    	                       	                     	                  	                     	                          	                         	                          	                     	R                              	F                      	R                	R                     	                     	R                          	R                         	F                          	R                 	R                  	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	slump deposits mixed assemblages from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Middle Miocene   	                 	CN4               	CN5           	108	 667	A	 18	H	 1	  70.00	    154.0000	Manivit  	Nannofossils                                 	A              	P                 	                         	F                      	                      	                     	                           	F                    	                       	                      	                       	                        	                    	                      	                         	                      	F                      	                   	F                       	                       	                          	                            	F                        	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	                          	                         	                          	R                    	R                              	F                      	                 	F                     	                     	R                          	R                         	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

  SR	Middle Miocene   	                 	CN4               	CN5           	108	 667	A	 18	H	 5	 110.00	    160.4000	Manivit  	Nannofossils                                 	A              	P                 	                         	F                      	                      	F                    	F                          	F                    	                       	                      	                       	                        	                    	                      	                         	                      	C                      	                   	C                       	                       	                          	                            	C                        	                        	                     	                    	                     	                   	                    	                       	                     	                  	                     	C                         	                         	                          	                     	F                              	C                      	F                	F                     	                     	R                          	                          	                           	                  	                   	                      	                        	                   	                    	                     	                 	                     	                      	                    	                       	                     	                             	                      	                       	                   	                    	                   	                        	                            	                       	                     	                         	                    	                     	                       	                  	                      	                      	                      	                       	                 	                         	                         	                           	                     	                       	                     	from ODP Leg 108 SR Chapter 4 Table 13 p 57-59

