Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Heterohelix globulosa	Hedbergella delrioensis	Dicarinella hagni	Whiteinella sp. cf.  W. aprica	Hedbergella sp.	Marginotruncana sinuosa ?	Dicarinella concavata-asymetrica	Dicarinella concavata	Contusotruncana fornicata	Archaeoglobigerina blowi	Globorotalia mayeri	Globoquadrina venezuelana	Catapsydrax unicavus	Catapsydrax dissimilis	Globorotaloides suteri	Globorotaloides hexagona	Globoquadrina dehiscens	Globigerinoides subquadratus	Globigerinoides sacculifer	Globigerinita uvula	Tenuitella sp.	Globigerinita glutinata	Globorotaloides variabilis	Globigerinoides diminutus	Fohsella peripheroronda	Globorotalia praescitula	Globorotalia continuosa	Globigerinoides parawoodi	Globigerinoides bisphericus	Globigerinella praesiphonifera	Clavatorella bermudezi	Protentella prolixa	Globoturborotalita woodi	Fohsella peripheroacuta	Globorotalia archeomenardii	Globigerinoides obliquus	Praeorbulina sicana	Praeorbulina glomerosa	Orbulina suturalis	Dentoglobigerina altispira	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis kochi	Fohsella lenguaensis	Orbulina universa	Neogloboquadrina humerosa	Globoturborotalita nepenthes	Globorotalia scitula	Globorotalia plesiotumida	Globigerinella aequilateralis	Globorotalia merotumida	Globigerinella obesa	Neogloboquadrina acostaensis	Globorotalia cibaoensis	Globigerinoides extremus	Globigerinoides bulloideus	Globigerina bulloides	Globoturborotalita decoraperta	Globoturborotalita apertura	Globigerinoides seigliei	Globigerinoides bollii	Candeina nitida	Beella praedigitata	Orbulina bilobata	Globigerinoides conglobatus	Globorotalia juanai	Globorotalia limbata	Globorotalia margaritae	Globorotalia tumida	Globorotalia menardii	Neogloboquadrina dutertrei	Sphaeroidinellopsis paenedehiscens	Neogloboquadrina pachyderma (sinistral)	Sphaeroidinella dehiscens	Pulleniatina primalis	Globorotalia hirsuta	Globorotalia crassaformis	Pulleniatina praecursor	Pulleniatina obliquiloculata	Beella digitata	Globorotalia multicamerata	Globorotalia exilis	Globigerinoides ruber	Globorotalia puncticulata	Globorotalia pseudomiocenica	Globigerinoides sacculifer fistulosus	Globorotalia pertenuis	Globorotalia miocenica	Globorotalia tosaensis	Globorotalia inflata	Globorotalia triangula	Globigerinella calida	Neogloboquadrina pachyderma (dextral)	Globorotalia truncatulinoides	Comment

  SR	Pleistocene      	                 	Pt1               	              	159	 960	C	  1	H	 5	  17.00	      5.6700	Norris   	Planktonic Foraminifers                      	A              	M                 	                     	                       	                 	                              	               	                         	                                	                     	                         	                        	                   	                         	                    	                      	                      	R                       	                       	                            	C                         	                   	              	F                      	                          	                         	                       	                        	                       	                         	                           	                              	                      	                   	R                       	                       	                           	                        	                   	                      	                  	                          	                              	                         	                    	R                	                         	                            	                    	                         	R                            	                       	                    	                            	                       	                        	                          	R                    	                              	                           	                        	F                     	               	                   	                 	R                          	                   	                    	                       	R                  	R                    	C                         	                                  	                                       	T                        	                     	                    	R                        	                       	R                           	               	                          	                   	C                    	                         	                            	                                     	                      	                      	                      	R                   	                      	                     	R                                    	                             	From Leg 159SR Ch 34 Table 4

  SR	Pleistocene      	                 	Pt1               	              	159	 960	C	  2	H	 1	  34.00	      6.5400	Norris   	Planktonic Foraminifers                      	A              	M                 	                     	                       	                 	                              	               	                         	                                	                     	                         	                        	                   	                         	                    	                      	                      	                        	                       	                            	C                         	                   	              	F                      	                          	                         	                       	                        	                       	                         	                           	                              	                      	                   	                        	                       	                           	                        	                   	                      	                  	                          	                              	                         	                    	R                	                         	                            	                    	                         	R                            	                       	                    	                            	                       	                        	                          	F                    	                              	                           	                        	R                     	R              	                   	                 	                           	                   	                    	                       	R                  	F                    	C                         	                                  	                                       	T                        	                     	                    	R                        	                       	R                           	T              	                          	                   	C                    	                         	                            	                                     	                      	                      	                      	F                   	                      	                     	F                                    	                             	From Leg 159SR Ch 34 Table 4

  SR	Pleistocene      	                 	Pt1               	              	159	 960	C	  2	H	 2	  32.00	      8.0200	Norris   	Planktonic Foraminifers                      	A              	M                 	                     	                       	                 	                              	               	                         	                                	                     	                         	                        	                   	                         	                    	                      	                      	R                       	                       	                            	C                         	                   	              	F                      	                          	                         	                       	                        	                       	                         	                           	                              	                      	                   	                        	                       	                           	                        	                   	                      	                  	                          	                              	                         	                    	R                	                         	                            	                    	                         	R                            	                       	                    	                            	                       	                        	                          	R                    	R                             	                           	                        	R                     	               	                   	                 	                           	                   	                    	                       	R                  	R                    	C                         	                                  	                                       	R                        	                     	                    	R                        	                       	R                           	               	                          	                   	C                    	                         	                            	                                     	                      	                      	                      	F                   	                      	                     	R                                    	                             	From Leg 159SR Ch 34 Table 4

  SR	Pleistocene      	                 	Pt1               	              	159	 960	C	  2	H	 3	  34.00	      9.5400	Norris   	Planktonic Foraminifers                      	A              	M                 	                     	                       	                 	                              	               	                         	                                	                     	                         	                        	                   	                         	                    	                      	                      	R                       	                       	                            	C                         	                   	              	F                      	                          	                         	                       	                        	                       	                         	                           	                              	                      	                   	                        	                       	                           	                        	                   	                      	                  	                          	                              	                         	                    	F                	                         	                            	                    	                         	F                            	                       	                    	                            	                       	                        	                          	F                    	R                             	R                          	                        	F                     	               	                   	                 	                           	                   	                    	                       	R                  	                     	C                         	                                  	R                                      	F                        	                     	                    	R                        	                       	                            	               	                          	                   	C                    	                         	                            	                                     	                      	                      	                      	R                   	                      	R                    	R                                    	                             	From Leg 159SR Ch 34 Table 4

  SR	Pleistocene      	                 	Pt1               	              	159	 960	C	  2	H	 4	  34.00	     11.0400	Norris   	Planktonic Foraminifers                      	A              	M                 	                     	                       	                 	                              	               	                         	                                	                     	                         	                        	                   	                         	                    	                      	                      	R                       	                       	                            	C                         	                   	              	F                      	                          	                         	                       	                        	                       	                         	                           	                              	                      	                   	                        	                       	                           	                        	                   	                      	                  	                          	                              	                         	                    	F                	                         	                            	                    	                         	R                            	                       	                    	                            	                       	                        	                          	                     	                              	                           	                        	F                     	               	                   	                 	R                          	                   	                    	                       	F                  	R                    	C                         	                                  	                                       	R                        	                     	                    	F                        	                       	R                           	               	                          	                   	C                    	                         	                            	                                     	                      	                      	                      	R                   	                      	                     	R                                    	R                            	From Leg 159SR Ch 34 Table 4

  SR	Pleistocene      	                 	Pt1               	              	159	 960	C	  2	H	 5	  34.00	     12.5400	Norris   	Planktonic Foraminifers                      	A              	M                 	                     	                       	                 	                              	               	                         	                                	                     	                         	                        	                   	                         	                    	                      	                      	                        	                       	                            	C                         	                   	              	R                      	                          	                         	                       	                        	                       	                         	                           	                              	                      	                   	                        	                       	                           	                        	                   	                      	                  	                          	                              	                         	                    	R                	                         	                            	                    	                         	R                            	                       	                    	                            	                       	                        	                          	R                    	                              	                           	                        	F                     	               	                   	                 	R                          	                   	                    	                       	R                  	R                    	A                         	                                  	                                       	F                        	                     	                    	R                        	                       	R                           	R              	                          	                   	C                    	                         	                            	                                     	                      	                      	                      	                    	                      	                     	F                                    	                             	From Leg 159SR Ch 34 Table 4

  SR	Late Pliocene    	                 	PL6               	              	159	 960	C	  2	H	 6	  35.00	     14.0500	Norris   	Planktonic Foraminifers                      	A              	G                 	                     	                       	                 	                              	               	                         	                                	                     	                         	                        	                   	                         	                    	                      	                      	                        	                       	                            	C                         	                   	              	R                      	                          	                         	                       	                        	                       	                         	                           	                              	                      	                   	                        	                       	                           	                        	                   	                      	                  	                          	                              	                         	                    	R                	                         	                            	                    	                         	R                            	                       	                    	R                           	                       	                        	                          	R                    	R                             	                           	                        	F                     	               	                   	                 	R                          	                   	                    	                       	                   	                     	A                         	                                  	                                       	F                        	                     	                    	                         	                       	R                           	               	                          	                   	C                    	                         	                            	T                                    	                      	                      	                      	T                   	                      	R                    	F                                    	                             	From Leg 159SR Ch 34 Table 4

  SR	Late Pliocene    	                 	PL6               	              	159	 960	C	  2	H	 7	  34.00	     15.5400	Norris   	Planktonic Foraminifers                      	A              	G                 	                     	                       	                 	                              	               	                         	                                	                     	                         	                        	                   	                         	                    	                      	                      	                        	                       	                            	C                         	                   	              	R                      	                          	                         	                       	                        	                       	                         	                           	                              	                      	                   	R                       	                       	                           	                        	                   	                      	                  	                          	                              	                         	                    	F                	                         	                            	                    	                         	R                            	                       	                    	R                           	                       	                        	                          	R                    	                              	                           	                        	F                     	               	                   	                 	                           	                   	                    	                       	R                  	R                    	A                         	                                  	                                       	F                        	                     	                    	R                        	                       	R                           	               	                          	                   	C                    	                         	                            	                                     	                      	                      	                      	                    	                      	R                    	R                                    	                             	From Leg 159SR Ch 34 Table 4

  SR	Late Pliocene    	                 	PL5               	              	159	 960	C	  3	H	 1	  34.00	     16.0400	Norris   	Planktonic Foraminifers                      	A              	G                 	                     	                       	                 	                              	               	                         	                                	                     	                         	                        	                   	                         	                    	                      	                      	                        	                       	                            	C                         	R                  	              	R                      	                          	                         	                       	                        	                       	                         	                           	                              	                      	                   	R                       	                       	                           	                        	                   	                      	                  	                          	                              	                         	                    	R                	                         	                            	                    	                         	                             	                       	                    	R                           	                       	                        	                          	R                    	                              	R                          	                        	F                     	               	                   	                 	                           	                   	                    	                       	                   	                     	C                         	                                  	                                       	R                        	                     	R                   	                         	                       	                            	               	                          	R                  	C                    	                         	                            	                                     	R                     	R                     	                      	                    	R                     	                     	R                                    	                             	From Leg 159SR Ch 34 Table 4

  SR	Late Pliocene    	                 	PL5               	              	159	 960	C	  3	H	 2	  34.00	     17.5400	Norris   	Planktonic Foraminifers                      	A              	G                 	                     	                       	                 	                              	               	                         	                                	                     	                         	                        	                   	                         	                    	                      	                      	                        	                       	                            	C                         	                   	              	R                      	                          	                         	                       	                        	                       	                         	                           	                              	                      	                   	R                       	                       	                           	                        	                   	                      	                  	                          	                              	                         	                    	R                	                         	                            	                    	                         	                             	                       	                    	F                           	                       	R                       	                          	                     	R                             	R                          	                        	R                     	               	                   	                 	                           	                   	                    	                       	                   	                     	C                         	                                  	                                       	R                        	                     	R                   	R                        	                       	                            	               	                          	R                  	C                    	R                        	                            	F                                    	R                     	R                     	                      	R                   	R                     	R                    	                                     	                             	From Leg 159SR Ch 34 Table 4

  SR	Late Pliocene    	                 	PL5               	              	159	 960	C	  3	H	 3	  34.00	     19.0400	Norris   	Planktonic Foraminifers                      	A              	G                 	                     	                       	                 	                              	               	                         	                                	                     	                         	                        	                   	                         	                    	                      	                      	                        	                       	                            	C                         	                   	              	R                      	                          	                         	                       	                        	                       	                         	                           	                              	                      	                   	R                       	                       	                           	                        	                   	                      	                  	                          	T                             	                         	                    	R                	                         	                            	                    	                         	                             	                       	R                   	F                           	                       	R                       	                          	R                    	R                             	R                          	                        	R                     	               	                   	                 	                           	                   	                    	                       	                   	                     	C                         	                                  	                                       	R                        	                     	                    	R                        	                       	                            	               	                          	R                  	C                    	R                        	                            	T                                    	R                     	F                     	R                     	R                   	                      	                     	                                     	                             	From Leg 159SR Ch 34 Table 4

  SR	Late Pliocene    	                 	PL5               	              	159	 960	C	  3	H	 4	  34.00	     20.5400	Norris   	Planktonic Foraminifers                      	A              	G                 	                     	                       	                 	                              	               	                         	                                	                     	                         	                        	                   	                         	                    	                      	                      	                        	                       	                            	C                         	                   	              	F                      	                          	                         	                       	                        	                       	                         	                           	                              	                      	                   	R                       	                       	                           	                        	                   	                      	                  	                          	                              	                         	                    	R                	                         	                            	                    	                         	R                            	                       	R                   	R                           	                       	                        	                          	R                    	R                             	R                          	                        	R                     	               	                   	                 	                           	                   	                    	                       	                   	                     	C                         	                                  	                                       	R                        	                     	                    	R                        	                       	                            	               	                          	R                  	C                    	R                        	R                           	T                                    	R                     	R                     	                      	                    	                      	                     	                                     	                             	From Leg 159SR Ch 34 Table 4

  SR	Late Pliocene    	                 	PL5               	              	159	 960	C	  3	H	 5	  34.00	     22.0400	Norris   	Planktonic Foraminifers                      	A              	G                 	                     	                       	                 	                              	               	                         	                                	                     	                         	                        	                   	                         	                    	                      	                      	                        	                       	                            	C                         	                   	              	R                      	                          	                         	                       	                        	                       	                         	                           	                              	                      	                   	R                       	                       	                           	                        	                   	                      	                  	                          	                              	                         	                    	F                	                         	                            	                    	                         	R                            	                       	R                   	R                           	                       	                        	                          	R                    	R                             	R                          	                        	                      	               	                   	                 	R                          	                   	                    	                       	                   	                     	C                         	                                  	                                       	T                        	                     	                    	R                        	                       	                            	               	                          	                   	F                    	                         	F                           	                                     	R                     	F                     	                      	                    	                      	                     	                                     	                             	From Leg 159SR Ch 34 Table 4
