Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thyrsocyrtis rhizodon	Spongatractus pachystylus	Sethochytris triconiscus	Podocyrtis  ampla	Podocyrtis papalis	Podocyrtis mitra	Podocyrtis dorus	Lithochytris vespertilio	Eusyringium lagena	Eusyringium fistuligerum	Dictyoprora armadillo	Calocyclas hispida	Thyrsocyrtis triacantha	Spongatractus balbis	Podocyrtis trachodes	Dictyoprora mongolfieri	Theocotylissa ficus	Lithocyclia ocellus	Phormocyrtis striata striata	Thyrsocyrtis lochites	Podocyrtis chalara	Tristylospyris triceros	Podocyrtis goetheana	Lithocyclia aristotelis group	Cryptocarpium azyx	Cryptocarpium ornatum	Thyrsocyrtis  tetracantha	Lychnocanoma bellum	Lophocyrtis jacchia	Calocyclas turris	Calocyclas bandyca	Theocyrtis tuberosa	Artophormis barbadensis	Thyrsocyrtis bromia	Podocyrtis sinuosa	Comment
  IR	Late Eocene      	Late Eocene      	RP19              	RP19          	199	1217	A	  4	H	 6	  45.00	     31.4500	nannos   	Radiolarians                                 	R              	M                 	+                    	                         	                        	-                	                  	                	                	                        	                  	+                       	                     	                  	-                      	                    	                    	                       	                   	                   	                            	                     	                  	+                      	                    	+                            	                  	                     	-                        	                   	                   	                 	                  	+                  	+                      	                   	                  	ZONATION TENTATIVE

  IR	Late Eocene      	Late Eocene      	RP18              	RP18          	199	1217	A	  4	H	 7	  45.00	     32.9500	nannos   	Radiolarians                                 	R              	P                 	                     	                         	                        	                 	+                 	                	                	                        	                  	-                       	                     	                  	                       	                    	                    	+                      	                   	                   	                            	+                    	+                 	+                      	                    	                             	+                 	                     	+                        	                   	                   	+                	                  	+                  	                       	                   	                  	       

  IR	Late Eocene      	Late Eocene      	RP18              	RP18          	199	1217	A	  4	H	 7	 107.00	     33.5700	nannos   	Radiolarians                                 	F              	M                 	+                    	                         	+                       	                 	+                 	                	                	                        	                  	+                       	                     	+                 	+                      	                    	                    	+                      	                   	+                  	                            	                     	                  	+                      	+                   	+                            	+                 	+                    	                         	                   	                   	+                	                  	+                  	                       	                   	                  	       

  IR	                 	                 	                  	              	199	1217	A	  5	H	 1	  45.00	     34.4500	nannos   	Radiolarians                                 	T              	P                 	                     	                         	                        	                 	                  	                	                	+                       	                  	                        	                     	                  	                       	                    	                    	                       	                   	                   	                            	                     	                  	                       	                    	+                            	                  	                     	                         	                   	                   	                 	                  	                   	                       	                   	                  	       

  IR	                 	                 	                  	              	199	1217	A	  5	H	 3	  37.00	     37.3700	nannos   	Radiolarians                                 	R              	P                 	                     	                         	                        	                 	                  	                	                	                        	                  	                        	                     	                  	                       	                    	                    	                       	                   	                   	                            	                     	                  	                       	                    	                             	                  	                     	+                        	                   	                   	                 	                  	                   	                       	                   	                  	       

  IR	                 	                 	                  	              	199	1217	A	  5	H	 4	  45.00	     38.9500	nannos   	Radiolarians                                 	T              	P                 	                     	                         	                        	                 	                  	                	                	                        	                  	+                       	                     	                  	                       	                    	                    	                       	                   	                   	                            	                     	                  	                       	                    	                             	                  	                     	                         	                   	                   	                 	                  	                   	                       	                   	                  	       

  IR	                 	                 	                  	              	199	1217	A	  6	H	 2	  45.00	     45.0400	nannos   	Radiolarians                                 	T              	P                 	                     	                         	                        	                 	                  	                	                	                        	                  	                        	                     	                  	+                      	                    	                    	                       	                   	                   	                            	                     	                  	                       	                    	                             	                  	                     	                         	                   	                   	                 	                  	                   	                       	                   	                  	       

  IR	                 	                 	                  	              	199	1217	A	  6	H	 3	  41.00	     46.5000	nannos   	Radiolarians                                 	T              	P                 	                     	                         	                        	                 	                  	                	                	                        	                  	                        	                     	                  	+                      	                    	                    	+                      	                   	                   	                            	                     	                  	                       	                    	                             	                  	                     	                         	                   	                   	                 	                  	                   	                       	                   	                  	       

  IR	Late Eocene      	Late Eocene      	RP18              	RP18          	199	1217	A	  6	H	 4	  41.00	     48.0000	nannos   	Radiolarians                                 	T              	M                 	                     	                         	                        	                 	                  	                	                	                        	                  	                        	                     	                  	+                      	                    	                    	                       	                   	                   	                            	                     	                  	+                      	                    	                             	                  	                     	                         	                   	                   	                 	+                 	                   	                       	                   	                  	       

  IR	                 	                 	                  	              	199	1217	A	  6	H	 5	  45.00	     49.0400	nannos   	Radiolarians                                 	T              	P                 	                     	                         	                        	                 	                  	                	                	                        	                  	                        	                     	                  	+                      	                    	                    	                       	                   	                   	                            	                     	                  	+                      	                    	                             	                  	                     	                         	                   	                   	                 	                  	                   	                       	                   	                  	       

  IR	                 	                 	                  	              	199	1217	A	  6	H	 6	  45.00	     49.7600	nannos   	Radiolarians                                 	T              	P                 	                     	                         	                        	                 	                  	                	                	                        	                  	                        	                     	                  	+                      	                    	                    	                       	                   	                   	                            	                     	                  	+                      	                    	                             	                  	                     	                         	                   	                   	                 	                  	                   	                       	                   	                  	       

  IR	Middle Eocene    	Middle Eocene    	RP17              	RP17          	199	1217	A	  6	H	CC	   8.00	     50.6500	nannos   	Radiolarians                                 	F              	M                 	+                    	-                        	                        	                 	                  	                	                	                        	                  	-                       	                     	                  	+                      	                    	                    	+                      	                   	                   	                            	+                    	                  	+                      	                    	                             	+                 	+                    	+                        	+                  	+                  	+                	+                 	                   	                       	                   	                  	       

  IR	Middle Eocene    	Middle Eocene    	RP16              	RP16          	199	1217	A	  7	H	 2	  45.00	     52.6500	nannos   	Radiolarians                                 	C              	G                 	                     	-                        	-                       	                 	                  	                	                	                        	                  	+                       	                     	+                 	                       	                    	                    	+                      	                   	+                  	                            	                     	+                 	                       	+                   	                             	                  	                     	                         	                   	                   	                 	                  	                   	                       	                   	                  	       

  IR	Middle Eocene    	Middle Eocene    	RP16              	RP16          	199	1217	A	  7	H	 3	  45.00	     54.1500	nannos   	Radiolarians                                 	C              	G                 	+                    	-                        	                        	                 	                  	+               	                	                        	                  	+                       	                     	+                 	                       	                    	                    	+                      	                   	+                  	                            	                     	+                 	                       	                    	                             	                  	                     	                         	                   	                   	                 	                  	                   	                       	                   	                  	       

  IR	Middle Eocene    	Middle Eocene    	RP16              	RP16          	199	1217	A	  7	H	 4	  45.00	     55.6500	nannos   	Radiolarians                                 	C              	G                 	                     	+                        	                        	                 	                  	                	                	                        	                  	+                       	                     	+                 	+                      	                    	                    	                       	                   	+                  	                            	+                    	+                 	                       	+                   	                             	                  	+                    	                         	                   	                   	                 	                  	                   	                       	                   	                  	       

  IR	Middle Eocene    	Middle Eocene    	RP16              	RP16          	199	1217	A	  7	H	 6	 134.00	     59.5400	nannos   	Radiolarians                                 	C              	G                 	+                    	-                        	-                       	                 	+                 	                	                	+                       	                  	+                       	                     	+                 	+                      	                    	                    	+                      	                   	+                  	                            	                     	+                 	                       	-                   	+                            	-                 	                     	                         	                   	                   	                 	                  	                   	                       	                   	                  	       

  IR	Middle Eocene    	Middle Eocene    	RP15              	RP15          	199	1217	A	  9	H	 1	  46.00	     61.6600	nannos   	Radiolarians                                 	C              	VG                	+                    	                         	+                       	                 	+                 	                	                	+                       	                  	+                       	                     	+                 	+                      	                    	+                   	+                      	                   	+                  	                            	+                    	+                 	                       	                    	                             	                  	                     	                         	                   	                   	                 	                  	                   	                       	                   	                  	       

  IR	Middle Eocene    	Middle Eocene    	RP15              	RP15          	199	1217	A	  9	H	 3	  46.00	     63.5500	nannos   	Radiolarians                                 	C              	G                 	+                    	+                        	+                       	                 	                  	                	                	+                       	                  	+                       	                     	+                 	+                      	                    	                    	+                      	                   	+                  	                            	                     	+                 	+                      	                    	                             	                  	                     	                         	                   	                   	                 	                  	                   	                       	                   	                  	       

  IR	Middle Eocene    	Middle Eocene    	RP15              	RP15          	199	1217	A	  9	H	CC	   9.00	     68.3100	nannos   	Radiolarians                                 	C              	G                 	+                    	+                        	                        	                 	+                 	+               	                	+                       	                  	+                       	                     	+                 	+                      	+                   	+                   	+                      	                   	+                  	                            	                     	+                 	                       	                    	                             	                  	                     	                         	                   	                   	                 	                  	                   	                       	                   	                  	       

  IR	Middle Eocene    	Middle Eocene    	RP14              	RP14          	199	1217	A	 10	H	 2	  45.00	     72.6500	nannos   	Radiolarians                                 	C              	G                 	+                    	+                        	+                       	                 	                  	+               	                	                        	                  	+                       	                     	+                 	+                      	                    	+                   	+                      	                   	+                  	                            	                     	                  	                       	                    	                             	                  	                     	                         	                   	                   	                 	                  	                   	                       	                   	                  	       

  IR	Middle Eocene    	Middle Eocene    	RP14              	RP14          	199	1217	A	 10	H	 3	  45.00	     74.1500	nannos   	Radiolarians                                 	C              	G                 	                     	                         	+                       	                 	+                 	+               	                	                        	                  	                        	                     	+                 	+                      	                    	+                   	+                      	                   	+                  	                            	+                    	                  	                       	                    	                             	                  	                     	                         	                   	                   	                 	                  	                   	                       	                   	                  	       

  IR	Middle Eocene    	Middle Eocene    	RP14              	RP14          	199	1217	A	 10	H	CC	  17.00	     76.3900	nannos   	Radiolarians                                 	C              	G                 	                     	                         	+                       	                 	+                 	+               	+               	+                       	                  	+                       	                     	+                 	+                      	                    	                    	+                      	                   	+                  	                            	+                    	                  	                       	                    	                             	                  	                     	                         	                   	                   	                 	                  	                   	                       	                   	                  	       

  IR	Middle Eocene    	Middle Eocene    	RP14              	RP14          	199	1217	A	 11	H	 4	  46.00	     85.1600	nannos   	Radiolarians                                 	C              	G                 	+                    	                         	                        	+                	                  	+               	                	+                       	+                 	+                       	                     	                  	+                      	+                   	                    	                       	                   	+                  	+                           	                     	                  	                       	                    	                             	                  	                     	                         	                   	                   	                 	                  	                   	                       	                   	                  	       

  IR	Middle Eocene    	Middle Eocene    	RP14              	RP14          	199	1217	A	 11	H	 6	  46.00	     88.1600	nannos   	Radiolarians                                 	C              	G                 	+                    	+                        	                        	+                	                  	                	-               	+                       	                  	                        	                     	                  	+                      	+                   	                    	+                      	+                  	+                  	                            	                     	                  	                       	                    	                             	                  	                     	                         	                   	                   	                 	                  	                   	                       	                   	                  	       

  IR	Middle Eocene    	Middle Eocene    	RP14              	RP14          	199	1217	A	 11	H	CC	  26.00	     90.2000	nannos   	Radiolarians                                 	C              	G                 	+                    	+                        	-                       	+                	+                 	+               	-               	+                       	+                 	+                       	+                    	+                 	                       	                    	                    	                       	                   	                   	                            	                     	                  	                       	                    	                             	                  	                     	                         	                   	                   	                 	                  	                   	                       	                   	                  	       

  IR	Middle Eocene    	Middle Eocene    	RP14              	RP14          	199	1217	A	 12	H	 1	   0.00	     89.7000	nannos   	Radiolarians                                 	C              	G                 	                     	+                        	+                       	+                	                  	                	                	+                       	+                 	+                       	                     	+                 	+                      	+                   	+                   	+                      	                   	                   	                            	                     	                  	                       	                    	                             	                  	                     	                         	                   	                   	                 	                  	                   	                       	                   	                  	       

