Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Helicosphaera sellii,Helicosphaera carteri,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Ceratolithus spp.,Discoaster triradiatus,Coccolithus pelagicus,Calcidiscus macintyrei (>11 um),Calcidiscus leptoporus,Discoaster brouweri,Gephyrocapsa oceanica s.l.,Gephyrocapsa large,Gephyrocapsa (small),Reticulofenestra pseudoumbilicus,Gephyrocapsa sp. 3,Cyclicargolithus floridanus,Calcidiscus premacintyrei,Emiliania huxleyi,Comment
  IR,                 ,                 ,CN14a             ,              ,167,1013,A,  6,H,CC,  75.00,     52.9900,Fornaciari,Nannofossils                                 ,A              ,G                 ,+                       ,                    ,+                    ,                  ,                   ,                        ,                 ,                      ,                     ,                               ,R                     ,                   ,+                         ,                  ,D                   ,+                               ,R/F               ,                           ,                         ,                 ,few reworked taxa.from IR.Ch 7.Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1013,A,  7,H,CC,  21.00,     62.5300,Fornaciari,Nannofossils                                 ,A              ,G                 ,C                       ,                    ,                     ,                  ,                   ,                        ,                 ,                      ,                     ,                               ,F                     ,                   ,                          ,                  ,A                   ,+                               ,                  ,                           ,                         ,                 ,questionable zonal assignment. few reworked taxa.from IR.Ch 7.Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1013,A,  8,H,CC,  23.00,     71.9900,Fornaciari,Nannofossils                                 ,A              ,M/G               ,C                       ,                    ,R                    ,                  ,                   ,                        ,                 ,                      ,C                    ,                               ,F                     ,                   ,                          ,                  ,A                   ,                                ,                  ,                           ,                         ,                 ,questionable zonal assignment. few reworked taxa.from IR.Ch 7.Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1013,A,  9,H,CC,  58.00,     82.0800,Fornaciari,Nannofossils                                 ,C              ,P/M               ,C                       ,R                   ,C                    ,                  ,                   ,                        ,                 ,                      ,                     ,                               ,C                     ,                   ,                          ,R/F               ,                    ,                                ,                  ,                           ,                         ,                 ,few to common reworked taxa.from IR. Ch 7. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13b             ,              ,167,1013,A, 10,H,CC,  30.00,     90.3800,Fornaciari,Nannofossils                                 ,R/F            ,P                 ,+                       ,                    ,                     ,                  ,                   ,                        ,                 ,                      ,                     ,                               ,R                     ,                   ,+                         ,                  ,                    ,                                ,                  ,                           ,                         ,                 ,from IR. Ch 7. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13a             ,              ,167,1013,A, 11,X,CC,  13.00,     94.7800,Fornaciari,Nannofossils                                 ,C              ,P                 ,+                       ,                    ,+                    ,                  ,                   ,                        ,                 ,                      ,                     ,C                              ,                      ,                   ,                          ,                  ,                    ,                                ,                  ,                           ,                         ,                 ,trace reworked taxa.from IR. Ch 7. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12d             ,              ,167,1013,A, 12,X,CC,  12.00,    102.8800,Fornaciari,Nannofossils                                 ,A              ,G                 ,                        ,                    ,                     ,                  ,                   ,                        ,                 ,                      ,C                    ,C                              ,                      ,R                  ,                          ,                  ,                    ,                                ,                  ,                           ,                         ,                 ,questionable zonal assignment. from IR. Ch 7. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12d             ,              ,167,1013,A, 13,X,CC,  23.00,    116.6500,Fornaciari,Nannofossils                                 ,A              ,G                 ,C                       ,                    ,                     ,                  ,                   ,                        ,                 ,                      ,R                    ,C                              ,+                     ,F                  ,                          ,                  ,                    ,                                ,                  ,                           ,                         ,                 ,from IR. Ch 7. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12b             ,CN12c         ,167,1013,A, 14,X,CC,  20.00,    126.9100,Fornaciari,Nannofossils                                 ,A              ,M/G               ,+                       ,                    ,                     ,                  ,F                  ,F                       ,                 ,                      ,                     ,C                              ,+                     ,F                  ,                          ,                  ,                    ,                                ,                  ,                           ,                         ,                 ,from IR. Ch 7. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12b             ,              ,167,1013,A, 15,X,CC,  16.00,    135.8400,Fornaciari,Nannofossils                                 ,A              ,G                 ,                        ,                    ,                     ,                  ,C                  ,C                       ,                 ,R                     ,+                    ,R                              ,R                     ,                   ,                          ,                  ,                    ,                                ,                  ,                           ,                         ,                 ,from IR. Ch 7. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,              ,167,1013,A, 16,X,CC,  56.00,    145.4300,Fornaciari,Nannofossils                                 ,A              ,G                 ,R                       ,R                   ,+                    ,+                 ,+                  ,+                       ,R                ,                      ,                     ,                               ,                      ,                   ,                          ,                  ,                    ,                                ,                  ,                           ,                         ,                 ,from IR. Ch 7. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
