Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra spp.	Coccolithus pelagicus	Umbilicosphaera jafari	Helicosphaera sp. cf H. paleocarteri	Helicosphaera sp.	Cyclicargolithus abisectus	Cyclicargolithus floridanus	Sphenolithus sp.	Reticulofenestra samodurovii	Reticulofenestra hesslandii	Discoaster sp. aff. D. deflandrei	Dictyococcites bisectus	Coccolithus miopelagicus	Sphenolithus sp. cf S. dissimilis	Reticulofenestra minutula	Reticulofenestra daviesii	Comment
  IR	                 	                 	                  	              	188	1165	C	 12	R	CC	  17.00	    778.3700	paleo    	Nannofossils                                 	F              	M                 	F                    	F                    	                      	                                    	                 	                          	                           	                	                            	F                          	                                 	                       	                        	                                 	+                        	R                        	       

  IR	                 	Early Miocene    	CN2               	CN1           	188	1165	C	 13	R	CC	   0.00	    783.1400	paleo    	Nannofossils                                 	C              	M                 	C                    	F                    	                      	                                    	                 	                          	R                          	R               	                            	F                          	                                 	                       	                        	                                 	+                        	                         	C. pelagicus floralis - Wei and Wise (1992) - lower Mio.

  IR	                 	                 	                  	              	188	1165	C	 14	R	CC	  20.00	    797.2000	paleo    	Nannofossils                                 	F              	M                 	F                    	R                    	                      	                                    	                 	                          	                           	                	                            	F                          	                                 	                       	                        	                                 	+                        	                         	       

  IR	                 	Early Miocene    	CN2               	CN1           	188	1165	C	 18	R	 3	  47.00	    829.5700	paleo    	Nannofossils                                 	C              	M                 	C                    	C                    	                      	                                    	                 	                          	R                          	R               	                            	                           	                                 	                       	R                       	R                                	                         	                         	R. scrippsae (not really big enough); overgrown R. daviesii?

  IR	                 	                 	                  	              	188	1165	C	 19	R	CC	   0.00	    845.4200	paleo    	Nannofossils                                 	F              	M                 	F                    	F                    	                      	                                    	                 	                          	                           	                	                            	                           	                                 	                       	                        	                                 	                         	                         	       

  IR	                 	                 	                  	              	188	1165	C	 22	R	 2	  67.00	    866.8700	paleo    	Nannofossils                                 	R              	P                 	                     	R                    	                      	                                    	                 	                          	                           	                	                            	                           	                                 	                       	                        	                                 	                         	                         	Carbonate laminae

  IR	                 	Early Miocene    	                  	CN1           	188	1165	C	 22	R	CC	   0.00	    874.3700	paleo    	Nannofossils                                 	F              	M                 	F                    	F                    	                      	                                    	                 	                          	                           	                	                            	                           	                                 	                       	R                       	                                 	                         	                         	       

  IR	                 	                 	                  	              	188	1165	C	 24	R	 4	  24.00	    888.6400	paleo    	Nannofossils                                 	               	                  	+                    	+                    	                      	                                    	                 	                          	+                          	+               	+                           	+                          	+                                	+                      	                        	                                 	                         	                         	       

  IR	                 	                 	                  	              	188	1165	C	 26	R	 3	  19.00	    906.3900	paleo    	Nannofossils                                 	R              	M                 	R                    	R                    	                      	                                    	                 	                          	                           	                	                            	                           	                                 	                       	                        	                                 	                         	                         	       

  IR	                 	                 	                  	              	188	1165	C	 26	R	 3	 107.00	    907.2700	paleo    	Nannofossils                                 	F              	M                 	F                    	R                    	                      	                                    	                 	                          	                           	                	                            	                           	                                 	                       	                        	                                 	                         	                         	R. haqii variety reticulofenestrid

  IR	                 	                 	                  	              	188	1165	C	 26	R	CC	   0.00	    907.3200	paleo    	Nannofossils                                 	R              	M                 	R                    	                     	                      	                                    	                 	                          	                           	                	                            	                           	                                 	                       	                        	                                 	                         	                         	       

  IR	                 	                 	                  	              	188	1165	C	 28	R	CC	  10.00	    930.6700	paleo    	Nannofossils                                 	R              	M                 	R                    	                     	                      	                                    	                 	                          	                           	                	                            	                           	                                 	                       	                        	                                 	                         	                         	       

  IR	                 	                 	                  	              	188	1165	C	 29	R	 1	  19.00	    931.8900	paleo    	Nannofossils                                 	F              	G                 	F                    	R                    	                      	                                    	                 	F                         	                           	                	                            	                           	                                 	                       	                        	                                 	                         	                         	       

  IR	                 	                 	                  	              	188	1165	C	 29	R	 3	  19.00	    934.8900	paleo    	Nannofossils                                 	F              	M                 	R                    	R                    	                      	                                    	                 	R                         	                           	                	                            	                           	                                 	                       	                        	                                 	                         	                         	       

  IR	                 	                 	                  	              	188	1165	C	 29	R	 7	  19.00	    940.8900	paleo    	Nannofossils                                 	R              	G                 	R                    	R                    	                      	                                    	                 	                          	                           	                	                            	                           	                                 	                       	                        	                                 	                         	                         	       

  IR	                 	                 	                  	              	188	1165	C	 29	R	CC	   6.00	    941.4200	paleo    	Nannofossils                                 	F              	G                 	F                    	R                    	                      	                                    	R                	R                         	                           	                	                            	                           	                                 	                       	                        	                                 	                         	                         	       

  IR	                 	                 	                  	              	188	1165	C	 30	R	 1	  19.00	    941.4900	paleo    	Nannofossils                                 	R              	M                 	R                    	                     	                      	                                    	                 	                          	                           	                	                            	                           	                                 	                       	                        	                                 	                         	                         	       

  IR	                 	                 	                  	              	188	1165	C	 30	R	 5	  19.00	    947.4900	paleo    	Nannofossils                                 	R              	M                 	R                    	R                    	                      	                                    	                 	R                         	                           	                	                            	                           	                                 	                       	                        	                                 	                         	                         	       

  IR	                 	                 	                  	              	188	1165	C	 30	R	CC	  20.00	    950.5000	paleo    	Nannofossils                                 	R              	M                 	R                    	                     	                      	                                    	                 	                          	                           	                	                            	                           	                                 	                       	                        	                                 	                         	                         	Carbonate-rich

  IR	                 	                 	                  	              	188	1165	C	 32	R	 1	  19.00	    960.7900	paleo    	Nannofossils                                 	R              	M                 	R                    	R                    	                      	                                    	                 	                          	R                          	                	                            	                           	                                 	                       	                        	                                 	                         	                         	       

  IR	                 	                 	                  	              	188	1165	C	 32	R	 3	  19.00	    963.7900	paleo    	Nannofossils                                 	R              	M                 	R                    	R                    	                      	                                    	                 	R                         	+                          	                	                            	                           	                                 	                       	                        	                                 	                         	                         	       

  IR	                 	                 	                  	              	188	1165	C	 33	R	 1	  19.00	    970.3900	paleo    	Nannofossils                                 	R              	M                 	R                    	                     	                      	                                    	                 	                          	                           	                	                            	                           	                                 	                       	                        	                                 	                         	                         	       

  IR	                 	                 	                  	              	188	1165	C	 35	R	 1	  19.00	    989.6900	paleo    	Nannofossils                                 	C              	G                 	C                    	F                    	R                     	R                                   	R                	R                         	                           	                	                            	                           	                                 	                       	                        	                                 	                         	                         	Fair assemblage: Where are the R. daviesii?

  IR	                 	                 	                  	              	188	1165	C	 35	R	 1	 106.00	    990.5600	paleo    	Nannofossils                                 	R              	M                 	R                    	R                    	                      	                                    	                 	                          	                           	                	                            	                           	                                 	                       	                        	                                 	                         	                         	       

  IR	                 	                 	                  	              	188	1165	C	 35	R	 3	  19.00	    992.6900	paleo    	Nannofossils                                 	R              	M                 	R                    	                     	                      	                                    	                 	                          	                           	                	                            	                           	                                 	                       	                        	                                 	                         	                         	       

