Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Distephanus speculum tenuis,Distephanus bioctonarius bioctonarius,Mesocena quadrangula,Distephanus bioctonarius heptagonus,Distephanus bioctonarius binonarius,Distephanus speculum f. octonarius,Distephanus bioctonarius decimarius,Comment
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. mess. aculeata ,              ,112, 681,A,  4,H,CC,  17.00,     33.6600,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                           ,9                                    ,                    ,                                   ,2                                  ,                                  ,2                                  ,distribution of D.s.tenuis (total Hole=13; total Leg=21); D.b.heptagonus (total Hole=7; total Leg=7); D.b.bioctonarius (total Hole=87; total Leg=159); D.b.binonarius (total Hole=11; total Leg=15); D.b.decimarius (total Hole=2; total Leg=2); D.s.s.octonarius (total Hole=5; total Leg=5); M. quadrangula (total Hole=16); from ODP Leg 112 SR Chapter 10 Table 5 p 167
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. mess. aculeata ,              ,112, 681,A,  5,H, 2,  26.00,     36.7600,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                           ,14                                   ,                    ,                                   ,1                                  ,                                  ,                                   ,distribution of D.s.tenuis (total Hole=13; total Leg=21); D.b.heptagonus (total Hole=7; total Leg=7); D.b.bioctonarius (total Hole=87; total Leg=159); D.b.binonarius (total Hole=11; total Leg=15); D.b.decimarius (total Hole=2; total Leg=2); D.s.s.octonarius (total Hole=5; total Leg=5); M. quadrangula (total Hole=16); from ODP Leg 112 SR Chapter 10 Table 5 p 167
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. mess. aculeata ,              ,112, 681,A,  5,H, 4, 118.00,     40.6800,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                           ,1                                    ,                    ,                                   ,1                                  ,5                                 ,                                   ,distribution of D.s.tenuis (total Hole=13; total Leg=21); D.b.heptagonus (total Hole=7; total Leg=7); D.b.bioctonarius (total Hole=87; total Leg=159); D.b.binonarius (total Hole=11; total Leg=15); D.b.decimarius (total Hole=2; total Leg=2); D.s.s.octonarius (total Hole=5; total Leg=5); M. quadrangula (total Hole=16); from ODP Leg 112 SR Chapter 10 Table 5 p 167
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,112, 681,A,  7,H, 1, 101.00,     55.0100,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                           ,                                     ,2                   ,                                   ,1                                  ,                                  ,                                   ,distribution of D.s.tenuis (total Hole=13; total Leg=21); D.b.heptagonus (total Hole=7; total Leg=7); D.b.bioctonarius (total Hole=87; total Leg=159); D.b.binonarius (total Hole=11; total Leg=15); D.b.decimarius (total Hole=2; total Leg=2); D.s.s.octonarius (total Hole=5; total Leg=5); M. quadrangula (total Hole=16); from ODP Leg 112 SR Chapter 10 Table 5 p 167
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,112, 681,A,  8,H, 1, 117.00,     64.6700,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                           ,                                     ,6                   ,                                   ,                                   ,                                  ,                                   ,distribution of D.s.tenuis (total Hole=13; total Leg=21); D.b.heptagonus (total Hole=7; total Leg=7); D.b.bioctonarius (total Hole=87; total Leg=159); D.b.binonarius (total Hole=11; total Leg=15); D.b.decimarius (total Hole=2; total Leg=2); D.s.s.octonarius (total Hole=5; total Leg=5); M. quadrangula (total Hole=16); from ODP Leg 112 SR Chapter 10 Table 5 p 167
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,112, 681,A,  9,H, 1,  60.00,     73.6000,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                           ,2                                    ,2                   ,                                   ,                                   ,                                  ,                                   ,distribution of D.s.tenuis (total Hole=13; total Leg=21); D.b.heptagonus (total Hole=7; total Leg=7); D.b.bioctonarius (total Hole=87; total Leg=159); D.b.binonarius (total Hole=11; total Leg=15); D.b.decimarius (total Hole=2; total Leg=2); D.s.s.octonarius (total Hole=5; total Leg=5); M. quadrangula (total Hole=16); from ODP Leg 112 SR Chapter 10 Table 5 p 167
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,112, 681,A,  9,H,CC,  15.00,     82.8000,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                           ,1                                    ,5                   ,                                   ,                                   ,                                  ,                                   ,distribution of D.s.tenuis (total Hole=13; total Leg=21); D.b.heptagonus (total Hole=7; total Leg=7); D.b.bioctonarius (total Hole=87; total Leg=159); D.b.binonarius (total Hole=11; total Leg=15); D.b.decimarius (total Hole=2; total Leg=2); D.s.s.octonarius (total Hole=5; total Leg=5); M. quadrangula (total Hole=16); from ODP Leg 112 SR Chapter 10 Table 5 p 167
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,112, 681,A, 10,H, 1,  27.00,     82.7700,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                           ,2                                    ,                    ,1                                  ,1                                  ,                                  ,                                   ,distribution of D.s.tenuis (total Hole=13; total Leg=21); D.b.heptagonus (total Hole=7; total Leg=7); D.b.bioctonarius (total Hole=87; total Leg=159); D.b.binonarius (total Hole=11; total Leg=15); D.b.decimarius (total Hole=2; total Leg=2); D.s.s.octonarius (total Hole=5; total Leg=5); M. quadrangula (total Hole=16); from ODP Leg 112 SR Chapter 10 Table 5 p 167
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,112, 681,A, 10,H,CC,   0.00,     88.1500,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                           ,3                                    ,1                   ,                                   ,                                   ,                                  ,                                   ,distribution of D.s.tenuis (total Hole=13; total Leg=21); D.b.heptagonus (total Hole=7; total Leg=7); D.b.bioctonarius (total Hole=87; total Leg=159); D.b.binonarius (total Hole=11; total Leg=15); D.b.decimarius (total Hole=2; total Leg=2); D.s.s.octonarius (total Hole=5; total Leg=5); M. quadrangula (total Hole=16); from ODP Leg 112 SR Chapter 10 Table 5 p 167
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Pliocene         ,D. m. stapedia    ,              ,112, 681,A, 11,H, 5, 120.00,     99.2000,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                           ,1                                    ,                    ,                                   ,                                   ,                                  ,                                   ,distribution of D.s.tenuis (total Hole=13; total Leg=21); D.b.heptagonus (total Hole=7; total Leg=7); D.b.bioctonarius (total Hole=87; total Leg=159); D.b.binonarius (total Hole=11; total Leg=15); D.b.decimarius (total Hole=2; total Leg=2); D.s.s.octonarius (total Hole=5; total Leg=5); M. quadrangula (total Hole=16); from ODP Leg 112 SR Chapter 10 Table 5 p 167
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Pliocene         ,D. m. stapedia    ,              ,112, 681,A, 12,H,CC,  20.00,    111.1400,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,3                          ,                                     ,                    ,                                   ,                                   ,                                  ,                                   ,distribution of D.s.tenuis (total Hole=13; total Leg=21); D.b.heptagonus (total Hole=7; total Leg=7); D.b.bioctonarius (total Hole=87; total Leg=159); D.b.binonarius (total Hole=11; total Leg=15); D.b.decimarius (total Hole=2; total Leg=2); D.s.s.octonarius (total Hole=5; total Leg=5); M. quadrangula (total Hole=16); from ODP Leg 112 SR Chapter 10 Table 5 p 167
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Pliocene         ,D. m. stapedia    ,              ,112, 681,A, 13,X,CC,  27.00,    115.2500,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,3                          ,3                                    ,                    ,                                   ,                                   ,                                  ,                                   ,distribution of D.s.tenuis (total Hole=13; total Leg=21); D.b.heptagonus (total Hole=7; total Leg=7); D.b.bioctonarius (total Hole=87; total Leg=159); D.b.binonarius (total Hole=11; total Leg=15); D.b.decimarius (total Hole=2; total Leg=2); D.s.s.octonarius (total Hole=5; total Leg=5); M. quadrangula (total Hole=16); from ODP Leg 112 SR Chapter 10 Table 5 p 167
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Pliocene         ,D. m. stapedia    ,              ,112, 681,A, 14,X,CC,  28.00,    125.0300,Martini  ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,7                          ,                                     ,                    ,                                   ,                                   ,                                  ,                                   ,distribution of D.s.tenuis (total Hole=13; total Leg=21); D.b.heptagonus (total Hole=7; total Leg=7); D.b.bioctonarius (total Hole=87; total Leg=159); D.b.binonarius (total Hole=11; total Leg=15); D.b.decimarius (total Hole=2; total Leg=2); D.s.s.octonarius (total Hole=5; total Leg=5); M. quadrangula (total Hole=16); from ODP Leg 112 SR Chapter 10 Table 5 p 167
,,,,,,,,,,,,,,,,,,,,,,,,
