Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis disjuncta	Paragloborotalia opima nana	Globorotalia praescitula	Globorotalia kugleri	Globorotalia birnageae	Globoquadrina dehiscens	Globoquadrina baroemoenensis	Globoquadrina altispira	Globigerinoides trilobus	Globigerinoides parawoodi	Globigerinoides bulloideus	Globigerinita glutinata	Globigerinella praesiphonifera	Globigerina woodi/G. apertura	Globigerina praebulloides	Globigerina druryi/G. nepenthes	Globigerina ciperoensis	Globigerina brazieri	Globigerina angustiumbilicata	Globigerina angulisuturalis	Catapsydrax parvulus	Catapsydrax dissimilis	Catapsydrax cf. stainforthi	Paragloborotalia mayeri	Globigerinoides subquadratus	Globigerinoides sicanus	Globigerinoides diminutus	Globorotalia peripheroronda	Globigerinoides obliquus	Praeorbulina glomerosa	Globorotalia archeomenardii	Orbulina spp.	Globorotalia peripheroacuta	Globorotalia praefohsi	Sphaeroidinellopsis seminulina	Globoquadrina tripartita/G. binaiensis	Sphaeroidinellopsis kochi	Globorotalia partimlabiata	Globorotalia lenguaensis	Pulleniatina primalis	Neogloboquadrina acostaensis/N. humerosa (sinistral)	Globorotalia plesiotumida	Globorotalia margaritae	Globigerinoides extremus	Globigerinoides conglobatus	Candeina nitida	Neogloboquadrina acostaensis/N. humerosa (dextral)	Globorotalia conoidea	Comment

  SR	Late Miocene     	                 	N. humerosa       	              	122	 762	B	 13	H	 1	  46.00	    109.3600	Zachariasse	Planktonic Foraminifers                      	               	                  	                             	                           	+                       	                    	                      	+                      	                            	+                      	+                       	                         	+                         	+                      	+                             	+                            	+                        	+                              	                       	                    	                             	                           	                    	                      	                           	                       	                            	                       	                         	                           	+                       	                      	                           	+            	                           	                      	+                             	                                      	                         	                          	                        	+                    	+                                                   	+                        	+                      	+                       	+                          	+              	+                                                 	                     	from ODP Leg 122 SR Chapter 39 Figure 2 p 667

  SR	Late Miocene     	                 	N. humerosa       	              	122	 762	B	 13	H	 2	  46.00	    110.8600	Zachariasse	Planktonic Foraminifers                      	               	                  	                             	                           	+                       	                    	                      	+                      	                            	+                      	+                       	                         	+                         	+                      	+                             	+                            	+                        	+                              	                       	                    	                             	                           	                    	                      	                           	                       	                            	                       	                         	                           	+                       	                      	                           	+            	                           	                      	+                             	                                      	                         	                          	                        	+                    	+                                                   	+                        	+                      	+                       	+                          	+              	                                                  	                     	from ODP Leg 122 SR Chapter 39 Figure 2 p 667

  SR	Middle Miocene   	                 	G. partimlabiata  	              	122	 762	B	 13	H	 3	  46.00	    112.3600	Zachariasse	Planktonic Foraminifers                      	               	                  	                             	                           	+                       	                    	                      	+                      	                            	+                      	+                       	                         	+                         	+                      	+                             	+                            	+                        	+                              	                       	                    	+                            	                           	+                   	                      	                           	                       	                            	                       	                         	                           	+                       	                      	                           	+            	                           	                      	+                             	                                      	+                        	+                         	+                       	                     	                                                    	                         	                       	                        	                           	               	                                                  	                     	from ODP Leg 122 SR Chapter 39 Figure 2 p 667

  SR	Middle Miocene   	                 	G. partimlabiata  	              	122	 762	B	 13	H	 4	  46.00	    113.8600	Zachariasse	Planktonic Foraminifers                      	               	                  	                             	                           	+                       	                    	                      	+                      	                            	+                      	+                       	                         	+                         	+                      	+                             	+                            	+                        	+                              	                       	                    	+                            	                           	+                   	                      	                           	                       	                            	                       	                         	                           	+                       	                      	                           	+            	                           	                      	+                             	                                      	+                        	+                         	+                       	                     	                                                    	                         	                       	                        	                           	               	                                                  	                     	from ODP Leg 122 SR Chapter 39 Figure 2 p 667

  SR	Middle Miocene   	                 	G. partimlabiata  	              	122	 762	B	 13	H	 5	  46.00	    115.3600	Zachariasse	Planktonic Foraminifers                      	               	                  	                             	                           	+                       	                    	                      	+                      	                            	+                      	+                       	                         	+                         	+                      	+                             	+                            	+                        	+                              	                       	                    	+                            	                           	+                   	                      	                           	                       	                            	                       	                         	                           	+                       	                      	                           	+            	                           	                      	+                             	                                      	+                        	+                         	+                       	                     	                                                    	                         	                       	                        	                           	               	                                                  	                     	from ODP Leg 122 SR Chapter 39 Figure 2 p 667

  SR	Middle Miocene   	                 	G. partimlabiata  	              	122	 762	B	 13	H	 6	  46.00	    116.8600	Zachariasse	Planktonic Foraminifers                      	               	                  	                             	                           	+                       	                    	                      	+                      	                            	+                      	+                       	                         	+                         	+                      	+                             	+                            	+                        	+                              	                       	                    	+                            	                           	+                   	                      	                           	                       	                            	                       	                         	                           	+                       	                      	                           	+            	                           	                      	+                             	                                      	+                        	+                         	+                       	                     	                                                    	                         	                       	                        	                           	               	                                                  	                     	from ODP Leg 122 SR Chapter 39 Figure 2 p 667

  SR	Middle Miocene   	                 	G. partimlabiata  	              	122	 762	B	 14	H	 1	  48.00	    118.8800	Zachariasse	Planktonic Foraminifers                      	               	                  	                             	                           	+                       	                    	                      	+                      	                            	+                      	+                       	                         	+                         	+                      	+                             	+                            	+                        	+                              	                       	                    	+                            	                           	+                   	                      	                           	                       	                            	                       	                         	                           	+                       	                      	                           	+            	                           	                      	+                             	                                      	+                        	+                         	                        	                     	                                                    	                         	                       	                        	                           	               	                                                  	                     	from ODP Leg 122 SR Chapter 39 Figure 2 p 667

  SR	Middle Miocene   	                 	P. mayeri         	              	122	 762	B	 14	H	 2	  48.00	    120.3800	Zachariasse	Planktonic Foraminifers                      	               	                  	                             	                           	+                       	                    	                      	+                      	                            	+                      	+                       	                         	+                         	+                      	+                             	+                            	+                        	+                              	                       	                    	+                            	                           	+                   	                      	                           	+                      	                            	                       	                         	                           	+                       	                      	                           	+            	                           	                      	+                             	                                      	+                        	                          	                        	                     	                                                    	                         	                       	                        	                           	               	                                                  	                     	from ODP Leg 122 SR Chapter 39 Figure 2 p 667

  SR	Middle Miocene   	                 	G. subquadrata    	              	122	 762	B	 14	H	 3	  48.00	    121.8800	Zachariasse	Planktonic Foraminifers                      	               	                  	                             	                           	+                       	                    	                      	+                      	                            	+                      	+                       	                         	+                         	+                      	+                             	+                            	+                        	+                              	                       	                    	+                            	                           	+                   	                      	                           	+                      	+                           	                       	                         	                           	+                       	                      	                           	+            	                           	                      	+                             	                                      	+                        	                          	                        	                     	                                                    	                         	                       	                        	                           	               	                                                  	                     	from ODP Leg 122 SR Chapter 39 Figure 2 p 667

  SR	Middle Miocene   	                 	G. fohsi          	              	122	 762	B	 14	H	 4	  48.00	    123.3800	Zachariasse	Planktonic Foraminifers                      	               	                  	+                            	                           	+                       	                    	                      	+                      	                            	+                      	+                       	                         	+                         	+                      	+                             	+                            	+                        	+                              	                       	                    	+                            	                           	+                   	                      	                           	+                      	+                           	                       	                         	                           	+                       	                      	                           	+            	                           	                      	+                             	+                                     	                         	                          	                        	                     	                                                    	                         	                       	                        	                           	               	                                                  	                     	from ODP Leg 122 SR Chapter 39 Figure 2 p 667

  SR	Middle Miocene   	                 	G. praefohsi      	              	122	 762	B	 14	H	 5	  48.00	    124.8800	Zachariasse	Planktonic Foraminifers                      	               	                  	+                            	                           	+                       	                    	                      	+                      	                            	+                      	+                       	                         	+                         	+                      	+                             	+                            	+                        	+                              	                       	                    	+                            	                           	+                   	                      	                           	+                      	+                           	                       	                         	+                          	+                       	                      	                           	+            	+                          	+                     	                              	                                      	                         	                          	                        	                     	                                                    	                         	                       	                        	                           	               	                                                  	                     	from ODP Leg 122 SR Chapter 39 Figure 2 p 667

  SR	Middle Miocene   	                 	G. peripheroronda 	              	122	 762	B	 14	H	 6	  48.00	    126.3800	Zachariasse	Planktonic Foraminifers                      	               	                  	+                            	                           	+                       	                    	                      	+                      	                            	+                      	+                       	                         	+                         	+                      	+                             	+                            	+                        	+                              	                       	                    	+                            	                           	+                   	                      	                           	+                      	+                           	                       	                         	+                          	+                       	                      	                           	+            	+                          	                      	                              	                                      	                         	                          	                        	                     	                                                    	                         	                       	                        	                           	               	                                                  	                     	from ODP Leg 122 SR Chapter 39 Figure 2 p 667

  SR	Middle Miocene   	                 	P. glomerosa      	              	122	 762	B	 15	H	 1	  40.00	    128.3000	Zachariasse	Planktonic Foraminifers                      	               	                  	+                            	                           	+                       	r                   	                      	+                      	                            	+                      	+                       	                         	+                         	+                      	+                             	+                            	+                        	+                              	r                      	                    	+                            	r                          	+                   	                      	                           	+                      	+                           	+                      	+                        	+                          	+                       	+                     	+                          	             	                           	                      	                              	                                      	                         	                          	                        	                     	                                                    	                         	                       	                        	                           	               	                                                  	                     	reworked Eocene taxa; from ODP Leg 122 SR Chapter 39 Figure 2 p 667

  SR	Early Miocene    	                 	G. insueta        	              	122	 762	B	 15	H	 2	  40.00	    129.8000	Zachariasse	Planktonic Foraminifers                      	               	                  	+                            	+                          	+                       	r                   	+                     	+                      	                            	+                      	+                       	                         	+                         	+                      	+                             	+                            	+                        	+                              	r                      	                    	+                            	r                          	+                   	                      	                           	+                      	+                           	+                      	+                        	+                          	+                       	                      	                           	             	                           	                      	                              	                                      	                         	                          	                        	                     	                                                    	                         	                       	                        	                           	               	                                                  	                     	reworked Eocene taxa; from ODP Leg 122 SR Chapter 39 Figure 2 p 667

  SR	Early Miocene    	                 	G. insueta        	              	122	 762	B	 15	H	 3	  40.00	    131.3000	Zachariasse	Planktonic Foraminifers                      	               	                  	+                            	+                          	+                       	r                   	+                     	+                      	                            	+                      	+                       	                         	+                         	+                      	+                             	+                            	+                        	+                              	r                      	                    	+                            	r                          	+                   	                      	                           	+                      	+                           	+                      	+                        	                           	                        	                      	                           	             	                           	                      	                              	                                      	                         	                          	                        	                     	                                                    	                         	                       	                        	                           	               	                                                  	                     	reworked Eocene taxa; from ODP Leg 122 SR Chapter 39 Figure 2 p 667

  SR	Early Miocene    	                 	G. insueta        	              	122	 762	B	 15	H	 4	  40.00	    132.8000	Zachariasse	Planktonic Foraminifers                      	               	                  	+                            	+                          	+                       	r                   	+                     	+                      	                            	+                      	+                       	+                        	+                         	+                      	+                             	+                            	+                        	+                              	r                      	+                   	+                            	r                          	+                   	                      	                           	+                      	+                           	                       	                         	                           	                        	                      	                           	             	                           	                      	                              	                                      	                         	                          	                        	                     	                                                    	                         	                       	                        	                           	               	                                                  	                     	reworked Eocene taxa; from ODP Leg 122 SR Chapter 39 Figure 2 p 667

  SR	Early Miocene    	                 	G. insueta        	              	122	 762	B	 15	H	 5	  40.00	    134.3000	Zachariasse	Planktonic Foraminifers                      	               	                  	+                            	+                          	+                       	r                   	+                     	+                      	+                           	+                      	+                       	+                        	+                         	+                      	+                             	+                            	+                        	+                              	r                      	+                   	+                            	r                          	+                   	                      	                           	+                      	+                           	                       	                         	                           	                        	                      	                           	             	                           	                      	                              	                                      	                         	                          	                        	                     	                                                    	                         	                       	                        	                           	               	                                                  	                     	reworked Eocene taxa; from ODP Leg 122 SR Chapter 39 Figure 2 p 667

  SR	Early Miocene    	                 	C. stainforthi    	              	122	 762	B	 15	H	 6	  40.00	    135.8000	Zachariasse	Planktonic Foraminifers                      	               	                  	+                            	+                          	+                       	r                   	+                     	+                      	+                           	+                      	+                       	+                        	+                         	+                      	+                             	+                            	+                        	+                              	r                      	+                   	+                            	r                          	+                   	+                     	+                          	                       	                            	                       	                         	                           	                        	                      	                           	             	                           	                      	                              	                                      	                         	                          	                        	                     	                                                    	                         	                       	                        	                           	               	                                                  	                     	reworked Eocene taxa; from ODP Leg 122 SR Chapter 39 Figure 2 p 667

