Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella simplex	Hedbergella planispira	Hedbergella delrioensis	Morozovella spinulosa	Globigerinoides higginsi	Acarinina spp.	Acarinina bullbrooki	Truncorotaloides rohri	Globorotaloides spp.	Globorotalia cerroazulensis frontosa	Globigerina hagni	Catapsydrax spp.	Acarinina pentacamerata	Acarinina broedermanni	Morozovella aragonensis	Globigerinatheka index	Acarinina pseudotopilensis	Globigerina senni	Morozovella spp.	Pseudohastigerina micra	Globorotaloides suteri	Globigerina linaperta	Globigerina ouachitaensis	Globigerina eocaena	Truncorotaloides topilensis	Globorotalia opima nana	Globorotalia cerroazulensis	Catapsydrax dissimilis	Globigerina tripartita	Globigerina praebulloides	Globigerina ampliapertura	Globigerina spp.	Globorotalia cerroazulensis cerroazulensis	Globigerina yeguaensis	Hantkenina spp.	Globoquadrina venezuelana	Globigerina cryptomphala	Marginotruncana spp.	Globorotalia increbescens	Globorotalia cocoaensis/cunialensis transition	Catapsydrax unicavus	Globigerina ciperoensis ciperoensis	Globigerina ciperoensis angustiumbilicata	Globigerina ciperoensis	Globigerina sellii	Globorotalia opima opima	Globorotalia opima nana/opima opima transition	Globorotalia obesa	Globoquadrina globularis	Globorotalia siakensis	Globigerina ciperoensis angulisuturalis	Globorotalia mayeri	Globoquadrina spp.	Globorotalia opima nana/continuosa transition	Globigerina binaiensis	Globorotalia fohsi peripheroronda	Globigerina gortanii	Globigerinoides primordius	Globoquadrina altispira altispira	Hastigerina praesiphonifera	Globorotalia praescitula	Globoquadrina dehiscens dehiscens	Globigerinoides trilobus/immaturus	Globigerinoides subquadratus	Globigerinita naparimaensis	Globigerina woodi woodi	Catapsydrax stainforthi	Globigerinoides spp.	Praeorbulina transitoria	Globorotalia miozea/conoidea	Globigerina bulloides	Orbulina universa	Orbulina suturalis	Neogloboquadrina pachyderma	Neogloboquadrina acostaensis	Globorotalia tumida	Globorotalia merotumida	Sphaeroidinellopsis seminulina	Globorotalia crassaformis ronda	Globorotalia puncticulata	Globorotalia crassaformis crassaformis	Orbulina bilobata	Globigerina falconensis	Sphaeroidinellopsis paenedehiscens	Hastigerina siphonifera	Globorotalia scitula	Globorotalia crassaformis	Globorotalia cf. Gr. hirsuta	Globigerinoides ruber (white)	Globigerinoides elongatus/obliquus extremus	Globigerinoides conglobatus	Globigerina decoraperta	Sphaeroidinella dehiscens	Neogloboquadrina dutertrei	Globigerinoides obliquus obliquus	Beella praedigitata	Globorotalia triangula	Globorotalia inflata	Neogloboquadrina atlantica	Globorotalia truncatulinoides	Globorotalia tosaensis	Hastigerina aequilateralis	Globigerina megastoma cariacoensis	Neogloboquadrina humerosa	Beella digitata	Pulleniatina obliquiloculata	Pulleniatina finalis	Globorotalia crassaformis hessi	Pulleniatina primalis	Rotalipora spp.	Comment

  SR	Late Pliocene    	Holocene         	N22               	N23           	149	 897	C	  5	R	 2	  60.00	     91.0000	Gervais  	Planktonic Foraminifers                      	C              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	F                    	                 	                  	R                          	R                           	                   	                       	                              	R                              	                         	R                                     	                 	                       	                                  	                       	                    	F                        	                            	R                            	                                           	                           	                       	                         	                          	                                 	R                  	F                     	C                   	                          	                             	                      	?                         	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Late Pliocene    	Holocene         	N22               	N23           	149	 897	C	  7	R	 1	 103.00	    109.2300	Gervais  	Planktonic Foraminifers                      	F              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	R                    	R                	R                 	F                          	R                           	                   	                       	                              	R                              	                         	R                                     	                 	R                      	                                  	                       	                    	                         	                            	R                            	                                           	                           	                       	                         	?                         	                                 	                   	R                     	R                   	                          	                             	                      	R                         	R                                 	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Late Pliocene    	Holocene         	N22               	N23           	149	 897	C	  8	R	 3	  60.00	    121.5000	Gervais  	Planktonic Foraminifers                      	A              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	F                    	R                	                  	C                          	F                           	                   	                       	                              	R                              	                         	                                      	                 	                       	                                  	R                      	                    	R                        	                            	C                            	F                                          	R                          	                       	                         	                          	R                                	                   	C                     	C                   	                          	F                            	                      	R                         	                                  	R                        	               	F                           	R                   	R                              	R                    	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Late Pliocene    	Holocene         	N22               	N23           	149	 897	C	  9	R	 2	   4.00	    128.5700	Gervais  	Planktonic Foraminifers                      	C              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	F                          	                            	                   	                       	                              	F                              	                         	                                      	                 	                       	                                  	                       	                    	R                        	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	F                     	F                   	                          	                             	R                     	                          	                                  	                         	               	                            	                    	R                              	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Late Pliocene    	Holocene         	N22               	N23           	149	 897	C	 10	R	 1	 111.00	    138.3100	Gervais  	Planktonic Foraminifers                      	A              	G                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	C                    	C                	                  	C                          	F                           	                   	                       	                              	R                              	                         	F                                     	R                	R                      	                                  	C                      	F                   	F                        	                            	C                            	F                                          	                           	                       	                         	F                         	F                                	                   	C                     	C                   	                          	F                            	R                     	C                         	F                                 	F                        	               	R                           	R                   	R                              	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Late Pliocene    	Holocene         	N22               	N23           	149	 897	C	 11	R	 4	  89.00	    150.7100	Gervais  	Planktonic Foraminifers                      	A              	G                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	F                    	F                	R                 	C                          	F                           	                   	                       	                              	F                              	                         	F                                     	                 	                       	                                  	R                      	                    	R                        	                            	F                            	F                                          	R                          	                       	                         	                          	F                                	R                  	C                     	C                   	C                         	R                            	                      	R                         	                                  	                         	R              	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Late Pliocene    	Holocene         	N22               	N23           	149	 897	C	 12	R	 5	 140.00	    164.0000	Gervais  	Planktonic Foraminifers                      	A              	G                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	F                    	C                	F                 	F                          	F                           	                   	                       	                              	R                              	                         	F                                     	                 	                       	                                  	R                      	R                   	F                        	                            	C                            	F                                          	R                          	                       	                         	                          	F                                	R                  	C                     	C                   	F                         	F                            	?                     	F                         	F                                 	R                        	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Late Pliocene    	Holocene         	N22               	N23           	149	 897	C	 14	R	 2	  81.00	    178.1100	Gervais  	Planktonic Foraminifers                      	A              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	C                    	C                	F                 	F                          	R                           	                   	                       	                              	                               	                         	F                                     	                 	R                      	                                  	F                      	                    	R                        	                            	F                            	R                                          	?                          	                       	                         	                          	                                 	R                  	C                     	C                   	F                         	                             	                      	F                         	R                                 	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Late Pliocene    	Holocene         	N22               	N23           	149	 897	C	 15	R	 2	 116.00	    188.0600	Gervais  	Planktonic Foraminifers                      	A              	G                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	C                    	C                	F                 	F                          	F                           	                   	                       	                              	                               	                         	                                      	R                	R                      	                                  	F                      	                    	                         	                            	F                            	F                                          	F                          	                       	                         	                          	F                                	R                  	C                     	C                   	R                         	                             	                      	F                         	F                                 	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Late Pliocene    	Holocene         	N22               	N23           	149	 897	C	 16	R	 1	 104.00	    196.1400	Gervais  	Planktonic Foraminifers                      	C              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	F                	R                 	C                          	F                           	                   	                       	                              	F                              	                         	R                                     	                 	                       	                                  	                       	                    	R                        	                            	                             	                                           	                           	                       	                         	                          	                                 	R                  	                      	                    	R                         	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.
