Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys wolffii	Stichocorys delmontensis	Stichocorys armata	Siphostichartus corona	Lithopera renzae	Giraffospyris toxaria	Dorcadospyris alata	Cyrtocapsella cornuta	Carpocanopsis cristata	Calocycletta robusta	Botryostrobus miralestensis	Acrocubus octopylus	Lithopera thornburgi	Calocycletta caepa	Cyrtocapsella japonica	Diartus petterssoni	Stichocorys johnsoni	Diartus hughesi	Solenosphaera omnitubus omnitubus	Theocorythium vetulum	Stylatractus universus	Stichocorys peregrina	Spongaster tetras	Pterocanium prismatium	Phormostichoartus fistula	Phormostichoartus doliolum	Lychnodictyum audax	Lamprocyrtis heteroporos	Didymocyrtis penultima	Anthocyrtidium pliocenica	Anthocyrtidium jenghisi	Amphirhopalum ypsilon	Theocorythium trachelium trachelium	Theocalyptra davisiana	Pterocorys minythorax	Lamprocyrtis nigriniae	Lamprocyrtis neoheteroporos	Anthocyrtidium angulare	Collosphaera tuberosa	Comment
  SR	                 	                 	D. antepenultima RN7	              	138	 844	C	  5	H	CC	  22.00	     47.5200	Moore    	Radiolarians                                 	C/A            	M                 	                   	C                       	                  	R                     	                	                     	                   	                     	                      	                    	R                          	                   	                    	F                 	                      	R                  	R                   	C              	                                 	                     	                      	                     	                 	                      	                         	                          	                   	                        	                      	                         	                       	                     	                                   	                      	                     	                      	                           	                       	                     	Reworked older fauna = Trace; from Leg 138 SR; Chapter 11; Fig 1; p 192-194

  SR	                 	                 	D. petterssoni (RN6)	              	138	 844	C	  6	H	CC	  24.00	     57.1400	Moore    	Radiolarians                                 	A              	G                 	F                  	C                       	                  	-                     	                	                     	                   	                     	-                     	                    	R                          	                   	R                   	F                 	T                     	C                  	-                   	               	                                 	                     	                      	                     	                 	                      	                         	                          	                   	                        	                      	                         	                       	                     	                                   	                      	                     	                      	                           	                       	                     	Reworked older fauna = Few; from Leg 138 SR; Chapter 11; Fig 1; p 192-194

  SR	                 	                 	D. petterssoni (RN6)	              	138	 844	C	  7	H	CC	  27.00	     66.7000	Moore    	Radiolarians                                 	C/A            	M                 	F                  	C                       	                  	R                     	                	                     	                   	                     	-                     	                    	R                          	                   	R                   	F                 	F                     	C                  	                    	               	                                 	                     	                      	                     	                 	                      	                         	                          	                   	                        	                      	                         	                       	                     	                                   	                      	                     	                      	                           	                       	                     	from Leg 138 SR; Chapter 11; Fig 1; p 192-194

  SR	                 	                 	D. petterssoni (RN6)	              	138	 844	C	  8	H	CC	  32.00	     76.2700	Moore    	Radiolarians                                 	A              	G                 	F                  	C                       	                  	R                     	                	                     	                   	                     	R                     	                    	R                          	                   	R                   	F                 	F                     	F                  	                    	               	                                 	                     	                      	                     	                 	                      	                         	                          	                   	                        	                      	                         	                       	                     	                                   	                      	                     	                      	                           	                       	                     	Reworked older fauna = Trace; from Leg 138 SR; Chapter 11; Fig 1; p 192-194

  SR	                 	                 	D. petterssoni (RN6)	              	138	 844	C	  9	H	CC	  19.00	     85.7500	Moore    	Radiolarians                                 	A              	G                 	F                  	C                       	                  	R                     	                	                     	                   	                     	-                     	                    	R                          	                   	-                   	F                 	F                     	C                  	                    	               	                                 	                     	                      	                     	                 	                      	                         	                          	                   	                        	                      	                         	                       	                     	                                   	                      	                     	                      	                           	                       	                     	from Leg 138 SR; Chapter 11; Fig 1; p 192-194

  SR	                 	                 	D. petterssoni (RN6)	              	138	 844	C	 10	H	CC	  17.00	     94.8900	Moore    	Radiolarians                                 	A              	G                 	F                  	C                       	                  	R                     	                	                     	                   	                     	R                     	                    	R                          	                   	R                   	C                 	C                     	F                  	                    	               	                                 	                     	                      	                     	                 	                      	                         	                          	                   	                        	                      	                         	                       	                     	                                   	                      	                     	                      	                           	                       	                     	from Leg 138 SR; Chapter 11; Fig 1; p 192-194

  SR	                 	                 	D. alata (RN5)    	              	138	 844	C	 11	H	CC	  20.00	    104.6400	Moore    	Radiolarians                                 	A              	G                 	F                  	C                       	                  	R                     	R               	                     	R                  	C                    	R                     	                    	R                          	                   	-                   	C                 	R                     	                   	                    	               	                                 	                     	                      	                     	                 	                      	                         	                          	                   	                        	                      	                         	                       	                     	                                   	                      	                     	                      	                           	                       	                     	from Leg 138 SR; Chapter 11; Fig 1; p 192-194

  SR	                 	                 	D. alata (RN5)    	              	138	 844	C	 12	H	CC	  32.00	    114.1200	Moore    	Radiolarians                                 	A              	G                 	F                  	C                       	                  	-                     	R               	                     	R                  	C                    	-                     	                    	R                          	                   	R                   	C                 	R                     	                   	                    	               	                                 	                     	                      	                     	                 	                      	                         	                          	                   	                        	                      	                         	                       	                     	                                   	                      	                     	                      	                           	                       	                     	from Leg 138 SR; Chapter 11; Fig 1; p 192-194

  SR	                 	                 	D. alata (RN5)    	              	138	 844	C	 13	H	CC	  19.00	    123.6400	Moore    	Radiolarians                                 	A              	G                 	F                  	C                       	                  	R                     	R               	                     	-                  	C                    	R                     	-                   	R                          	                   	R                   	C                 	-                     	                   	                    	               	                                 	                     	                      	                     	                 	                      	                         	                          	                   	                        	                      	                         	                       	                     	                                   	                      	                     	                      	                           	                       	                     	from Leg 138 SR; Chapter 11; Fig 1; p 192-194

  SR	                 	                 	D. alata (RN5)    	              	138	 844	C	 15	H	CC	  21.00	    142.7700	Moore    	Radiolarians                                 	A              	G                 	F                  	C                       	                  	R                     	R               	                     	R                  	C                    	R                     	R                   	R                          	                   	-                   	C                 	                      	                   	                    	               	                                 	                     	                      	                     	                 	                      	                         	                          	                   	                        	                      	                         	                       	                     	                                   	                      	                     	                      	                           	                       	                     	from Leg 138 SR; Chapter 11; Fig 1; p 192-194

  SR	                 	                 	D. alata (RN5)    	              	138	 844	C	 17	H	CC	  10.00	    161.4700	Moore    	Radiolarians                                 	A              	G                 	F                  	C                       	                  	R                     	R               	R                    	R                  	C                    	-                     	F                   	R                          	                   	                    	                  	                      	                   	                    	               	                                 	                     	                      	                     	                 	                      	                         	                          	                   	                        	                      	                         	                       	                     	                                   	                      	                     	                      	                           	                       	                     	from Leg 138 SR; Chapter 11; Fig 1; p 192-194

  SR	                 	                 	D. alata (RN5)    	              	138	 844	C	 18	H	CC	  24.00	    171.1600	Moore    	Radiolarians                                 	A              	G                 	F                  	F                       	F                 	R                     	R               	-                    	R                  	C                    	-                     	C                   	R                          	                   	                    	                  	                      	                   	                    	               	                                 	                     	                      	                     	                 	                      	                         	                          	                   	                        	                      	                         	                       	                     	                                   	                      	                     	                      	                           	                       	                     	from Leg 138 SR; Chapter 11; Fig 1; p 192-194

  SR	                 	                 	D. alata (RN5)    	              	138	 844	C	 19	H	CC	  28.00	    180.7700	Moore    	Radiolarians                                 	A              	G                 	F                  	F                       	C                 	R                     	R               	-                    	R                  	C                    	-                     	C                   	R                          	-                  	                    	                  	                      	                   	                    	               	                                 	                     	                      	                     	                 	                      	                         	                          	                   	                        	                      	                         	                       	                     	                                   	                      	                     	                      	                           	                       	                     	from Leg 138 SR; Chapter 11; Fig 1; p 192-194

