Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Helicosphaera recta	Helicosphaera obliqua	Helicosphaera intermedia	Discoaster trinidadensis	Dictyococcites bisectus	Cyclicargolithus floridanus	Coronocyclus nitescens	Coccolithus pelagicus	Coccolithus miopelagicus	Coccolithus eopelagicus	Chiasmolithus altus	Braarudosphaera bigelowii	Sphenolithus moriformis	Sphenolithus ciperoensis	Discoaster deflandrei	Dictyococcites scrippsae	Cyclicargolithus abisectus	Umbilicosphaera sibogae	Syracosphaera pulchra	Scyphosphaera spp.	Helicosphaera kamptneri	Discoaster variabilis	Discoaster quinqueramus	Discoaster ono	Discoaster moorei	Discoaster intercalaris	Discoaster brouweri	Calcidiscus macintyrei	Sphenolithus abies	Calcidiscus leptoporus	Reticulofenestra pseudoumbilicus	Cycloperfolithus carlae	Sphenolithus verensis	Rhabdosphaera stylifera	Amaurolithus primus	Amaurolithus delicatus	Discoaster asymmetricus	Sphenolithus neoabies	Discoaster surculus	Discoaster braarudii	Amaurolithus tricorniculatus	Rhabdosphaera clavigera	Reticulofenestra minuta	Helicosphaera sellii	Discoaster pentaradiatus	Small Gephyrocapsa spp.	Reticulofenestra minutula	Helicosphaera carteri	Dictyococcites antarcticus	Amaurolithus ninae	Pseudoemiliania lacunosa	Pontosphaera japonica	Dictyococcites productus	Gephyrocapsa aperta	Reticulofenestra haqii	Gephyrocapsa caribbeanica	Gephyrocapsa oceanica	Helicosphaera hyalina	Oolithotus fragilis	Scapholithus fossilis	Emiliania huxleyi	Comment

  IR	                 	Quaternary       	NN20              	NN21          	182	1130	A	  5	H	CC	   9.00	     46.9600	Ladner   	Nannofossils                                 	A              	G                 	                       	                   	                     	                        	                        	                       	                           	                      	                     	                        	                       	                   	R                        	                       	                        	                     	                        	                          	C                      	                     	R                 	F                      	                     	                       	              	                 	                       	                   	                      	                  	F                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	F                      	                       	                    	                        	                       	A                        	                     	                          	                  	                        	                     	                        	C                  	                      	C                        	                     	                     	R                  	R                    	                 	       

  IR	                 	Quaternary       	NN20              	NN21          	182	1130	A	  6	H	CC	   0.00	     55.9500	Ladner   	Nannofossils                                 	A              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	                     	                        	                       	                   	                         	                       	                        	                     	                        	                          	                       	F                    	                  	F                      	                     	                       	              	                 	                       	                   	                      	                  	F                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	F                      	                       	                    	                        	                       	C                        	                     	                          	                  	                        	                     	                        	C                  	                      	F                        	                     	                     	                   	                     	                 	       

  IR	                 	Quaternary       	NN20              	NN21          	182	1130	A	  7	H	CC	  18.00	     65.4200	Ladner   	Nannofossils                                 	A              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	R                    	                        	                       	                   	R                        	                       	                        	                     	                        	                          	F                      	F                    	                  	C                      	                     	                       	              	                 	                       	                   	                      	                  	                      	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	                       	                       	                    	                        	                       	C                        	                     	                          	                  	                        	                     	C                       	A                  	                      	C                        	                     	                     	F                  	                     	                 	       

  IR	                 	Quaternary       	NN20              	NN21          	182	1130	A	  8	H	CC	   9.00	     74.3700	Ladner   	Nannofossils                                 	A              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	F                    	                        	                       	                   	                         	                       	                        	                     	                        	                          	                       	F                    	                  	F                      	                     	                       	              	                 	                       	                   	                      	                  	F                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	R                      	                       	                    	                        	                       	F                        	                     	F                         	                  	                        	                     	                        	C                  	                      	C                        	                     	                     	F                  	                     	                 	       

  IR	                 	                 	NN20              	NN21          	182	1130	A	  9	H	CC	  20.00	     83.8700	Shafik   	Nannofossils                                 	C              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	                     	                        	                       	                   	F                        	                       	                        	                     	                        	                          	                       	                     	                  	                       	                     	                       	              	                 	                       	                   	                      	                  	F                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	                       	C                      	                    	                        	C                      	                         	F                    	                          	                  	                        	                     	C                       	C                  	                      	F                        	                     	F                    	                   	                     	                 	       

  IR	                 	                 	                  	              	182	1130	A	 10	H	CC	  19.00	     93.5700	Shafik   	Nannofossils                                 	C              	G                 	                       	                   	                     	                        	                        	                       	                           	                      	F                    	                        	                       	                   	F                        	                       	                        	                     	                        	                          	                       	                     	                  	                       	                     	                       	              	                 	                       	                   	                      	                  	F                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	                       	R                      	                    	                        	C                      	                         	F                    	                          	                  	                        	                     	A                       	F                  	                      	F                        	                     	R                    	                   	                     	                 	       

  IR	                 	                 	                  	              	182	1130	A	 11	H	CC	  34.00	    103.3400	Shafik   	Nannofossils                                 	C              	G                 	                       	                   	                     	                        	                        	                       	                           	                      	F                    	                        	                       	                   	F                        	                       	                        	                     	                        	                          	                       	                     	                  	                       	                     	                       	              	                 	                       	                   	                      	                  	F                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	                       	A                      	                    	                        	A                      	                         	F                    	                          	                  	                        	                     	A                       	                   	                      	R                        	                     	F                    	                   	                     	                 	       

  IR	                 	                 	                  	              	182	1130	A	 12	H	CC	   5.00	    112.9300	Shafik   	Nannofossils                                 	C              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	F                    	                        	                       	                   	F                        	                       	                        	                     	                        	                          	                       	                     	R                 	                       	                     	                       	              	                 	                       	                   	                      	                  	F                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	                       	A                      	                    	                        	A                      	                         	F                    	                          	                  	                        	R                    	A                       	                   	                      	                         	                     	                     	                   	                     	                 	       

  IR	                 	                 	                  	              	182	1130	A	 13	H	CC	  12.00	    122.5400	Shafik   	Nannofossils                                 	C              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	                     	                        	                       	                   	                         	                       	                        	                     	                        	                          	                       	                     	                  	                       	                     	                       	              	                 	                       	                   	                      	                  	F                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	R                      	                       	                    	                        	A                      	                         	F                    	                          	                  	                        	                     	A                       	                   	                      	                         	                     	F                    	                   	                     	                 	       

  IR	                 	                 	                  	              	182	1130	A	 14	H	CC	  17.00	    131.9100	Shafik   	Nannofossils                                 	C              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	                     	                        	                       	                   	F                        	                       	                        	                     	                        	                          	                       	                     	                  	                       	                     	                       	              	                 	                       	                   	                      	                  	                      	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	                       	A                      	                    	                        	D                      	                         	C                    	                          	                  	                        	                     	                        	                   	                      	                         	                     	                     	                   	                     	                 	       

  IR	                 	Quaternary       	NN19              	NN19          	182	1130	A	 15	H	CC	  22.00	    140.3200	Shafik   	Nannofossils                                 	C              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	C                    	                        	                       	                   	F                        	                       	                        	                     	                        	                          	                       	                     	R                 	                       	                     	                       	              	                 	                       	                   	R                     	                  	F                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	R                      	A                      	                    	                        	D                      	                         	F                    	                          	                  	R                       	                     	A                       	                   	                      	                         	                     	                     	                   	                     	                 	       

  IR	                 	                 	                  	              	182	1130	A	 16	H	CC	  35.00	    150.8800	Shafik   	Nannofossils                                 	C              	G                 	                       	                   	                     	                        	                        	                       	                           	                      	R                    	                        	                       	                   	F                        	                       	                        	                     	                        	                          	                       	                     	F                 	                       	                     	                       	              	                 	                       	                   	                      	                  	C                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	R                      	C                      	R                   	                        	D                      	                         	F                    	                          	                  	R                       	R                    	A                       	                   	                      	                         	                     	                     	                   	                     	                 	       

  IR	                 	                 	                  	              	182	1130	A	 17	H	CC	  18.00	    160.8000	Shafik   	Nannofossils                                 	C              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	R                    	                        	                       	                   	F                        	                       	                        	                     	                        	                          	                       	                     	                  	                       	                     	                       	              	                 	                       	                   	R                     	                  	R                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	R                      	                       	                    	                        	D                      	                         	C                    	                          	                  	R                       	                     	A                       	                   	                      	                         	                     	                     	                   	                     	                 	       

  IR	                 	                 	                  	              	182	1130	A	 18	H	CC	  16.00	    170.3800	Shafik   	Nannofossils                                 	C              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	F                    	                        	                       	                   	R                        	                       	                        	                     	                        	                          	                       	                     	                  	                       	                     	                       	              	                 	                       	                   	R                     	                  	F                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	R                      	                       	                    	                        	D                      	                         	F                    	                          	                  	                        	R                    	A                       	                   	                      	                         	R                    	                     	                   	                     	                 	       

  IR	                 	                 	                  	              	182	1130	A	 19	X	CC	  31.00	    179.7000	Shafik   	Nannofossils                                 	C              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	                     	                        	                       	                   	R                        	                       	                        	                     	                        	                          	                       	                     	                  	                       	                     	                       	              	                 	                       	                   	R                     	                  	C                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	R                      	                       	                    	                        	C                      	                         	F                    	                          	                  	F                       	F                    	                        	                   	                      	R                        	                     	                     	                   	                     	                 	       

  IR	                 	                 	                  	              	182	1130	A	 20	X	CC	  17.00	    184.5700	Shafik   	Nannofossils                                 	C              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	                     	                        	                       	                   	R                        	                       	                        	                     	                        	                          	                       	                     	                  	                       	                     	                       	              	                 	                       	                   	                      	                  	C                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	                       	F                      	                    	                        	A                      	                         	C                    	                          	                  	                        	R                    	                        	                   	                      	                         	                     	                     	                   	                     	                 	       

  IR	                 	                 	                  	              	182	1130	A	 21	X	CC	  34.00	    193.5100	Shafik   	Nannofossils                                 	C              	P                 	                       	                   	                     	                        	                        	                       	                           	                      	                     	                        	                       	                   	R                        	                       	                        	                     	                        	                          	                       	                     	                  	                       	                     	                       	              	                 	                       	                   	R                     	                  	C                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	                       	C                      	                    	                        	A                      	                         	F                    	                          	                  	R                       	                     	A                       	                   	                      	R                        	                     	                     	                   	                     	                 	       

  IR	                 	                 	                  	              	182	1130	A	 22	X	CC	  35.00	    205.8500	Shafik   	Nannofossils                                 	C              	P                 	                       	                   	                     	                        	                        	                       	                           	                      	                     	                        	                       	                   	                         	                       	                        	                     	                        	                          	                       	                     	                  	                       	                     	                       	              	                 	                       	                   	                      	                  	C                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	                       	C                      	                    	                        	C                      	                         	C                    	                          	                  	C                       	R                    	                        	                   	                      	                         	                     	                     	                   	                     	                 	       

  IR	                 	                 	                  	              	182	1130	A	 23	X	CC	  29.00	    215.9300	Shafik   	Nannofossils                                 	C              	P                 	                       	                   	                     	                        	                        	                       	                           	                      	                     	                        	                       	                   	R                        	                       	                        	                     	                        	                          	                       	                     	                  	                       	                     	                       	              	                 	                       	                   	R                     	                  	C                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	                       	C                      	                    	                        	                       	                         	                     	                          	                  	C                       	R                    	                        	                   	C                     	                         	                     	                     	                   	                     	                 	       

  IR	                 	Pleistocene      	                  	NN19          	182	1130	A	 24	X	CC	  17.00	    224.7000	Ladner   	Nannofossils                                 	A              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	                     	                        	                       	                   	                         	                       	                        	                     	                        	                          	                       	                     	                  	F                      	                     	                       	              	                 	                       	                   	                      	                  	C                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	                       	                       	                    	                        	                       	                         	                     	A                         	                  	F                       	                     	                        	A                  	                      	                         	                     	                     	                   	                     	                 	       

  IR	                 	Pleistocene      	                  	NN19          	182	1130	A	 25	X	CC	  24.00	    234.3400	Ladner   	Nannofossils                                 	A              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	R                    	                        	                       	                   	R                        	                       	                        	                     	                        	                          	                       	F                    	                  	R                      	                     	                       	              	                 	                       	                   	F                     	                  	C                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	R                      	                       	                    	                        	                       	                         	                     	C                         	                  	                        	                     	                        	C                  	                      	                         	                     	                     	                   	                     	                 	       

  IR	                 	Late Pliocene    	                  	NN18          	182	1130	A	 26	X	CC	  27.00	    240.5900	Ladner   	Nannofossils                                 	A              	P                 	                       	                   	                     	                        	                        	                       	                           	                      	F                    	                        	                       	                   	                         	                       	                        	                     	                        	                          	                       	F                    	                  	                       	                     	                       	              	                 	                       	R                  	R                     	                  	F                     	                                	                       	                     	F                      	                   	                      	                       	                     	                   	                    	                            	                       	                       	                    	                        	                       	C                        	                     	C                         	                  	                        	                     	                        	                   	                      	                         	                     	                     	                   	                     	                 	       

  IR	                 	Late Pliocene    	                  	NN18          	182	1130	A	 27	X	CC	  19.00	    254.2700	Ladner   	Nannofossils                                 	A              	P                 	                       	                   	                     	                        	                        	                       	                           	                      	C                    	                        	                       	                   	                         	                       	                        	                     	                        	                          	                       	F                    	R                 	                       	                     	                       	              	                 	                       	F                  	C                     	                  	                      	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	                       	                       	                    	                        	                       	                         	                     	C                         	                  	                        	                     	                        	                   	                      	                         	                     	                     	                   	                     	                 	       

  IR	                 	                 	                  	NN16          	182	1130	A	 28	X	 2	  58.00	    256.3800	Shafik   	Nannofossils                                 	C              	P                 	                       	                   	                     	                        	                        	                       	                           	                      	C                    	                        	                       	                   	C                        	                       	                        	                     	                        	                          	                       	                     	                  	                       	                     	                       	              	                 	                       	                   	C                     	                  	F                     	                                	                       	                     	                       	                   	                      	                       	                     	C                  	                    	                            	                       	A                      	                    	F                       	                       	                         	F                    	                          	                  	R                       	R                    	A                       	                   	                      	                         	                     	                     	                   	                     	                 	       

  IR	                 	                 	                  	              	182	1130	A	 28	X	 3	 124.00	    258.5400	Shafik   	Nannofossils                                 	C              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	C                    	                        	                       	                   	                         	                       	                        	                     	                        	                          	                       	                     	                  	                       	F                    	                       	              	                 	                       	F                  	C                     	C                 	C                     	A                               	                       	                     	                       	                   	                      	                       	C                    	F                  	                    	R                           	R                      	A                      	                    	F                       	C                      	C                        	F                    	C                         	R                 	                        	                     	                        	                   	                      	                         	                     	                     	                   	                     	                 	       

  IR	                 	Early Pliocene   	                  	NN15          	182	1130	A	 28	X	CC	  59.00	    263.2600	Ladner   	Nannofossils                                 	A              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	F                    	                        	                       	                   	                         	                       	                        	                     	                        	                          	                       	F                    	F                 	                       	                     	                       	              	                 	                       	F                  	C                     	F                 	C                     	C                               	                       	                     	                       	                   	                      	                       	                     	F                  	R                   	                            	F                      	C                      	R                   	F                       	                       	                         	                     	                          	                  	                        	                     	                        	                   	                      	                         	                     	                     	                   	                     	                 	       

  IR	                 	Early Pliocene   	NN14              	NN15          	182	1130	A	 29	X	CC	  36.00	    273.7100	Ladner   	Nannofossils                                 	A              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	C                    	                        	                       	                   	                         	                       	                        	                     	                        	                          	                       	C                    	F                 	C                      	F                    	                       	              	                 	                       	                   	C                     	                  	C                     	C                               	                       	                     	                       	                   	                      	                       	F                    	F                  	F                   	R                           	                       	                       	                    	                        	                       	                         	                     	                          	                  	                        	                     	                        	                   	                      	                         	                     	                     	                   	                     	                 	       

  IR	                 	Early Pliocene   	NN14              	NN15          	182	1130	A	 30	X	CC	  31.00	    282.8500	Ladner   	Nannofossils                                 	A              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	F                    	                        	                       	                   	                         	                       	                        	                     	                        	                          	                       	                     	                  	F                      	A                    	                       	              	                 	                       	                   	C                     	F                 	C                     	C                               	F                      	                     	                       	                   	F                     	F                      	                     	                   	                    	                            	                       	                       	                    	                        	                       	                         	                     	                          	                  	                        	                     	                        	                   	                      	                         	                     	                     	                   	                     	                 	       

  IR	Late Miocene     	Early Pliocene   	                  	NN12          	182	1130	A	 31	X	CC	  31.00	    292.7500	Ladner   	Nannofossils                                 	A              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	A                    	                        	                       	                   	                         	                       	                        	                     	                        	                          	C                      	F                    	                  	C                      	F                    	                       	              	                 	                       	                   	                      	F                 	A                     	F                               	C                      	F                    	F                      	F                  	F                     	                       	                     	                   	                    	                            	                       	                       	                    	                        	                       	                         	                     	                          	                  	                        	                     	                        	                   	                      	                         	                     	                     	                   	                     	                 	Cooler water? Not as many discoasters or warm water taxa.

  IR	                 	Late Miocene     	                  	NN11          	182	1130	A	 32	X	CC	  23.00	    302.4100	Ladner   	Nannofossils                                 	A              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	A                    	                        	                       	                   	                         	                       	                        	                     	                        	                          	                       	F                    	F                 	                       	A                    	R                      	              	F                	                       	F                  	C                     	                  	                      	C                               	F                      	                     	                       	                   	                      	                       	                     	                   	                    	                            	                       	                       	                    	                        	                       	                         	                     	                          	                  	                        	                     	                        	                   	                      	                         	                     	                     	                   	                     	                 	Some discoasters overgrown.

  IR	                 	Late Miocene     	                  	NN11          	182	1130	A	 33	X	CC	  29.00	    312.0700	Ladner   	Nannofossils                                 	A              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	A                    	                        	                       	                   	                         	                       	                        	                     	                        	                          	                       	F                    	F                 	F                      	C                    	R                      	F             	R                	F                      	R                  	                      	F                 	F                     	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	                       	                       	                    	                        	                       	                         	                     	                          	                  	                        	                     	                        	                   	                      	                         	                     	                     	                   	                     	                 	       

  IR	                 	Late Miocene     	                  	NN11          	182	1130	A	 34	X	CC	  36.00	    320.1200	Ladner   	Nannofossils                                 	A              	M                 	                       	                   	                     	                        	                        	                       	                           	                      	C                    	                        	                       	                   	                         	F                      	                        	                     	                        	                          	F                      	F                    	F                 	F                      	C                    	R                      	F             	R                	F                      	F                  	F                     	                  	                      	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	                       	                       	                    	                        	                       	                         	                     	                          	                  	                        	                     	                        	                   	                      	                         	                     	                     	                   	                     	                 	Abundant silicieous material; sponge spicules and diatoms

  IR	                 	Late Oligocene   	                  	NP25          	182	1130	A	 35	X	CC	  27.00	    328.8900	Ladner   	Nannofossils                                 	A              	P                 	                       	                   	                     	                        	                        	C                      	C                          	                      	                     	                        	                       	                   	                         	F                      	                        	                     	                        	C                         	                       	                     	                  	                       	                     	                       	              	                 	                       	                   	                      	                  	                      	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	                       	                       	                    	                        	                       	                         	                     	                          	                  	                        	                     	                        	                   	                      	                         	                     	                     	                   	                     	                 	Present are some very overgrown discoasters.

  IR	                 	Late Oligocene   	                  	NP25          	182	1130	A	 36	X	CC	   0.00	    331.3000	Ladner   	Nannofossils                                 	A              	M                 	                       	                   	                     	                        	                        	C                      	C                          	                      	F                    	                        	                       	                   	R                        	F                      	R                       	R                    	F                       	C                         	                       	                     	                  	                       	                     	                       	              	                 	                       	                   	                      	                  	                      	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	                       	                       	                    	                        	                       	                         	                     	                          	                  	                        	                     	                        	                   	                      	                         	                     	                     	                   	                     	                 	       

  IR	                 	                 	                  	              	182	1130	A	 37	X	CC	  21.00	    341.1100	Shafik   	Nannofossils                                 	F              	M                 	F                      	                   	                     	                        	                        	C                      	C                          	                      	                     	                        	                       	C                  	C                        	                       	                        	                     	                        	                          	                       	                     	                  	                       	                     	                       	              	                 	                       	                   	                      	                  	                      	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	                       	                       	                    	                        	                       	                         	                     	                          	                  	                        	                     	                        	                   	                      	                         	                     	                     	                   	                     	                 	       

  IR	                 	                 	                  	              	182	1130	A	 38	X	CC	  17.00	    351.3700	Shafik   	Nannofossils                                 	C              	G                 	C                      	F                  	F                    	F                       	F                       	A                      	C                          	R                     	C                    	R                       	R                      	C                  	C                        	                       	                        	                     	                        	                          	                       	                     	                  	                       	                     	                       	              	                 	                       	                   	                      	                  	                      	                                	                       	                     	                       	                   	                      	                       	                     	                   	                    	                            	                       	                       	                    	                        	                       	                         	                     	                          	                  	                        	                     	                        	                   	                      	                         	                     	                     	                   	                     	                 	       

