Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina incompta	Neogloboquadrina dutertrei	Neogloboquadrina blowi	Globigerinita glutinata	Globigerina bulloides	Neogloboquadrina pachyderma	Hastigerinopsis riedeli	Globigerinita uvula	Globigerinita iota	Globigerina falconensis	Globorotalia crassaformis crassaformis	Globigerina quinqueloba	Globorotalia obesa	Globigerina rubescens	Pulleniatina obliquiloculata	Globorotalia theyeri	Globorotalia pumilio	Globorotalia crassula crassula	Globorotalia crassula viola	Globigerina calida	Orbulina suturalis	Globorotalia scitula	Globoquadrina conglomerata	Globigerinoides elongatus	Orbulina universa	Globorotalia inflata	Neogloboquadrina eggeri	Globorotaloides hexagona	Globorotalia tumida	Globorotalia praepumilio	Globorotalia hirsuta	Globorotalia bermudezi	Globigerinoides trilobus	Globigerinoides tenellus	Globigerinoides sacculifer	Globigerinoides ruber	Globigerinoides immaturus	Globigerinella aequilateralis	Comment
  SR	                 	                 	                  	              	112	 687	A	  6	H	CC	   0.00	     55.0700	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	A                        	F                         	T                     	A                      	A                    	C                          	                       	T                  	                  	C                      	                                      	A                      	                  	T                    	T                           	T                   	T                   	F                             	                           	                  	                  	                    	                          	                         	                 	                    	                       	                        	                   	                        	                    	                      	                        	                        	                          	                     	                         	                             	from ODP Leg 112 SR Chapter 15 Table 9 p 254

  SR	                 	                 	                  	              	112	 687	A	  9	X	CC	   0.00	     74.0000	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	A                        	                          	                      	                       	                     	A                          	                       	                   	                  	                       	                                      	                       	                  	T                    	                            	                    	                    	                              	                           	                  	                  	                    	                          	                         	                 	                    	                       	                        	                   	                        	                    	                      	                        	                        	                          	                     	                         	                             	from ODP Leg 112 SR Chapter 15 Table 9 p 254

  SR	                 	                 	                  	              	112	 687	A	 10	X	CC	  25.00	     83.7500	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	A                        	                          	C                     	T                      	A                    	C                          	                       	                   	                  	                       	                                      	                       	                  	                     	                            	                    	                    	                              	                           	                  	                  	                    	                          	                         	                 	                    	                       	                        	                   	                        	                    	                      	                        	                        	                          	                     	                         	                             	from ODP Leg 112 SR Chapter 15 Table 9 p 254

  SR	                 	                 	                  	              	112	 687	A	 11	X	CC	  23.00	     93.2300	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	A                        	                          	                      	A                      	                     	A                          	                       	                   	                  	                       	T                                     	                       	                  	                     	                            	                    	                    	                              	                           	                  	                  	                    	                          	                         	                 	                    	                       	                        	                   	                        	                    	                      	                        	                        	                          	                     	                         	                             	from ODP Leg 112 SR Chapter 15 Table 9 p 254

  SR	                 	                 	                  	              	112	 687	A	 12	X	CC	  12.00	    104.2700	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	T                        	                          	                      	                       	T                    	                           	                       	                   	                  	T                      	                                      	                       	T                 	                     	                            	                    	                    	                              	                           	                  	                  	                    	                          	                         	                 	                    	                       	                        	                   	                        	                    	                      	                        	                        	                          	                     	                         	                             	from ODP Leg 112 SR Chapter 15 Table 9 p 254

  SR	                 	                 	                  	              	112	 687	A	 13	X	CC	  12.00	    121.2700	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	A                        	                          	                      	C                      	                     	A                          	                       	C                  	T                 	                       	T                                     	C                      	                  	                     	                            	                    	                    	                              	                           	                  	                  	                    	                          	                         	                 	                    	                       	                        	                   	                        	                    	                      	                        	                        	                          	                     	                         	                             	from ODP Leg 112 SR Chapter 15 Table 9 p 254

  SR	                 	                 	                  	              	112	 687	A	 14	X	CC	  23.00	    128.1500	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	T                        	                          	                      	                       	                     	T                          	                       	                   	                  	                       	                                      	                       	                  	                     	                            	                    	                    	                              	                           	                  	                  	                    	                          	                         	                 	                    	                       	                        	                   	                        	                    	                      	                        	                        	                          	                     	                         	                             	from ODP Leg 112 SR Chapter 15 Table 9 p 254

  SR	                 	                 	                  	              	112	 687	A	 15	X	CC	  24.00	    133.6300	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                         	                          	                      	                       	T                    	                           	                       	                   	                  	T                      	                                      	                       	                  	                     	                            	                    	                    	                              	                           	                  	                  	                    	                          	                         	                 	                    	                       	                        	                   	                        	                    	                      	                        	                        	                          	                     	                         	                             	from ODP Leg 112 SR Chapter 15 Table 9 p 254

  SR	                 	                 	                  	              	112	 687	A	 17	X	CC	  25.00	    158.5800	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	A                        	T                         	                      	                       	A                    	A                          	T                      	T                  	T                 	                       	                                      	                       	                  	                     	                            	                    	                    	                              	                           	                  	                  	                    	                          	                         	                 	                    	                       	                        	                   	                        	                    	                      	                        	                        	                          	                     	                         	                             	from ODP Leg 112 SR Chapter 15 Table 9 p 254

  SR	                 	                 	                  	              	112	 687	A	 21	X	CC	  25.00	    193.6300	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	T                        	T                         	T                     	T                      	T                    	                           	                       	                   	                  	                       	                                      	                       	                  	                     	                            	                    	                    	                              	                           	                  	                  	                    	                          	                         	                 	                    	                       	                        	                   	                        	                    	                      	                        	                        	                          	                     	                         	                             	from ODP Leg 112 SR Chapter 15 Table 9 p 254

