Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Nummulites cojimarensis	Miogysina antillea	Lepidocyclina canellei	Gypsina cf. vesicularis	Amphistegina lessoniI	Sorites sp.	Lepidocyclina miraflorensis	Nummulites sp.	Lepidocyclina sp.	Miogysina sp.	Sphaerogypsina sp.	Archaias angulatus	Dictyoconus floridanus	Amphistegina gibbosa	Comment
  SR	                 	                 	                  	              	101	 626	C	 14	H	 1	  50.00	    122.2000	Raymo    	Benthic Foraminifers                         	               	                  	                       	r                 	                      	                       	r                    	           	                           	              	                 	r            	r                 	                  	                      	                    	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	C	 14	H	 2	  50.00	    123.7000	Raymo    	Benthic Foraminifers                         	               	                  	                       	r                 	                      	                       	                     	           	                           	              	r                	r            	                  	                  	                      	                    	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	C	 14	H	 5	  50.00	    128.2000	Raymo    	Benthic Foraminifers                         	               	                  	r                      	r                 	                      	                       	                     	           	r                          	              	r                	             	                  	                  	                      	                    	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	C	 15	H	 2	  50.00	    133.3000	Raymo    	Benthic Foraminifers                         	               	                  	                       	                  	                      	                       	r                    	           	                           	              	                 	r            	                  	                  	                      	                    	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	C	 15	H	 3	  50.00	    134.8000	Raymo    	Benthic Foraminifers                         	               	                  	r                      	r                 	r                     	r                      	                     	           	                           	              	                 	             	                  	                  	                      	                    	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	C	 15	H	 7	  50.00	    140.8000	Raymo    	Benthic Foraminifers                         	               	                  	                       	r                 	                      	                       	r                    	           	r                          	              	r                	             	                  	                  	                      	                    	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	C	 15	H	CC	   0.00	    140.9700	Raymo    	Benthic Foraminifers                         	               	                  	                       	r                 	                      	                       	r                    	           	r                          	r             	                 	             	                  	                  	                      	                    	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	C	 16	H	 2	  52.00	    142.8200	Raymo    	Benthic Foraminifers                         	               	                  	r                      	r                 	                      	                       	                     	           	r                          	              	                 	             	                  	                  	                      	                    	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	C	 16	H	 6	  50.00	    148.8000	Raymo    	Benthic Foraminifers                         	               	                  	r                      	r                 	                      	                       	r                    	           	r                          	              	                 	             	                  	                  	                      	                    	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	C	 17	H	 2	  50.00	    152.4000	Raymo    	Benthic Foraminifers                         	               	                  	r                      	r                 	                      	                       	                     	r          	                           	              	                 	             	                  	                  	                      	                    	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	C	 17	H	 5	  51.00	    156.9100	Raymo    	Benthic Foraminifers                         	               	                  	r                      	r                 	                      	                       	r                    	           	                           	              	                 	             	                  	                  	                      	                    	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	C	 18	H	 2	  50.00	    162.0000	Raymo    	Benthic Foraminifers                         	               	                  	r                      	r                 	                      	                       	r                    	           	                           	              	                 	             	                  	                  	                      	                    	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	C	 18	H	 3	  50.00	    163.5000	Raymo    	Benthic Foraminifers                         	               	                  	                       	                  	                      	                       	r                    	           	                           	              	                 	             	                  	                  	                      	                    	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

  SR	                 	                 	                  	              	101	 626	C	 18	H	CC	  10.00	    169.2800	Raymo    	Benthic Foraminifers                         	               	                  	r                      	r                 	r                     	r                      	r                    	           	                           	              	                 	             	                  	                  	                      	                    	from Fourcade & Butterlin; ODP 101 SR Ch 2 Fig 2 p 49

