Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unidentified benthic forams,Bolivinopsis spp.,Globobulimina spp.,Vulvulina spp.,Gaudryina spp.,Elphidium saginatum,Chilostomella oolina,Lenticulina spp.,Dentalina spp.,Bulimina spp.,Vaginulinopsis spp.,Ostracoda spp.,Reophax spp.,Guttulina spp.,Nonion deceptrix,Stilostomella spp.,Eggerelloides spp.,Astacolus spp.,Spirillina spp.,Pleurostomella spp.,Gyroidinoides spp.,Pyrulina spp.,Pullenia spp.,Cibicidoides spp.,Nodosaria spp.,Unilocular species,Anomalinoides spp.,Melonis barleeanus,Nuttallides umbonifera,Oridorsalis umbonatus,Parrelloides bradyi,Bulimina alazanensis,Bathysiphon spp.,Plectofrondicularia spp.,Pullenia bulloides,Buliminella spp.,Globocassidulina subglobosa,Uvigerina peregrina,Uvigerina hispida,Textularia spp.,Nonion spp.,Karreriella bradyi,Gyroidina zealandica,Cibicidoides mundulus,Cibicides lobatulus,Bulimina aculeata,Bolivina spp.,Laticarinina pauperata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  8,R,CC,   0.00,    307.8400,benthics ,Benthic Foraminifers                         ,C              ,M                 ,F                          ,T                ,                  ,              ,              ,T                  ,                    ,F               ,              ,             ,R                  ,              ,            ,              ,R               ,T                 ,                  ,              ,               ,                   ,R                 ,             ,             ,R                ,R             ,T                 ,                  ,R                 ,                      ,R                    ,                   ,                    ,                ,                        ,R                 ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,tiny sample
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  9,R,CC,  12.00,    318.7700,benthics ,Benthic Foraminifers                         ,F              ,M                 ,T                          ,                 ,                  ,              ,              ,F                  ,                    ,R               ,              ,             ,                   ,              ,            ,              ,                ,R                 ,T                 ,              ,               ,                   ,                  ,             ,             ,F                ,R             ,                  ,T                 ,                  ,                      ,                     ,                   ,                    ,                ,T                       ,T                 ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,tiny sample
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 10,R,CC,  12.00,    330.7800,benthics ,Benthic Foraminifers                         ,T              ,M                 ,R                          ,                 ,                  ,              ,              ,                   ,                    ,                ,              ,             ,                   ,              ,            ,              ,                ,                  ,T                 ,              ,               ,                   ,                  ,             ,             ,R                ,              ,                  ,                  ,                  ,                      ,                     ,                   ,                    ,T               ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,tiny sample
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 12,R,CC,  11.00,    343.6100,benthics ,Benthic Foraminifers                         ,R              ,M                 ,R                          ,                 ,                  ,              ,              ,T                  ,                    ,R               ,              ,             ,                   ,              ,            ,              ,R               ,                  ,T                 ,              ,T              ,                   ,                  ,             ,T            ,T                ,T             ,T                 ,R                 ,                  ,                      ,R                    ,                   ,                    ,R               ,T                       ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,tiny sample
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 14,R,CC,  16.00,    363.2800,benthics ,Benthic Foraminifers                         ,F              ,M                 ,R                          ,                 ,                  ,              ,              ,                   ,                    ,R               ,              ,             ,                   ,              ,            ,T             ,R               ,                  ,C                 ,              ,               ,                   ,                  ,             ,             ,T                ,T             ,T                 ,R                 ,R                 ,                      ,                     ,T                  ,T                   ,R               ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,tiny sample
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 15,R,CC,  20.00,    374.3500,benthics ,Benthic Foraminifers                         ,R              ,P                 ,R                          ,                 ,                  ,              ,              ,T                  ,                    ,R               ,              ,             ,                   ,              ,            ,              ,T               ,T                 ,R                 ,              ,               ,                   ,T                 ,             ,             ,T                ,T             ,T                 ,T                 ,R                 ,                      ,T                    ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,C+Egg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 16,R,CC,  18.00,    385.1800,benthics ,Benthic Foraminifers                         ,R              ,P                 ,T                          ,                 ,                  ,              ,              ,R                  ,                    ,T               ,              ,             ,                   ,              ,            ,              ,T               ,T                 ,T                 ,              ,               ,T                  ,T                 ,             ,T            ,T                ,              ,                  ,                  ,                  ,                      ,T                    ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,C + Egg/Karr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 17,R,CC,  24.00,    398.4000,benthics ,Benthic Foraminifers                         ,F              ,P                 ,                           ,                 ,                  ,              ,              ,F                  ,                    ,R               ,              ,             ,                   ,              ,            ,              ,F               ,T                 ,F                 ,              ,               ,                   ,                  ,             ,             ,T                ,              ,                  ,                  ,R                 ,                      ,T                    ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,C + Egg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 18,R,CC,   0.00,    401.2000,benthics ,Benthic Foraminifers                         ,R              ,P                 ,R                          ,                 ,                  ,              ,              ,T                  ,                    ,R               ,              ,             ,                   ,              ,            ,              ,R               ,T                 ,F                 ,              ,               ,                   ,                  ,             ,             ,                 ,              ,                  ,                  ,                  ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,C + Egg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 19,R,CC,   0.00,    417.6300,benthics ,Benthic Foraminifers                         ,R              ,P                 ,                           ,                 ,                  ,              ,              ,R                  ,                    ,R               ,              ,             ,                   ,              ,            ,              ,T               ,                  ,T                 ,              ,               ,                   ,T                 ,             ,             ,                 ,              ,                  ,                  ,                  ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,"chalcopyrite, C + A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 20,R,CC,   6.00,    428.6500,benthics ,Benthic Foraminifers                         ,T              ,P                 ,T                          ,                 ,                  ,              ,              ,                   ,                    ,                ,              ,             ,                   ,              ,            ,              ,                ,                  ,                  ,              ,               ,                   ,                  ,             ,             ,                 ,              ,                  ,                  ,                  ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 21,R,CC,  32.00,    430.3200,benthics ,Benthic Foraminifers                         ,T              ,P                 ,                           ,                 ,                  ,              ,              ,                   ,                    ,R               ,              ,             ,T                  ,              ,            ,              ,                ,                  ,                  ,              ,               ,                   ,                  ,             ,             ,T                ,T             ,T                 ,                  ,                  ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 22,R,CC,  12.00,    448.8400,benthics ,Benthic Foraminifers                         ,R              ,M                 ,                           ,                 ,                  ,              ,              ,R                  ,                    ,R               ,              ,R            ,T                  ,              ,            ,              ,                ,                  ,T                 ,              ,               ,                   ,                  ,T            ,T            ,T                ,              ,T                 ,                  ,R                 ,T                     ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,minute sample
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 23,R,CC,  10.00,    453.5700,benthics ,Benthic Foraminifers                         ,A              ,M                 ,R                          ,                 ,                  ,              ,              ,T                  ,                    ,C               ,              ,             ,T                  ,T             ,            ,              ,                ,                  ,T                 ,              ,               ,                   ,R                 ,             ,             ,R                ,T             ,                  ,R                 ,R                 ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,C + few Egg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 25,R,CC,   0.00,    476.8100,benthics ,Benthic Foraminifers                         ,T              ,P                 ,R                          ,                 ,                  ,              ,              ,                   ,                    ,                ,              ,             ,                   ,              ,            ,              ,                ,                  ,                  ,              ,               ,                   ,                  ,             ,             ,                 ,              ,                  ,                  ,                  ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,"minute sample, A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 26,R,CC,  15.00,    487.9800,benthics ,Benthic Foraminifers                         ,F              ,M                 ,R                          ,                 ,                  ,              ,              ,T                  ,                    ,                ,              ,             ,                   ,              ,            ,              ,                ,                  ,                  ,              ,               ,                   ,                  ,             ,             ,T                ,              ,                  ,                  ,R                 ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,C + A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 27,R,CC,   7.00,    497.4500,benthics ,Benthic Foraminifers                         ,A              ,P                 ,                           ,                 ,R                 ,              ,              ,R                  ,R                   ,F               ,              ,             ,R                  ,              ,            ,              ,T               ,T                 ,                  ,              ,               ,                   ,                  ,             ,             ,R                ,              ,                  ,                  ,T                 ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,C + few A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 28,R,CC,   5.00,    505.7300,benthics ,Benthic Foraminifers                         ,C              ,P                 ,                           ,                 ,                  ,              ,              ,R                  ,T                   ,R               ,T             ,T            ,R                  ,              ,            ,T             ,                ,                  ,T                 ,              ,               ,                   ,                  ,             ,             ,T                ,              ,T                 ,R                 ,                  ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,C + few A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 29,R,CC,  13.00,    516.7900,benthics ,Benthic Foraminifers                         ,R              ,P                 ,                           ,                 ,                  ,              ,              ,T                  ,T                   ,                ,              ,             ,                   ,              ,            ,T             ,                ,                  ,                  ,              ,               ,                   ,T                 ,             ,T            ,                 ,              ,                  ,                  ,                  ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,A + few C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 31,R,CC,  28.00,    533.7300,benthics ,Benthic Foraminifers                         ,T              ,P                 ,                           ,                 ,                  ,              ,              ,                   ,T                   ,                ,              ,             ,                   ,              ,            ,T             ,                ,                  ,                  ,              ,               ,                   ,                  ,             ,             ,                 ,T             ,                  ,                  ,                  ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,A + few C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 32,R,CC,   0.00,    543.9600,benthics ,Benthic Foraminifers                         ,A              ,P                 ,                           ,                 ,                  ,              ,              ,R                  ,R                   ,R               ,              ,             ,                   ,              ,            ,R             ,T               ,                  ,                  ,              ,               ,                   ,T                 ,T            ,T            ,T                ,              ,                  ,                  ,                  ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,C + other A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 33,R,CC,   0.00,    555.0200,benthics ,Benthic Foraminifers                         ,C              ,P                 ,                           ,R                ,R                 ,              ,              ,                   ,                    ,C               ,              ,             ,R                  ,              ,            ,F             ,                ,T                 ,                  ,              ,               ,                   ,                  ,             ,             ,                 ,              ,                  ,                  ,                  ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,C + A + other A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 34,R,CC,   0.00,    564.7900,benthics ,Benthic Foraminifers                         ,C              ,P                 ,                           ,                 ,                  ,              ,              ,F                  ,                    ,C               ,T             ,             ,T                  ,R             ,R           ,R             ,                ,T                 ,                  ,              ,T              ,T                  ,T                 ,             ,             ,                 ,              ,                  ,                  ,                  ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,"tiny sample, C + other A"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 35,R,CC,   7.00,    573.8600,benthics ,Benthic Foraminifers                         ,C              ,P                 ,F                          ,                 ,T                 ,              ,              ,F                  ,                    ,F               ,T             ,R            ,                   ,T             ,R           ,              ,                ,R                 ,T                 ,T             ,               ,                   ,                  ,             ,             ,                 ,              ,                  ,                  ,                  ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,"tiny sample, C + A + other A (Karrel/Reo)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 36,R,CC,  13.00,    584.1000,benthics ,Benthic Foraminifers                         ,C              ,M                 ,R                          ,                 ,T                 ,              ,              ,R                  ,T                   ,                ,              ,             ,                   ,T             ,            ,              ,T               ,                  ,T                 ,              ,               ,                   ,                  ,             ,             ,                 ,              ,                  ,                  ,                  ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,"tiny sample, C + other A (Karrel)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 37,R,CC,  17.00,    593.5600,benthics ,Benthic Foraminifers                         ,F              ,M                 ,                           ,                 ,T                 ,              ,T             ,F                  ,                    ,T               ,              ,             ,                   ,              ,            ,              ,                ,T                 ,                  ,              ,               ,                   ,                  ,             ,             ,                 ,              ,                  ,                  ,                  ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,C + A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 38,R,CC,   0.00,    603.2200,benthics ,Benthic Foraminifers                         ,C              ,P                 ,R                          ,                 ,R                 ,              ,T             ,R                  ,                    ,F               ,T             ,             ,                   ,              ,            ,              ,                ,                  ,                  ,              ,               ,                   ,                  ,             ,             ,                 ,              ,                  ,                  ,                  ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,C + other A (Reo/Karrel)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 39,R,CC,   0.00,    611.8500,benthics ,Benthic Foraminifers                         ,A              ,M                 ,F                          ,                 ,                  ,              ,R             ,F                  ,                    ,F               ,              ,             ,                   ,T             ,T           ,              ,T               ,                  ,                  ,              ,               ,                   ,                  ,             ,             ,                 ,              ,                  ,                  ,                  ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,C + other A (Reo) + few A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 40,R,CC,  19.00,    622.7000,benthics ,Benthic Foraminifers                         ,C              ,P                 ,F                          ,                 ,T                 ,              ,R             ,R                  ,                    ,R               ,T             ,T            ,                   ,              ,            ,T             ,                ,                  ,                  ,              ,               ,                   ,                  ,             ,             ,                 ,              ,                  ,                  ,                  ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,C + A + other A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 41,R,CC,  12.00,    631.1400,benthics ,Benthic Foraminifers                         ,C              ,P                 ,F                          ,                 ,                  ,              ,T             ,F                  ,                    ,F               ,T             ,T            ,                   ,              ,            ,              ,                ,                  ,                  ,              ,               ,                   ,                  ,             ,             ,                 ,              ,                  ,                  ,                  ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,C + A + other A (Reo)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 42,R,CC,  13.00,    641.8100,benthics ,Benthic Foraminifers                         ,C              ,P                 ,F                          ,                 ,F                 ,              ,T             ,F                  ,                    ,F               ,              ,             ,                   ,              ,            ,R             ,                ,                  ,                  ,              ,               ,                   ,                  ,             ,             ,                 ,              ,                  ,                  ,                  ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,C + A + other A (Karrel)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 43,R,CC,   9.00,    651.0100,benthics ,Benthic Foraminifers                         ,A              ,P                 ,F                          ,                 ,R                 ,              ,R             ,R                  ,                    ,R               ,              ,             ,T                  ,T             ,R           ,T             ,                ,                  ,                  ,              ,               ,                   ,                  ,             ,             ,                 ,              ,                  ,                  ,                  ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,C + other A (Karrel) + few A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 44,R,CC,  17.00,    660.7100,benthics ,Benthic Foraminifers                         ,C              ,P                 ,F                          ,                 ,T                 ,              ,R             ,R                  ,                    ,R               ,R             ,             ,                   ,              ,R           ,              ,                ,                  ,                  ,              ,               ,                   ,                  ,             ,             ,                 ,              ,                  ,                  ,                  ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,C + other A (Reo/Karrel) + few A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 45,R,CC,  16.00,    665.8600,benthics ,Benthic Foraminifers                         ,A              ,P                 ,F                          ,                 ,                  ,              ,R             ,R                  ,                    ,R               ,              ,             ,                   ,T             ,            ,              ,                ,                  ,                  ,              ,               ,                   ,                  ,             ,             ,                 ,              ,                  ,                  ,                  ,                      ,                     ,                   ,                    ,                ,                        ,                  ,                ,                           ,                   ,                 ,               ,           ,                  ,                    ,                     ,                   ,                 ,             ,                      ,C + A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
