Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina auberiana	Stilostomella lepidula (smooth)	Stilostomella lepidula	Stilostomella insecta	Sphaeroidina bulloides	Sigmoilopsis schlumbergeri	Pyrgo murrhina	Pullenia quadriloba	Pullenia bulloides	Pleurostomella sp.	Pleurostomella alternans	Osangularia bengalensis	Orthomorphina koina	Oridorsalis umbonatus (smooth margin)	Melonis affinis	Martinottiella variabilis	Laticarinina pauperata	Lagenid taxa	Karreriella bradyi	Hopkinsina mioindex	Gyroidinoides neosoldanii	Globocassidulina subglobosa (small form)	Globocassidulina subglobosa (medium size)	Globocassidulina subglobosa (large form)	Ehrenbergina hystrix	Cibicidoides sp. (turbinate)	Cibicidoides bradyi	Cibicides wuellerstorfi (atypical)	Cibicides wuellerstorfi	Chrysalogonium equisetiformis	Bulimina alazanensis	Bolivinita quadrilatera	Bolivina striatocola	Bolivina pseudoplicata	Anomalinoides semicribratus	Stilostomella subspinosa	Siphotextularia catenata	Rectuvigerina spinea	Pullenia quinqueloba	Orthomorphina perversa	Nuttallides umbonifera	Gyroidinoides planulatus	Dentalina communis	Anomalinoides globulosus	Uvigerina proboscidea	Miliolid taxa	Melonis pacificus	Cassidulinoides bradyi	Gyroidinoides altispirus	Cibicidoides kullenbergi	Siphonodosaria modesta	Discanomalina semipunctata (atypical)	Cibicidoides kullenbergi (flat)	Bulimina mexicana	Eggerella bradyi	Allomorphina sp.	Favocassidulina favus	Textularia cf. T. flintii	Oridorsalis umbonatus  (scallopped margin)	Pleurostomella brevis	Triloculina lucernula	Ehrenbergina trigona	Textularia sp.	Melonis pompilioides	Bulava sp.	Bolivina villaverniensis	Martinottiella communis	Buliminella sp.	Haplophragmoides sp.	Rotalia translucens	Lenticulina sp.	Discorbis villardeboanus	Heterolepa dohmi	Epistominella exigua	Uvigerina interruptacostata	Cibicidoides sp.	Comment

  SR	Pliocene         	                 	                  	              	115	 713	A	  2	R	 4	 120.00	      7.3000	Boersma  	Benthic Foraminifers                         	               	G                 	F                  	+                              	T                     	                     	                      	                          	              	                   	                  	                  	                        	                       	                   	T                                    	               	                         	                      	            	                  	                   	                         	T                                       	                                         	                                        	                    	                            	                   	                                  	+                      	                             	                    	                       	                    	                      	                           	                        	                        	                    	                    	                      	F                     	                        	                  	                        	                     	             	                 	                      	                        	                        	                      	                                     	                               	                 	+               	                	+                    	                         	                                          	                     	                     	                    	              	                    	          	                        	                       	               	                    	                   	               	                        	                	+                   	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Pliocene         	                 	                  	              	115	 713	A	  2	R	 5	  75.00	      8.3500	Boersma  	Benthic Foraminifers                         	               	M                 	F                  	+                              	+                     	                     	                      	                          	              	                   	+                 	                  	                        	                       	                   	F                                    	T              	                         	                      	            	                  	                   	                         	F                                       	                                         	+                                       	                    	                            	                   	                                  	                       	                             	                    	                       	                    	                      	+                          	                        	                        	                    	                    	                      	F                     	                        	+                 	                        	T                    	             	                 	                      	                        	                        	                      	                                     	                               	                 	+               	                	F                    	+                        	+                                         	                     	                     	+                   	              	                    	          	                        	                       	               	                    	                   	               	                        	+               	                    	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Pliocene         	                 	                  	              	115	 713	A	  2	R	 6	  75.00	      9.8500	Boersma  	Benthic Foraminifers                         	               	P                 	+                  	                               	                      	                     	                      	                          	+             	                   	                  	                  	+                       	                       	+                  	+                                    	+              	                         	                      	            	                  	                   	+                        	F/C                                     	+                                        	                                        	                    	                            	                   	                                  	                       	                             	                    	                       	                    	                      	                           	                        	                        	                    	                    	                      	R                     	                        	                  	                        	                     	             	+                	                      	                        	                        	                      	                                     	+                              	                 	                	+               	R                    	                         	                                          	                     	                     	                    	              	                    	          	                        	                       	               	                    	                   	               	+                       	                	                    	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Late Miocene     	                 	                  	              	115	 713	A	  3	R	 1	 120.00	     12.4000	Boersma  	Benthic Foraminifers                         	               	M                 	                   	+                              	+                     	                     	                      	                          	              	                   	R                 	F                 	T                       	                       	                   	T                                    	T              	                         	+                     	+           	                  	                   	+                        	F/C                                     	T                                        	                                        	                    	                            	                   	                                  	T                      	                             	                    	                       	                    	                      	                           	                        	                        	                    	                    	                      	T                     	                        	                  	                        	+                    	             	                 	                      	                        	                        	                      	                                     	                               	                 	+               	                	F                    	                         	                                          	                     	                     	+                   	              	                    	          	R                       	                       	               	                    	                   	+              	                        	                	                    	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Late Miocene     	                 	                  	              	115	 713	A	  3	R	 2	  20.00	     12.9000	Boersma  	Benthic Foraminifers                         	               	VG                	T                  	                               	                      	+                    	                      	+                         	+             	                   	T                 	R                 	                        	+                      	                   	R                                    	+              	                         	                      	T           	+                 	                   	+                        	F                                       	R                                        	+                                       	                    	                            	                   	+                                 	                       	                             	A                   	                       	+                   	T                     	                           	+                       	                        	                    	                    	                      	T                     	                        	                  	                        	T                    	             	+                	                      	                        	+                       	F                     	                                     	                               	                 	                	                	+                    	                         	+                                         	                     	                     	+                   	              	                    	          	                        	                       	+              	                    	+                  	               	                        	                	                    	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Late Miocene     	                 	                  	              	115	 713	A	  3	R	 3	  20.00	     14.4000	Boersma  	Benthic Foraminifers                         	               	G                 	R                  	                               	+                     	                     	                      	                          	              	                   	                  	R                 	                        	+                      	                   	+                                    	+              	T                        	                      	T           	                  	T                  	R                        	F/C                                     	+                                        	+                                       	+                   	                            	                   	R                                 	R                      	                             	T                   	                       	                    	+                     	                           	+                       	                        	                    	                    	                      	                      	                        	                  	                        	                     	             	R                	                      	                        	                        	+                     	                                     	                               	                 	+               	                	T                    	                         	                                          	                     	                     	                    	              	                    	T         	+                       	                       	               	+                   	                   	               	                        	                	                    	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Late Miocene     	                 	                  	              	115	 713	A	  3	R	 4	  75.00	     16.4500	Boersma  	Benthic Foraminifers                         	               	VG                	R                  	+                              	T                     	T                    	                      	+                         	+             	                   	+                 	R                 	+                       	                       	+                  	F/C                                  	T              	+                        	                      	T           	                  	+                  	                         	R                                       	T                                        	T                                       	+                   	                            	                   	R                                 	+                      	                             	F                   	                       	                    	+                     	T                          	+                       	                        	                    	                    	                      	                      	                        	                  	                        	                     	             	                 	                      	                        	+                       	T                     	                                     	                               	                 	                	                	                     	                         	                                          	                     	                     	                    	              	                    	          	                        	                       	               	                    	                   	               	                        	                	                    	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Late Miocene     	                 	                  	              	115	 713	A	  3	R	 5	  20.00	     17.4000	Boersma  	Benthic Foraminifers                         	               	VG                	                   	                               	                      	+                    	                      	                          	T             	                   	R                 	T                 	                        	                       	                   	T                                    	+              	                         	                      	            	R                 	                   	+                        	T                                       	+                                        	T                                       	                    	                            	                   	+                                 	R                      	                             	+                   	                       	                    	                      	T                          	F                       	                        	                    	T                   	                      	                      	+                       	                  	                        	+                    	R            	                 	                      	                        	R                       	                      	T                                    	+                              	                 	                	                	R                    	                         	+                                         	                     	                     	                    	              	                    	          	                        	+                      	+              	                    	                   	               	                        	                	                    	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Late Miocene     	                 	                  	              	115	 713	A	  3	R	 5	  65.00	     17.8500	Boersma  	Benthic Foraminifers                         	               	VG                	                   	                               	+                     	                     	                      	+                         	+             	                   	+                 	                  	                        	                       	                   	R                                    	               	+                        	                      	            	+                 	                   	                         	F                                       	                                         	T                                       	+                   	                            	                   	                                  	+                      	                             	                    	                       	                    	                      	T                          	                        	                        	                    	                    	+                     	                      	                        	+                 	                        	                     	             	+                	                      	                        	                        	                      	+                                    	T                              	                 	                	                	+                    	                         	                                          	                     	                     	                    	+             	+                   	+         	+                       	                       	               	                    	                   	               	                        	                	                    	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Late Miocene     	                 	                  	              	115	 713	A	  3	R	 5	 120.00	     18.4000	Boersma  	Benthic Foraminifers                         	               	VG                	F/C                	+                              	+                     	                     	                      	R                         	              	                   	T                 	F                 	                        	                       	                   	F                                    	R              	                         	                      	T           	                  	+                  	+                        	R                                       	T                                        	T                                       	T                   	                            	                   	T                                 	+                      	                             	+                   	                       	                    	                      	T                          	                        	                        	                    	                    	                      	                      	                        	                  	+                       	F/C                  	             	R                	                      	+                       	+                       	                      	                                     	T                              	                 	                	                	                     	+                        	                                          	+                    	+                    	+                   	              	                    	          	                        	                       	               	                    	                   	               	                        	                	                    	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Late Miocene     	                 	                  	              	115	 713	A	  3	R	 6	  70.00	     19.4000	Boersma  	Benthic Foraminifers                         	               	G                 	F                  	+                              	                      	                     	                      	                          	              	                   	T                 	                  	                        	                       	                   	T                                    	+              	                         	                      	F           	                  	                   	+                        	T                                       	T                                        	                                        	                    	                            	                   	                                  	+                      	                             	                    	+                      	+                   	+                     	                           	                        	                        	                    	                    	                      	                      	                        	                  	                        	F/C                  	T            	T                	                      	T                       	                        	T                     	                                     	                               	                 	                	                	                     	                         	                                          	                     	                     	                    	              	                    	          	                        	                       	               	                    	                   	               	                        	                	                    	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Late Miocene     	                 	                  	              	115	 713	A	  3	R	 6	  75.00	     19.4500	Boersma  	Benthic Foraminifers                         	               	G                 	R                  	+                              	+                     	                     	                      	                          	+             	                   	+                 	                  	                        	                       	+                  	                                     	+              	+                        	                      	T           	                  	                   	+                        	+                                       	                                         	                                        	                    	                            	                   	                                  	                       	                             	                    	+                      	                    	+                     	                           	                        	                        	                    	                    	                      	                      	                        	                  	                        	                     	             	                 	                      	                        	+                       	                      	                                     	                               	                 	                	                	+                    	                         	                                          	+                    	                     	                    	              	                    	          	                        	                       	               	                    	                   	               	                        	                	                    	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Late Miocene     	                 	                  	              	115	 713	A	  3	R	 6	 120.00	     19.9000	Boersma  	Benthic Foraminifers                         	               	VG                	R                  	                               	                      	                     	                      	                          	              	                   	+                 	+                 	                        	                       	T                  	+                                    	               	                         	                      	            	                  	+                  	                         	F/C                                     	                                         	                                        	                    	                            	                   	+                                 	+                      	                             	+                   	+                      	+                   	F                     	                           	                        	                        	                    	                    	+                     	                      	+                       	                  	                        	+                    	+            	R                	                      	                        	                        	                      	                                     	                               	                 	                	                	                     	                         	                                          	                     	                     	                    	              	                    	          	                        	                       	               	                    	                   	               	                        	                	                    	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Late Miocene     	                 	                  	              	115	 713	A	  3	R	 7	  20.00	     20.4000	Boersma  	Benthic Foraminifers                         	               	VG                	T                  	+                              	T                     	T                    	                      	                          	              	                   	T                 	T                 	                        	                       	T                  	F/C                                  	               	+                        	+                     	T           	                  	+                  	                         	T                                       	                                         	                                        	F                   	                            	                   	+                                 	+                      	                             	R                   	+                      	+                   	+                     	                           	                        	                        	+                   	+                   	                      	                      	                        	                  	                        	+                    	+            	R                	                      	                        	T                       	+                     	                                     	+                              	                 	+               	                	+                    	+                        	T                                         	                     	                     	                    	              	                    	          	                        	                       	               	                    	                   	               	                        	                	                    	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Late Miocene     	                 	                  	              	115	 713	A	  4	R	 1	  20.00	     21.0000	Boersma  	Benthic Foraminifers                         	               	G                 	F                  	                               	+                     	+                    	                      	                          	F             	                   	+                 	+                 	                        	+                      	                   	R                                    	               	                         	                      	F           	                  	                   	                         	F                                       	                                         	T                                       	F                   	                            	+                  	                                  	                       	                             	                    	                       	                    	+                     	R                          	                        	                        	                    	                    	                      	+                     	+                       	+                 	                        	+                    	             	+                	                      	+                       	+                       	                      	                                     	                               	                 	                	                	T                    	                         	                                          	                     	                     	                    	              	                    	          	                        	                       	               	                    	                   	               	                        	                	                    	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Late Miocene     	                 	                  	              	115	 713	A	  4	R	 1	 120.00	     22.0000	Boersma  	Benthic Foraminifers                         	               	G                 	F                  	+                              	                      	                     	                      	                          	              	                   	+                 	T                 	                        	                       	                   	+                                    	T              	                         	                      	R           	+                 	T                  	                         	R                                       	                                         	F                                       	F/C                 	                            	+                  	                                  	+                      	                             	                    	+                      	                    	+                     	                           	                        	+                       	                    	+                   	                      	T                     	+                       	                  	                        	+                    	+            	+                	                      	+                       	+                       	                      	                                     	+                              	                 	+               	                	                     	                         	                                          	                     	                     	                    	              	                    	          	                        	                       	               	                    	                   	               	                        	                	                    	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Late Miocene     	                 	                  	              	115	 713	A	  4	R	 2	  20.00	     22.5000	Boersma  	Benthic Foraminifers                         	               	VG                	R                  	                               	                      	+                    	+                     	T                         	              	+                  	+                 	T                 	                        	F                      	                   	T                                    	+              	                         	                      	F           	                  	                   	                         	F                                       	R                                        	F/C                                     	                    	                            	+                  	+                                 	T                      	                             	R                   	                       	+                   	                      	+                          	                        	                        	                    	                    	                      	+                     	+                       	                  	                        	T                    	             	T                	                      	                        	                        	+                     	                                     	+                              	+                	+               	+               	                     	                         	                                          	                     	                     	                    	              	                    	          	                        	                       	               	                    	                   	               	                        	                	                    	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Late Miocene     	                 	                  	              	115	 713	A	  4	R	 3	  75.00	     24.5500	Boersma  	Benthic Foraminifers                         	               	G                 	T                  	+                              	                      	+                    	                      	+                         	+             	                   	                  	                  	                        	F                      	                   	R                                    	T              	                         	+                     	T           	                  	                   	                         	R                                       	                                         	F                                       	+                   	                            	+                  	R                                 	                       	                             	+                   	                       	                    	R                     	+                          	                        	                        	                    	                    	                      	                      	                        	                  	                        	T                    	F            	T                	                      	                        	                        	                      	+                                    	+                              	+                	                	                	                     	                         	                                          	                     	                     	                    	              	                    	          	                        	                       	               	                    	                   	               	                        	                	                    	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Late Miocene     	                 	                  	              	115	 713	A	  4	R	 4	  75.00	     26.0500	Boersma  	Benthic Foraminifers                         	               	VG                	+                  	T                              	                      	+                    	                      	                          	              	+                  	                  	                  	                        	                       	                   	T                                    	F              	                         	                      	F           	+                 	                   	                         	R                                       	                                         	F                                       	T                   	                            	                   	                                  	+                      	                             	F                   	                       	                    	F/C                   	                           	                        	                        	                    	                    	                      	                      	                        	                  	                        	                     	             	                 	+                     	+                       	                        	+                     	                                     	                               	                 	                	                	                     	                         	                                          	                     	                     	                    	              	                    	          	                        	                       	               	                    	                   	               	                        	                	                    	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Late Miocene     	                 	                  	              	115	 713	A	  4	R	 5	  75.00	     27.5500	Boersma  	Benthic Foraminifers                         	               	VG                	F                  	F                              	                      	T                    	F                     	+                         	+             	                   	+                 	                  	                        	                       	                   	+                                    	               	                         	                      	T           	                  	                   	                         	T                                       	                                         	+                                       	                    	+                           	                   	                                  	T                      	                             	T                   	                       	T                   	T                     	+                          	+                       	                        	                    	                    	                      	+                     	                        	                  	                        	                     	             	+                	                      	+                       	+                       	                      	                                     	                               	                 	                	                	                     	                         	                                          	                     	                     	                    	              	                    	          	                        	                       	               	                    	                   	               	                        	                	                    	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Late Miocene     	                 	                  	              	115	 713	A	  4	R	 6	  75.00	     29.0500	Boersma  	Benthic Foraminifers                         	               	VG                	F/C                	+                              	+                     	R                    	+                     	                          	+             	                   	                  	                  	+                       	+                      	                   	F                                    	+              	+                        	+                     	F           	                  	                   	+                        	T                                       	T                                        	F/C                                     	T                   	T                           	T                  	                                  	R                      	                             	R                   	                       	                    	                      	R                          	+                       	                        	                    	                    	                      	                      	+                       	                  	                        	R                    	F/C          	T                	+                     	                        	                        	                      	                                     	                               	                 	                	                	                     	                         	                                          	                     	                     	                    	              	                    	          	                        	                       	               	                    	                   	               	                        	                	                    	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Late Miocene     	                 	                  	              	115	 713	A	  4	R	 6	 120.00	     29.5000	Boersma  	Benthic Foraminifers                         	               	VG                	F/C                	R                              	T                     	                     	                      	+                         	              	                   	                  	T                 	                        	+                      	                   	T                                    	               	F                        	                      	T           	                  	                   	                         	F/C                                     	                                         	F/C                                     	+                   	                            	                   	                                  	F/C                    	                             	F                   	                       	F                   	F/C                   	+                          	+                       	T                       	+                   	+                   	+                     	F                     	R                       	+                 	+                       	                     	             	                 	                      	                        	                        	                      	                                     	                               	                 	                	                	                     	                         	                                          	                     	                     	                    	              	                    	          	                        	                       	               	                    	                   	               	                        	                	                    	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

  SR	Late Miocene     	                 	                  	              	115	 713	A	  4	R	 7	  20.00	     30.0000	Boersma  	Benthic Foraminifers                         	               	VG                	F/C                	+                              	+                     	T                    	F                     	+                         	F             	+                  	T                 	+                 	+                       	+                      	+                  	F                                    	R              	T                        	+                     	F/C         	+                 	+                  	+                        	F/C                                     	T                                        	T                                       	+                   	T                           	+                  	+                                 	T                      	+                            	R                   	+                      	+                   	F/C                   	+                          	                        	                        	                    	                    	                      	                      	                        	                  	                        	                     	             	                 	                      	                        	                        	                      	                                     	                               	                 	                	                	                     	                         	                                          	                     	                     	                    	              	                    	          	                        	                       	               	                    	                   	               	                        	                	                    	                           	                	from 115 SR. Chapter 20. Table 17. pages 364-366.

