Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tritaxa spp.	Pleurostomella spp.	Oridorsalis umbonatus	Nuttallides truempyi	Marssonella trochoides	Lenticulina spp.	Gaudryina pyramidata	Dentalina spp.	Aragonia velascoensis	Spiroplectammina jarvisi	Sliterella lobulata	Pyramidina szajnochae	Pullenia jarvisi	Nuttallides intermediatus	Nodosaria spp.	Gyroidinoides globosa	Conorbinoides hillebrandti	Buliminella grata	Bulimina spp.	Aragonia ouezzanensis	Stilostomella spp.	Spiroplectammina spectabilis	Pseudoclavulina globulifera	Nonion spp.	Gavelinella beccariiformis	Bulimina velascoensis	Stilostomella gracillima	Clinapertina complanata	Chrysalogonium breviloculum	Bulimina jarvisi	Aragonia aragonensis	Cibicidoides subspiratus	Cibicidoides havanensis	Bulimina semicostata	Vulvulina spinosa	Stilostomella abyssorum	Pullenia eocaenica	Globocassidulina subglobosa	Cibicidoides eocaenus	Chrysalogonium longicostatum	Bulimina trinitatensis	Bulimina impendens	Quadratobuliminella pyramidalis	Osangularia velascoensis	Oridorsalis tenera	Oridorsalis tener	Gyroidinoides neosoldanii	Bulimina elongata	Bolivina huneri	Stilostomella subspinosa	Orthomorphina spp.	Gyroidinoides girardanus	Cibicidoides spp.	Cibicidoides bradyi	Alabamina dissonata	Stilostomella aculeata	Karreriella bradyi	Anomalinoides spp.	Pyrgo murrhina	Pyrgo lucernula	Pullenia bulloides	Anomalinoides globulosus	Pullenia quinqueloba	Martinottiella sp.	Haplophragmoides spp.	Cibicidoides wuellerstorfi	Cibicidoides subhaidingeri	Anomalinoides semicribratus	Uvigerina hispidocostata	Uvigerina hispida	Parafissurina spp.	Eggerella bradyi	Uvigerina spp.	Uvigerina senticosa	Uvigerina peregrina	Sphaeroidina bulloides	Cibicidoides mundulus	Comment

  IR	                 	                 	                  	              	198	1211	A	  7	H	CC	  12.00	     60.0500	benthics 	Benthic Foraminifers                         	F              	M                 	            	R                  	                     	                    	                      	                	                    	              	                     	                        	                   	                     	                	                         	              	                     	                          	                 	             	                     	R                 	                            	                           	           	                          	                     	R                       	                       	                           	                	                    	                        	                       	                    	R                	R                      	                  	C                          	                     	                            	                      	R                 	                               	                        	                  	R                	T                        	                 	               	C                       	R                 	                        	                 	                   	                   	+                     	T                 	T                 	              	               	                  	                        	                    	                  	                     	                          	                          	                           	                        	                 	                  	                	              	                   	                   	                      	                     	       

  IR	                 	                 	                  	              	198	1211	A	  8	H	CC	  11.00	     69.3600	benthics 	Benthic Foraminifers                         	R              	M                 	            	T                  	R                    	                    	                      	T               	                    	              	                     	                        	                   	                     	                	                         	              	                     	                          	                 	             	                     	R                 	                            	                           	           	                          	                     	T                       	                       	                           	                	                    	                        	                       	                    	                 	T                      	                  	R                          	R                    	                            	                      	                  	                               	C                       	                  	                 	T                        	                 	               	R                       	R                 	T                       	R                	T                  	R                  	                      	                  	                  	              	               	                  	                        	                    	                  	                     	                          	                          	                           	                        	                 	                  	                	              	                   	                   	                      	                     	       

  IR	                 	                 	                  	              	198	1211	A	  9	H	CC	  14.00	     78.8000	benthics 	Benthic Foraminifers                         	A              	M                 	            	R                  	R                    	R                   	                      	                	                    	F             	                     	                        	                   	                     	                	                         	              	                     	                          	                 	             	                     	R                 	                            	                           	           	                          	                     	                        	                       	                           	R               	                    	                        	                       	                    	T                	                       	                  	                           	                     	                            	                      	R                 	R                              	A                       	+                 	T                	T                        	R                	T              	                        	                  	                        	                 	                   	                   	                      	                  	                  	              	               	                  	                        	                    	                  	                     	                          	                          	                           	                        	                 	                  	                	              	                   	                   	                      	                     	       

  IR	                 	                 	                  	              	198	1211	A	 10	H	CC	  21.00	     88.2400	benthics 	Benthic Foraminifers                         	F              	M                 	            	T                  	R                    	R                   	                      	                	                    	R             	                     	                        	                   	                     	                	                         	              	                     	                          	R                	             	                     	R                 	                            	                           	           	                          	                     	C                       	                       	                           	R               	                    	                        	                       	                    	T                	R                      	R                 	R                          	T                    	R                           	T                     	R                 	                               	                        	                  	                 	                         	                 	               	                        	                  	                        	                 	                   	                   	                      	                  	                  	              	               	                  	                        	                    	                  	                     	                          	                          	                           	                        	                 	                  	                	              	                   	                   	                      	                     	       

  IR	                 	                 	                  	              	198	1211	A	 11	H	CC	  12.00	     98.0500	benthics 	Benthic Foraminifers                         	R              	M                 	            	                   	R                    	R                   	                      	                	                    	T             	                     	                        	                   	                     	                	                         	              	                     	                          	                 	             	                     	R                 	                            	                           	           	                          	                     	R                       	                       	                           	R               	                    	R                       	T                      	R                   	                 	                       	                  	                           	                     	                            	                      	                  	                               	                        	                  	                 	                         	                 	               	                        	                  	                        	                 	                   	                   	                      	                  	                  	              	               	                  	                        	                    	                  	                     	                          	                          	                           	                        	                 	                  	                	              	                   	                   	                      	                     	       

  IR	                 	                 	                  	              	198	1211	A	 12	H	CC	   8.00	    107.4700	benthics 	Benthic Foraminifers                         	F              	M                 	            	                   	                     	                    	                      	                	                    	              	                     	                        	                   	                     	                	                         	              	                     	                          	+                	             	                     	R                 	                            	                           	           	                          	                     	R                       	R                      	C                          	R               	C                   	                        	                       	                    	                 	                       	                  	                           	                     	                            	                      	                  	                               	                        	                  	                 	                         	                 	               	                        	                  	                        	                 	                   	                   	                      	                  	                  	              	               	                  	                        	                    	                  	                     	                          	                          	                           	                        	                 	                  	                	              	                   	                   	                      	                     	       

  IR	                 	                 	                  	              	198	1211	A	 13	H	CC	  16.00	    117.0200	benthics 	Benthic Foraminifers                         	R              	M                 	            	                   	                     	R                   	R                     	R               	                    	R             	T                    	T                       	                   	                     	                	                         	R             	                     	F                         	A                	             	R                    	                  	T                           	                           	T          	R                         	T                    	                        	                       	                           	                	                    	                        	                       	                    	                 	                       	                  	                           	                     	                            	                      	                  	                               	                        	                  	                 	                         	                 	               	                        	                  	                        	                 	                   	                   	                      	                  	                  	              	               	                  	                        	                    	                  	                     	                          	                          	                           	                        	                 	                  	                	              	                   	                   	                      	                     	       

  IR	                 	                 	                  	              	198	1211	A	 15	H	CC	  11.00	    135.4600	benthics 	Benthic Foraminifers                         	A              	M                 	            	                   	C                    	R                   	R                     	R               	                    	R             	+                    	                        	R                  	R                    	                	                         	              	                     	                          	                 	             	C                    	R                 	R                           	R                          	           	                          	                     	                        	                       	                           	                	                    	                        	                       	                    	                 	                       	                  	                           	                     	                            	                      	                  	                               	                        	                  	                 	                         	                 	               	                        	                  	                        	                 	                   	                   	                      	                  	                  	              	               	                  	                        	                    	                  	                     	                          	                          	                           	                        	                 	                  	                	              	                   	                   	                      	                     	       

  IR	                 	                 	                  	              	198	1211	A	 16	H	CC	  15.00	    145.4900	benthics 	Benthic Foraminifers                         	A              	G                 	            	T                  	C                    	F                   	R                     	F               	F                   	R             	                     	T                       	R                  	F                    	T               	R                        	+             	T                    	C                         	R                	R            	C                    	                  	                            	                           	           	                          	                     	                        	                       	                           	                	                    	                        	                       	                    	                 	                       	                  	                           	                     	                            	                      	                  	                               	                        	                  	                 	                         	                 	               	                        	                  	                        	                 	                   	                   	                      	                  	                  	              	               	                  	                        	                    	                  	                     	                          	                          	                           	                        	                 	                  	                	              	                   	                   	                      	                     	       

  IR	                 	                 	                  	              	198	1211	A	 18	H	CC	  15.00	    159.0100	benthics 	Benthic Foraminifers                         	R              	M                 	R           	T                  	F                    	R                   	R                     	R               	F                   	R             	R                    	                        	                   	                     	                	                         	              	                     	                          	                 	             	                     	                  	                            	                           	           	                          	                     	                        	                       	                           	                	                    	                        	                       	                    	                 	                       	                  	                           	                     	                            	                      	                  	                               	                        	                  	                 	                         	                 	               	                        	                  	                        	                 	                   	                   	                      	                  	                  	              	               	                  	                        	                    	                  	                     	                          	                          	                           	                        	                 	                  	                	              	                   	                   	                      	                     	       

