Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra umbilica,Reticulofenestra samodurovii,Chiasmolithus solitus,Blackites spinosus,Cyclicargolithus floridanus,Coccolithus pelagicus,Neococcolithes dubius,Zygrhablithus bijugatus,Reticulofenestra reticulata,Reticulofenestra daviesii,Pontosphaera multipora,Markalius inversus,Chiasmolithus altus,Braarudosphaera bigelowii,Reticulofenestra hillae,Reticulofenestra bisecta,Isthmolithus recurvus,Discoaster tanii,Discoaster saipanensis,Coccolithus formosus,Clausicoccus fenestratus,Chiasmolithus oamaruensis,Sphenolithus moriformis,Comment
  SR,Late Eocene      ,                 ,CP15              ,              ,152, 915,A, 17,R,CC,   1.00,    139.5100,Wei      ,Nannofossils                                 ,C              ,G                 ,F                        ,F                           ,                     ,                  ,                           ,F                    ,                     ,R                      ,F                          ,C                        ,R                     ,R                 ,F                  ,R                        ,                       ,                        ,                     ,                ,                      ,                    ,                        ,                         ,                       ,From Leg 152SR; Ch 11; Table 3; p 150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,152, 915,A, 21,R, 1,   4.00,    167.9400,Wei      ,Nannofossils                                 ,R              ,P                 ,                         ,                            ,R                    ,                  ,                           ,                     ,                     ,                       ,                           ,                         ,                      ,                  ,                   ,                         ,                       ,                        ,                     ,                ,                      ,                    ,                        ,                         ,                       ,From Leg 152SR; Ch 11; Table 3; p 150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,152, 915,A, 21,R, 1,  58.00,    168.4800,Wei      ,Nannofossils                                 ,B              ,                  ,                         ,                            ,R                    ,                  ,                           ,                     ,                     ,                       ,                           ,                         ,                      ,                  ,                   ,                         ,                       ,                        ,                     ,                ,                      ,                    ,                        ,                         ,                       ,From Leg 152SR; Ch 11; Table 3; p 150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,152, 915,A, 21,R, 2, 102.00,    170.4200,Wei      ,Nannofossils                                 ,R              ,P                 ,R                        ,R                           ,                     ,                  ,                           ,                     ,R                    ,                       ,                           ,                         ,                      ,                  ,                   ,                         ,                       ,                        ,                     ,                ,                      ,                    ,                        ,                         ,                       ,From Leg 152SR; Ch 11; Table 3; p 150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,152, 915,A, 21,R,CC,  32.00,    173.7200,Wei      ,Nannofossils                                 ,F              ,M                 ,R                        ,F                           ,R                    ,                  ,R                          ,R                    ,                     ,                       ,                           ,                         ,                      ,                  ,                   ,                         ,                       ,                        ,                     ,                ,                      ,                    ,                        ,                         ,                       ,From Leg 152SR; Ch 11; Table 3; p 150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,152, 915,A, 22,R, 1,  67.00,    178.1700,Wei      ,Nannofossils                                 ,R              ,M                 ,R                        ,F                           ,R                    ,                  ,                           ,                     ,                     ,                       ,                           ,                         ,                      ,                  ,                   ,                         ,                       ,                        ,                     ,                ,                      ,                    ,                        ,                         ,                       ,From Leg 152SR; Ch 11; Table 3; p 150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,152, 915,A, 22,R, 3,  10.00,    180.6000,Wei      ,Nannofossils                                 ,R              ,P                 ,                         ,R                           ,                     ,                  ,                           ,                     ,                     ,                       ,                           ,                         ,                      ,                  ,                   ,                         ,                       ,                        ,                     ,                ,                      ,                    ,                        ,                         ,                       ,From Leg 152SR; Ch 11; Table 3; p 150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,CP14a             ,              ,152, 915,A, 22,R,CC,   5.00,    181.0300,Wei      ,Nannofossils                                 ,R              ,P                 ,R                        ,R                           ,R                    ,R                 ,                           ,                     ,                     ,                       ,                           ,                         ,                      ,                  ,                   ,                         ,                       ,                        ,                     ,                ,                      ,                    ,                        ,                         ,                       ,From Leg 152SR; Ch 11; Table 3; p 150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
