Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongasteriscus marylandicus,Lychnocanoma elongata,Artophormis gracilis,Eucyrtidium diaphanes,Cyrtocapsella tetrapera,Cyrtocapsella cornuta,Calocycletta robusta,Calocycletta serrata,Stichocorys wolffii,Phormostichoartus corbula,Stichocorys delmontensis,Dorcadospyris ateuchus,Didymocyrtis violina,Didymocyrtis mammifera,Cyrtocapsella japonica,Calocycletta virginis,Didymocyrtis prismatica,Calocycletta costata,Didymocyrtis tubaria,Dorcadospyris dentata,Calocycletta caepa,Didymocyrtis laticonus,Didymocyrtis antepenultima,Diartus petterssoni,Comment
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,150, 903,D,  7,R, 3,  59.00,    836.3900,Nigrini  ,Radiolarians                                 ,F              ,P                 ,                            ,                     ,                    ,                     ,+                      ,                     ,                    ,                    ,                   ,                         ,                        ,                      ,                    ,?                     ,                      ,                     ,                       ,                    ,                    ,                     ,                  ,                      ,                          ,                   ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,150, 903,D,  8,R, 3,  60.00,    846.0000,Nigrini  ,Radiolarians                                 ,F              ,P                 ,                            ,                     ,                    ,                     ,+                      ,                     ,                    ,                    ,                   ,                         ,                        ,                      ,                    ,+                     ,                      ,                     ,                       ,                    ,                    ,                     ,                  ,                      ,                          ,                   ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,150, 903,D,  9,R, 3,  61.00,    855.6100,Nigrini  ,Radiolarians                                 ,F              ,P                 ,                            ,                     ,                    ,                     ,+                      ,                     ,                    ,                    ,                   ,                         ,+                       ,                      ,                    ,+                     ,                      ,                     ,                       ,                    ,                    ,                     ,                  ,                      ,                          ,                   ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,150, 903,D, 10,R, 3,  60.00,    865.3000,Nigrini  ,Radiolarians                                 ,F              ,M                 ,                            ,                     ,                    ,                     ,+                      ,                     ,                    ,                    ,                   ,                         ,                        ,                      ,                    ,+                     ,                      ,+                    ,                       ,                    ,                    ,                     ,                  ,+                     ,                          ,                   ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,150, 903,D, 11,R, 3,  60.00,    874.9000,Nigrini  ,Radiolarians                                 ,F              ,P                 ,                            ,                     ,                    ,                     ,                       ,+                    ,                    ,                    ,                   ,                         ,+                       ,                      ,                    ,                      ,                      ,                     ,                       ,                    ,+                   ,                     ,                  ,                      ,                          ,                   ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,150, 903,D, 13,R, 3,  52.00,    894.2200,Nigrini  ,Radiolarians                                 ,C              ,M                 ,                            ,                     ,                    ,                     ,                       ,                     ,                    ,                    ,                   ,                         ,+                       ,                      ,                    ,+                     ,                      ,+                    ,                       ,+                   ,+                   ,+                    ,?                 ,                      ,                          ,                   ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,150, 903,D, 14,R, 3,  60.00,    903.8000,Nigrini  ,Radiolarians                                 ,R              ,P                 ,                            ,                     ,                    ,-                    ,+                      ,                     ,                    ,                    ,                   ,                         ,                        ,                      ,                    ,                      ,                      ,                     ,                       ,                    ,+                   ,                     ,                  ,                      ,                          ,                   ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,150, 903,D, 15,R, 3,  60.00,    913.3000,Nigrini  ,Radiolarians                                 ,C              ,M                 ,                            ,                     ,                    ,+                    ,+                      ,+                    ,                    ,                    ,+                  ,                         ,+                       ,                      ,+                   ,                      ,+                     ,+                    ,                       ,?                   ,                    ,                     ,                  ,                      ,                          ,                   ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,150, 903,D, 16,R, 2,  59.00,    920.7900,Nigrini  ,Radiolarians                                 ,R              ,P                 ,                            ,                     ,                    ,+                    ,+                      ,T                    ,                    ,                    ,                   ,                         ,                        ,                      ,                    ,                      ,                      ,                     ,+                      ,                    ,                    ,                     ,                  ,                      ,                          ,                   ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,150, 903,D, 17,R, 3,  55.00,    932.3500,Nigrini  ,Radiolarians                                 ,C              ,M                 ,                            ,                     ,                    ,+                    ,+                      ,+                    ,                    ,                    ,+                  ,                         ,+                       ,T                     ,+                   ,+                     ,+                     ,+                    ,                       ,                    ,                    ,                     ,                  ,                      ,                          ,                   ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,S. wolffii (RN3)  ,              ,150, 903,D, 18,R, 3,  75.00,    942.1500,Nigrini  ,Radiolarians                                 ,R              ,P                 ,                            ,                     ,                    ,-                    ,+                      ,T                    ,                    ,                    ,+                  ,+                        ,                        ,                      ,                    ,                      ,                      ,                     ,                       ,                    ,                    ,                     ,                  ,                      ,                          ,                   ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. tetrapera (RN1),              ,150, 903,D, 20,R, 3,  66.00,    989.1700,Nigrini  ,Radiolarians                                 ,R              ,P                 ,+                           ,-                    ,-                   ,+                    ,T                      ,+                    ,                    ,T                   ,                   ,                         ,                        ,                      ,                    ,                      ,                      ,                     ,                       ,                    ,                    ,                     ,                  ,                      ,                          ,                   ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,C. tetrapera (RN1),              ,150, 903,D, 21,R, 3,  60.00,    998.5600,Nigrini  ,Radiolarians                                 ,R/F            ,M                 ,+                           ,-                    ,-                   ,+                    ,+                      ,+                    ,+                   ,                    ,                   ,                         ,                        ,                      ,                    ,                      ,                      ,                     ,                       ,                    ,                    ,                     ,                  ,                      ,                          ,                   ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,L. elongata (RP22),              ,150, 903,D, 24,R, 3,  22.00,   1028.5200,Nigrini  ,Radiolarians                                 ,R              ,VP                ,+                           ,-                    ,+                   ,                     ,                       ,                     ,                    ,                    ,                   ,                         ,                        ,                      ,                    ,                      ,                      ,                     ,                       ,                    ,                    ,                     ,                  ,                      ,                          ,                   ,From Leg 150 SR; Ch 3; Table 2; p 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
