Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Whiteinella baltica,Ticinella roberti,Ticinella primula,Ticinella madecassiana,Heterohelix moremani,Hedbergella planispira,Hedbergella delrioensis,Clavihedbergella simplex,Biticinella breggiensis,Ticinella raynaudi,Globigerinelloides bentonensis,Clavihedbergella subcretacea,Costellagerina libyca,Guembelitria cenomana,Globigerinelloides caseyi,Rotalipora cushmani,Whiteinella archaeocretacea,Rotalipora appenninica,Rotalipora brotzeni,Whiteinella inornata,Heterohelix globulosa,Pseudoguembelina costulata,Globigerinelloides prairiehillensis,Heterohelix reussi,Globotruncanella petaloidea,Globotruncanella havanensis,Rugoglobigerina rugosa,Heterohelix striata,Globotruncanita stuartiformis,Globotruncana bulloides,Globotruncana aegyptiaca,Rugotruncana subcircumnodifer,Gansserina gansseri,Contusotruncana fornicata,Rugoglobigerina hexacamerata,Globotruncana arca,Contusotruncana plummerae,Pseudotextularia elegans,Pseudotextularia deformis,Globotruncana linneiana,Globotruncanita stuarti,Globotruncanita conica,Abathomphalus mayaroensis,Subbotina triangularis,Morozovella velascoensis,Morozovella conicotruncata,Morozovella angulata,Morozovella aequa,Igorina pusilla,Igorina albeari,Subbotina velascoensis,Globanomalina pseudomenardii,Chiloguembelina wilcoxensis,Acarinina soldadoensis,Acarinina coalingensis,Morozovella acuta,Globanomalina planoconica,Acarinina wilcoxensis,Subbotina patagonica,Pseudohastigerina naguewichiensis,Morozovella subbotinae,Morozovella occlusa,Morozovella gracilis,Morozovella edgari,Igorina tadjikistanensis,Morozovella marginodentata,Acarinina quetra,Igorina broedermanni,Turborotalia praecentralis,Pseudohastigerina micra,Morozovella lensiformis,Morozovella formosa,Morozovella aragonensis,Subbotina inaequispira,Planorotalites pseudoscitulus,Planorotalites palmerae,Guembelitrioides higginsi,Globigerina lozanoi,Acarinina pentacamerata,Acarinina aspensis,Turborotalia griffinae,Muricoglobigerina senni,Acarinina pseudotopilensis,Acarinina bullbrooki,Morozovella spinulosa,Acarinina praetopilensis,Chiloguembelina cubensis,Globorotaloides suteri,Globigerina pseudovenezuelana,Dentoglobigerina galavisi,Catapsydrax unicavus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B,  5,R,CC,   9.00,     49.6200,forams   ,Planktonic Foraminifers                      ,A              ,M                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,P                   ,                          ,P                      ,                       ,                   ,P                      ,                      ,P                            ,P                      ,                         ,P                  ,                       ,P                 ,                      ,P                      ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B,  6,R,CC,   6.00,     59.8900,forams   ,Planktonic Foraminifers                      ,A              ,M                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,P                      ,                       ,                   ,P                      ,                      ,P                            ,P                      ,+                        ,                   ,                       ,P                 ,                      ,P                      ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B,  7,R,CC,   4.00,     69.0200,forams   ,Planktonic Foraminifers                      ,A              ,M                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,P                      ,                       ,                   ,                       ,                      ,                             ,P                      ,                         ,P                  ,                       ,P                 ,                      ,P                      ,P                         ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B,  8,R,CC,  22.00,     78.9600,forams   ,Planktonic Foraminifers                      ,A              ,M                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,P                     ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,P                   ,                          ,P                      ,                       ,                   ,                       ,                      ,P                            ,                       ,                         ,P                  ,                       ,P                 ,P                     ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B,  9,R,CC,   0.00,     89.1400,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,P                     ,                      ,                 ,                         ,P                    ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,P               ,P                   ,                          ,P                      ,                       ,                   ,P                      ,                      ,P                            ,                       ,+                        ,P                  ,P                      ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 10,R,CC,   0.00,     98.1400,forams   ,Planktonic Foraminifers                      ,F              ,P                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,P                     ,                      ,                 ,                         ,P                    ,                    ,                                 ,                      ,                   ,+                   ,                  ,                        ,                          ,P               ,+                   ,                          ,P                      ,                       ,                   ,P                      ,P                     ,+                            ,+                      ,+                        ,P                  ,P                      ,+                 ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 11,R,CC,   6.00,    108.7600,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,P                     ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,P                     ,                      ,                 ,                         ,P                    ,                    ,                                 ,                      ,                   ,P                   ,                  ,                        ,                          ,P               ,P                   ,P                         ,P                      ,                       ,P                  ,P                      ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 12,R,CC,   0.00,    117.4000,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,P                     ,                      ,                 ,                         ,P                    ,                    ,                                 ,P                     ,                   ,P                   ,                  ,                        ,                          ,                ,                    ,P                         ,                       ,+                      ,+                  ,P                      ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 13,R,CC,  12.00,    128.0300,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,P                          ,P                     ,                      ,                 ,                         ,                     ,                    ,                                 ,P                     ,                   ,P                   ,                  ,                        ,                          ,                ,                    ,P                         ,P                      ,P                      ,P                  ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 14,R,CC,  19.00,    136.7700,forams   ,Planktonic Foraminifers                      ,A              ,P                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,P                ,               ,               ,                      ,                            ,P                          ,P                     ,P                     ,                 ,                         ,P                    ,                    ,                                 ,P                     ,                   ,                    ,                  ,                        ,                          ,P               ,P                   ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 15,R,CC,  11.00,    147.2400,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,P                     ,                        ,                          ,                    ,P                ,               ,               ,                      ,                            ,P                          ,P                     ,                      ,                 ,                         ,P                    ,P                   ,                                 ,P                     ,                   ,P                   ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 16,R,CC,   0.00,    155.7200,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,P                          ,P                     ,P                     ,                 ,                         ,P                    ,P                   ,                                 ,P                     ,                   ,P                   ,                  ,                        ,P                         ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 17,R,CC,   0.00,    166.3700,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,P                ,               ,               ,                      ,                            ,P                          ,                      ,P                     ,                 ,                         ,                     ,                    ,                                 ,P                     ,                   ,P                   ,                  ,                        ,P                         ,P               ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 18,R,CC,   6.00,    175.1400,forams   ,Planktonic Foraminifers                      ,F              ,P                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,+                     ,P                       ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,P                     ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 19,R,CC,  19.00,    185.9300,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,P                ,               ,               ,                      ,                            ,                           ,                      ,P                     ,                 ,                         ,P                    ,P                   ,P                                ,P                     ,P                  ,P                   ,P                 ,P                       ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 20,R,CC,  14.00,    192.0100,forams   ,Planktonic Foraminifers                      ,A              ,M                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,P                       ,                          ,                    ,P                ,               ,P              ,                      ,                            ,                           ,P                     ,P                     ,P                ,P                        ,P                    ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
