Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Prunopyle hayesi	Periphaena heliasteriscus	Lychnocanoma amphitrite	Lophoconus titanothericeraos	Lithomelissa sphaerocephalis	Eusyringium fistuligerum	Eucyrtidium spinosum	Cyclampterium(?) milowi	Corythospyris aff. jubata	Calocyclas sp. B	Calocyclas cf. semipolita	Axoprunum pierinae	Axoprunum bispiculum	Amphistylus? sp. 	Lophocyrtis biaurita	Clathrocyclas universa	Diplocyclas sp.	Dictyoprora pirum	Amphistylus angelinus	Zygocircus buetschli	Theoperid (gen. et sp. Indet.)	Lychnocanoma cf. babylonis	Eucyrtidium cheni	Carpocanistrum spp.	Lychnocanoma conica	Lithomelissa challengerae	Cyrtocapsella robusta	Axoprunum(?) irregularis	Siphocampe nodosaria	Cycladophora conica	Botryopyle dictyocephalus	Helotholus vema	Eucyrtidium calvertense	Desmospyris spongiosa	Antarctissa denticulata	Antarctissa cylindrica	Corythomelissa horrida	Calocyclas sp. A	Cyrtocapsella aff. japonica	Cycladophora bicornis	Spongoplegma antarcticum	Prunopyle titan	Prunopyle tetrapila	Lithomelissa sp.	Dendrospyris rhodospyroides	Cycladophora golli	Comment

  SR	Oligocene        	                 	A. irregularis    	              	120	 749	B	  2	H	 1	  45.00	      6.2500	Takemura 	Radiolarians                                 	C              	M                 	F               	                         	+                      	+                           	                            	                        	                    	                       	                         	                	?                        	                  	                    	                 	                    	                      	               	                 	+                    	                    	                              	                          	?                	C                  	C                  	                         	F                    	                        	                    	R                  	+                        	               	?                      	                     	+                      	R                     	                      	R               	R                          	                     	                        	               	                   	                	                           	                  	from ODP Leg 120 SR Vol 2 Chapter 39 Table 2 p 738-739

  SR	Oligocene        	                 	A. irregularis    	              	120	 749	B	  2	H	 2	  45.00	      7.7500	Takemura 	Radiolarians                                 	C              	M                 	F               	+                        	+                      	                            	                            	                        	                    	+                      	                         	                	R                        	                  	                    	                 	                    	                      	               	                 	                     	                    	                              	                          	+                	F                  	F                  	                         	F                    	F                       	                    	+                  	+                        	               	                       	+                    	                       	R                     	+                     	F               	                           	                     	                        	               	                   	                	                           	                  	from ODP Leg 120 SR Vol 2 Chapter 39 Table 2 p 738-739

  SR	Oligocene        	                 	A. irregularis    	              	120	 749	B	  2	H	 3	  45.00	      9.2500	Takemura 	Radiolarians                                 	F/C            	M                 	C               	                         	                       	                            	                            	                        	                    	                       	+                        	                	R                        	                  	                    	                 	                    	                      	               	                 	                     	                    	                              	                          	?                	R                  	F                  	+                        	F                    	F                       	                    	                   	R                        	+              	R                      	F                    	R                      	C                     	R                     	?               	                           	                     	                        	               	                   	                	                           	                  	from ODP Leg 120 SR Vol 2 Chapter 39 Table 2 p 738-739

  SR	Oligocene        	                 	A. irregularis    	              	120	 749	B	  2	H	 4	  45.00	     10.7500	Takemura 	Radiolarians                                 	F              	M                 	F               	                         	                       	                            	                            	                        	                    	                       	+                        	                	+                        	                  	+                   	                 	                    	                      	               	                 	                     	                    	                              	                          	                 	R                  	F                  	+                        	R                    	F                       	                    	                   	                         	R              	R                      	C                    	R                      	C                     	                      	                	                           	                     	                        	               	                   	                	                           	                  	from ODP Leg 120 SR Vol 2 Chapter 39 Table 2 p 738-739

  SR	Oligocene        	                 	A. irregularis    	              	120	 749	B	  2	H	 5	  45.00	     12.2500	Takemura 	Radiolarians                                 	C              	M                 	R               	                         	                       	                            	R                           	                        	                    	+                      	C                        	                	?                        	                  	                    	                 	                    	                      	               	                 	+                    	                    	+                             	                          	R                	C                  	?                  	                         	F                    	F                       	+                   	+                  	R                        	               	                       	                     	                       	                      	                      	                	                           	                     	                        	               	                   	                	                           	                  	from ODP Leg 120 SR Vol 2 Chapter 39 Table 2 p 738-739

  SR	Oligocene        	                 	A. irregularis    	              	120	 749	B	  2	H	 6	  45.00	     13.7500	Takemura 	Radiolarians                                 	C              	M                 	F               	+                        	R                      	                            	R                           	                        	+                   	+                      	+                        	                	F                        	                  	                    	+                	                    	                      	               	                 	                     	                    	                              	                          	R                	F                  	R                  	+                        	?                    	C                       	                    	                   	                         	               	                       	                     	                       	                      	                      	                	                           	                     	                        	               	                   	                	                           	                  	from ODP Leg 120 SR Vol 2 Chapter 39 Table 2 p 738-739

  SR	Eocene           	                 	E. spinosum       	              	120	 749	B	  3	H	 1	  45.00	     15.7500	Takemura 	Radiolarians                                 	C              	M                 	R               	F                        	C                      	+                           	R                           	                        	F                   	C                      	                         	                	F                        	R                 	R                   	F                	+                   	                      	               	                 	                     	+                   	+                             	+                         	?                	+                  	                   	                         	                     	                        	                    	                   	                         	               	                       	                     	                       	                      	                      	                	                           	                     	                        	               	                   	                	                           	                  	from ODP Leg 120 SR Vol 2 Chapter 39 Table 2 p 738-739

  SR	Eocene           	                 	E. spinosum       	              	120	 749	B	  3	H	 4	  45.00	     20.2500	Takemura 	Radiolarians                                 	F/C            	M                 	                	R                        	F                      	                            	R                           	                        	F                   	C                      	F                        	F               	F                        	R                 	F                   	F                	+                   	                      	+              	+                	?                    	                    	                              	                          	                 	                   	                   	                         	                     	                        	                    	                   	                         	               	                       	                     	                       	                      	                      	                	                           	                     	                        	               	                   	                	                           	                  	from ODP Leg 120 SR Vol 2 Chapter 39 Table 2 p 738-739

  SR	Eocene           	                 	E. spinosum       	              	120	 749	B	  3	H	 5	  45.00	     21.7500	Takemura 	Radiolarians                                 	F              	P-M               	+               	F                        	F                      	+                           	F                           	                        	F                   	C                      	F                        	F               	R                        	F                 	F                   	F                	?                   	R                     	               	                 	                     	                    	                              	                          	                 	                   	                   	                         	                     	                        	                    	                   	                         	               	                       	                     	                       	                      	                      	                	                           	                     	                        	               	                   	                	                           	                  	from ODP Leg 120 SR Vol 2 Chapter 39 Table 2 p 738-739

  SR	Eocene           	                 	E. spinosum       	              	120	 749	B	  3	H	 6	  45.00	     23.2500	Takemura 	Radiolarians                                 	R/F            	P                 	                	F                        	                       	R                           	R                           	                        	?                   	C                      	R                        	F               	                         	F                 	R                   	?                	+                   	F                     	               	                 	                     	                    	                              	                          	                 	                   	                   	                         	                     	                        	                    	                   	                         	               	                       	                     	                       	                      	                      	                	                           	                     	                        	               	                   	                	                           	                  	from ODP Leg 120 SR Vol 2 Chapter 39 Table 2 p 738-739

  SR	Eocene           	                 	E. spinosum       	              	120	 749	B	  3	H	 7	  45.00	     24.7500	Takemura 	Radiolarians                                 	F              	P-M               	R               	R                        	+                      	+                           	F                           	+                       	R                   	C                      	F                        	R               	+                        	F                 	F                   	R                	                    	                      	               	                 	                     	                    	                              	                          	                 	                   	                   	                         	                     	                        	                    	                   	                         	               	                       	                     	                       	                      	                      	                	                           	                     	                        	               	                   	                	                           	                  	from ODP Leg 120 SR Vol 2 Chapter 39 Table 2 p 738-739

