Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeaglobigerina decoraperta	Neogloboquadrina acostaensis	Globorotalia menardii	Globigerinoides extremus	Sphaeroidinellopsis kochi	Pulleniatina primalis	Neogloboquadrina humerosa	Globigerinoides trilobus	Globorotalia tumida	Globorotalia scitula	Globigerinoides obliquus	Tenuitella minutissima	Globorotalia birnageae	Globigerina praebulloides	Globorotaloides hexagona	Globorotalia peripheroronda	Globoquadrina venezuelana	Globigerina falconensis	Globigerinoides tenellus	Orbulina universa	Globigerinoides ruber	Globigerinoides immaturus	Pulleniatina obliquiloculata	Catapsydrax dissimilis	Fohsella fohsi fohsi	Neogloboquadrina dutertrei	Globorotalia siakensis	Globorotalia kugleri	Globoquadrina dehiscens	Dentoglobigerina altispira	Catapsydrax stainforthi	Comment
  IR	Pleistocene      	Late Pliocene    	                  	N19           	170	1040	B	 11	X	CC	  40.00	     93.8400	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                          	                            	P                    	                        	                         	                     	                         	                        	                   	                    	                        	                      	                      	                         	                        	                           	                         	                       	P                       	                 	                     	                         	                            	                      	                    	                          	                      	                    	                       	                          	                       	       

  IR	                 	Pleistocene      	                  	N21           	170	1040	B	 12	X	CC	  16.00	     98.4800	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	R                         	R                           	R                    	                        	                         	                     	                         	R                       	                   	R                   	R                       	                      	                      	                         	R                       	                           	                         	R                      	                        	                 	                     	                         	                            	                      	                    	                          	                      	                    	                       	                          	                       	       

  IR	Pleistocene      	Late Pliocene    	                  	N19           	170	1040	B	 14	X	CC	  30.00	    112.3300	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	                          	                            	R                    	R                       	                         	                     	                         	R                       	                   	                    	                        	                      	                      	                         	R                       	R                          	R                        	                       	                        	                 	                     	                         	                            	                      	                    	                          	                      	                    	                       	                          	                       	       

  IR	Pleistocene      	Late Pliocene    	                  	N19           	170	1040	B	 15	X	CC	  27.00	    120.8600	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	                          	R                           	                     	                        	                         	                     	                         	                        	                   	                    	                        	P                     	P                     	R                        	                        	                           	                         	                       	                        	                 	                     	                         	                            	                      	                    	                          	                      	                    	                       	                          	                       	       

  IR	Pleistocene      	Late Pliocene    	                  	N19           	170	1040	B	 18	X	CC	  31.00	    147.1700	Ibaraki  	Planktonic Foraminifers                      	T              	M                 	                          	                            	                     	                        	                         	                     	                         	                        	                   	P                   	                        	                      	                      	                         	                        	                           	                         	                       	                        	                 	                     	                         	                            	                      	                    	                          	                      	                    	                       	                          	                       	       

  IR	Pleistocene      	Late Pliocene    	                  	N19           	170	1040	B	 19	X	CC	  79.00	    160.7000	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	                          	R                           	R                    	R                       	                         	R                    	R                        	R                       	R                  	R                   	R                       	                      	                      	                         	                        	                           	                         	                       	                        	                 	                     	                         	                            	                      	                    	                          	                      	                    	                       	                          	                       	       

  IR	Pleistocene      	Late Pliocene    	                  	N19           	170	1040	B	 20	X	CC	  35.00	    171.1100	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	                          	                            	                     	R                       	R                        	R                    	R                        	R                       	                   	                    	                        	                      	                      	                         	                        	                           	                         	                       	                        	                 	                     	                         	                            	                      	                    	                          	                      	                    	                       	                          	                       	       

  IR	Pleistocene      	Late Pliocene    	                  	N19           	170	1040	B	 21	X	CC	  35.00	    179.2600	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	R                         	R                           	R                    	R                       	                         	                     	                         	                        	                   	                    	                        	                      	                      	                         	                        	                           	                         	                       	                        	                 	                     	                         	                            	                      	                    	                          	                      	                    	                       	                          	                       	       

