Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Systematophora placacantha,Spiniferites spp.,Spiniferites elongatus,Palaeocystodinium golzowense,Operculodinium spp.,Operculodinium centrocarpum,Nematosphaeropsis rigida,Impagidinium spp.,Distatodinium spp.,Cordosphaeridium minimum,Batiacasphaera sphaerica,Batiacasphaera micropapillata,Achomosphaera sp.1,Unipontidinium aquaeductum,Spiniferites pseudofurcatus,Reticulatosphaera actinocoronata,Lejeunecysta spp.,Labyrinthodinium truncatum,Dapsilidinium spp.,Batiacasphaera minuta,Tectatodinium psilatum,Tectatodinium pellitum,Lingulodinium machaerophorum,Dinoflagellate cyst sp.908,Pentadinium laticinctum,Impagidinium strialatum,Hystrichostrogylon coninckii,Distatodinium paradoxum,Spiniferites mirabilis,Palaeocystodinium spp.,Oligosphaeridium spp.,Dinoflagellate cysts indet.,Dapsilidinium pastielsii,Tuberculodinium vancampoae,Distatodinium craterum,Nematosphaeropsis lemniscata,Operculodinium israelianum,Amiculosphaera umbracula,Protoperidinium spp.,Impletosphaeridium spp.,Votadinium spp.,Operculodinium piaseckii,Polysphaeridium congregatum,Phelodinium spp.,Impagidinium japonicum,Barssidinium graminosum,"Protoperidinium spp. ""round browns""",Batiacasphaera hirsuta,Impagidinium? pallidum,Batiacasphaera spp.,Palaeocystodinium sp.1,Operculodinium cf. giganteum ,Operculodinium? eirikianum,Lingulodinium brevispinosum,Hystrichosphaeropsis obscura,Cymatiosphaera ?invaginata,Bitectatodinium spp.,Habibacysta tectata,Melitasphaeridium choanophorum,Impagidinium patulum,Filisphaera filifera,Trinovantedinium spp.,Incertae sedis sp.1,Evittosphaerula? sp. 2 ,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Mio6              ,              ,151, 907,A, 10,H,CC,  16.00,     93.1700,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                 ,                      ,                            ,                   ,                           ,                        ,R                ,                  ,                        ,                        ,                             ,                  ,                          ,                           ,                                ,R                ,                          ,                  ,                     ,                      ,                      ,                            ,                          ,                       ,R                      ,                            ,                       ,                      ,                      ,                     ,                           ,                        ,                          ,                      ,                            ,                          ,                        ,                    ,                       ,               ,                        ,                           ,                ,                      ,                       ,                                   ,                      ,                      ,                   ,                      ,                             ,                          ,                           ,                            ,                          ,                    ,                   ,                              ,                    ,                    ,                     ,                   ,                       ,uncertain zonal assignment. From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Mio6              ,              ,151, 907,A, 11,H, 2,  24.00,     94.5400,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                 ,                      ,                            ,                   ,                           ,                        ,                 ,                  ,                        ,                        ,R                            ,                  ,                          ,                           ,                                ,                 ,                          ,                  ,                     ,                      ,                      ,                            ,                          ,                       ,                       ,                            ,                       ,                      ,                      ,                     ,                           ,                        ,                          ,                      ,                            ,                          ,                        ,                    ,R                      ,               ,                        ,                           ,                ,                      ,                       ,                                   ,                      ,                      ,                   ,                      ,                             ,                          ,                           ,                            ,                          ,                    ,                   ,                              ,                    ,                    ,                     ,                   ,F                      ,uncertain zonal assignment. From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Mio6              ,              ,151, 907,A, 11,H, 4,  24.00,     97.5400,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                 ,                      ,                            ,                   ,R                          ,                        ,                 ,                  ,                        ,                        ,                             ,                  ,                          ,                           ,                                ,                 ,                          ,                  ,                     ,                      ,                      ,                            ,                          ,                       ,                       ,                            ,                       ,                      ,                      ,                     ,                           ,                        ,                          ,                      ,                            ,                          ,                        ,                    ,                       ,               ,                        ,                           ,                ,                      ,                       ,                                   ,                      ,                      ,                   ,                      ,                             ,                          ,                           ,                            ,                          ,                    ,                   ,                              ,                    ,                    ,                     ,                   ,                       ,uncertain zonal assignment. From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Mio6              ,              ,151, 907,A, 11,H,CC,  20.00,    102.8400,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                 ,                      ,                            ,                   ,                           ,                        ,                 ,                  ,                        ,                        ,                             ,                  ,                          ,                           ,                                ,                 ,                          ,                  ,                     ,                      ,                      ,R                           ,                          ,                       ,                       ,                            ,                       ,                      ,                      ,                     ,                           ,                        ,                          ,                      ,                            ,                          ,                        ,                    ,                       ,               ,                        ,                           ,                ,                      ,                       ,                                   ,                      ,                      ,                   ,                      ,                             ,                          ,                           ,                            ,                          ,                    ,                   ,                              ,                    ,                    ,                     ,                   ,                       ,uncertain zonal assignment. From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Mio6              ,              ,151, 907,A, 12,H, 2,  28.00,    104.0800,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                 ,                      ,                            ,                   ,                           ,                        ,                 ,R                 ,                        ,R                       ,                             ,                  ,                          ,                           ,                                ,                 ,                          ,                  ,                     ,                      ,R                     ,                            ,R                         ,                       ,                       ,                            ,                       ,                      ,                      ,                     ,R                          ,                        ,                          ,                      ,                            ,                          ,                        ,R                   ,                       ,               ,R                       ,                           ,                ,                      ,                       ,                                   ,                      ,                      ,                   ,                      ,                             ,                          ,                           ,                            ,                          ,                    ,                   ,                              ,                    ,                    ,                     ,                   ,                       ,uncertain zonal assignment. From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Mio6              ,              ,151, 907,A, 12,H, 4,  27.00,    107.0700,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                 ,                      ,                            ,                   ,                           ,R                       ,                 ,                  ,R                       ,                        ,R                            ,                  ,                          ,                           ,                                ,                 ,                          ,                  ,                     ,                      ,                      ,                            ,                          ,                       ,                       ,                            ,                       ,                      ,                      ,                     ,                           ,                        ,                          ,                      ,                            ,                          ,                        ,                    ,                       ,               ,                        ,                           ,                ,                      ,                       ,                                   ,                      ,R                     ,                   ,                      ,                             ,                          ,                           ,                            ,                          ,                    ,                   ,                              ,                    ,                    ,                     ,                   ,R                      ,uncertain zonal assignment. From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Mio6              ,              ,151, 907,A, 12,H, 6,  19.00,    109.9900,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,R                ,                      ,                            ,                   ,                           ,                        ,                 ,                  ,                        ,R                       ,                             ,                  ,                          ,                           ,                                ,                 ,                          ,                  ,                     ,                      ,                      ,                            ,                          ,                       ,                       ,                            ,                       ,                      ,                      ,                     ,                           ,R                       ,                          ,                      ,                            ,                          ,R                       ,                    ,                       ,               ,                        ,                           ,                ,                      ,                       ,                                   ,                      ,R                     ,                   ,                      ,                             ,                          ,                           ,                            ,                          ,                    ,                   ,                              ,                    ,                    ,                     ,                   ,R                      ,uncertain zonal assignment. From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Mio6              ,              ,151, 907,A, 12,H,CC,  25.00,    112.2200,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,C                ,                      ,                            ,                   ,R                          ,A                       ,                 ,                  ,                        ,A                       ,C                            ,                  ,                          ,                           ,R                               ,                 ,R                         ,                  ,                     ,VA                    ,                      ,                            ,                          ,                       ,A                      ,                            ,                       ,                      ,                      ,                     ,                           ,                        ,                          ,                      ,                            ,R                         ,R                       ,                    ,                       ,               ,R                       ,                           ,                ,                      ,R                      ,                                   ,                      ,R                     ,                   ,                      ,                             ,                          ,                           ,                            ,R                         ,                    ,                   ,R                             ,                    ,                    ,                     ,R                  ,R                      ,uncertain zonal assignment. From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Mio6              ,              ,151, 907,A, 13,H, 2,  24.00,    113.5400,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,F                ,                      ,                            ,                   ,                           ,C                       ,                 ,                  ,                        ,C                       ,F                            ,C                 ,                          ,                           ,R                               ,                 ,R                         ,                  ,                     ,                      ,                      ,                            ,C                         ,                       ,                       ,                            ,                       ,                      ,                      ,                     ,                           ,R                       ,R                         ,                      ,                            ,                          ,                        ,                    ,                       ,               ,                        ,                           ,                ,                      ,                       ,R                                  ,                      ,                      ,                   ,                      ,                             ,                          ,R                          ,                            ,                          ,                    ,                   ,R                             ,                    ,                    ,                     ,                   ,                       ,uncertain zonal assignment. From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Mio6              ,              ,151, 907,A, 13,H, 4,  24.00,    116.5400,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,C                ,                      ,                            ,                   ,                           ,                        ,                 ,                  ,                        ,                        ,F                            ,R                 ,                          ,                           ,                                ,                 ,R                         ,                  ,                     ,                      ,                      ,                            ,F                         ,                       ,                       ,                            ,                       ,                      ,                      ,                     ,                           ,                        ,R                         ,                      ,                            ,                          ,                        ,                    ,                       ,               ,                        ,                           ,                ,                      ,                       ,F                                  ,                      ,                      ,                   ,                      ,                             ,                          ,                           ,                            ,                          ,                    ,                   ,                              ,                    ,                    ,                     ,                   ,                       ,uncertain zonal assignment. From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Mio6              ,              ,151, 907,A, 13,H, 6,  24.00,    119.5400,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,R                ,                      ,                            ,                   ,                           ,R                       ,R                ,                  ,                        ,A                       ,R                            ,                  ,                          ,                           ,                                ,                 ,                          ,                  ,                     ,                      ,                      ,                            ,R                         ,                       ,                       ,                            ,                       ,                      ,                      ,                     ,R                          ,R                       ,R                         ,                      ,                            ,                          ,                        ,                    ,                       ,               ,                        ,                           ,                ,                      ,                       ,R                                  ,                      ,                      ,                   ,                      ,                             ,                          ,                           ,                            ,                          ,                    ,                   ,                              ,                    ,                    ,R                    ,                   ,                       ,uncertain zonal assignment. From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Mio6              ,              ,151, 907,A, 13,H,CC,  13.00,    121.7500,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,VA               ,                      ,                            ,R                  ,                           ,R                       ,                 ,                  ,F                       ,C                       ,A                            ,R                 ,                          ,A                          ,                                ,                 ,R                         ,                  ,                     ,                      ,                      ,                            ,                          ,                       ,                       ,                            ,                       ,                      ,                      ,                     ,                           ,R                       ,                          ,                      ,                            ,                          ,                        ,                    ,                       ,               ,                        ,                           ,                ,                      ,                       ,                                   ,                      ,                      ,                   ,                      ,                             ,                          ,                           ,                            ,                          ,                    ,F                  ,R                             ,R                   ,R                   ,                     ,                   ,                       ,uncertain zonal assignment. From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Mio6              ,              ,151, 907,A, 14,H, 2,  14.00,    122.9400,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                 ,                      ,                            ,                   ,A                          ,                        ,                 ,                  ,                        ,F                       ,C                            ,                  ,                          ,F                          ,                                ,                 ,                          ,                  ,                     ,R                     ,                      ,                            ,                          ,R                      ,R                      ,                            ,                       ,R                     ,                      ,                     ,                           ,R                       ,                          ,                      ,                            ,R                         ,                        ,                    ,                       ,               ,                        ,                           ,                ,                      ,                       ,R                                  ,                      ,                      ,                   ,                      ,                             ,                          ,                           ,                            ,                          ,A                   ,R                  ,                              ,                    ,                    ,                     ,                   ,                       ,uncertain zonal assignment. From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Mio6              ,              ,151, 907,A, 14,H, 4,  14.00,    125.9400,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,R                ,                      ,                            ,                   ,R                          ,R                       ,                 ,                  ,                        ,                        ,A                            ,                  ,                          ,R                          ,                                ,                 ,R                         ,                  ,                     ,                      ,                      ,R                           ,                          ,                       ,R                      ,                            ,                       ,                      ,                      ,                     ,                           ,                        ,                          ,                      ,                            ,                          ,                        ,                    ,                       ,               ,                        ,                           ,                ,                      ,                       ,                                   ,                      ,                      ,                   ,                      ,                             ,R                         ,R                          ,R                           ,VA                        ,R                   ,                   ,                              ,                    ,                    ,                     ,                   ,                       ,uncertain zonal assignment. From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Mio6              ,              ,151, 907,A, 14,H,CC,  21.00,    131.1900,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,R                ,                      ,                            ,R                  ,                           ,                        ,R                ,                  ,                        ,                        ,VA                           ,                  ,                          ,                           ,                                ,                 ,                          ,R                 ,                     ,R                     ,                      ,                            ,                          ,                       ,F                      ,                            ,                       ,                      ,                      ,                     ,                           ,                        ,                          ,                      ,                            ,                          ,                        ,                    ,                       ,               ,                        ,                           ,                ,                      ,                       ,                                   ,                      ,                      ,                   ,                      ,C                            ,                          ,                           ,                            ,                          ,                    ,                   ,                              ,                    ,                    ,                     ,                   ,                       ,uncertain zonal assignment. From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Mio6              ,              ,151, 907,A, 15,H, 2,  14.00,    132.4400,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                 ,                      ,                            ,                   ,R                          ,R                       ,R                ,                  ,                        ,                        ,F                            ,                  ,                          ,                           ,R                               ,                 ,                          ,                  ,R                    ,                      ,                      ,                            ,                          ,                       ,                       ,                            ,                       ,                      ,                      ,                     ,                           ,                        ,                          ,                      ,                            ,                          ,                        ,                    ,                       ,               ,                        ,                           ,                ,                      ,                       ,R                                  ,                      ,                      ,                   ,                      ,                             ,                          ,                           ,                            ,                          ,                    ,                   ,                              ,                    ,                    ,                     ,                   ,                       ,uncertain zonal assignment. From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Mio6              ,              ,151, 907,A, 15,H, 4,  14.00,    135.4400,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,R                ,                      ,                            ,                   ,R                          ,R                       ,R                ,                  ,                        ,                        ,A                            ,                  ,                          ,                           ,F                               ,                 ,                          ,                  ,                     ,                      ,                      ,                            ,                          ,                       ,                       ,                            ,                       ,                      ,                      ,                     ,                           ,                        ,                          ,                      ,                            ,                          ,                        ,                    ,                       ,               ,                        ,                           ,                ,                      ,                       ,                                   ,                      ,                      ,                   ,                      ,                             ,                          ,                           ,                            ,                          ,                    ,                   ,                              ,                    ,                    ,                     ,                   ,                       ,uncertain zonal assignment. Rare reworked dinoflagellate cysts. From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Mio6              ,              ,151, 907,A, 15,H,CC,  25.00,    140.5000,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,R                ,                      ,                            ,                   ,                           ,                        ,                 ,                  ,                        ,R                       ,R                            ,                  ,                          ,R                          ,                                ,                 ,                          ,                  ,                     ,                      ,                      ,                            ,                          ,                       ,                       ,                            ,                       ,                      ,                      ,                     ,                           ,                        ,                          ,                      ,                            ,                          ,                        ,                    ,                       ,               ,                        ,                           ,                ,                      ,                       ,                                   ,                      ,                      ,                   ,                      ,                             ,                          ,                           ,                            ,                          ,                    ,                   ,                              ,                    ,                    ,                     ,                   ,                       ,uncertain zonal assignment. From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 907,A, 16,H, 2,  14.00,    141.9400,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,R                ,                      ,                            ,                   ,                           ,                        ,                 ,                  ,                        ,                        ,R                            ,                  ,                          ,                           ,                                ,                 ,                          ,                  ,                     ,                      ,                      ,                            ,                          ,                       ,                       ,                            ,                       ,                      ,                      ,                     ,                           ,                        ,                          ,                      ,                            ,                          ,                        ,                    ,                       ,               ,                        ,                           ,                ,                      ,                       ,                                   ,                      ,                      ,                   ,                      ,                             ,                          ,                           ,                            ,                          ,                    ,                   ,                              ,                    ,                    ,                     ,                   ,                       ,From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,Mio4              ,Mio5          ,151, 907,A, 16,H, 4,  14.00,    144.9400,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,                 ,                      ,R                           ,                   ,                           ,                        ,                 ,                  ,R                       ,R                       ,F                            ,R                 ,                          ,                           ,                                ,                 ,                          ,R                 ,                     ,R                     ,                      ,                            ,                          ,                       ,                       ,                            ,                       ,                      ,                      ,                     ,                           ,                        ,                          ,                      ,                            ,                          ,                        ,                    ,                       ,               ,                        ,                           ,                ,                      ,                       ,                                   ,                      ,                      ,                   ,                      ,                             ,                          ,                           ,                            ,                          ,                    ,                   ,                              ,                    ,                    ,                     ,                   ,                       ,From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,Mio4              ,Mio5          ,151, 907,A, 16,H,CC,  27.00,    150.1800,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                          ,R                ,                      ,F                           ,                   ,                           ,R                       ,                 ,                  ,                        ,VA                      ,A                            ,                  ,                          ,                           ,                                ,                 ,                          ,                  ,                     ,R                     ,                      ,                            ,                          ,                       ,                       ,                            ,                       ,                      ,                      ,                     ,R                          ,                        ,                          ,                      ,                            ,                          ,                        ,R                   ,                       ,               ,R                       ,                           ,                ,                      ,                       ,R                                  ,R                     ,R                     ,                   ,R                     ,                             ,                          ,                           ,                            ,                          ,                    ,                   ,                              ,                    ,                    ,                     ,                   ,                       ,Rare reworked dinoflagellate cysts. From Leg 151SR. Ch 14. Fig 3. p. 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
