Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stephanopyxis turris,Stephanogonia hanzawae,Pseudopyxilla directa,Ikebea tenuis,Chaetoceros spp. (resting spores),Thalassionema lineatum,Rhizosolenia miocenica,Rhizosolenia hebetata f. semispina,Rhaphoneis ossiformis,Proboscia alata,Denticulopsis hustedtii,Rhizosolenia norwegica,Pseudopyxilla rossica,Porosira glacialis,Nitzschia pseudocylindrica,Goniothecium tenue,Denticulopsis lauta,Actinocyclus ehrenbergii,Stephanopyxis spinossima,Proboscia praebarboi,Coscinodiscus norwegicus,Thalassiosira grunowii,Stellarima microtrias,Rhaphoneis paralellica,Mediaria splendida,Eucampia aff. balaustium,Dimerogramma cf. aff. dubium,Coscinodiscus asteromphalus,Thalassiosira yabei,Rhizosolenia praebarboi,Coscinodiscus yabei,Coscinodiscus plicatus,Pterotheca reticulata,Pseudopodosira simplex,Denticulopsis praedimorpha,Rhizosolenia hebetata f. hebetata,Actinocyclus ingens,Coscinodiscus marginatus,Nitzschia donahuensis,Thalassiosira aff. gravida,Nitzschia heteropolica,Pterotheca aculeifera,Thalassiosira nordenskioeldii,Synedra pulchella,Actinocyclus curvatulus,Nitzschia evenscens,Rhaphoneis margaritalimbata,Synedra miocenica,Pseudodimerogramma sp.,Xanthiopyxis sp.,Nitzschia aff. cylindrica,Cymatosira biharensis,Cestodiscus sp.,Nitzschia riedelia,Coscinodiscus lewisianus,Rhizosolenia styliformis,Hemiaulus polycystinorum,Coscinodiscus flexuosus,Rhizosolenia barboi,Proboscia barboi,Thalassiosira kryophila,Thalassiothrix miocenica,Thalassiothrix longissima,Thalassiosira oestrupii,Thalassiosira decipiens,Thalassiosira baldaufii,Thalassiosira convexa,Thalassiosira sp. a,Thalassiosira jacksonii,Thalassiosira gravida vegetative,Thalassiosira eccentrica,Thalassiosira aff. nordenskioeldii,Thalassiosira sp. c,Thalassionema nitzschioides,Thalassiosira zabellinae,Thalassiosira sp. 1,Thalassiosira nidulus,Nitzschia kanayensis,Nitzschia atlantica,Thalassiosira gravida spore,Coscinodiscus oculus-iridis,Rhizosolenia bergonii,Proboscia curvirostris,Thalassiosira trifulta,Thalassiosira anguste-lineata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,T. oestrupii      ,              ,151, 907,A,  6,H, 4,  93.00,     50.7300,Koc      ,Diatoms                                      ,               ,                  ,R                   ,                      ,                     ,             ,                                 ,                      ,                      ,                                  ,                     ,               ,                       ,                      ,                     ,                  ,                          ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,+                      ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from 151IR. Ch 5. Fig 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,T. oestrupii      ,              ,151, 907,A,  6,H, 5,  82.00,     52.1200,Koc      ,Diatoms                                      ,               ,                  ,                    ,                      ,                     ,             ,                                 ,                      ,                      ,                                  ,                     ,               ,                       ,                      ,                     ,                  ,                          ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,+                      ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from 151IR. Ch 5. Fig 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,T. oestrupii      ,              ,151, 907,A,  6,H, 7,  44.00,     54.7400,Koc      ,Diatoms                                      ,               ,                  ,F                   ,                      ,                     ,             ,                                 ,                      ,                      ,                                  ,                     ,               ,                       ,                      ,                     ,                  ,                          ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,+                      ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from 151IR. Ch 5. Fig 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,P. curvirostris   ,              ,151, 907,A,  6,H,CC,  32.00,     55.3300,Koc      ,Diatoms                                      ,C              ,M                 ,R                   ,                      ,                     ,             ,A                                ,                      ,                      ,F                                 ,                     ,               ,                       ,                      ,                     ,F                 ,                          ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,C                      ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,A                      ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,F                          ,                        ,                   ,                     ,                    ,F                  ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,T. oestrupii      ,              ,151, 907,A,  7,H, 1, 131.00,     56.1100,Koc      ,Diatoms                                      ,               ,                  ,                    ,                      ,                     ,             ,                                 ,                      ,                      ,                                  ,                     ,               ,                       ,                      ,                     ,                  ,                          ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,+                      ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,+                          ,+                       ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from 151IR. Ch 5. Fig 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,T. oestrupii      ,              ,151, 907,A,  7,H, 4,  12.00,     59.4200,Koc      ,Diatoms                                      ,               ,                  ,R                   ,                      ,                     ,             ,                                 ,                      ,                      ,                                  ,                     ,               ,                       ,                      ,                     ,                  ,                          ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,+                      ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,+                          ,+                       ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from 151IR. Ch 5. Fig 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,P. curvirostris   ,              ,151, 907,A,  7,H, 5,  71.00,     61.5100,Koc      ,Diatoms                                      ,R              ,P                 ,R                   ,                      ,                     ,             ,                                 ,                      ,                      ,                                  ,                     ,               ,                       ,                      ,                     ,                  ,                          ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,R                    ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,+                      ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,+                          ,R                       ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,T. oestrupii      ,              ,151, 907,A,  7,H, 6,  70.00,     63.0000,Koc      ,Diatoms                                      ,               ,                  ,R                   ,                      ,                     ,             ,                                 ,                      ,                      ,                                  ,                     ,               ,                       ,                      ,                     ,                  ,                          ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,+                      ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,+                          ,+                       ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from 151IR. Ch 5. Fig 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,Late Pliocene    ,T. miocenica      ,              ,151, 907,A,  7,H, 6, 101.00,     63.3100,Koc      ,Diatoms                                      ,A              ,G                 ,R                   ,                      ,                     ,             ,C                                ,                      ,                      ,F                                 ,                     ,               ,                       ,                      ,                     ,C                 ,                          ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,F                      ,                   ,                           ,                 ,                      ,                ,R                        ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,F               ,                       ,A                       ,                         ,C                      ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,R                       ,                   ,F                    ,                    ,F                  ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,Late Pliocene    ,T. miocenica      ,              ,151, 907,A,  7,H,CC,   7.00,     64.5100,Koc      ,Diatoms                                      ,A              ,G                 ,                    ,                      ,                     ,             ,F                                ,                      ,                      ,C                                 ,                     ,               ,                       ,                      ,                     ,                  ,                          ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,+                  ,A               ,                       ,A                       ,                         ,+                      ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,+                          ,+                       ,                   ,+                    ,F                   ,                   ,                           ,                           ,F                    ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,Late Pliocene    ,T. miocenica      ,              ,151, 907,A,  8,H, 1,  64.00,     64.9400,Koc      ,Diatoms                                      ,A              ,G                 ,R                   ,                      ,                     ,             ,R                                ,                      ,                      ,F                                 ,                     ,               ,                       ,                      ,                     ,R                 ,                          ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,F                      ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,R                 ,                        ,                        ,                        ,                       ,                   ,A               ,                       ,A                       ,                         ,C                      ,                       ,                       ,                     ,                   ,                       ,F                               ,                        ,                                  ,                   ,                           ,                        ,                   ,F                    ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,P. barboi         ,              ,151, 907,A,  8,H, 2,  60.00,     66.4000,Koc      ,Diatoms                                      ,               ,                  ,                    ,                      ,                     ,             ,                                 ,                      ,                      ,                                  ,                     ,               ,                       ,                      ,                     ,                  ,                          ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,+                  ,                ,                       ,+                       ,                         ,+                      ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,+                          ,R                       ,                   ,+                    ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from 151IR. Ch 5. Fig 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,Late Pliocene    ,T. miocenica      ,              ,151, 907,A,  8,H, 3,  64.00,     67.9400,Koc      ,Diatoms                                      ,A              ,G                 ,C                   ,                      ,                     ,             ,F                                ,A                     ,                      ,R                                 ,                     ,               ,                       ,                      ,                     ,                  ,C                         ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,F                       ,                     ,                          ,                      ,                     ,                             ,                 ,C                      ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,+                  ,A               ,R                      ,A                       ,                         ,+                      ,                       ,                       ,                     ,                   ,                       ,R                               ,                        ,                                  ,                   ,F                          ,R                       ,+                  ,+                    ,                    ,                   ,R                          ,C                          ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,Late Pliocene    ,T. miocenica      ,              ,151, 907,A,  8,H,CC,  21.00,     74.0600,Koc      ,Diatoms                                      ,A              ,G                 ,C                   ,+                     ,F                    ,             ,A                                ,C                     ,                      ,R                                 ,                     ,C              ,                       ,                      ,                     ,F                 ,C                         ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,R                    ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,F                       ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,+                  ,F               ,C                      ,C                       ,                         ,C                      ,                       ,C                      ,R                    ,                   ,                       ,                                ,                        ,                                  ,                   ,R                          ,+                       ,+                  ,A                    ,F                   ,R                  ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,T. kryophilia     ,              ,151, 907,A,  9,H, 1,  31.00,     74.1100,Koc      ,Diatoms                                      ,               ,                  ,                    ,+                     ,                     ,             ,                                 ,+                     ,                      ,                                  ,                     ,               ,                       ,                      ,                     ,                  ,+                         ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,+                  ,                ,                       ,                        ,                         ,+                      ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,+                          ,+                       ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from 151IR. Ch 5. Fig 10
