Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globigerina bulloides	Orbulina universa	Globorotalia decoraperta	Globigerina woodi	Globigerina quinqueloba	Globorotalia scitula	Sphaeroidinellopsis paenedehiscens	Neogloboquadrina pachyderma (sinistral)	Globigerina apertura	Neogloboquadrina n. sp.?	Globorotalia cf. Gr. continuosa	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina humerosa	Globorotalia crassula	Globigerinoides ruber	Neogloboquadrina sp. "rounded"	Globorotalia inflata	Globoquadrina altispira altispira	Neogloboquadrina asanoi	Globigerinita glutinata	Neogloboquadrina pachyderma "rounded"	Comment
  IR	                 	                 	N21               	              	167	1021	B	  9	H	CC	  32.00	     84.6900	Kennett  	Planktonic Foraminifers                      	F              	M                 	                     	R                	                        	                 	                       	                    	                                  	                                       	                    	                        	                               	                                     	C                        	                     	                     	C                             	F                   	                                 	C                      	                       	                                     	from IR. Ch 15. Table 3.

  IR	                 	                 	N21               	              	167	1021	B	 10	H	CC	  25.00	     94.0000	Kennett  	Planktonic Foraminifers                      	R              	P                 	                     	R                	                        	                 	                       	                    	                                  	                                       	                    	                        	                               	                                     	                         	                     	                     	                              	A                   	                                 	                       	                       	                                     	from IR. Ch 15. Table 3.

  IR	                 	                 	N21               	              	167	1021	B	 11	H	CC	   0.00	    103.0800	Kennett  	Planktonic Foraminifers                      	A              	G                 	A                    	A                	                        	                 	                       	                    	                                  	                                       	                    	                        	                               	C                                    	F                        	                     	                     	A                             	F                   	R                                	                       	                       	                                     	from IR. Ch 15. Table 3.

  IR	                 	                 	N20               	              	167	1021	B	 12	H	CC	  20.00	    112.9900	Kennett  	Planktonic Foraminifers                      	F              	M                 	                     	C                	                        	                 	                       	R                   	                                  	                                       	F                   	                        	                               	A                                    	C                        	R                    	R                    	                              	                    	                                 	                       	                       	                                     	from IR. Ch 15. Table 3.

  IR	                 	                 	N20               	              	167	1021	B	 13	H	CC	   9.00	    122.3400	Kennett  	Planktonic Foraminifers                      	R              	P                 	F                    	F                	                        	                 	                       	                    	                                  	                                       	                    	                        	R                              	                                     	                         	                     	                     	                              	                    	                                 	                       	                       	                                     	from IR. Ch 15. Table 3.

  IR	                 	                 	N19               	              	167	1021	B	 17	H	CC	  24.00	    160.5400	Kennett  	Planktonic Foraminifers                      	R              	M                 	F                    	F                	                        	                 	                       	                    	                                  	                                       	                    	F                       	                               	                                     	                         	                     	                     	                              	                    	                                 	                       	                       	                                     	from IR. Ch 15. Table 3.

  IR	                 	                 	N18               	              	167	1021	B	 20	X	CC	  19.00	    177.4600	Kennett  	Planktonic Foraminifers                      	C              	G                 	A                    	F                	                        	F                	                       	                    	                                  	A                                      	F                   	                        	                               	                                     	                         	                     	                     	                              	                    	                                 	                       	                       	                                     	from IR. Ch 15. Table 3.

  IR	                 	                 	N18               	              	167	1021	B	 21	X	CC	  10.00	    194.6700	Kennett  	Planktonic Foraminifers                      	C              	G                 	C                    	R                	C                       	C                	                       	                    	R                                 	A                                      	                    	                        	                               	                                     	                         	                     	                     	                              	                    	                                 	                       	                       	                                     	from IR. Ch 15. Table 3.

  IR	                 	                 	N17               	              	167	1021	B	 24	X	CC	  13.00	    223.7000	Kennett  	Planktonic Foraminifers                      	R              	M                 	A                    	R                	                        	                 	                       	R                   	                                  	                                       	                    	                        	                               	                                     	                         	                     	                     	                              	                    	                                 	                       	                       	                                     	from IR. Ch 15. Table 3.

  IR	                 	                 	N17               	              	167	1021	B	 25	X	CC	  27.00	    231.9900	Kennett  	Planktonic Foraminifers                      	F              	G                 	A                    	R                	R                       	C                	R                      	                    	                                  	                                       	                    	                        	                               	                                     	                         	                     	                     	                              	                    	                                 	                       	                       	                                     	from IR. Ch 15. Table 3.

  IR	                 	                 	N17               	              	167	1021	B	 27	X	CC	  14.00	    252.4800	Kennett  	Planktonic Foraminifers                      	R              	P                 	R                    	                 	                        	                 	                       	                    	                                  	                                       	                    	                        	                               	                                     	                         	                     	                     	                              	                    	                                 	                       	                       	                                     	from IR. Ch 15. Table 3.

  IR	                 	                 	N17               	              	167	1021	B	 33	X	CC	  13.00	    310.0900	Kennett  	Planktonic Foraminifers                      	R              	M                 	F                    	                 	                        	                 	                       	                    	                                  	                                       	                    	                        	                               	                                     	                         	                     	                     	                              	                    	                                 	                       	                       	                                     	from IR. Ch 15. Table 3.

