Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix spp.	Diatom fragments	Denticulopsis praedimorpha	Denticulopsis hustedtii	Coscinodiscus marginatus	Actinocyclus ingens	Crucidenticula punctata	Thalassionema nitzschioides	Thalassionema hirosakiensis	Hemiaulus polymorphus	Azpeitia nodulifera	Thalassiothrix longissima	Thalassionema nitzschioides  var. parva	Actinocyclus tsugaruensis	Actinocyclus ellipticus var. javanica	Rhizosolenia barboi	Denticulopsis dimorpha	Hemidiscus cuneiformis	Denticulopsis katayamae	Denticulopsis hustedtii (elliptical)	Crucidenticula nicobarica	Denticulopsis cf. D. katayamae	Denticulopsis cf. D. dimorpha	Coscinodiscus marginatus f. fossilis	Actinoptychus senarius	Stephanopyxis turris	Rouxia californica	Nitzschia fossilis	Denticulopsis lauta s.l.	Coscinodiscus radiatus	Thalassionema schraderi	Pinn* spp.	Diatom fragments (girdle bands)	Rhizosolenia sp.	Paralia sulcata	Nitzschia rolandii	Nitzschia praedim*	Thalassiosira leptopus	Thalassiosira antiqua	Thalassionema robusta	Thalassiosira oestrupii	Nitzschia reinholdii	Neodenticula kamtschatica	Thalassiosira convexa	Neodenticula cf. N. koizumii	Neodenticula seminae (sensu Akiba)	Neodenticula koizumii	Actinocyclus oculatus	Thalassiosira cf. T. convexa	Neodenticula seminae	Cocconeis costata	Actinocyclus cf. oculatus	Comment

  IR	Late Pliocene    	                 	NPD 8             	NPD 9         	167	1021	B	  8	H	CC	  20.00	     75.0600	Maruyama 	Diatoms                                      	C              	P/M               	                   	                	                          	                       	R                       	                   	                       	R                          	                           	                     	                   	F                        	                                       	                         	                                     	C                  	                      	                      	                       	                                    	                         	                              	                             	                                    	                      	C                   	                  	                  	                        	                      	                       	          	                               	                	               	                  	                  	                      	T                    	T                    	R                      	R                   	                         	                     	                            	R                                 	F                    	R                    	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	Late Pliocene    	                 	NPD 8             	NPD 9         	167	1021	B	  9	H	CC	  32.00	     84.6900	Maruyama 	Diatoms                                      	R              	P                 	                   	                	                          	                       	R                       	                   	                       	                           	                           	                     	                   	                         	                                       	                         	                                     	T                  	                      	                      	                       	                                    	                         	                              	                             	                                    	                      	T                   	                  	                  	                        	                      	                       	          	                               	                	               	                  	                  	                      	                     	                     	                       	                    	                         	T                    	T                           	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	                 	                 	                  	              	167	1021	B	 10	H	CC	  25.00	     94.0000	Maruyama 	Diatoms                                      	T              	P                 	                   	                	                          	T                      	                        	                   	                       	                           	                           	                     	                   	                         	                                       	                         	                                     	T                  	                      	                      	                       	                                    	                         	                              	                             	                                    	                      	                    	                  	                  	                        	                      	                       	          	T                              	                	               	                  	                  	                      	                     	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	                 	                 	                  	              	167	1021	B	 11	H	CC	   0.00	    103.0800	Maruyama 	Diatoms                                      	T              	P                 	                   	T               	                          	                       	T                       	                   	                       	                           	                           	                     	                   	                         	                                       	                         	                                     	                   	                      	                      	                       	                                    	                         	                              	                             	                                    	                      	T                   	                  	                  	                        	                      	                       	          	R                              	                	               	                  	                  	                      	                     	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	                 	                 	                  	              	167	1021	B	 12	H	CC	  20.00	    112.9900	Maruyama 	Diatoms                                      	R              	P                 	                   	                	                          	T                      	                        	                   	                       	                           	                           	                     	                   	T                        	                                       	                         	                                     	F                  	                      	                      	                       	                                    	                         	                              	                             	                                    	                      	R                   	                  	                  	                        	                      	                       	          	                               	T               	               	                  	                  	                      	                     	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	                 	                 	                  	              	167	1021	B	 13	H	CC	   9.00	    122.3400	Maruyama 	Diatoms                                      	T              	P                 	                   	                	                          	T                      	                        	                   	                       	T                          	                           	                     	                   	                         	                                       	                         	                                     	R                  	                      	                      	                       	                                    	                         	                              	                             	                                    	                      	T                   	                  	                  	                        	                      	                       	          	                               	                	               	                  	                  	                      	                     	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	                 	                 	                  	              	167	1021	B	 14	H	CC	   0.00	    131.8200	Maruyama 	Diatoms                                      	T              	P                 	                   	                	                          	                       	                        	                   	                       	                           	                           	                     	                   	                         	                                       	                         	                                     	R                  	                      	                      	                       	                                    	                         	                              	                             	                                    	                      	T                   	                  	                  	                        	                      	                       	          	                               	                	               	                  	                  	                      	                     	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	Early Pliocene   	                 	NPD 7B            	NPD 7C        	167	1021	B	 15	H	CC	  18.00	    141.5100	Maruyama 	Diatoms                                      	A              	P                 	A                  	                	                          	                       	C                       	                   	                       	C                          	                           	                     	                   	C                        	                                       	                         	                                     	C                  	                      	R                     	                       	                                    	                         	                              	                             	                                    	                      	R                   	                  	                  	                        	                      	                       	          	                               	                	               	T                 	                  	                      	                     	                     	T                      	T                   	R                        	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	                 	                 	                  	              	167	1021	B	 16	H	CC	  21.00	    150.9600	Maruyama 	Diatoms                                      	R              	P                 	                   	                	                          	                       	R                       	                   	                       	R                          	                           	                     	                   	                         	                                       	                         	                                     	R                  	                      	                      	                       	                                    	                         	                              	                             	                                    	                      	                    	                  	                  	                        	                      	                       	          	                               	                	               	                  	                  	                      	                     	R                    	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	                 	                 	                  	              	167	1021	B	 17	H	CC	  24.00	    160.5400	Maruyama 	Diatoms                                      	F              	P                 	                   	R               	                          	                       	                        	                   	                       	                           	                           	                     	                   	                         	                                       	                         	                                     	                   	                      	                      	                       	                                    	                         	                              	                             	                                    	T                     	                    	                  	                  	                        	                      	                       	          	                               	                	               	                  	T                 	T                     	T                    	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	                 	                 	                  	              	167	1021	B	 18	H	CC	  12.00	    169.8400	Maruyama 	Diatoms                                      	A              	P                 	                   	                	                          	T                      	C                       	                   	                       	                           	                           	                     	A                  	R                        	                                       	                         	                                     	                   	                      	                      	                       	                                    	                         	                              	                             	                                    	                      	                    	                  	                  	                        	                      	                       	          	                               	                	               	T                 	T                 	                      	                     	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	                 	                 	                  	              	167	1021	B	 19	X	CC	  15.00	    176.8900	Maruyama 	Diatoms                                      	F              	P                 	                   	                	                          	T                      	                        	                   	                       	T                          	                           	                     	                   	                         	                                       	                         	                                     	                   	                      	                      	                       	                                    	                         	                              	                             	                                    	                      	                    	                  	                  	                        	                      	                       	          	                               	                	T              	                  	                  	                      	                     	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	                 	                 	                  	              	167	1021	B	 20	X	CC	  19.00	    177.4600	Maruyama 	Diatoms                                      	A              	P                 	A                  	                	T                         	T                      	                        	                   	                       	R                          	                           	                     	                   	                         	                                       	                         	                                     	                   	                      	                      	                       	                                    	                         	                              	                             	                                    	                      	T                   	                  	T                 	                        	                      	                       	          	A                              	                	               	                  	                  	                      	                     	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	                 	                 	                  	              	167	1021	B	 21	X	CC	  10.00	    194.6700	Maruyama 	Diatoms                                      	T              	P                 	                   	                	                          	                       	T                       	                   	                       	T                          	                           	                     	                   	                         	                                       	                         	                                     	                   	                      	                      	                       	                                    	                         	                              	                             	                                    	                      	                    	                  	                  	                        	                      	                       	          	T                              	T               	               	                  	                  	                      	                     	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	                 	                 	                  	              	167	1021	B	 22	X	CC	   9.00	    204.2300	Maruyama 	Diatoms                                      	R              	P                 	                   	C               	                          	                       	T                       	                   	                       	                           	                           	                     	                   	                         	                                       	                         	                                     	                   	                      	                      	                       	                                    	                         	                              	                             	                                    	                      	                    	                  	                  	                        	                      	                       	          	R                              	                	               	                  	                  	                      	                     	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	Late Miocene     	                 	NPD 6B            	              	167	1021	B	 23	X	CC	  22.00	    213.9600	Maruyama 	Diatoms                                      	A              	P                 	A                  	                	                          	                       	C                       	                   	                       	                           	                           	                     	                   	                         	                                       	                         	                                     	R                  	                      	                      	                       	                                    	                         	                              	T                            	                                    	                      	                    	                  	                  	T                       	                      	T                      	          	                               	                	               	                  	                  	                      	                     	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	Late Miocene     	                 	NPD 6B            	              	167	1021	B	 24	X	CC	  13.00	    223.7000	Maruyama 	Diatoms                                      	A              	P/M               	A                  	                	                          	                       	R                       	                   	                       	                           	                           	                     	                   	C                        	                                       	                         	                                     	R                  	                      	T                     	                       	                                    	                         	                              	R                            	                                    	                      	T                   	                  	                  	                        	                      	F                      	R         	                               	                	               	                  	                  	                      	                     	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	Late Miocene     	                 	NPD 6B            	              	167	1021	B	 25	X	CC	  27.00	    231.9900	Maruyama 	Diatoms                                      	A              	P                 	A                  	                	                          	                       	R                       	                   	                       	R                          	                           	                     	                   	                         	                                       	R                        	                                     	F                  	                      	                      	                       	                                    	                         	R                             	                             	R                                   	                      	R                   	F                 	R                 	R                       	R                     	                       	          	                               	                	               	                  	                  	                      	                     	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	Late Miocene     	                 	NPD 6A            	              	167	1021	B	 26	X	 7	  30.00	    242.5000	Maruyama 	Diatoms                                      	A              	P/M               	                   	                	                          	F                      	F                       	                   	                       	                           	                           	                     	F                  	R                        	                                       	                         	                                     	                   	                      	R                     	                       	                                    	                         	R                             	R                            	R                                   	R                     	                    	                  	                  	                        	                      	                       	          	                               	                	               	                  	                  	                      	                     	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	Late Miocene     	                 	NPD 5D            	              	167	1021	B	 27	X	CC	  14.00	    252.4800	Maruyama 	Diatoms                                      	A              	M/G               	A                  	                	T                         	C                      	                        	F                  	                       	                           	                           	                     	                   	                         	                                       	                         	                                     	F                  	R                     	R                     	R                      	R                                   	T                        	                              	                             	                                    	                      	                    	                  	                  	                        	                      	                       	          	                               	                	               	                  	                  	                      	                     	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	Late Miocene     	                 	NPD 5D            	              	167	1021	B	 28	X	CC	  16.00	    262.0800	Maruyama 	Diatoms                                      	A              	M                 	A                  	                	                          	                       	                        	R                  	                       	                           	                           	                     	                   	C                        	                                       	F                        	R                                    	R                  	F                     	                      	                       	                                    	                         	                              	                             	                                    	                      	                    	                  	                  	                        	                      	                       	          	                               	                	               	                  	                  	                      	                     	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	Late Miocene     	                 	NPD 5C            	              	167	1021	B	 29	X	CC	  24.00	    271.8400	Maruyama 	Diatoms                                      	A              	P/M               	                   	                	                          	R                      	R                       	F                  	                       	                           	                           	                     	                   	R                        	                                       	R                        	R                                    	                   	                      	                      	                       	                                    	                         	                              	                             	                                    	                      	                    	                  	                  	                        	                      	                       	          	                               	                	               	                  	                  	                      	                     	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	Middle Miocene   	                 	NPD 5B            	              	167	1021	B	 30	X	CC	  13.00	    281.3500	Maruyama 	Diatoms                                      	C              	P/M               	                   	                	R                         	F                      	T                       	F                  	                       	                           	                           	                     	                   	R                        	T                                      	                         	                                     	                   	                      	                      	                       	                                    	                         	                              	                             	                                    	                      	                    	                  	                  	                        	                      	                       	          	                               	                	               	                  	                  	                      	                     	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	Middle Miocene   	                 	NPD 5B            	              	167	1021	B	 31	X	CC	  31.00	    291.1400	Maruyama 	Diatoms                                      	C              	P/M               	                   	                	F                         	F                      	R                       	F                  	                       	F                          	R                          	F                    	R                  	                         	                                       	                         	                                     	                   	                      	                      	                       	                                    	                         	                              	                             	                                    	                      	                    	                  	                  	                        	                      	                       	          	                               	                	               	                  	                  	                      	                     	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	Middle Miocene   	                 	NPD 5B            	              	167	1021	B	 32	X	CC	  26.00	    300.7300	Maruyama 	Diatoms                                      	A              	M                 	F                  	                	F                         	C                      	                        	C                  	F                      	                           	                           	                     	                   	                         	                                       	                         	                                     	                   	                      	                      	                       	                                    	                         	                              	                             	                                    	                      	                    	                  	                  	                        	                      	                       	          	                               	                	               	                  	                  	                      	                     	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

  IR	Middle Miocene   	                 	NPD 5B            	              	167	1021	B	 33	X	CC	  13.00	    310.0900	Maruyama 	Diatoms                                      	A              	M/G               	A                  	A               	C                         	C                      	F                       	F                  	                       	                           	                           	                     	                   	                         	                                       	                         	                                     	                   	                      	                      	                       	                                    	                         	                              	                             	                                    	                      	                    	                  	                  	                        	                      	                       	          	                               	                	               	                  	                  	                      	                     	                     	                       	                    	                         	                     	                            	                                  	                     	                     	                            	                    	                 	                         	from IR. Ch 15. Table 5.

