Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Cyclicargolithus floridanus,Triquetrorhabdulus carinatus,Sphenolithus umbrellus,Sphenolithus predistentus,Sphenolithus moriformis,Sphenolithus distentus,Sphenolithus ciperoensis,Reticulofenestra bisecta,Helicosphaera intermedia,Helicosphaera euphratis,Discoaster deflandrei,Coccolithus pelagicus,Clausicoccus fenestratus,Chiasmolithus altus,Sphenolithus dissimilis,Coronocyclus nitescens,Pyrocyclus orangensis,Helicosphaera sp. cf. H. orientalis,Pontosphaera sp.,Helicosphaera sp.,Helicosphaera obliqua,Helicosphaera perch-nielseniae,Bramletteius serraculoides,Sphenolithus conicus,Discoaster adamanteus,Reticulofenestra spp. small,Discoaster druggii,Coccolithus sp.,Calcidiscus macintyrei,Syracosphaera sp.,Pedinocyclus larvalis,Helicosphaera carteri,Discoaster variabilis,Reticulofenestra pseudoumbilica,Umbilicosphaera sibogae,Discoaster pseudovariabilis,Sphenolithus heteromorphus,Sphenolithus belemnos,Helicosphaera mediterranea,Discoaster sp. cf. D. deflandrei (with web),Discoaster pansus,Discoaster moorei,Discoaster icarus,Discoaster exilis,Discoaster challengeri,Calcidiscus leptoporus,Helicosphaera californiana,Triquetrorhabdulus rugosus,Discoaster intercalaris,Discoaster sp.,Discoaster kugleri,Helicosphaera philippinensis,Discoaster bollii,Helicosphaera rhomba,Discoaster neohamatus,Clausicoccus sp. (small),Catinaster coalitus,Helicosphaera granulata,Catinaster sp. cf. C. calyculus,Rhabdosphaera sp.,Helicosphaera orientalis,Discoaster sp. cf. D. bolli,Discoaster prepentaradiatus,Discoaster hamatus,Coronocyclus sp.,Catinaster calyculus,Discoaster calcaris,Minylitha convallis,Sphenolithus neoabies,Sphenolithus abies,Helicosphaera sellii,Discoaster triradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster loeblichii,Discoaster brouweri,Discoaster blackstockae,Discoaster berggrenii,Discoaster neorectus,Discoaster surculus,Discoaster bergenii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,126, 792,E,  9,R,CC,   0.00,    218.0900,Firth    ,Nannofossils                                 ,               ,                  ,                           ,                            ,                      ,                         ,                       ,                      ,                        ,                        ,                        ,                       ,                     ,C                    ,                        ,                   ,                       ,                      ,                     ,                                   ,                ,F                ,                     ,                              ,                          ,                    ,                     ,                           ,                  ,               ,F                     ,                 ,                     ,                     ,F                    ,F                              ,                       ,                           ,                          ,                     ,                          ,                                           ,R                ,                 ,                 ,                 ,                      ,F                     ,                          ,                          ,                       ,C             ,                  ,                            ,                 ,                    ,                     ,                        ,                   ,                       ,                               ,                 ,                        ,                           ,                           ,                  ,                ,                    ,                   ,                   ,                     ,F                 ,R                   ,R                     ,C                      ,                        ,                     ,F                  ,                       ,R                    ,                    ,R                  ,                   ,from ODP Leg 126 Chapter 16 Table 9 p 254-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,126, 792,E, 10,R, 1,  40.00,    222.6000,Firth    ,Nannofossils                                 ,               ,                  ,                           ,                            ,                      ,                         ,                       ,                      ,                        ,                        ,                        ,                       ,                     ,C                    ,                        ,                   ,                       ,                      ,                     ,                                   ,F               ,                 ,                     ,                              ,                          ,                    ,                     ,A                          ,                  ,               ,F                     ,                 ,                     ,F                    ,F                    ,                               ,F                      ,R                          ,                          ,                     ,                          ,                                           ,F                ,                 ,R                ,                 ,                      ,C                     ,                          ,                          ,                       ,              ,                  ,                            ,                 ,                    ,                     ,F                       ,                   ,                       ,                               ,                 ,R                       ,                           ,R                          ,                  ,C               ,                    ,                   ,F                  ,F                    ,F                 ,                    ,                      ,F                      ,R                       ,                     ,C                  ,                       ,F                    ,                    ,                   ,R                  ,from ODP Leg 126 Chapter 16 Table 9 p 254-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,126, 792,E, 10,R, 3,  40.00,    225.6000,Firth    ,Nannofossils                                 ,               ,                  ,                           ,                            ,                      ,                         ,F                      ,                      ,                        ,                        ,                        ,                       ,                     ,F                    ,                        ,                   ,                       ,                      ,                     ,                                   ,                ,                 ,                     ,                              ,                          ,                    ,                     ,C                          ,                  ,               ,R                     ,                 ,                     ,F                    ,F                    ,R                              ,F                      ,                           ,                          ,                     ,                          ,                                           ,                 ,                 ,R                ,                 ,                      ,F                     ,                          ,                          ,                       ,              ,                  ,                            ,                 ,                    ,                     ,                        ,                   ,                       ,                               ,                 ,                        ,                           ,                           ,                  ,F               ,                    ,                   ,                   ,F                    ,F                 ,                    ,                      ,R                      ,                        ,                     ,C                  ,                       ,F                    ,                    ,                   ,R                  ,from ODP Leg 126 Chapter 16 Table 9 p 254-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,126, 792,E, 10,R,CC,  12.00,    227.4400,Firth    ,Nannofossils                                 ,               ,                  ,                           ,                            ,                      ,                         ,                       ,                      ,                        ,                        ,                        ,                       ,                     ,C                    ,                        ,                   ,                       ,                      ,                     ,                                   ,F               ,                 ,                     ,                              ,                          ,                    ,                     ,C                          ,                  ,               ,R                     ,                 ,                     ,F                    ,R                    ,F                              ,F                      ,                           ,                          ,                     ,                          ,                                           ,R                ,                 ,                 ,                 ,                      ,F                     ,                          ,                          ,                       ,              ,                  ,                            ,                 ,                    ,                     ,R                       ,                   ,                       ,                               ,                 ,                        ,                           ,                           ,                  ,F               ,                    ,                   ,F                  ,F                    ,F                 ,                    ,                      ,                       ,                        ,                     ,F                  ,                       ,F                    ,                    ,R                  ,R                  ,from ODP Leg 126 Chapter 16 Table 9 p 254-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,126, 792,E, 11,R, 1, 122.00,    233.1200,Firth    ,Nannofossils                                 ,               ,                  ,                           ,                            ,                      ,                         ,                       ,                      ,                        ,                        ,                        ,                       ,                     ,C                    ,                        ,                   ,                       ,                      ,                     ,                                   ,F               ,R                ,                     ,                              ,                          ,                    ,                     ,C                          ,                  ,               ,R                     ,                 ,                     ,F                    ,                     ,R                              ,C                      ,                           ,                          ,                     ,                          ,                                           ,F                ,                 ,                 ,                 ,                      ,C                     ,                          ,                          ,                       ,              ,                  ,                            ,                 ,                    ,                     ,R                       ,                   ,                       ,                               ,R                ,                        ,                           ,                           ,                  ,F               ,                    ,R                  ,C                  ,F                    ,C                 ,                    ,                      ,C                      ,F                       ,                     ,C                  ,                       ,F                    ,                    ,                   ,                   ,from ODP Leg 126 Chapter 16 Table 9 p 254-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,126, 792,E, 11,R, 2,  49.00,    233.8900,Firth    ,Nannofossils                                 ,               ,                  ,                           ,                            ,                      ,                         ,F                      ,                      ,                        ,                        ,                        ,                       ,                     ,C                    ,                        ,                   ,                       ,                      ,                     ,                                   ,F               ,F                ,                     ,                              ,                          ,                    ,                     ,A                          ,                  ,               ,F                     ,                 ,                     ,C                    ,F                    ,R                              ,R                      ,                           ,                          ,                     ,                          ,                                           ,F                ,                 ,R                ,                 ,                      ,C                     ,                          ,                          ,                       ,              ,                  ,                            ,                 ,                    ,                     ,F                       ,                   ,                       ,                               ,                 ,                        ,                           ,                           ,                  ,C               ,                    ,                   ,C                  ,F                    ,C                 ,                    ,                      ,F                      ,R                       ,                     ,C                  ,                       ,R                    ,                    ,                   ,                   ,from ODP Leg 126 Chapter 16 Table 9 p 254-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,126, 792,E, 11,R,CC,  12.00,    234.5100,Firth    ,Nannofossils                                 ,               ,                  ,                           ,                            ,                      ,                         ,R                      ,                      ,                        ,                        ,                        ,                       ,                     ,R                    ,                        ,                   ,                       ,                      ,                     ,                                   ,R               ,                 ,                     ,                              ,                          ,                    ,                     ,F                          ,                  ,               ,R                     ,                 ,                     ,                     ,R                    ,R                              ,                       ,                           ,                          ,                     ,                          ,                                           ,R                ,                 ,                 ,                 ,                      ,R                     ,                          ,                          ,                       ,              ,                  ,                            ,                 ,                    ,                     ,                        ,                   ,                       ,                               ,                 ,                        ,                           ,                           ,                  ,                ,                    ,                   ,                   ,                     ,R                 ,                    ,                      ,R                      ,                        ,R                    ,R                  ,                       ,R                    ,                    ,                   ,                   ,from ODP Leg 126 Chapter 16 Table 9 p 254-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,126, 792,E, 12,R, 2, 108.00,    244.0800,Firth    ,Nannofossils                                 ,               ,                  ,                           ,                            ,                      ,                         ,C                      ,                      ,                        ,                        ,                        ,                       ,                     ,C                    ,                        ,                   ,                       ,                      ,                     ,                                   ,F               ,                 ,                     ,                              ,                          ,                    ,                     ,A                          ,                  ,               ,C                     ,                 ,                     ,F                    ,R                    ,F                              ,C                      ,                           ,                          ,                     ,                          ,                                           ,F                ,                 ,                 ,                 ,                      ,C                     ,                          ,R                         ,R                      ,              ,                  ,                            ,                 ,                    ,                     ,C                       ,                   ,                       ,                               ,                 ,                        ,                           ,                           ,                  ,F               ,                    ,                   ,F                  ,C                    ,F                 ,R                   ,R                     ,F                      ,                        ,                     ,C                  ,                       ,F                    ,                    ,                   ,                   ,from ODP Leg 126 Chapter 16 Table 9 p 254-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,126, 792,E, 12,R,CC,  11.00,    245.8000,Firth    ,Nannofossils                                 ,               ,                  ,                           ,                            ,                      ,                         ,                       ,                      ,                        ,                        ,                        ,                       ,                     ,A                    ,                        ,                   ,                       ,                      ,                     ,                                   ,                ,F                ,                     ,                              ,                          ,                    ,                     ,A                          ,                  ,               ,F                     ,                 ,                     ,F                    ,F                    ,F                              ,R                      ,                           ,                          ,                     ,                          ,                                           ,                 ,                 ,                 ,                 ,                      ,F                     ,                          ,                          ,                       ,C             ,                  ,                            ,                 ,                    ,                     ,                        ,                   ,                       ,                               ,                 ,                        ,                           ,                           ,                  ,                ,                    ,                   ,R                  ,                     ,C                 ,                    ,                      ,F                      ,                        ,                     ,F                  ,                       ,F                    ,R                   ,                   ,                   ,from ODP Leg 126 Chapter 16 Table 9 p 254-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9               ,              ,126, 792,E, 13,R, 1,  40.00,    251.6000,Firth    ,Nannofossils                                 ,               ,                  ,                           ,                            ,                      ,                         ,F                      ,                      ,                        ,                        ,                        ,                       ,                     ,C                    ,                        ,                   ,                       ,                      ,                     ,                                   ,F               ,                 ,                     ,                              ,                          ,                    ,                     ,A                          ,                  ,               ,F                     ,                 ,                     ,F                    ,                     ,F                              ,F                      ,                           ,                          ,                     ,                          ,                                           ,F                ,                 ,R                ,                 ,                      ,C                     ,                          ,                          ,                       ,              ,                  ,                            ,                 ,                    ,                     ,                        ,                   ,                       ,                               ,                 ,                        ,                           ,                           ,                  ,F               ,                    ,                   ,F                  ,F                    ,F                 ,R                   ,R                     ,F                      ,F                       ,                     ,                   ,                       ,F                    ,                    ,                   ,                   ,from ODP Leg 126 Chapter 16 Table 9 p 254-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8               ,              ,126, 792,E, 13,R,CC,   0.00,    253.0000,Firth    ,Nannofossils                                 ,               ,                  ,                           ,                            ,                      ,                         ,                       ,                      ,                        ,                        ,                        ,                       ,                     ,R                    ,                        ,                   ,                       ,                      ,                     ,                                   ,                ,                 ,                     ,                              ,                          ,                    ,                     ,R                          ,                  ,               ,                      ,                 ,                     ,                     ,                     ,                               ,                       ,                           ,                          ,                     ,                          ,                                           ,                 ,                 ,                 ,                 ,                      ,R                     ,                          ,                          ,                       ,R             ,                  ,                            ,                 ,                    ,                     ,                        ,                   ,                       ,                               ,                 ,                        ,                           ,                           ,                  ,                ,                    ,                   ,R                  ,                     ,                  ,                    ,                      ,                       ,                        ,                     ,                   ,                       ,                     ,                    ,                   ,                   ,from ODP Leg 126 Chapter 16 Table 9 p 254-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8               ,              ,126, 792,E, 14,R,CC,  21.00,    261.1100,Firth    ,Nannofossils                                 ,               ,                  ,                           ,                            ,                      ,                         ,F                      ,                      ,                        ,                        ,                        ,                       ,                     ,C                    ,                        ,                   ,                       ,                      ,                     ,                                   ,                ,                 ,                     ,                              ,                          ,                    ,                     ,A                          ,                  ,               ,F                     ,                 ,                     ,F                    ,R                    ,F                              ,                       ,                           ,                          ,                     ,                          ,                                           ,F                ,                 ,F                ,                 ,                      ,F                     ,                          ,R                         ,F                      ,              ,                  ,                            ,                 ,                    ,R                    ,                        ,                   ,                       ,                               ,                 ,                        ,                           ,                           ,                  ,                ,                    ,R                  ,C                  ,F                    ,R                 ,                    ,R                     ,F                      ,R                       ,                     ,F                  ,R                      ,                     ,                    ,                   ,                   ,from ODP Leg 126 Chapter 16 Table 9 p 254-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8               ,              ,126, 792,E, 15,R, 1,  11.00,    270.6100,Firth    ,Nannofossils                                 ,               ,                  ,                           ,                            ,                      ,                         ,F                      ,                      ,                        ,                        ,                        ,                       ,                     ,C                    ,                        ,                   ,                       ,                      ,                     ,                                   ,                ,                 ,                     ,                              ,                          ,                    ,                     ,C                          ,                  ,               ,F                     ,                 ,                     ,F                    ,                     ,A                              ,F                      ,R                          ,                          ,                     ,                          ,                                           ,F                ,                 ,                 ,                 ,                      ,C                     ,                          ,                          ,                       ,              ,                  ,                            ,R                ,                    ,                     ,R                       ,                   ,                       ,                               ,                 ,                        ,R                          ,                           ,                  ,F               ,                    ,C                  ,F                  ,R                    ,R                 ,R                   ,R                     ,C                      ,R                       ,R                    ,                   ,                       ,                     ,                    ,                   ,                   ,from ODP Leg 126 Chapter 16 Table 9 p 254-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,CN7               ,              ,126, 792,E, 15,R, 2,  39.00,    272.3900,Firth    ,Nannofossils                                 ,               ,                  ,                           ,                            ,                      ,                         ,F                      ,                      ,                        ,                        ,                        ,                       ,                     ,C                    ,                        ,                   ,                       ,                      ,                     ,                                   ,                ,                 ,                     ,                              ,                          ,                    ,                     ,F                          ,                  ,               ,F                     ,                 ,                     ,R                    ,R                    ,A                              ,                       ,                           ,                          ,                     ,                          ,                                           ,F                ,                 ,                 ,                 ,                      ,F                     ,                          ,R                         ,R                      ,              ,                  ,                            ,F                ,                    ,                     ,R                       ,                   ,                       ,                               ,                 ,                        ,                           ,                           ,F                 ,F               ,F                   ,R                  ,R                  ,                     ,                  ,                    ,                      ,                       ,                        ,                     ,                   ,                       ,                     ,                    ,                   ,                   ,from ODP Leg 126 Chapter 16 Table 9 p 254-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,CN7               ,              ,126, 792,E, 15,R, 3,  26.00,    273.7600,Firth    ,Nannofossils                                 ,               ,                  ,                           ,                            ,                      ,                         ,F                      ,                      ,                        ,                        ,                        ,                       ,                     ,F                    ,                        ,                   ,                       ,                      ,                     ,                                   ,R               ,                 ,                     ,                              ,                          ,                    ,                     ,F                          ,                  ,               ,F                     ,                 ,                     ,R                    ,R                    ,C                              ,R                      ,                           ,                          ,                     ,                          ,                                           ,F                ,                 ,                 ,                 ,                      ,F                     ,                          ,R                         ,R                      ,              ,                  ,                            ,F                ,                    ,                     ,                        ,F                  ,                       ,                               ,                 ,                        ,                           ,                           ,R                 ,R               ,R                   ,R                  ,                   ,                     ,                  ,                    ,                      ,                       ,                        ,                     ,                   ,                       ,                     ,                    ,                   ,                   ,from ODP Leg 126 Chapter 16 Table 9 p 254-255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,Late Miocene     ,CN7               ,              ,126, 792,E, 15,R,CC,  10.00,    273.9400,Firth    ,Nannofossils                                 ,               ,                  ,                           ,                            ,                      ,                         ,F                      ,                      ,                        ,                        ,                        ,                       ,                     ,C                    ,                        ,                   ,                       ,                      ,                     ,                                   ,R               ,                 ,                     ,                              ,                          ,                    ,                     ,F                          ,                  ,               ,C                     ,                 ,                     ,R                    ,F                    ,A                              ,F                      ,                           ,                          ,                     ,                          ,                                           ,F                ,                 ,                 ,                 ,F                     ,C                     ,                          ,R                         ,F                      ,              ,                  ,                            ,F                ,                    ,                     ,                        ,F                  ,R                      ,                               ,                 ,                        ,                           ,                           ,F                 ,F               ,F                   ,                   ,                   ,                     ,                  ,                    ,                      ,                       ,                        ,                     ,                   ,                       ,                     ,                    ,                   ,                   ,from ODP Leg 126 Chapter 16 Table 9 p 254-255
